unit,bop_item,sector10,sectpart,stk_flow,partner,s_adj,geo\time,date,value
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,1995-01-01,-201.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,1996-01-01,15.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,1997-01-01,41.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,1998-01-01,-175.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,1999-01-01,-195.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,2000-01-01,-442.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,2001-01-01,-509.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,2002-01-01,-458.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,2003-01-01,-119.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,2004-01-01,-168.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,2005-01-01,11.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,2006-01-01,-906.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,2007-01-01,27.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,2008-01-01,-162.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,2009-01-01,-125.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,2010-01-01,177.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,2011-01-01,-330.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,2012-01-01,-448.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,2013-01-01,-489.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,2014-01-01,-347.0 
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,2015-01-01,-1796.0
MIO_NAC,KA,S1,S1,BAL,WRL_REST,NSA,AT,2016-01-01,-372.0
