unit,product,indic_nrg,geotime,date,value
KTOE,0000,B_102010,AL,1990-01-01,528.0
KTOE,0000,B_102010,AL,1991-01-01,531.0
KTOE,0000,B_102010,AL,1992-01-01,509.0
KTOE,0000,B_102010,AL,1993-01-01,469.7
KTOE,0000,B_102010,AL,1994-01-01,452.1
KTOE,0000,B_102010,AL,1995-01-01,474.0
KTOE,0000,B_102010,AL,1996-01-01,516.0
KTOE,0000,B_102010,AL,1997-01-01,493.5
KTOE,0000,B_102010,AL,1998-01-01,483.6
KTOE,0000,B_102010,AL,1999-01-01,354.9
KTOE,0000,B_102010,AL,2000-01-01,376.2
KTOE,0000,B_102010,AL,2001-01-01,374.5
KTOE,0000,B_102010,AL,2002-01-01,574.5
KTOE,0000,B_102010,AL,2003-01-01,381.4
KTOE,0000,B_102010,AL,2004-01-01,549.3
KTOE,0000,B_102010,AL,2005-01-01,517.3
KTOE,0000,B_102010,AL,2006-01-01,451.9
KTOE,0000,B_102010,AL,2007-01-01,423.1
KTOE,0000,B_102010,AL,2008-01-01,445.3
KTOE,0000,B_102010,AL,2009-01-01,487.2
KTOE,0000,B_102010,AL,2010-01-01,489.0
KTOE,0000,B_102010,AL,2011-01-01,498.3
KTOE,0000,B_102010,AL,2012-01-01,509.1
KTOE,0000,B_102010,AL,2013-01-01,580.0
KTOE,0000,B_102010,AL,2014-01-01,556.2
KTOE,0000,B_102010,AL,2015-01-01,532.3
KTOE,0000,B_102010,AL,2016-01-01,508.7
KTOE,0000,B_102010,AT,1990-01-01,5873.8
KTOE,0000,B_102010,AT,1991-01-01,6524.7
KTOE,0000,B_102010,AT,1992-01-01,6158.2
KTOE,0000,B_102010,AT,1993-01-01,6270.0
KTOE,0000,B_102010,AT,1994-01-01,5914.5
KTOE,0000,B_102010,AT,1995-01-01,6322.2
KTOE,0000,B_102010,AT,1996-01-01,6964.2
KTOE,0000,B_102010,AT,1997-01-01,6274.2
KTOE,0000,B_102010,AT,1998-01-01,6380.8
KTOE,0000,B_102010,AT,1999-01-01,6539.9
KTOE,0000,B_102010,AT,2000-01-01,6340.3
KTOE,0000,B_102010,AT,2001-01-01,6682.4
KTOE,0000,B_102010,AT,2002-01-01,6428.9
KTOE,0000,B_102010,AT,2003-01-01,6555.0
KTOE,0000,B_102010,AT,2004-01-01,6424.7
KTOE,0000,B_102010,AT,2005-01-01,5999.8
KTOE,0000,B_102010,AT,2006-01-01,5798.4
KTOE,0000,B_102010,AT,2007-01-01,5565.8
KTOE,0000,B_102010,AT,2008-01-01,5667.0
KTOE,0000,B_102010,AT,2009-01-01,5737.2
KTOE,0000,B_102010,AT,2010-01-01,6243.8
KTOE,0000,B_102010,AT,2011-01-01,5822.5
KTOE,0000,B_102010,AT,2012-01-01,6198.6
KTOE,0000,B_102010,AT,2013-01-01,6634.3
KTOE,0000,B_102010,AT,2014-01-01,5844.5
KTOE,0000,B_102010,AT,2015-01-01,6155.3
KTOE,0000,B_102010,AT,2016-01-01,6323.8
KTOE,0000,B_102010,BA,1990-01-01,0.0
KTOE,0000,B_102010,BA,1991-01-01,0.0
KTOE,0000,B_102010,BA,1992-01-01,0.0
KTOE,0000,B_102010,BA,1993-01-01,0.0
KTOE,0000,B_102010,BA,1994-01-01,0.0
KTOE,0000,B_102010,BA,1995-01-01,0.0
KTOE,0000,B_102010,BA,1996-01-01,0.0
KTOE,0000,B_102010,BA,1997-01-01,0.0
KTOE,0000,B_102010,BA,1998-01-01,0.0
KTOE,0000,B_102010,BA,1999-01-01,0.0
KTOE,0000,B_102010,BA,2000-01-01,0.0
KTOE,0000,B_102010,BA,2001-01-01,0.0
KTOE,0000,B_102010,BA,2002-01-01,0.0
KTOE,0000,B_102010,BA,2003-01-01,0.0
KTOE,0000,B_102010,BA,2004-01-01,0.0
KTOE,0000,B_102010,BA,2005-01-01,0.0
KTOE,0000,B_102010,BA,2006-01-01,0.0
KTOE,0000,B_102010,BA,2007-01-01,0.0
KTOE,0000,B_102010,BA,2008-01-01,0.0
KTOE,0000,B_102010,BA,2009-01-01,0.0
KTOE,0000,B_102010,BA,2010-01-01,0.0
KTOE,0000,B_102010,BA,2011-01-01,0.0
KTOE,0000,B_102010,BA,2012-01-01,0.0
KTOE,0000,B_102010,BA,2013-01-01,0.0
KTOE,0000,B_102010,BA,2014-01-01,981.0
KTOE,0000,B_102010,BA,2015-01-01,1113.2
KTOE,0000,B_102010,BA,2016-01-01,1139.4
KTOE,0000,B_102010,BE,1990-01-01,8268.9
KTOE,0000,B_102010,BE,1991-01-01,9131.4
KTOE,0000,B_102010,BE,1992-01-01,9127.7
KTOE,0000,B_102010,BE,1993-01-01,9071.4
KTOE,0000,B_102010,BE,1994-01-01,8917.8
KTOE,0000,B_102010,BE,1995-01-01,9300.7
KTOE,0000,B_102010,BE,1996-01-01,10599.8
KTOE,0000,B_102010,BE,1997-01-01,9863.0
KTOE,0000,B_102010,BE,1998-01-01,9890.7
KTOE,0000,B_102010,BE,1999-01-01,9489.0
KTOE,0000,B_102010,BE,2000-01-01,9474.5
KTOE,0000,B_102010,BE,2001-01-01,9873.6
KTOE,0000,B_102010,BE,2002-01-01,9315.6
KTOE,0000,B_102010,BE,2003-01-01,9849.6
KTOE,0000,B_102010,BE,2004-01-01,10022.5
