coicop,unit,geotime,date,value
CP04,I15,AT,2017-10-01,103.45 
CP04,I15,AT,2017-11-01,103.75 
CP04,I15,AT,2017-12-01,103.91 
CP04,I15,AT,2018-01-01,103.93 
CP04,I15,AT,2018-02-01,103.88 
CP04,I15,AT,2018-03-01,104.00 
CP04,I15,AT,2018-04-01,104.03 
CP04,I15,AT,2018-05-01,104.55 
CP04,I15,AT,2018-06-01,104.74 
CP04,I15,AT,2018-07-01,105.00 
CP04,I15,AT,2018-08-01,105.22 r
CP04,I15,AT,2018-09-01,105.49 
CP04,I15,BE,2017-10-01,106.51 
CP04,I15,BE,2017-11-01,107.47 
CP04,I15,BE,2017-12-01,107.64 
CP04,I15,BE,2018-01-01,107.71 
CP04,I15,BE,2018-02-01,107.65 
CP04,I15,BE,2018-03-01,107.50 
CP04,I15,BE,2018-04-01,107.65 
CP04,I15,BE,2018-05-01,108.68 
CP04,I15,BE,2018-06-01,109.44 
CP04,I15,BE,2018-07-01,110.20 
CP04,I15,BE,2018-08-01,110.68 
CP04,I15,BE,2018-09-01,111.31 
CP04,I15,BG,2017-10-01,103.14 
CP04,I15,BG,2017-11-01,103.52 
CP04,I15,BG,2017-12-01,103.76 
CP04,I15,BG,2018-01-01,104.06 
CP04,I15,BG,2018-02-01,104.27 
CP04,I15,BG,2018-03-01,104.38 
CP04,I15,BG,2018-04-01,104.46 
CP04,I15,BG,2018-05-01,104.52 
CP04,I15,BG,2018-06-01,104.66 
CP04,I15,BG,2018-07-01,105.92 
CP04,I15,BG,2018-08-01,106.31 
CP04,I15,BG,2018-09-01,106.62 
CP04,I15,CH,2017-10-01,101.56 
CP04,I15,CH,2017-11-01,101.55 
CP04,I15,CH,2017-12-01,101.70 
CP04,I15,CH,2018-01-01,102.44 
CP04,I15,CH,2018-02-01,102.10 
CP04,I15,CH,2018-03-01,102.17 
CP04,I15,CH,2018-04-01,102.43 
CP04,I15,CH,2018-05-01,102.67 
CP04,I15,CH,2018-06-01,102.71 
CP04,I15,CH,2018-07-01,102.79 
CP04,I15,CH,2018-08-01,102.87 
CP04,I15,CH,2018-09-01,103.05 
CP04,I15,CY,2017-10-01,97.18 
CP04,I15,CY,2017-11-01,98.04 
CP04,I15,CY,2017-12-01,97.74 
CP04,I15,CY,2018-01-01,99.04 
CP04,I15,CY,2018-02-01,99.48 
CP04,I15,CY,2018-03-01,99.76 
CP04,I15,CY,2018-04-01,100.56 
CP04,I15,CY,2018-05-01,101.66 
CP04,I15,CY,2018-06-01,104.10 
CP04,I15,CY,2018-07-01,104.76 
CP04,I15,CY,2018-08-01,106.05 
CP04,I15,CY,2018-09-01,109.45 
CP04,I15,CZ,2017-10-01,100.7 
CP04,I15,CZ,2017-11-01,100.8 
CP04,I15,CZ,2017-12-01,100.8 
CP04,I15,CZ,2018-01-01,101.9 
CP04,I15,CZ,2018-02-01,101.9 
CP04,I15,CZ,2018-03-01,101.9 
CP04,I15,CZ,2018-04-01,102.0 
CP04,I15,CZ,2018-05-01,102.1 
CP04,I15,CZ,2018-06-01,102.8 
CP04,I15,CZ,2018-07-01,102.9 
CP04,I15,CZ,2018-08-01,103.2 
CP04,I15,CZ,2018-09-01,103.3 
CP04,I15,DE,2017-10-01,101.1 
CP04,I15,DE,2017-11-01,101.3 
CP04,I15,DE,2017-12-01,101.5 
CP04,I15,DE,2018-01-01,101.8 
CP04,I15,DE,2018-02-01,101.7 
CP04,I15,DE,2018-03-01,101.8 
CP04,I15,DE,2018-04-01,102.1 
CP04,I15,DE,2018-05-01,102.5 
CP04,I15,DE,2018-06-01,102.5 
CP04,I15,DE,2018-07-01,102.6 
CP04,I15,DE,2018-08-01,102.9 
CP04,I15,DE,2018-09-01,103.4 
CP04,I15,DK,2017-10-01,101.5 
CP04,I15,DK,2017-11-01,101.4 
CP04,I15,DK,2017-12-01,101.0 
CP04,I15,DK,2018-01-01,101.4 
CP04,I15,DK,2018-02-01,101.8 
CP04,I15,DK,2018-03-01,102.0 
CP04,I15,DK,2018-04-01,102.2 
CP04,I15,DK,2018-05-01,102.3 
CP04,I15,DK,2018-06-01,102.5 
CP04,I15,DK,2018-07-01,101.8 
CP04,I15,DK,2018-08-01,102.0 
CP04,I15,DK,2018-09-01,102.3 
CP04,I15,EA,2017-10-01,101.29 
CP04,I15,EA,2017-11-01,101.64 
CP04,I15,EA,2017-12-01,101.77 
CP04,I15,EA,2018-01-01,102.47 
CP04,I15,EA,2018-02-01,102.52 
CP04,I15,EA,2018-03-01,102.34 
CP04,I15,EA,2018-04-01,102.20 
CP04,I15,EA,2018-05-01,102.63 
CP04,I15,EA,2018-06-01,102.72 
CP04,I15,EA,2018-07-01,103.43 
CP04,I15,EA,2018-08-01,103.62 
CP04,I15,EA,2018-09-01,104.05 
CP04,I15,EA18,2017-10-01,101.29 
CP04,I15,EA18,2017-11-01,101.64 
CP04,I15,EA18,2017-12-01,101.77 
CP04,I15,EA18,2018-01-01,102.46 
CP04,I15,EA18,2018-02-01,102.52 
CP04,I15,EA18,2018-03-01,102.34 
CP04,I15,EA18,2018-04-01,102.20 
CP04,I15,EA18,2018-05-01,102.64 
CP04,I15,EA18,2018-06-01,102.73 
CP04,I15,EA18,2018-07-01,103.44 
CP04,I15,EA18,2018-08-01,103.63 
CP04,I15,EA18,2018-09-01,104.06 
CP04,I15,EA19,2017-10-01,101.29 
CP04,I15,EA19,2017-11-01,101.64 
CP04,I15,EA19,2017-12-01,101.77 
CP04,I15,EA19,2018-01-01,102.47 
CP04,I15,EA19,2018-02-01,102.52 
CP04,I15,EA19,2018-03-01,102.34 
CP04,I15,EA19,2018-04-01,102.20 
CP04,I15,EA19,2018-05-01,102.63 
CP04,I15,EA19,2018-06-01,102.72 
CP04,I15,EA19,2018-07-01,103.43 
