s_adj,age,sex,unit,geotime,date,value
SA,Y_LT25,F,THS_PER,EA,2018-01-01,1120.0
SA,Y_LT25,F,THS_PER,EA,2018-02-01,1105.0
SA,Y_LT25,F,THS_PER,EA,2018-03-01,1085.0
SA,Y_LT25,F,THS_PER,EA,2018-04-01,1072.0
SA,Y_LT25,F,THS_PER,EA,2018-05-01,1053.0
SA,Y_LT25,F,THS_PER,EA,2018-06-01,1039.0
SA,Y_LT25,F,THS_PER,EA,2018-07-01,1033.0
SA,Y_LT25,F,THS_PER,EA,2018-08-01,1032.0
SA,Y_LT25,F,THS_PER,EA,2018-09-01,
SA,Y_LT25,F,THS_PER,EA18,2017-10-01,1149.0
SA,Y_LT25,F,THS_PER,EA18,2017-11-01,1130.0
SA,Y_LT25,F,THS_PER,EA18,2017-12-01,1123.0
SA,Y_LT25,F,THS_PER,EA18,2018-01-01,1114.0
SA,Y_LT25,F,THS_PER,EA18,2018-02-01,1099.0
SA,Y_LT25,F,THS_PER,EA18,2018-03-01,1080.0
SA,Y_LT25,F,THS_PER,EA18,2018-04-01,1067.0
SA,Y_LT25,F,THS_PER,EA18,2018-05-01,1048.0
SA,Y_LT25,F,THS_PER,EA18,2018-06-01,1034.0
SA,Y_LT25,F,THS_PER,EA18,2018-07-01,1028.0
SA,Y_LT25,F,THS_PER,EA18,2018-08-01,1027.0
SA,Y_LT25,F,THS_PER,EA18,2018-09-01,
SA,Y_LT25,F,THS_PER,EA19,2017-10-01,1155.0
SA,Y_LT25,F,THS_PER,EA19,2017-11-01,1136.0
SA,Y_LT25,F,THS_PER,EA19,2017-12-01,1129.0
SA,Y_LT25,F,THS_PER,EA19,2018-01-01,1120.0
SA,Y_LT25,F,THS_PER,EA19,2018-02-01,1105.0
SA,Y_LT25,F,THS_PER,EA19,2018-03-01,1085.0
SA,Y_LT25,F,THS_PER,EA19,2018-04-01,1072.0
SA,Y_LT25,F,THS_PER,EA19,2018-05-01,1053.0
SA,Y_LT25,F,THS_PER,EA19,2018-06-01,1039.0
SA,Y_LT25,F,THS_PER,EA19,2018-07-01,1033.0
SA,Y_LT25,F,THS_PER,EA19,2018-08-01,1032.0
SA,Y_LT25,F,THS_PER,EA19,2018-09-01,
SA,Y_LT25,F,THS_PER,EE,2017-10-01,2.0
SA,Y_LT25,F,THS_PER,EE,2017-11-01,2.0
SA,Y_LT25,F,THS_PER,EE,2017-12-01,2.0
SA,Y_LT25,F,THS_PER,EE,2018-01-01,3.0
SA,Y_LT25,F,THS_PER,EE,2018-02-01,4.0
SA,Y_LT25,F,THS_PER,EE,2018-03-01,3.0
SA,Y_LT25,F,THS_PER,EE,2018-04-01,2.0
SA,Y_LT25,F,THS_PER,EE,2018-05-01,2.0
SA,Y_LT25,F,THS_PER,EE,2018-06-01,2.0
SA,Y_LT25,F,THS_PER,EE,2018-07-01,3.0
SA,Y_LT25,F,THS_PER,EE,2018-08-01,
SA,Y_LT25,F,THS_PER,EE,2018-09-01,
SA,Y_LT25,F,THS_PER,EL,2017-10-01,59.0
SA,Y_LT25,F,THS_PER,EL,2017-11-01,58.0
SA,Y_LT25,F,THS_PER,EL,2017-12-01,58.0
SA,Y_LT25,F,THS_PER,EL,2018-01-01,56.0
SA,Y_LT25,F,THS_PER,EL,2018-02-01,57.0
SA,Y_LT25,F,THS_PER,EL,2018-03-01,54.0
SA,Y_LT25,F,THS_PER,EL,2018-04-01,52.0
SA,Y_LT25,F,THS_PER,EL,2018-05-01,49.0
SA,Y_LT25,F,THS_PER,EL,2018-06-01,48.0
SA,Y_LT25,F,THS_PER,EL,2018-07-01,47.0
SA,Y_LT25,F,THS_PER,EL,2018-08-01,
SA,Y_LT25,F,THS_PER,EL,2018-09-01,
SA,Y_LT25,F,THS_PER,ES,2017-10-01,256.0
SA,Y_LT25,F,THS_PER,ES,2017-11-01,253.0
SA,Y_LT25,F,THS_PER,ES,2017-12-01,248.0
SA,Y_LT25,F,THS_PER,ES,2018-01-01,238.0
SA,Y_LT25,F,THS_PER,ES,2018-02-01,232.0
SA,Y_LT25,F,THS_PER,ES,2018-03-01,228.0
SA,Y_LT25,F,THS_PER,ES,2018-04-01,231.0
SA,Y_LT25,F,THS_PER,ES,2018-05-01,231.0
SA,Y_LT25,F,THS_PER,ES,2018-06-01,230.0
SA,Y_LT25,F,THS_PER,ES,2018-07-01,229.0
SA,Y_LT25,F,THS_PER,ES,2018-08-01,228.0
SA,Y_LT25,F,THS_PER,ES,2018-09-01,
SA,Y_LT25,F,THS_PER,EU27,2017-10-01,1612.0
SA,Y_LT25,F,THS_PER,EU27,2017-11-01,1601.0
SA,Y_LT25,F,THS_PER,EU27,2017-12-01,1592.0
SA,Y_LT25,F,THS_PER,EU27,2018-01-01,1558.0
SA,Y_LT25,F,THS_PER,EU27,2018-02-01,1530.0
SA,Y_LT25,F,THS_PER,EU27,2018-03-01,1501.0
SA,Y_LT25,F,THS_PER,EU27,2018-04-01,1482.0
SA,Y_LT25,F,THS_PER,EU27,2018-05-01,1445.0
SA,Y_LT25,F,THS_PER,EU27,2018-06-01,1445.0
SA,Y_LT25,F,THS_PER,EU27,2018-07-01,1430.0
SA,Y_LT25,F,THS_PER,EU27,2018-08-01,1422.0
SA,Y_LT25,F,THS_PER,EU27,2018-09-01,
SA,Y_LT25,F,THS_PER,EU28,2017-10-01,1631.0
SA,Y_LT25,F,THS_PER,EU28,2017-11-01,1620.0
SA,Y_LT25,F,THS_PER,EU28,2017-12-01,1610.0
SA,Y_LT25,F,THS_PER,EU28,2018-01-01,1576.0
SA,Y_LT25,F,THS_PER,EU28,2018-02-01,1548.0
SA,Y_LT25,F,THS_PER,EU28,2018-03-01,1518.0
SA,Y_LT25,F,THS_PER,EU28,2018-04-01,1499.0
SA,Y_LT25,F,THS_PER,EU28,2018-05-01,1461.0
SA,Y_LT25,F,THS_PER,EU28,2018-06-01,1462.0
SA,Y_LT25,F,THS_PER,EU28,2018-07-01,1446.0
SA,Y_LT25,F,THS_PER,EU28,2018-08-01,1437.0
SA,Y_LT25,F,THS_PER,EU28,2018-09-01,
SA,Y_LT25,F,THS_PER,FI,2017-10-01,30.0
SA,Y_LT25,F,THS_PER,FI,2017-11-01,30.0
SA,Y_LT25,F,THS_PER,FI,2017-12-01,30.0
SA,Y_LT25,F,THS_PER,FI,2018-01-01,30.0
SA,Y_LT25,F,THS_PER,FI,2018-02-01,30.0
SA,Y_LT25,F,THS_PER,FI,2018-03-01,30.0
SA,Y_LT25,F,THS_PER,FI,2018-04-01,30.0
SA,Y_LT25,F,THS_PER,FI,2018-05-01,29.0
SA,Y_LT25,F,THS_PER,FI,2018-06-01,29.0
SA,Y_LT25,F,THS_PER,FI,2018-07-01,29.0
SA,Y_LT25,F,THS_PER,FI,2018-08-01,29.0
SA,Y_LT25,F,THS_PER,FI,2018-09-01,29.0
SA,Y_LT25,F,THS_PER,FR,2017-10-01,255.0
SA,Y_LT25,F,THS_PER,FR,2017-11-01,258.0
SA,Y_LT25,F,THS_PER,FR,2017-12-01,267.0
SA,Y_LT25,F,THS_PER,FR,2018-01-01,277.0
SA,Y_LT25,F,THS_PER,FR,2018-02-01,275.0
SA,Y_LT25,F,THS_PER,FR,2018-03-01,266.0
SA,Y_LT25,F,THS_PER,FR,2018-04-01,252.0
SA,Y_LT25,F,THS_PER,FR,2018-05-01,243.0
SA,Y_LT25,F,THS_PER,FR,2018-06-01,236.0
SA,Y_LT25,F,THS_PER,FR,2018-07-01,236.0
SA,Y_LT25,F,THS_PER,FR,2018-08-01,236.0
SA,Y_LT25,F,THS_PER,FR,2018-09-01,
SA,Y_LT25,F,THS_PER,HR,2017-10-01,19.0
SA,Y_LT25,F,THS_PER,HR,2017-11-01,19.0
SA,Y_LT25,F,THS_PER,HR,2017-12-01,19.0
SA,Y_LT25,F,THS_PER,HR,2018-01-01,18.0
SA,Y_LT25,F,THS_PER,HR,2018-02-01,18.0
SA,Y_LT25,F,THS_PER,HR,2018-03-01,18.0
SA,Y_LT25,F,THS_PER,HR,2018-04-01,16.0
SA,Y_LT25,F,THS_PER,HR,2018-05-01,16.0
SA,Y_LT25,F,THS_PER,HR,2018-06-01,16.0
SA,Y_LT25,F,THS_PER,HR,2018-07-01,
SA,Y_LT25,F,THS_PER,HR,2018-08-01,
SA,Y_LT25,F,THS_PER,HR,2018-09-01,
SA,Y_LT25,F,THS_PER,HU,2017-10-01,17.0
SA,Y_LT25,F,THS_PER,HU,2017-11-01,18.0
SA,Y_LT25,F,THS_PER,HU,2017-12-01,17.0
SA,Y_LT25,F,THS_PER,HU,2018-01-01,18.0
SA,Y_LT25,F,THS_PER,HU,2018-02-01,16.0
SA,Y_LT25,F,THS_PER,HU,2018-03-01,17.0
SA,Y_LT25,F,THS_PER,HU,2018-04-01,16.0
SA,Y_LT25,F,THS_PER,HU,2018-05-01,16.0
SA,Y_LT25,F,THS_PER,HU,2018-06-01,15.0
SA,Y_LT25,F,THS_PER,HU,2018-07-01,13.0
SA,Y_LT25,F,THS_PER,HU,2018-08-01,
SA,Y_LT25,F,THS_PER,HU,2018-09-01,
SA,Y_LT25,F,THS_PER,IE,2017-10-01,16.0
SA,Y_LT25,F,THS_PER,IE,2017-11-01,15.0
SA,Y_LT25,F,THS_PER,IE,2017-12-01,15.0
SA,Y_LT25,F,THS_PER,IE,2018-01-01,16.0
SA,Y_LT25,F,THS_PER,IE,2018-02-01,16.0
SA,Y_LT25,F,THS_PER,IE,2018-03-01,17.0
SA,Y_LT25,F,THS_PER,IE,2018-04-01,17.0
SA,Y_LT25,F,THS_PER,IE,2018-05-01,17.0
SA,Y_LT25,F,THS_PER,IE,2018-06-01,17.0
SA,Y_LT25,F,THS_PER,IE,2018-07-01,18.0
SA,Y_LT25,F,THS_PER,IE,2018-08-01,17.0
SA,Y_LT25,F,THS_PER,IE,2018-09-01,15.0
SA,Y_LT25,F,THS_PER,IS,2017-10-01,1.0
SA,Y_LT25,F,THS_PER,IS,2017-11-01,1.0
SA,Y_LT25,F,THS_PER,IS,2017-12-01,1.0
SA,Y_LT25,F,THS_PER,IS,2018-01-01,1.0
SA,Y_LT25,F,THS_PER,IS,2018-02-01,1.0
SA,Y_LT25,F,THS_PER,IS,2018-03-01,1.0
SA,Y_LT25,F,THS_PER,IS,2018-04-01,1.0
SA,Y_LT25,F,THS_PER,IS,2018-05-01,1.0
SA,Y_LT25,F,THS_PER,IS,2018-06-01,1.0
SA,Y_LT25,F,THS_PER,IS,2018-07-01,1.0
SA,Y_LT25,F,THS_PER,IS,2018-08-01,1.0
SA,Y_LT25,F,THS_PER,IS,2018-09-01,
SA,Y_LT25,F,THS_PER,IT,2017-10-01,229.0
SA,Y_LT25,F,THS_PER,IT,2017-11-01,229.0
SA,Y_LT25,F,THS_PER,IT,2017-12-01,229.0
SA,Y_LT25,F,THS_PER,IT,2018-01-01,222.0
SA,Y_LT25,F,THS_PER,IT,2018-02-01,222.0
SA,Y_LT25,F,THS_PER,IT,2018-03-01,222.0
SA,Y_LT25,F,THS_PER,IT,2018-04-01,212.0
SA,Y_LT25,F,THS_PER,IT,2018-05-01,212.0
SA,Y_LT25,F,THS_PER,IT,2018-06-01,212.0
SA,Y_LT25,F,THS_PER,IT,2018-07-01,
SA,Y_LT25,F,THS_PER,IT,2018-08-01,
SA,Y_LT25,F,THS_PER,IT,2018-09-01,
SA,Y_LT25,F,THS_PER,LT,2017-10-01,6.0
SA,Y_LT25,F,THS_PER,LT,2017-11-01,6.0
SA,Y_LT25,F,THS_PER,LT,2017-12-01,6.0
SA,Y_LT25,F,THS_PER,LT,2018-01-01,5.0
SA,Y_LT25,F,THS_PER,LT,2018-02-01,5.0
SA,Y_LT25,F,THS_PER,LT,2018-03-01,5.0
SA,Y_LT25,F,THS_PER,LT,2018-04-01,5.0
SA,Y_LT25,F,THS_PER,LT,2018-05-01,5.0
SA,Y_LT25,F,THS_PER,LT,2018-06-01,5.0
SA,Y_LT25,F,THS_PER,LT,2018-07-01,5.0
SA,Y_LT25,F,THS_PER,LT,2018-08-01,5.0
SA,Y_LT25,F,THS_PER,LT,2018-09-01,
SA,Y_LT25,F,THS_PER,LU,2017-10-01,1.0
SA,Y_LT25,F,THS_PER,LU,2017-11-01,1.0
SA,Y_LT25,F,THS_PER,LU,2017-12-01,1.0
SA,Y_LT25,F,THS_PER,LU,2018-01-01,1.0
SA,Y_LT25,F,THS_PER,LU,2018-02-01,1.0
SA,Y_LT25,F,THS_PER,LU,2018-03-01,1.0
SA,Y_LT25,F,THS_PER,LU,2018-04-01,1.0
SA,Y_LT25,F,THS_PER,LU,2018-05-01,1.0
SA,Y_LT25,F,THS_PER,LU,2018-06-01,1.0
SA,Y_LT25,F,THS_PER,LU,2018-07-01,1.0
SA,Y_LT25,F,THS_PER,LU,2018-08-01,1.0
SA,Y_LT25,F,THS_PER,LU,2018-09-01,
SA,Y_LT25,F,THS_PER,LV,2017-10-01,4.0
SA,Y_LT25,F,THS_PER,LV,2017-11-01,4.0
SA,Y_LT25,F,THS_PER,LV,2017-12-01,4.0
SA,Y_LT25,F,THS_PER,LV,2018-01-01,4.0
SA,Y_LT25,F,THS_PER,LV,2018-02-01,4.0
SA,Y_LT25,F,THS_PER,LV,2018-03-01,4.0
SA,Y_LT25,F,THS_PER,LV,2018-04-01,3.0
SA,Y_LT25,F,THS_PER,LV,2018-05-01,3.0
SA,Y_LT25,F,THS_PER,LV,2018-06-01,3.0
SA,Y_LT25,F,THS_PER,LV,2018-07-01,3.0
SA,Y_LT25,F,THS_PER,LV,2018-08-01,3.0
SA,Y_LT25,F,THS_PER,LV,2018-09-01,
SA,Y_LT25,F,THS_PER,MT,2017-10-01,1.0
SA,Y_LT25,F,THS_PER,MT,2017-11-01,1.0
SA,Y_LT25,F,THS_PER,MT,2017-12-01,1.0
SA,Y_LT25,F,THS_PER,MT,2018-01-01,1.0
SA,Y_LT25,F,THS_PER,MT,2018-02-01,1.0
SA,Y_LT25,F,THS_PER,MT,2018-03-01,1.0
SA,Y_LT25,F,THS_PER,MT,2018-04-01,1.0
SA,Y_LT25,F,THS_PER,MT,2018-05-01,1.0
SA,Y_LT25,F,THS_PER,MT,2018-06-01,1.0
SA,Y_LT25,F,THS_PER,MT,2018-07-01,1.0
SA,Y_LT25,F,THS_PER,MT,2018-08-01,1.0
SA,Y_LT25,F,THS_PER,MT,2018-09-01,
