coicop,unit,geotime,date,value
SERV,I15,AT,2017-10-01,105
SERV,I15,AT,2017-11-01,105
SERV,I15,AT,2017-12-01,106
SERV,I15,AT,2018-01-01,106
SERV,I15,AT,2018-02-01,106
SERV,I15,AT,2018-03-01,106
SERV,I15,AT,2018-04-01,106
SERV,I15,AT,2018-05-01,106
SERV,I15,AT,2018-06-01,107
SERV,I15,AT,2018-07-01,108
SERV,I15,AT,2018-08-01,108
SERV,I15,AT,2018-09-01,107
SERV,I15,BE,2017-10-01,104
SERV,I15,BE,2017-11-01,103
SERV,I15,BE,2017-12-01,104
SERV,I15,BE,2018-01-01,104
SERV,I15,BE,2018-02-01,105
SERV,I15,BE,2018-03-01,104
SERV,I15,BE,2018-04-01,105
SERV,I15,BE,2018-05-01,105
SERV,I15,BE,2018-06-01,105
SERV,I15,BE,2018-07-01,107
SERV,I15,BE,2018-08-01,107
SERV,I15,BE,2018-09-01,105
SERV,I15,BG,2017-10-01,98
SERV,I15,BG,2017-11-01,98
SERV,I15,BG,2017-12-01,100
SERV,I15,BG,2018-01-01,101
SERV,I15,BG,2018-02-01,101
SERV,I15,BG,2018-03-01,101
SERV,I15,BG,2018-04-01,101
SERV,I15,BG,2018-05-01,101
SERV,I15,BG,2018-06-01,102
SERV,I15,BG,2018-07-01,105
SERV,I15,BG,2018-08-01,107
SERV,I15,BG,2018-09-01,104
SERV,I15,CH,2017-10-01,100
SERV,I15,CH,2017-11-01,99
SERV,I15,CH,2017-12-01,100
SERV,I15,CH,2018-01-01,99
SERV,I15,CH,2018-02-01,100
SERV,I15,CH,2018-03-01,100
SERV,I15,CH,2018-04-01,100
SERV,I15,CH,2018-05-01,100
SERV,I15,CH,2018-06-01,100
SERV,I15,CH,2018-07-01,101
SERV,I15,CH,2018-08-01,101
SERV,I15,CH,2018-09-01,100
SERV,I15,CY,2017-10-01,101
SERV,I15,CY,2017-11-01,98
SERV,I15,CY,2017-12-01,98
SERV,I15,CY,2018-01-01,96
SERV,I15,CY,2018-02-01,98
SERV,I15,CY,2018-03-01,98
SERV,I15,CY,2018-04-01,99
SERV,I15,CY,2018-05-01,101
SERV,I15,CY,2018-06-01,102
SERV,I15,CY,2018-07-01,104
SERV,I15,CY,2018-08-01,106
SERV,I15,CY,2018-09-01,103
SERV,I15,CZ,2017-10-01,104
SERV,I15,CZ,2017-11-01,104
SERV,I15,CZ,2017-12-01,104
SERV,I15,CZ,2018-01-01,105
SERV,I15,CZ,2018-02-01,106
SERV,I15,CZ,2018-03-01,106
SERV,I15,CZ,2018-04-01,106
SERV,I15,CZ,2018-05-01,106
SERV,I15,CZ,2018-06-01,107
SERV,I15,CZ,2018-07-01,109
SERV,I15,CZ,2018-08-01,109
SERV,I15,CZ,2018-09-01,107
SERV,I15,DE,2017-10-01,102
SERV,I15,DE,2017-11-01,102
SERV,I15,DE,2017-12-01,104
SERV,I15,DE,2018-01-01,102
SERV,I15,DE,2018-02-01,103
SERV,I15,DE,2018-03-01,103
SERV,I15,DE,2018-04-01,102
SERV,I15,DE,2018-05-01,103
SERV,I15,DE,2018-06-01,103
SERV,I15,DE,2018-07-01,105
SERV,I15,DE,2018-08-01,105
SERV,I15,DE,2018-09-01,104
SERV,I15,DK,2017-10-01,104
SERV,I15,DK,2017-11-01,103
SERV,I15,DK,2017-12-01,103
SERV,I15,DK,2018-01-01,103
SERV,I15,DK,2018-02-01,104
SERV,I15,DK,2018-03-01,104
SERV,I15,DK,2018-04-01,104
SERV,I15,DK,2018-05-01,104
SERV,I15,DK,2018-06-01,105
SERV,I15,DK,2018-07-01,107
SERV,I15,DK,2018-08-01,106
SERV,I15,DK,2018-09-01,105
SERV,I15,EA,2017-10-01,102
SERV,I15,EA,2017-11-01,102
SERV,I15,EA,2017-12-01,102
SERV,I15,EA,2018-01-01,102
SERV,I15,EA,2018-02-01,102
SERV,I15,EA,2018-03-01,103
SERV,I15,EA,2018-04-01,103
SERV,I15,EA,2018-05-01,103
SERV,I15,EA,2018-06-01,103
