unit,bop_item,stk_flow,partner,geotime,date,value
PC_WRL,G,CRE,WRL_REST,CY,2010-01-01,0.02
PC_WRL,G,CRE,WRL_REST,CY,2011-01-01,0.02
PC_WRL,G,CRE,WRL_REST,CY,2012-01-01,0.02
PC_WRL,G,CRE,WRL_REST,CY,2013-01-01,0.02
PC_WRL,G,CRE,WRL_REST,CY,2014-01-01,0.02
PC_WRL,G,CRE,WRL_REST,CY,2015-01-01,0.02
PC_WRL,G,CRE,WRL_REST,CY,2016-01-01,0.02
PC_WRL,G,CRE,WRL_REST,CY,2017-01-01,0.02
PC_WRL,G,CRE,WRL_REST,CZ,1995-01-01,0.31
PC_WRL,G,CRE,WRL_REST,CZ,1996-01-01,0.31
PC_WRL,G,CRE,WRL_REST,CZ,1997-01-01,0.3
PC_WRL,G,CRE,WRL_REST,CZ,1998-01-01,0.35
PC_WRL,G,CRE,WRL_REST,CZ,1999-01-01,0.32
PC_WRL,G,CRE,WRL_REST,CZ,2000-01-01,0.31
PC_WRL,G,CRE,WRL_REST,CZ,2001-01-01,0.37
PC_WRL,G,CRE,WRL_REST,CZ,2002-01-01,0.42
PC_WRL,G,CRE,WRL_REST,CZ,2003-01-01,0.47
PC_WRL,G,CRE,WRL_REST,CZ,2004-01-01,0.62
PC_WRL,G,CRE,WRL_REST,CZ,2005-01-01,0.69
PC_WRL,G,CRE,WRL_REST,CZ,2006-01-01,0.71
PC_WRL,G,CRE,WRL_REST,CZ,2007-01-01,0.78
PC_WRL,G,CRE,WRL_REST,CZ,2008-01-01,0.8
PC_WRL,G,CRE,WRL_REST,CZ,2009-01-01,0.82
PC_WRL,G,CRE,WRL_REST,CZ,2010-01-01,0.77
PC_WRL,G,CRE,WRL_REST,CZ,2011-01-01,0.77
PC_WRL,G,CRE,WRL_REST,CZ,2012-01-01,0.74
PC_WRL,G,CRE,WRL_REST,CZ,2013-01-01,0.74
PC_WRL,G,CRE,WRL_REST,CZ,2014-01-01,0.79
PC_WRL,G,CRE,WRL_REST,CZ,2015-01-01,0.79
PC_WRL,G,CRE,WRL_REST,CZ,2016-01-01,0.83
PC_WRL,G,CRE,WRL_REST,CZ,2017-01-01,0.83
PC_WRL,G,CRE,WRL_REST,DE,1995-01-01,9.29
PC_WRL,G,CRE,WRL_REST,DE,1996-01-01,9.04
PC_WRL,G,CRE,WRL_REST,DE,1997-01-01,8.75
PC_WRL,G,CRE,WRL_REST,DE,1998-01-01,9.43
PC_WRL,G,CRE,WRL_REST,DE,1999-01-01,9.04
PC_WRL,G,CRE,WRL_REST,DE,2000-01-01,8.15
PC_WRL,G,CRE,WRL_REST,DE,2001-01-01,8.78
