stk_flow,sitc06,partner,unit,geo\time,date,value
EXP,SITC3,WRL_REST,PCH_M12_NSA,EA19,2017-09-01,23.4
EXP,SITC3,WRL_REST,PCH_M12_NSA,EA19,2017-10-01,16.4
EXP,SITC3,WRL_REST,PCH_M12_NSA,EA19,2017-11-01,22.3
EXP,SITC3,WRL_REST,PCH_M12_NSA,EA19,2017-12-01,15.4
EXP,SITC3,WRL_REST,PCH_M12_NSA,EA19,2018-01-01,8.4
EXP,SITC3,WRL_REST,PCH_M12_NSA,EA19,2018-02-01,7.9
EXP,SITC3,WRL_REST,PCH_M12_NSA,EA19,2018-03-01,4.4
EXP,SITC3,WRL_REST,PCH_M12_NSA,EA19,2018-04-01,3.0
EXP,SITC3,WRL_REST,PCH_M12_NSA,EA19,2018-05-01,22.1
EXP,SITC3,WRL_REST,PCH_M12_NSA,EA19,2018-06-01,23.3
EXP,SITC3,WRL_REST,PCH_M12_NSA,EA19,2018-07-01,37.2
EXP,SITC3,WRL_REST,PCH_M12_NSA,EA19,2018-08-01,31.4
EXP,SITC3,WRL_REST,PCH_M12_NSA,EU28,2017-09-01,28.1
EXP,SITC3,WRL_REST,PCH_M12_NSA,EU28,2017-10-01,16.3
EXP,SITC3,WRL_REST,PCH_M12_NSA,EU28,2017-11-01,26.9
EXP,SITC3,WRL_REST,PCH_M12_NSA,EU28,2017-12-01,8.3
EXP,SITC3,WRL_REST,PCH_M12_NSA,EU28,2018-01-01,0.6
EXP,SITC3,WRL_REST,PCH_M12_NSA,EU28,2018-02-01,7.0
EXP,SITC3,WRL_REST,PCH_M12_NSA,EU28,2018-03-01,1.6
EXP,SITC3,WRL_REST,PCH_M12_NSA,EU28,2018-04-01,0.6
EXP,SITC3,WRL_REST,PCH_M12_NSA,EU28,2018-05-01,15.7
EXP,SITC3,WRL_REST,PCH_M12_NSA,EU28,2018-06-01,23.4
EXP,SITC3,WRL_REST,PCH_M12_NSA,EU28,2018-07-01,37.8
EXP,SITC3,WRL_REST,PCH_M12_NSA,EU28,2018-08-01,43.4
EXP,SITC3,WRL_REST,PCH_M1_SA,EA19,2017-09-01,10.4
EXP,SITC3,WRL_REST,PCH_M1_SA,EA19,2017-10-01,-4.3
EXP,SITC3,WRL_REST,PCH_M1_SA,EA19,2017-11-01,8.3
EXP,SITC3,WRL_REST,PCH_M1_SA,EA19,2017-12-01,9.1
EXP,SITC3,WRL_REST,PCH_M1_SA,EA19,2018-01-01,-1.3
EXP,SITC3,WRL_REST,PCH_M1_SA,EA19,2018-02-01,0.2
EXP,SITC3,WRL_REST,PCH_M1_SA,EA19,2018-03-01,-9.3
EXP,SITC3,WRL_REST,PCH_M1_SA,EA19,2018-04-01,-7.3
EXP,SITC3,WRL_REST,PCH_M1_SA,EA19,2018-05-01,17.2
EXP,SITC3,WRL_REST,PCH_M1_SA,EA19,2018-06-01,-1.3
EXP,SITC3,WRL_REST,PCH_M1_SA,EA19,2018-07-01,4.4
EXP,SITC3,WRL_REST,PCH_M1_SA,EA19,2018-08-01,4.9
EXP,SITC3,WRL_REST,PCH_M1_SA,EU28,2017-09-01,16.2
EXP,SITC3,WRL_REST,PCH_M1_SA,EU28,2017-10-01,-4.7
EXP,SITC3,WRL_REST,PCH_M1_SA,EU28,2017-11-01,11.8
EXP,SITC3,WRL_REST,PCH_M1_SA,EU28,2017-12-01,-1.8
EXP,SITC3,WRL_REST,PCH_M1_SA,EU28,2018-01-01,1.0
EXP,SITC3,WRL_REST,PCH_M1_SA,EU28,2018-02-01,0.0
EXP,SITC3,WRL_REST,PCH_M1_SA,EU28,2018-03-01,-8.6
EXP,SITC3,WRL_REST,PCH_M1_SA,EU28,2018-04-01,-3.9
EXP,SITC3,WRL_REST,PCH_M1_SA,EU28,2018-05-01,15.1
EXP,SITC3,WRL_REST,PCH_M1_SA,EU28,2018-06-01,-5.2
EXP,SITC3,WRL_REST,PCH_M1_SA,EU28,2018-07-01,9.4
EXP,SITC3,WRL_REST,PCH_M1_SA,EU28,2018-08-01,11.5
EXP,SITC3,WRL_REST,TVAL_SA,EA19,2017-09-01,8646.8
EXP,SITC3,WRL_REST,TVAL_SA,EA19,2017-10-01,8275.9
EXP,SITC3,WRL_REST,TVAL_SA,EA19,2017-11-01,8965.7
EXP,SITC3,WRL_REST,TVAL_SA,EA19,2017-12-01,9782.2
EXP,SITC3,WRL_REST,TVAL_SA,EA19,2018-01-01,9654.4
EXP,SITC3,WRL_REST,TVAL_SA,EA19,2018-02-01,9671.2
EXP,SITC3,WRL_REST,TVAL_SA,EA19,2018-03-01,8773.1
EXP,SITC3,WRL_REST,TVAL_SA,EA19,2018-04-01,8133.7
EXP,SITC3,WRL_REST,TVAL_SA,EA19,2018-05-01,9530.9
EXP,SITC3,WRL_REST,TVAL_SA,EA19,2018-06-01,9404.0
EXP,SITC3,WRL_REST,TVAL_SA,EA19,2018-07-01,9814.5
EXP,SITC3,WRL_REST,TVAL_SA,EA19,2018-08-01,10293.4
EXP,SITC3,WRL_REST,TVAL_SA,EU28,2017-09-01,8707.2
EXP,SITC3,WRL_REST,TVAL_SA,EU28,2017-10-01,8293.7
EXP,SITC3,WRL_REST,TVAL_SA,EU28,2017-11-01,9268.7
EXP,SITC3,WRL_REST,TVAL_SA,EU28,2017-12-01,9103.4
EXP,SITC3,WRL_REST,TVAL_SA,EU28,2018-01-01,9197.1
EXP,SITC3,WRL_REST,TVAL_SA,EU28,2018-02-01,9195.6
EXP,SITC3,WRL_REST,TVAL_SA,EU28,2018-03-01,8404.0
EXP,SITC3,WRL_REST,TVAL_SA,EU28,2018-04-01,8077.9
EXP,SITC3,WRL_REST,TVAL_SA,EU28,2018-05-01,9295.0
EXP,SITC3,WRL_REST,TVAL_SA,EU28,2018-06-01,8808.0
EXP,SITC3,WRL_REST,TVAL_SA,EU28,2018-07-01,9639.7
EXP,SITC3,WRL_REST,TVAL_SA,EU28,2018-08-01,10749.7
