wstatus,indic_il,age,sex,geotime,date,value
RET,LI_R_MD60,Y_GE18,F,AT,2006-01-01,15.8
RET,LI_R_MD60,Y_GE18,F,AT,2007-01-01,13.9
RET,LI_R_MD60,Y_GE18,F,AT,2008-01-01,18.2
RET,LI_R_MD60,Y_GE18,F,AT,2009-01-01,18.4
RET,LI_R_MD60,Y_GE18,F,AT,2010-01-01,18.0
RET,LI_R_MD60,Y_GE18,F,AT,2011-01-01,18.4
RET,LI_R_MD60,Y_GE18,F,AT,2012-01-01,16.7
RET,LI_R_MD60,Y_GE18,F,AT,2013-01-01,16.8
RET,LI_R_MD60,Y_GE18,F,AT,2014-01-01,15.7
RET,LI_R_MD60,Y_GE18,F,AT,2015-01-01,14.2
RET,LI_R_MD60,Y_GE18,F,AT,2016-01-01,14.0
RET,LI_R_MD60,Y_GE18,F,AT,2017-01-01,14.0
RET,LI_R_MD60,Y_GE18,F,BE,2006-01-01,20.7
RET,LI_R_MD60,Y_GE18,F,BE,2007-01-01,20.7
RET,LI_R_MD60,Y_GE18,F,BE,2008-01-01,18.7
RET,LI_R_MD60,Y_GE18,F,BE,2009-01-01,17.5
RET,LI_R_MD60,Y_GE18,F,BE,2010-01-01,15.7
RET,LI_R_MD60,Y_GE18,F,BE,2011-01-01,15.8
RET,LI_R_MD60,Y_GE18,F,BE,2012-01-01,15.6
RET,LI_R_MD60,Y_GE18,F,BE,2013-01-01,14.9
RET,LI_R_MD60,Y_GE18,F,BE,2014-01-01,12.4
RET,LI_R_MD60,Y_GE18,F,BE,2015-01-01,11.6
RET,LI_R_MD60,Y_GE18,F,BE,2016-01-01,12.5
RET,LI_R_MD60,Y_GE18,F,BE,2017-01-01,14.1
RET,LI_R_MD60,Y_GE18,F,BG,2006-01-01,20.5
RET,LI_R_MD60,Y_GE18,F,BG,2007-01-01,27.5
RET,LI_R_MD60,Y_GE18,F,BG,2008-01-01,34.4
RET,LI_R_MD60,Y_GE18,F,BG,2009-01-01,40.7
RET,LI_R_MD60,Y_GE18,F,BG,2010-01-01,34.2
RET,LI_R_MD60,Y_GE18,F,BG,2011-01-01,33.7
RET,LI_R_MD60,Y_GE18,F,BG,2012-01-01,31.5
RET,LI_R_MD60,Y_GE18,F,BG,2013-01-01,30.6
RET,LI_R_MD60,Y_GE18,F,BG,2014-01-01,24.2
RET,LI_R_MD60,Y_GE18,F,BG,2015-01-01,36.4
RET,LI_R_MD60,Y_GE18,F,BG,2016-01-01,30.0
RET,LI_R_MD60,Y_GE18,F,BG,2017-01-01,38.4
RET,LI_R_MD60,Y_GE18,F,CH,2006-01-01,
RET,LI_R_MD60,Y_GE18,F,CH,2007-01-01,28.8
RET,LI_R_MD60,Y_GE18,F,CH,2008-01-01,29.8
RET,LI_R_MD60,Y_GE18,F,CH,2009-01-01,33.6
RET,LI_R_MD60,Y_GE18,F,CH,2010-01-01,29.8
RET,LI_R_MD60,Y_GE18,F,CH,2011-01-01,31.0
RET,LI_R_MD60,Y_GE18,F,CH,2012-01-01,33.9
RET,LI_R_MD60,Y_GE18,F,CH,2013-01-01,31.7
RET,LI_R_MD60,Y_GE18,F,CH,2014-01-01,29.0
RET,LI_R_MD60,Y_GE18,F,CH,2015-01-01,29.6
RET,LI_R_MD60,Y_GE18,F,CH,2016-01-01,30.0
RET,LI_R_MD60,Y_GE18,F,CH,2017-01-01,
RET,LI_R_MD60,Y_GE18,F,CY,2006-01-01,51.8
RET,LI_R_MD60,Y_GE18,F,CY,2007-01-01,52.1
RET,LI_R_MD60,Y_GE18,F,CY,2008-01-01,48.7
RET,LI_R_MD60,Y_GE18,F,CY,2009-01-01,48.3
RET,LI_R_MD60,Y_GE18,F,CY,2010-01-01,41.2
RET,LI_R_MD60,Y_GE18,F,CY,2011-01-01,38.0
RET,LI_R_MD60,Y_GE18,F,CY,2012-01-01,32.9
RET,LI_R_MD60,Y_GE18,F,CY,2013-01-01,22.9
RET,LI_R_MD60,Y_GE18,F,CY,2014-01-01,24.5
RET,LI_R_MD60,Y_GE18,F,CY,2015-01-01,19.1
RET,LI_R_MD60,Y_GE18,F,CY,2016-01-01,22.5
RET,LI_R_MD60,Y_GE18,F,CY,2017-01-01,23.7
RET,LI_R_MD60,Y_GE18,F,CZ,2006-01-01,8.1
RET,LI_R_MD60,Y_GE18,F,CZ,2007-01-01,7.7
RET,LI_R_MD60,Y_GE18,F,CZ,2008-01-01,10.1
RET,LI_R_MD60,Y_GE18,F,CZ,2009-01-01,9.5
RET,LI_R_MD60,Y_GE18,F,CZ,2010-01-01,9.5
RET,LI_R_MD60,Y_GE18,F,CZ,2011-01-01,9.3
RET,LI_R_MD60,Y_GE18,F,CZ,2012-01-01,8.3
RET,LI_R_MD60,Y_GE18,F,CZ,2013-01-01,7.7
RET,LI_R_MD60,Y_GE18,F,CZ,2014-01-01,8.4
RET,LI_R_MD60,Y_GE18,F,CZ,2015-01-01,9.5
RET,LI_R_MD60,Y_GE18,F,CZ,2016-01-01,10.6
RET,LI_R_MD60,Y_GE18,F,CZ,2017-01-01,14.4
RET,LI_R_MD60,Y_GE18,F,DE,2006-01-01,13.5
RET,LI_R_MD60,Y_GE18,F,DE,2007-01-01,18.7
RET,LI_R_MD60,Y_GE18,F,DE,2008-01-01,15.8
RET,LI_R_MD60,Y_GE18,F,DE,2009-01-01,15.8
RET,LI_R_MD60,Y_GE18,F,DE,2010-01-01,14.4
RET,LI_R_MD60,Y_GE18,F,DE,2011-01-01,15.0
RET,LI_R_MD60,Y_GE18,F,DE,2012-01-01,15.6
RET,LI_R_MD60,Y_GE18,F,DE,2013-01-01,16.7
RET,LI_R_MD60,Y_GE18,F,DE,2014-01-01,18.6
RET,LI_R_MD60,Y_GE18,F,DE,2015-01-01,18.8
RET,LI_R_MD60,Y_GE18,F,DE,2016-01-01,20.0
RET,LI_R_MD60,Y_GE18,F,DE,2017-01-01,19.5
RET,LI_R_MD60,Y_GE18,F,DK,2006-01-01,16.5
RET,LI_R_MD60,Y_GE18,F,DK,2007-01-01,17.9
RET,LI_R_MD60,Y_GE18,F,DK,2008-01-01,17.5
RET,LI_R_MD60,Y_GE18,F,DK,2009-01-01,20.8
RET,LI_R_MD60,Y_GE18,F,DK,2010-01-01,17.8
RET,LI_R_MD60,Y_GE18,F,DK,2011-01-01,13.6
RET,LI_R_MD60,Y_GE18,F,DK,2012-01-01,13.4
RET,LI_R_MD60,Y_GE18,F,DK,2013-01-01,10.9
RET,LI_R_MD60,Y_GE18,F,DK,2014-01-01,10.8
RET,LI_R_MD60,Y_GE18,F,DK,2015-01-01,9.7
RET,LI_R_MD60,Y_GE18,F,DK,2016-01-01,10.0
RET,LI_R_MD60,Y_GE18,F,DK,2017-01-01,8.1
RET,LI_R_MD60,Y_GE18,F,EA18,2006-01-01,15.6
RET,LI_R_MD60,Y_GE18,F,EA18,2007-01-01,16.6
RET,LI_R_MD60,Y_GE18,F,EA18,2008-01-01,16.1
RET,LI_R_MD60,Y_GE18,F,EA18,2009-01-01,15.2
RET,LI_R_MD60,Y_GE18,F,EA18,2010-01-01,13.1
RET,LI_R_MD60,Y_GE18,F,EA18,2011-01-01,13.3
RET,LI_R_MD60,Y_GE18,F,EA18,2012-01-01,13.0
RET,LI_R_MD60,Y_GE18,F,EA18,2013-01-01,12.9
RET,LI_R_MD60,Y_GE18,F,EA18,2014-01-01,13.0
RET,LI_R_MD60,Y_GE18,F,EA18,2015-01-01,13.0
RET,LI_R_MD60,Y_GE18,F,EA18,2016-01-01,13.9
RET,LI_R_MD60,Y_GE18,F,EA18,2017-01-01,13.8
RET,LI_R_MD60,Y_GE18,F,EA19,2006-01-01,15.8
RET,LI_R_MD60,Y_GE18,F,EA19,2007-01-01,16.8
RET,LI_R_MD60,Y_GE18,F,EA19,2008-01-01,16.4
RET,LI_R_MD60,Y_GE18,F,EA19,2009-01-01,15.4
RET,LI_R_MD60,Y_GE18,F,EA19,2010-01-01,13.1
RET,LI_R_MD60,Y_GE18,F,EA19,2011-01-01,13.3
RET,LI_R_MD60,Y_GE18,F,EA19,2012-01-01,13.1
RET,LI_R_MD60,Y_GE18,F,EA19,2013-01-01,13.1
RET,LI_R_MD60,Y_GE18,F,EA19,2014-01-01,13.1
RET,LI_R_MD60,Y_GE18,F,EA19,2015-01-01,13.3
RET,LI_R_MD60,Y_GE18,F,EA19,2016-01-01,14.2
RET,LI_R_MD60,Y_GE18,F,EA19,2017-01-01,14.1
RET,LI_R_MD60,Y_GE18,F,EE,2006-01-01,33.6
RET,LI_R_MD60,Y_GE18,F,EE,2007-01-01,42.3
RET,LI_R_MD60,Y_GE18,F,EE,2008-01-01,48.7
RET,LI_R_MD60,Y_GE18,F,EE,2009-01-01,43.9
RET,LI_R_MD60,Y_GE18,F,EE,2010-01-01,21.1
RET,LI_R_MD60,Y_GE18,F,EE,2011-01-01,17.5
RET,LI_R_MD60,Y_GE18,F,EE,2012-01-01,22.3
RET,LI_R_MD60,Y_GE18,F,EE,2013-01-01,31.9
RET,LI_R_MD60,Y_GE18,F,EE,2014-01-01,41.5
RET,LI_R_MD60,Y_GE18,F,EE,2015-01-01,46.4
RET,LI_R_MD60,Y_GE18,F,EE,2016-01-01,52.0
RET,LI_R_MD60,Y_GE18,F,EE,2017-01-01,52.6
RET,LI_R_MD60,Y_GE18,F,EL,2006-01-01,27.1
RET,LI_R_MD60,Y_GE18,F,EL,2007-01-01,24.9
RET,LI_R_MD60,Y_GE18,F,EL,2008-01-01,23.2
RET,LI_R_MD60,Y_GE18,F,EL,2009-01-01,19.2
RET,LI_R_MD60,Y_GE18,F,EL,2010-01-01,21.4
RET,LI_R_MD60,Y_GE18,F,EL,2011-01-01,19.5
RET,LI_R_MD60,Y_GE18,F,EL,2012-01-01,14.2
RET,LI_R_MD60,Y_GE18,F,EL,2013-01-01,13.1
RET,LI_R_MD60,Y_GE18,F,EL,2014-01-01,12.2
RET,LI_R_MD60,Y_GE18,F,EL,2015-01-01,11.7
RET,LI_R_MD60,Y_GE18,F,EL,2016-01-01,10.5
RET,LI_R_MD60,Y_GE18,F,EL,2017-01-01,10.2
RET,LI_R_MD60,Y_GE18,F,ES,2006-01-01,18.2
RET,LI_R_MD60,Y_GE18,F,ES,2007-01-01,16.2
RET,LI_R_MD60,Y_GE18,F,ES,2008-01-01,21.3
RET,LI_R_MD60,Y_GE18,F,ES,2009-01-01,18.3
RET,LI_R_MD60,Y_GE18,F,ES,2010-01-01,14.8
RET,LI_R_MD60,Y_GE18,F,ES,2011-01-01,13.4
RET,LI_R_MD60,Y_GE18,F,ES,2012-01-01,8.9
RET,LI_R_MD60,Y_GE18,F,ES,2013-01-01,8.3
RET,LI_R_MD60,Y_GE18,F,ES,2014-01-01,7.9
RET,LI_R_MD60,Y_GE18,F,ES,2015-01-01,8.6
RET,LI_R_MD60,Y_GE18,F,ES,2016-01-01,8.7
RET,LI_R_MD60,Y_GE18,F,ES,2017-01-01,11.8
