sex,wstatus,age,unit,geotime,date,value
T,POP,Y18-24,PC,CZ,2010-01-01,4
T,POP,Y18-24,PC,CZ,2011-01-01,4
T,POP,Y18-24,PC,CZ,2012-01-01,
T,POP,Y18-24,PC,CZ,2013-01-01,5
T,POP,Y18-24,PC,CZ,2014-01-01,5
T,POP,Y18-24,PC,CZ,2015-01-01,6
T,POP,Y18-24,PC,CZ,2016-01-01,6
T,POP,Y18-24,PC,CZ,2017-01-01,6
T,POP,Y18-24,PC,DE,2005-01-01,13
T,POP,Y18-24,PC,DE,2006-01-01,13
T,POP,Y18-24,PC,DE,2007-01-01,12
T,POP,Y18-24,PC,DE,2008-01-01,11
T,POP,Y18-24,PC,DE,2009-01-01,11
T,POP,Y18-24,PC,DE,2010-01-01,11
T,POP,Y18-24,PC,DE,2011-01-01,11
T,POP,Y18-24,PC,DE,2012-01-01,
T,POP,Y18-24,PC,DE,2013-01-01,9
T,POP,Y18-24,PC,DE,2014-01-01,9
T,POP,Y18-24,PC,DE,2015-01-01,10
T,POP,Y18-24,PC,DE,2016-01-01,10
T,POP,Y18-24,PC,DE,2017-01-01,10
T,POP,Y18-24,PC,DK,2005-01-01,8
T,POP,Y18-24,PC,DK,2006-01-01,9
T,POP,Y18-24,PC,DK,2007-01-01,12
T,POP,Y18-24,PC,DK,2008-01-01,12
T,POP,Y18-24,PC,DK,2009-01-01,11
T,POP,Y18-24,PC,DK,2010-01-01,11
T,POP,Y18-24,PC,DK,2011-01-01,9
T,POP,Y18-24,PC,DK,2012-01-01,
T,POP,Y18-24,PC,DK,2013-01-01,8
T,POP,Y18-24,PC,DK,2014-01-01,7
T,POP,Y18-24,PC,DK,2015-01-01,7
T,POP,Y18-24,PC,DK,2016-01-01,7
T,POP,Y18-24,PC,DK,2017-01-01,8
T,POP,Y18-24,PC,EA18,2005-01-01,17
T,POP,Y18-24,PC,EA18,2006-01-01,17
T,POP,Y18-24,PC,EA18,2007-01-01,16
T,POP,Y18-24,PC,EA18,2008-01-01,16
T,POP,Y18-24,PC,EA18,2009-01-01,15
T,POP,Y18-24,PC,EA18,2010-01-01,15
T,POP,Y18-24,PC,EA18,2011-01-01,14
T,POP,Y18-24,PC,EA18,2012-01-01,
T,POP,Y18-24,PC,EA18,2013-01-01,12
