na_item,sector,unit,geotime,date,value
GD,S13,MIO_NAC,AT,1995-01-01,
GD,S13,MIO_NAC,AT,1995-04-01,
GD,S13,MIO_NAC,AT,1995-07-01,
GD,S13,MIO_NAC,AT,1995-10-01,
GD,S13,MIO_NAC,AT,1996-01-01,
GD,S13,MIO_NAC,AT,1996-04-01,
GD,S13,MIO_NAC,AT,1996-07-01,
GD,S13,MIO_NAC,AT,1996-10-01,
GD,S13,MIO_NAC,AT,1997-01-01,
GD,S13,MIO_NAC,AT,1997-04-01,
GD,S13,MIO_NAC,AT,1997-07-01,
GD,S13,MIO_NAC,AT,1997-10-01,
GD,S13,MIO_NAC,AT,1998-01-01,
GD,S13,MIO_NAC,AT,1998-04-01,
GD,S13,MIO_NAC,AT,1998-07-01,
GD,S13,MIO_NAC,AT,1998-10-01,
GD,S13,MIO_NAC,AT,1999-01-01,
GD,S13,MIO_NAC,AT,1999-04-01,
GD,S13,MIO_NAC,AT,1999-07-01,
GD,S13,MIO_NAC,AT,1999-10-01,
GD,S13,MIO_NAC,AT,2000-01-01,144982
GD,S13,MIO_NAC,AT,2000-04-01,147732
GD,S13,MIO_NAC,AT,2000-07-01,150568
GD,S13,MIO_NAC,AT,2000-10-01,
GD,S13,MIO_NAC,AT,2001-01-01,
GD,S13,MIO_NAC,AT,2001-04-01,
GD,S13,MIO_NAC,AT,2001-07-01,
GD,S13,MIO_NAC,AT,2001-10-01,
GD,S13,MIO_NAC,AT,2002-01-01,
GD,S13,MIO_NAC,AT,2002-04-01,
GD,S13,MIO_NAC,AT,2002-07-01,
GD,S13,MIO_NAC,AT,2002-10-01,
GD,S13,MIO_NAC,AT,2003-01-01,
GD,S13,MIO_NAC,AT,2003-04-01,
GD,S13,MIO_NAC,AT,2003-07-01,
GD,S13,MIO_NAC,AT,2003-10-01,
GD,S13,MIO_NAC,AT,2004-01-01,
GD,S13,MIO_NAC,AT,2004-04-01,
GD,S13,MIO_NAC,AT,2004-07-01,
GD,S13,MIO_NAC,AT,2004-10-01,
GD,S13,MIO_NAC,AT,2005-01-01,
GD,S13,MIO_NAC,AT,2005-04-01,
GD,S13,MIO_NAC,AT,2005-07-01,
GD,S13,MIO_NAC,AT,2005-10-01,
GD,S13,MIO_NAC,AT,2006-01-01,
GD,S13,MIO_NAC,AT,2006-04-01,
GD,S13,MIO_NAC,AT,2006-07-01,
GD,S13,MIO_NAC,AT,2006-10-01,
GD,S13,MIO_NAC,AT,2007-01-01,
GD,S13,MIO_NAC,AT,2007-04-01,
GD,S13,MIO_NAC,AT,2007-07-01,
GD,S13,MIO_NAC,AT,2007-10-01,
GD,S13,MIO_NAC,AT,2008-01-01,
GD,S13,MIO_NAC,AT,2008-04-01,
GD,S13,MIO_NAC,AT,2008-07-01,
GD,S13,MIO_NAC,AT,2008-10-01,
GD,S13,MIO_NAC,AT,2009-01-01,
GD,S13,MIO_NAC,AT,2009-04-01,
GD,S13,MIO_NAC,AT,2009-07-01,
GD,S13,MIO_NAC,AT,2009-10-01,
GD,S13,MIO_NAC,AT,2010-01-01,
GD,S13,MIO_NAC,AT,2010-04-01,
GD,S13,MIO_NAC,AT,2010-07-01,
GD,S13,MIO_NAC,AT,2010-10-01,
GD,S13,MIO_NAC,AT,2011-01-01,
GD,S13,MIO_NAC,AT,2011-04-01,
GD,S13,MIO_NAC,AT,2011-07-01,
GD,S13,MIO_NAC,AT,2011-10-01,
GD,S13,MIO_NAC,AT,2012-01-01,
GD,S13,MIO_NAC,AT,2012-04-01,
GD,S13,MIO_NAC,AT,2012-07-01,
GD,S13,MIO_NAC,AT,2012-10-01,
GD,S13,MIO_NAC,AT,2013-01-01,
GD,S13,MIO_NAC,AT,2013-04-01,
GD,S13,MIO_NAC,AT,2013-07-01,
GD,S13,MIO_NAC,AT,2013-10-01,
GD,S13,MIO_NAC,AT,2014-01-01,
GD,S13,MIO_NAC,AT,2014-04-01,
GD,S13,MIO_NAC,AT,2014-07-01,
GD,S13,MIO_NAC,AT,2014-10-01,
GD,S13,MIO_NAC,AT,2015-01-01,
GD,S13,MIO_NAC,AT,2015-04-01,
GD,S13,MIO_NAC,AT,2015-07-01,
GD,S13,MIO_NAC,AT,2015-10-01,
GD,S13,MIO_NAC,AT,2016-01-01,
GD,S13,MIO_NAC,AT,2016-04-01,
GD,S13,MIO_NAC,AT,2016-07-01,
GD,S13,MIO_NAC,AT,2016-10-01,
GD,S13,MIO_NAC,AT,2017-01-01,
GD,S13,MIO_NAC,AT,2017-04-01,
GD,S13,MIO_NAC,AT,2017-07-01,
GD,S13,MIO_NAC,AT,2017-10-01,
GD,S13,MIO_NAC,AT,2018-01-01,
GD,S13,MIO_NAC,AT,2018-04-01,
GD,S13,MIO_NAC,BE,1995-01-01,273623
GD,S13,MIO_NAC,BE,1995-04-01,277990
GD,S13,MIO_NAC,BE,1995-07-01,279874
GD,S13,MIO_NAC,BE,1995-10-01,276253
GD,S13,MIO_NAC,BE,1996-01-01,283656
GD,S13,MIO_NAC,BE,1996-04-01,286680
GD,S13,MIO_NAC,BE,1996-07-01,287212
GD,S13,MIO_NAC,BE,1996-10-01,276349
GD,S13,MIO_NAC,BE,1997-01-01,283518
GD,S13,MIO_NAC,BE,1997-04-01,285727
GD,S13,MIO_NAC,BE,1997-07-01,285374
GD,S13,MIO_NAC,BE,1997-10-01,278407
GD,S13,MIO_NAC,BE,1998-01-01,284080
GD,S13,MIO_NAC,BE,1998-04-01,283875
GD,S13,MIO_NAC,BE,1998-07-01,281545
GD,S13,MIO_NAC,BE,1998-10-01,277159
GD,S13,MIO_NAC,BE,1999-01-01,284885
GD,S13,MIO_NAC,BE,1999-04-01,284291
GD,S13,MIO_NAC,BE,1999-07-01,287441
GD,S13,MIO_NAC,BE,1999-10-01,279435
GD,S13,MIO_NAC,BE,2000-01-01,288748
GD,S13,MIO_NAC,BE,2000-04-01,286914
GD,S13,MIO_NAC,BE,2000-07-01,289824
