indic_bt,nace_r2,unit,geotime,date,value
TOVT,G473,I2015_SCA,EA19,2018-01-01,107
TOVT,G473,I2015_SCA,EA19,2018-02-01,107
TOVT,G473,I2015_SCA,EA19,2018-03-01,107
TOVT,G473,I2015_SCA,EA19,2018-04-01,108
TOVT,G473,I2015_SCA,EA19,2018-05-01,111
TOVT,G473,I2015_SCA,EA19,2018-06-01,114
TOVT,G473,I2015_SCA,EA19,2018-07-01,113
TOVT,G473,I2015_SCA,EA19,2018-08-01,113
TOVT,G473,I2015_SCA,EA19,2018-09-01,
TOVT,G473,I2015_SCA,EE,2017-10-01,107
TOVT,G473,I2015_SCA,EE,2017-11-01,112
TOVT,G473,I2015_SCA,EE,2017-12-01,112
TOVT,G473,I2015_SCA,EE,2018-01-01,105
TOVT,G473,I2015_SCA,EE,2018-02-01,119
TOVT,G473,I2015_SCA,EE,2018-03-01,115
TOVT,G473,I2015_SCA,EE,2018-04-01,108
TOVT,G473,I2015_SCA,EE,2018-05-01,117
TOVT,G473,I2015_SCA,EE,2018-06-01,115
TOVT,G473,I2015_SCA,EE,2018-07-01,113
TOVT,G473,I2015_SCA,EE,2018-08-01,113
TOVT,G473,I2015_SCA,EE,2018-09-01,
TOVT,G473,I2015_SCA,EL,2017-10-01,98
TOVT,G473,I2015_SCA,EL,2017-11-01,96
TOVT,G473,I2015_SCA,EL,2017-12-01,99
TOVT,G473,I2015_SCA,EL,2018-01-01,99
TOVT,G473,I2015_SCA,EL,2018-02-01,100
TOVT,G473,I2015_SCA,EL,2018-03-01,95
TOVT,G473,I2015_SCA,EL,2018-04-01,101
TOVT,G473,I2015_SCA,EL,2018-05-01,101
TOVT,G473,I2015_SCA,EL,2018-06-01,102
TOVT,G473,I2015_SCA,EL,2018-07-01,106
TOVT,G473,I2015_SCA,EL,2018-08-01,
TOVT,G473,I2015_SCA,EL,2018-09-01,
TOVT,G473,I2015_SCA,ES,2017-10-01,102
TOVT,G473,I2015_SCA,ES,2017-11-01,103
TOVT,G473,I2015_SCA,ES,2017-12-01,104
TOVT,G473,I2015_SCA,ES,2018-01-01,107
TOVT,G473,I2015_SCA,ES,2018-02-01,106
TOVT,G473,I2015_SCA,ES,2018-03-01,104
TOVT,G473,I2015_SCA,ES,2018-04-01,107
TOVT,G473,I2015_SCA,ES,2018-05-01,109
TOVT,G473,I2015_SCA,ES,2018-06-01,110
TOVT,G473,I2015_SCA,ES,2018-07-01,112
TOVT,G473,I2015_SCA,ES,2018-08-01,113
TOVT,G473,I2015_SCA,ES,2018-09-01,
TOVT,G473,I2015_SCA,EU28,2017-10-01,104
TOVT,G473,I2015_SCA,EU28,2017-11-01,108
TOVT,G473,I2015_SCA,EU28,2017-12-01,109
TOVT,G473,I2015_SCA,EU28,2018-01-01,111
TOVT,G473,I2015_SCA,EU28,2018-02-01,111
TOVT,G473,I2015_SCA,EU28,2018-03-01,109
TOVT,G473,I2015_SCA,EU28,2018-04-01,112
TOVT,G473,I2015_SCA,EU28,2018-05-01,115
TOVT,G473,I2015_SCA,EU28,2018-06-01,117
TOVT,G473,I2015_SCA,EU28,2018-07-01,116
TOVT,G473,I2015_SCA,EU28,2018-08-01,116
TOVT,G473,I2015_SCA,EU28,2018-09-01,
TOVT,G473,I2015_SCA,FI,2017-10-01,101
TOVT,G473,I2015_SCA,FI,2017-11-01,104
TOVT,G473,I2015_SCA,FI,2017-12-01,102
TOVT,G473,I2015_SCA,FI,2018-01-01,106
TOVT,G473,I2015_SCA,FI,2018-02-01,106
TOVT,G473,I2015_SCA,FI,2018-03-01,104
TOVT,G473,I2015_SCA,FI,2018-04-01,103
TOVT,G473,I2015_SCA,FI,2018-05-01,108
TOVT,G473,I2015_SCA,FI,2018-06-01,106
TOVT,G473,I2015_SCA,FI,2018-07-01,107
TOVT,G473,I2015_SCA,FI,2018-08-01,108
TOVT,G473,I2015_SCA,FI,2018-09-01,
TOVT,G473,I2015_SCA,FR,2017-10-01,103
TOVT,G473,I2015_SCA,FR,2017-11-01,106
TOVT,G473,I2015_SCA,FR,2017-12-01,108
TOVT,G473,I2015_SCA,FR,2018-01-01,108
TOVT,G473,I2015_SCA,FR,2018-02-01,109
TOVT,G473,I2015_SCA,FR,2018-03-01,110
TOVT,G473,I2015_SCA,FR,2018-04-01,111
TOVT,G473,I2015_SCA,FR,2018-05-01,114
TOVT,G473,I2015_SCA,FR,2018-06-01,119
TOVT,G473,I2015_SCA,FR,2018-07-01,114
TOVT,G473,I2015_SCA,FR,2018-08-01,115
TOVT,G473,I2015_SCA,FR,2018-09-01,
TOVT,G473,I2015_SCA,HR,2017-10-01,114
TOVT,G473,I2015_SCA,HR,2017-11-01,114
TOVT,G473,I2015_SCA,HR,2017-12-01,116
TOVT,G473,I2015_SCA,HR,2018-01-01,129
TOVT,G473,I2015_SCA,HR,2018-02-01,121
TOVT,G473,I2015_SCA,HR,2018-03-01,122
TOVT,G473,I2015_SCA,HR,2018-04-01,122
TOVT,G473,I2015_SCA,HR,2018-05-01,132
TOVT,G473,I2015_SCA,HR,2018-06-01,132
TOVT,G473,I2015_SCA,HR,2018-07-01,135
TOVT,G473,I2015_SCA,HR,2018-08-01,
TOVT,G473,I2015_SCA,HR,2018-09-01,
TOVT,G473,I2015_SCA,HU,2017-10-01,108
TOVT,G473,I2015_SCA,HU,2017-11-01,111
TOVT,G473,I2015_SCA,HU,2017-12-01,111
TOVT,G473,I2015_SCA,HU,2018-01-01,116
TOVT,G473,I2015_SCA,HU,2018-02-01,116
TOVT,G473,I2015_SCA,HU,2018-03-01,114
TOVT,G473,I2015_SCA,HU,2018-04-01,118
TOVT,G473,I2015_SCA,HU,2018-05-01,123
TOVT,G473,I2015_SCA,HU,2018-06-01,124
TOVT,G473,I2015_SCA,HU,2018-07-01,126
TOVT,G473,I2015_SCA,HU,2018-08-01,129
TOVT,G473,I2015_SCA,HU,2018-09-01,
TOVT,G473,I2015_SCA,IE,2017-10-01,103
TOVT,G473,I2015_SCA,IE,2017-11-01,105
TOVT,G473,I2015_SCA,IE,2017-12-01,104
TOVT,G473,I2015_SCA,IE,2018-01-01,107
TOVT,G473,I2015_SCA,IE,2018-02-01,107
TOVT,G473,I2015_SCA,IE,2018-03-01,100
TOVT,G473,I2015_SCA,IE,2018-04-01,108
TOVT,G473,I2015_SCA,IE,2018-05-01,108
TOVT,G473,I2015_SCA,IE,2018-06-01,108
TOVT,G473,I2015_SCA,IE,2018-07-01,112
TOVT,G473,I2015_SCA,IE,2018-08-01,109
TOVT,G473,I2015_SCA,IE,2018-09-01,
TOVT,G473,I2015_SCA,IT,2017-10-01,97
TOVT,G473,I2015_SCA,IT,2017-11-01,99
TOVT,G473,I2015_SCA,IT,2017-12-01,99
TOVT,G473,I2015_SCA,IT,2018-01-01,101
TOVT,G473,I2015_SCA,IT,2018-02-01,100
TOVT,G473,I2015_SCA,IT,2018-03-01,99
TOVT,G473,I2015_SCA,IT,2018-04-01,100
TOVT,G473,I2015_SCA,IT,2018-05-01,104
TOVT,G473,I2015_SCA,IT,2018-06-01,107
TOVT,G473,I2015_SCA,IT,2018-07-01,105
TOVT,G473,I2015_SCA,IT,2018-08-01,106
