s_adj,direct,sector,na_item,unit,geotime,date,value
SCA,RECV,S1,B5G,MIO_EUR_SCA,AT,2015-07-01,85915
SCA,RECV,S1,B5G,MIO_EUR_SCA,AT,2015-10-01,87020
SCA,RECV,S1,B5G,MIO_EUR_SCA,AT,2016-01-01,87835
SCA,RECV,S1,B5G,MIO_EUR_SCA,AT,2016-04-01,87938
SCA,RECV,S1,B5G,MIO_EUR_SCA,AT,2016-07-01,89146
SCA,RECV,S1,B5G,MIO_EUR_SCA,AT,2016-10-01,90542
SCA,RECV,S1,B5G,MIO_EUR_SCA,AT,2017-01-01,91157
SCA,RECV,S1,B5G,MIO_EUR_SCA,AT,2017-04-01,91565
SCA,RECV,S1,B5G,MIO_EUR_SCA,AT,2017-07-01,92616
SCA,RECV,S1,B5G,MIO_EUR_SCA,AT,2017-10-01,93732
SCA,RECV,S1,B5G,MIO_EUR_SCA,AT,2018-01-01,95223
SCA,RECV,S1,B5G,MIO_EUR_SCA,AT,2018-04-01,95773
SCA,RECV,S1,B5G,MIO_EUR_SCA,BE,2015-07-01,102410
SCA,RECV,S1,B5G,MIO_EUR_SCA,BE,2015-10-01,103283
SCA,RECV,S1,B5G,MIO_EUR_SCA,BE,2016-01-01,103696
SCA,RECV,S1,B5G,MIO_EUR_SCA,BE,2016-04-01,107964
SCA,RECV,S1,B5G,MIO_EUR_SCA,BE,2016-07-01,106313
SCA,RECV,S1,B5G,MIO_EUR_SCA,BE,2016-10-01,107298
SCA,RECV,S1,B5G,MIO_EUR_SCA,BE,2017-01-01,107549
SCA,RECV,S1,B5G,MIO_EUR_SCA,BE,2017-04-01,110125
SCA,RECV,S1,B5G,MIO_EUR_SCA,BE,2017-07-01,109482
SCA,RECV,S1,B5G,MIO_EUR_SCA,BE,2017-10-01,110207
SCA,RECV,S1,B5G,MIO_EUR_SCA,BE,2018-01-01,110889
SCA,RECV,S1,B5G,MIO_EUR_SCA,BE,2018-04-01,
SCA,RECV,S1,B5G,MIO_EUR_SCA,BG,2015-07-01,11074
SCA,RECV,S1,B5G,MIO_EUR_SCA,BG,2015-10-01,11430
SCA,RECV,S1,B5G,MIO_EUR_SCA,BG,2016-01-01,11684
SCA,RECV,S1,B5G,MIO_EUR_SCA,BG,2016-04-01,11911
SCA,RECV,S1,B5G,MIO_EUR_SCA,BG,2016-07-01,12099
SCA,RECV,S1,B5G,MIO_EUR_SCA,BG,2016-10-01,12203
SCA,RECV,S1,B5G,MIO_EUR_SCA,BG,2017-01-01,12486
SCA,RECV,S1,B5G,MIO_EUR_SCA,BG,2017-04-01,12523
SCA,RECV,S1,B5G,MIO_EUR_SCA,BG,2017-07-01,12844
SCA,RECV,S1,B5G,MIO_EUR_SCA,BG,2017-10-01,12873
SCA,RECV,S1,B5G,MIO_EUR_SCA,BG,2018-01-01,
SCA,RECV,S1,B5G,MIO_EUR_SCA,BG,2018-04-01,
SCA,RECV,S1,B5G,MIO_EUR_SCA,CY,2015-07-01,4628
