sectperf,unit,geotime,date,value
TOTAL,MIO_NAC,AT,1995-01-01,2701.68
TOTAL,MIO_NAC,AT,1996-01-01,2885.55
TOTAL,MIO_NAC,AT,1997-01-01,3123.21
TOTAL,MIO_NAC,AT,1998-01-01,3399.835
TOTAL,MIO_NAC,AT,1999-01-01,3761.8
TOTAL,MIO_NAC,AT,2000-01-01,4028.67
TOTAL,MIO_NAC,AT,2001-01-01,4393.09
TOTAL,MIO_NAC,AT,2002-01-01,4684.313
TOTAL,MIO_NAC,AT,2003-01-01,5041.98
TOTAL,MIO_NAC,AT,2004-01-01,5249.546
TOTAL,MIO_NAC,AT,2005-01-01,6029.81
TOTAL,MIO_NAC,AT,2006-01-01,6318.587
TOTAL,MIO_NAC,AT,2007-01-01,6867.815
TOTAL,MIO_NAC,AT,2008-01-01,7548.06
TOTAL,MIO_NAC,AT,2009-01-01,7479.745
TOTAL,MIO_NAC,AT,2010-01-01,8066.44
TOTAL,MIO_NAC,AT,2011-01-01,8276.335
TOTAL,MIO_NAC,AT,2012-01-01,9287.84
TOTAL,MIO_NAC,AT,2013-01-01,9571.282
TOTAL,MIO_NAC,AT,2014-01-01,10222.38
TOTAL,MIO_NAC,AT,2015-01-01,10499.146
TOTAL,MIO_NAC,AT,2016-01-01,10906.09
TOTAL,MIO_NAC,BE,1995-01-01,3467.36
TOTAL,MIO_NAC,BE,1996-01-01,3734.99
TOTAL,MIO_NAC,BE,1997-01-01,4055.6
TOTAL,MIO_NAC,BE,1998-01-01,4276.21
TOTAL,MIO_NAC,BE,1999-01-01,4617.525
TOTAL,MIO_NAC,BE,2000-01-01,4963.95
TOTAL,MIO_NAC,BE,2001-01-01,5373.378
TOTAL,MIO_NAC,BE,2002-01-01,5200.737
TOTAL,MIO_NAC,BE,2003-01-01,5177.444
TOTAL,MIO_NAC,BE,2004-01-01,5403.617
TOTAL,MIO_NAC,BE,2005-01-01,5551.553
TOTAL,MIO_NAC,BE,2006-01-01,5926.513
TOTAL,MIO_NAC,BE,2007-01-01,6356.931
TOTAL,MIO_NAC,BE,2008-01-01,6812.699
TOTAL,MIO_NAC,BE,2009-01-01,6924.591
TOTAL,MIO_NAC,BE,2010-01-01,7487.5
