unit,tenure,geo\time,date,value
PC,OWN_L,AT,2005-01-01,: 
PC,OWN_L,AT,2006-01-01,: 
PC,OWN_L,AT,2007-01-01,1.7 
PC,OWN_L,AT,2008-01-01,1.9 b
PC,OWN_L,AT,2009-01-01,1.3 
PC,OWN_L,AT,2010-01-01,0.5 
PC,OWN_L,AT,2011-01-01,1.4 
PC,OWN_L,AT,2012-01-01,1.0 
PC,OWN_L,AT,2013-01-01,1.4 
PC,OWN_L,AT,2014-01-01,1.2 
PC,OWN_L,AT,2015-01-01,0.7 
PC,OWN_L,AT,2016-01-01,0.6 
PC,OWN_L,AT,2017-01-01,0.7 
PC,OWN_L,BE,2005-01-01,0.5 
PC,OWN_L,BE,2006-01-01,0.3 
PC,OWN_L,BE,2007-01-01,0.8 
PC,OWN_L,BE,2008-01-01,0.5 
PC,OWN_L,BE,2009-01-01,0.4 
PC,OWN_L,BE,2010-01-01,1.1 
PC,OWN_L,BE,2011-01-01,0.3 
PC,OWN_L,BE,2012-01-01,0.1 
PC,OWN_L,BE,2013-01-01,0.2 
PC,OWN_L,BE,2014-01-01,0.4 
PC,OWN_L,BE,2015-01-01,0.1 
PC,OWN_L,BE,2016-01-01,0.8 
PC,OWN_L,BE,2017-01-01,1.2 
PC,OWN_L,BG,2005-01-01,: 
PC,OWN_L,BG,2006-01-01,12.5 
PC,OWN_L,BG,2007-01-01,9.4 
PC,OWN_L,BG,2008-01-01,23.8 
PC,OWN_L,BG,2009-01-01,18.6 
PC,OWN_L,BG,2010-01-01,15.2 
PC,OWN_L,BG,2011-01-01,14.4 
PC,OWN_L,BG,2012-01-01,13.6 
PC,OWN_L,BG,2013-01-01,6.5 
PC,OWN_L,BG,2014-01-01,11.8 b
PC,OWN_L,BG,2015-01-01,16.0 
PC,OWN_L,BG,2016-01-01,14.2 b
PC,OWN_L,BG,2017-01-01,15.6 
PC,OWN_L,CH,2005-01-01,: 
PC,OWN_L,CH,2006-01-01,: 
PC,OWN_L,CH,2007-01-01,: 
PC,OWN_L,CH,2008-01-01,: 
PC,OWN_L,CH,2009-01-01,: 
PC,OWN_L,CH,2010-01-01,0.1 
PC,OWN_L,CH,2011-01-01,0.5 
PC,OWN_L,CH,2012-01-01,0.6 
PC,OWN_L,CH,2013-01-01,0.2 
PC,OWN_L,CH,2014-01-01,0.3 b
PC,OWN_L,CH,2015-01-01,0.4 
PC,OWN_L,CH,2016-01-01,0.7 
PC,OWN_L,CH,2017-01-01,: 
PC,OWN_L,CY,2005-01-01,: 
PC,OWN_L,CY,2006-01-01,: 
PC,OWN_L,CY,2007-01-01,0.0 
PC,OWN_L,CY,2008-01-01,0.7 b
PC,OWN_L,CY,2009-01-01,0.0 
PC,OWN_L,CY,2010-01-01,1.5 
PC,OWN_L,CY,2011-01-01,1.0 
PC,OWN_L,CY,2012-01-01,0.0 
PC,OWN_L,CY,2013-01-01,1.1 
PC,OWN_L,CY,2014-01-01,1.5 
PC,OWN_L,CY,2015-01-01,0.0 
PC,OWN_L,CY,2016-01-01,2.0 
PC,OWN_L,CY,2017-01-01,0.7 
PC,OWN_L,CZ,2005-01-01,7.2 
PC,OWN_L,CZ,2006-01-01,6.5 
PC,OWN_L,CZ,2007-01-01,3.9 
PC,OWN_L,CZ,2008-01-01,3.5 
PC,OWN_L,CZ,2009-01-01,3.6 
PC,OWN_L,CZ,2010-01-01,2.4 
PC,OWN_L,CZ,2011-01-01,3.4 
PC,OWN_L,CZ,2012-01-01,3.3 
PC,OWN_L,CZ,2013-01-01,3.3 
PC,OWN_L,CZ,2014-01-01,2.2 
PC,OWN_L,CZ,2015-01-01,1.7 
PC,OWN_L,CZ,2016-01-01,2.3 
PC,OWN_L,CZ,2017-01-01,2.1 
PC,OWN_L,DE,2005-01-01,0.6 
PC,OWN_L,DE,2006-01-01,: 
PC,OWN_L,DE,2007-01-01,: 
PC,OWN_L,DE,2008-01-01,: 
PC,OWN_L,DE,2009-01-01,: 
PC,OWN_L,DE,2010-01-01,0.3 
PC,OWN_L,DE,2011-01-01,0.9 
PC,OWN_L,DE,2012-01-01,0.5 
PC,OWN_L,DE,2013-01-01,0.5 
PC,OWN_L,DE,2014-01-01,0.3 
PC,OWN_L,DE,2015-01-01,0.7 
