indic_nrg,unit,product,geotime,date,value
B_102010,PC,2000,AL,1990-01-01,0.0
B_102010,PC,2000,AL,1991-01-01,0.0
B_102010,PC,2000,AL,1992-01-01,0.0
B_102010,PC,2000,AL,1993-01-01,0.0
B_102010,PC,2000,AL,1994-01-01,0.0
B_102010,PC,2000,AL,1995-01-01,0.0
B_102010,PC,2000,AL,1996-01-01,0.0
B_102010,PC,2000,AL,1997-01-01,0.0
B_102010,PC,2000,AL,1998-01-01,0.0
B_102010,PC,2000,AL,1999-01-01,0.0
B_102010,PC,2000,AL,2000-01-01,0.0
B_102010,PC,2000,AL,2001-01-01,0.0
B_102010,PC,2000,AL,2002-01-01,0.0
B_102010,PC,2000,AL,2003-01-01,0.0
B_102010,PC,2000,AL,2004-01-01,0.0
B_102010,PC,2000,AL,2005-01-01,0.0
B_102010,PC,2000,AL,2006-01-01,0.0
B_102010,PC,2000,AL,2007-01-01,0.0
B_102010,PC,2000,AL,2008-01-01,0.0
B_102010,PC,2000,AL,2009-01-01,0.0
B_102010,PC,2000,AL,2010-01-01,0.0
B_102010,PC,2000,AL,2011-01-01,0.0
B_102010,PC,2000,AL,2012-01-01,0.0
B_102010,PC,2000,AL,2013-01-01,0.0
B_102010,PC,2000,AL,2014-01-01,0.1
B_102010,PC,2000,AL,2015-01-01,0.0
B_102010,PC,2000,AL,2016-01-01,0.0
B_102010,PC,2000,AT,1990-01-01,11.1
B_102010,PC,2000,AT,1991-01-01,10.9
B_102010,PC,2000,AT,1992-01-01,9.9
B_102010,PC,2000,AT,1993-01-01,8.0
B_102010,PC,2000,AT,1994-01-01,7.5
B_102010,PC,2000,AT,1995-01-01,6.7
B_102010,PC,2000,AT,1996-01-01,5.8
B_102010,PC,2000,AT,1997-01-01,4.8
B_102010,PC,2000,AT,1998-01-01,4.2
B_102010,PC,2000,AT,1999-01-01,3.7
B_102010,PC,2000,AT,2000-01-01,3.4
B_102010,PC,2000,AT,2001-01-01,3.0
B_102010,PC,2000,AT,2002-01-01,2.5
B_102010,PC,2000,AT,2003-01-01,2.0
B_102010,PC,2000,AT,2004-01-01,2.0
B_102010,PC,2000,AT,2005-01-01,1.4
B_102010,PC,2000,AT,2006-01-01,1.4
B_102010,PC,2000,AT,2007-01-01,1.2
B_102010,PC,2000,AT,2008-01-01,1.3
B_102010,PC,2000,AT,2009-01-01,0.9
B_102010,PC,2000,AT,2010-01-01,0.9
B_102010,PC,2000,AT,2011-01-01,0.6
B_102010,PC,2000,AT,2012-01-01,0.6
B_102010,PC,2000,AT,2013-01-01,0.4
B_102010,PC,2000,AT,2014-01-01,0.4
B_102010,PC,2000,AT,2015-01-01,0.4
B_102010,PC,2000,AT,2016-01-01,0.3
B_102010,PC,2000,BA,1990-01-01,
B_102010,PC,2000,BA,1991-01-01,
B_102010,PC,2000,BA,1992-01-01,
B_102010,PC,2000,BA,1993-01-01,
B_102010,PC,2000,BA,1994-01-01,
B_102010,PC,2000,BA,1995-01-01,
B_102010,PC,2000,BA,1996-01-01,
B_102010,PC,2000,BA,1997-01-01,
B_102010,PC,2000,BA,1998-01-01,
B_102010,PC,2000,BA,1999-01-01,
B_102010,PC,2000,BA,2000-01-01,
B_102010,PC,2000,BA,2001-01-01,
B_102010,PC,2000,BA,2002-01-01,
B_102010,PC,2000,BA,2003-01-01,
B_102010,PC,2000,BA,2004-01-01,
B_102010,PC,2000,BA,2005-01-01,
B_102010,PC,2000,BA,2006-01-01,
B_102010,PC,2000,BA,2007-01-01,
B_102010,PC,2000,BA,2008-01-01,
B_102010,PC,2000,BA,2009-01-01,
B_102010,PC,2000,BA,2010-01-01,
B_102010,PC,2000,BA,2011-01-01,
B_102010,PC,2000,BA,2012-01-01,
B_102010,PC,2000,BA,2013-01-01,
B_102010,PC,2000,BA,2014-01-01,5.7
B_102010,PC,2000,BA,2015-01-01,4.9
B_102010,PC,2000,BA,2016-01-01,6.5
B_102010,PC,2000,BE,1990-01-01,6.3
B_102010,PC,2000,BE,1991-01-01,6.4
B_102010,PC,2000,BE,1992-01-01,5.4
B_102010,PC,2000,BE,1993-01-01,5.0
B_102010,PC,2000,BE,1994-01-01,3.9
B_102010,PC,2000,BE,1995-01-01,3.5
B_102010,PC,2000,BE,1996-01-01,3.3
B_102010,PC,2000,BE,1997-01-01,3.1
B_102010,PC,2000,BE,1998-01-01,2.1
B_102010,PC,2000,BE,1999-01-01,1.9
B_102010,PC,2000,BE,2000-01-01,2.1
B_102010,PC,2000,BE,2001-01-01,2.2
B_102010,PC,2000,BE,2002-01-01,1.9
B_102010,PC,2000,BE,2003-01-01,1.3
B_102010,PC,2000,BE,2004-01-01,1.1
B_102010,PC,2000,BE,2005-01-01,1.1
B_102010,PC,2000,BE,2006-01-01,1.2
B_102010,PC,2000,BE,2007-01-01,1.1
B_102010,PC,2000,BE,2008-01-01,1.4
B_102010,PC,2000,BE,2009-01-01,2.5
B_102010,PC,2000,BE,2010-01-01,1.1
B_102010,PC,2000,BE,2011-01-01,1.2
B_102010,PC,2000,BE,2012-01-01,1.2
B_102010,PC,2000,BE,2013-01-01,1.4
B_102010,PC,2000,BE,2014-01-01,1.1
B_102010,PC,2000,BE,2015-01-01,1.0
B_102010,PC,2000,BE,2016-01-01,0.9
B_102010,PC,2000,BG,1990-01-01,30.4
B_102010,PC,2000,BG,1991-01-01,26.4
B_102010,PC,2000,BG,1992-01-01,31.5
B_102010,PC,2000,BG,1993-01-01,30.8
B_102010,PC,2000,BG,1994-01-01,25.9
B_102010,PC,2000,BG,1995-01-01,21.0
B_102010,PC,2000,BG,1996-01-01,24.0
B_102010,PC,2000,BG,1997-01-01,27.0
B_102010,PC,2000,BG,1998-01-01,24.5
B_102010,PC,2000,BG,1999-01-01,18.4
B_102010,PC,2000,BG,2000-01-01,13.6
B_102010,PC,2000,BG,2001-01-01,9.2
B_102010,PC,2000,BG,2002-01-01,15.4
B_102010,PC,2000,BG,2003-01-01,17.0
B_102010,PC,2000,BG,2004-01-01,13.7
B_102010,PC,2000,BG,2005-01-01,12.3
B_102010,PC,2000,BG,2006-01-01,12.0
B_102010,PC,2000,BG,2007-01-01,10.6
B_102010,PC,2000,BG,2008-01-01,9.5
B_102010,PC,2000,BG,2009-01-01,6.6
B_102010,PC,2000,BG,2010-01-01,8.7
B_102010,PC,2000,BG,2011-01-01,10.3
B_102010,PC,2000,BG,2012-01-01,10.0
B_102010,PC,2000,BG,2013-01-01,8.6
B_102010,PC,2000,BG,2014-01-01,6.2
B_102010,PC,2000,BG,2015-01-01,6.2
B_102010,PC,2000,BG,2016-01-01,6.7
B_102010,PC,2000,CY,1990-01-01,
B_102010,PC,2000,CY,1991-01-01,
B_102010,PC,2000,CY,1992-01-01,
B_102010,PC,2000,CY,1993-01-01,
B_102010,PC,2000,CY,1994-01-01,
B_102010,PC,2000,CY,1995-01-01,
B_102010,PC,2000,CY,1996-01-01,
B_102010,PC,2000,CY,1997-01-01,
B_102010,PC,2000,CY,1998-01-01,
B_102010,PC,2000,CY,1999-01-01,
B_102010,PC,2000,CY,2000-01-01,
B_102010,PC,2000,CY,2001-01-01,
B_102010,PC,2000,CY,2002-01-01,
B_102010,PC,2000,CY,2003-01-01,
