age,unit,sex,indic_em,geotime,date,value
Y55-64,PC_POP,T,EMP_LFS,AT,2005-01-01,29.9
Y55-64,PC_POP,T,EMP_LFS,AT,2006-01-01,33.0
Y55-64,PC_POP,T,EMP_LFS,AT,2007-01-01,36.0
Y55-64,PC_POP,T,EMP_LFS,AT,2008-01-01,38.8
Y55-64,PC_POP,T,EMP_LFS,AT,2009-01-01,39.4
Y55-64,PC_POP,T,EMP_LFS,AT,2010-01-01,41.2
Y55-64,PC_POP,T,EMP_LFS,AT,2011-01-01,39.9
Y55-64,PC_POP,T,EMP_LFS,AT,2012-01-01,41.6
Y55-64,PC_POP,T,EMP_LFS,AT,2013-01-01,43.8
Y55-64,PC_POP,T,EMP_LFS,AT,2014-01-01,45.1
Y55-64,PC_POP,T,EMP_LFS,AT,2015-01-01,46.3
Y55-64,PC_POP,T,EMP_LFS,AT,2016-01-01,49.2
Y55-64,PC_POP,T,EMP_LFS,AT,2017-01-01,51.3
Y55-64,PC_POP,T,EMP_LFS,BE,2005-01-01,31.8
Y55-64,PC_POP,T,EMP_LFS,BE,2006-01-01,32.0
Y55-64,PC_POP,T,EMP_LFS,BE,2007-01-01,34.4
Y55-64,PC_POP,T,EMP_LFS,BE,2008-01-01,34.5
Y55-64,PC_POP,T,EMP_LFS,BE,2009-01-01,35.3
Y55-64,PC_POP,T,EMP_LFS,BE,2010-01-01,37.3
Y55-64,PC_POP,T,EMP_LFS,BE,2011-01-01,38.7
Y55-64,PC_POP,T,EMP_LFS,BE,2012-01-01,39.5
Y55-64,PC_POP,T,EMP_LFS,BE,2013-01-01,41.7
Y55-64,PC_POP,T,EMP_LFS,BE,2014-01-01,42.7
Y55-64,PC_POP,T,EMP_LFS,BE,2015-01-01,44.0
Y55-64,PC_POP,T,EMP_LFS,BE,2016-01-01,45.4
Y55-64,PC_POP,T,EMP_LFS,BE,2017-01-01,48.3
Y55-64,PC_POP,T,EMP_LFS,BG,2005-01-01,34.7
Y55-64,PC_POP,T,EMP_LFS,BG,2006-01-01,39.6
Y55-64,PC_POP,T,EMP_LFS,BG,2007-01-01,42.6
Y55-64,PC_POP,T,EMP_LFS,BG,2008-01-01,46.0
Y55-64,PC_POP,T,EMP_LFS,BG,2009-01-01,46.1
Y55-64,PC_POP,T,EMP_LFS,BG,2010-01-01,44.9
Y55-64,PC_POP,T,EMP_LFS,BG,2011-01-01,44.6
