currency,partner,sector10,sectpart,s_adj,stk_flow,bop_item,geo\time,date,value
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AL,2015-07-01,-111.1 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AL,2015-10-01,-194.8 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AL,2016-01-01,-139.1 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AL,2016-04-01,-267.1 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AL,2016-07-01,-91.2 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AL,2016-10-01,-119.4 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AL,2017-01-01,-295.2 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AL,2017-04-01,-205.8 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AL,2017-07-01,-222.6 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AL,2017-10-01,-205.3 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AL,2018-01-01,-288.4 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AL,2018-04-01,-200.4 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AT,2015-07-01,3444.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AT,2015-10-01,147.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AT,2016-01-01,4436.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AT,2016-04-01,-1380.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AT,2016-07-01,5523.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AT,2016-10-01,2092.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AT,2017-01-01,3107.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AT,2017-04-01,-8.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AT,2017-07-01,3229.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AT,2017-10-01,2667.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AT,2018-01-01,7599.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AT,2018-04-01,-2310.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,BE,2015-07-01,251.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,BE,2015-10-01,-771.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,BE,2016-01-01,2762.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,BE,2016-04-01,677.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,BE,2016-07-01,-3459.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,BE,2016-10-01,-1406.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,BE,2017-01-01,-850.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,BE,2017-04-01,368.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,BE,2017-07-01,-1113.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,BE,2017-10-01,-2319.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,BE,2018-01-01,-365.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,BE,2018-04-01,-435.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,BG,2015-07-01,987.1 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,BG,2015-10-01,603.2 
