unit,co_nco,na_item,finpos,sector,geotime,date,value
MIO_NAC,CO,F3,LIAB,S11,CY,2006-01-01,11
MIO_NAC,CO,F3,LIAB,S11,CY,2007-01-01,5
MIO_NAC,CO,F3,LIAB,S11,CY,2008-01-01,5
MIO_NAC,CO,F3,LIAB,S11,CY,2009-01-01,10
MIO_NAC,CO,F3,LIAB,S11,CY,2010-01-01,8
MIO_NAC,CO,F3,LIAB,S11,CY,2011-01-01,72
MIO_NAC,CO,F3,LIAB,S11,CY,2012-01-01,
MIO_NAC,CO,F3,LIAB,S11,CY,2013-01-01,
MIO_NAC,CO,F3,LIAB,S11,CY,2014-01-01,
MIO_NAC,CO,F3,LIAB,S11,CY,2015-01-01,
MIO_NAC,CO,F3,LIAB,S11,CY,2016-01-01,85
MIO_NAC,CO,F3,LIAB,S11,CY,2017-01-01,100
MIO_NAC,CO,F3,LIAB,S11,CZ,1995-01-01,43132
MIO_NAC,CO,F3,LIAB,S11,CZ,1996-01-01,73739
MIO_NAC,CO,F3,LIAB,S11,CZ,1997-01-01,76018
MIO_NAC,CO,F3,LIAB,S11,CZ,1998-01-01,81806
MIO_NAC,CO,F3,LIAB,S11,CZ,1999-01-01,103975
MIO_NAC,CO,F3,LIAB,S11,CZ,2000-01-01,110278
MIO_NAC,CO,F3,LIAB,S11,CZ,2001-01-01,108849
MIO_NAC,CO,F3,LIAB,S11,CZ,2002-01-01,116982
MIO_NAC,CO,F3,LIAB,S11,CZ,2003-01-01,111596
MIO_NAC,CO,F3,LIAB,S11,CZ,2004-01-01,94122
MIO_NAC,CO,F3,LIAB,S11,CZ,2005-01-01,72646
MIO_NAC,CO,F3,LIAB,S11,CZ,2006-01-01,91632
MIO_NAC,CO,F3,LIAB,S11,CZ,2007-01-01,105628
MIO_NAC,CO,F3,LIAB,S11,CZ,2008-01-01,134585
MIO_NAC,CO,F3,LIAB,S11,CZ,2009-01-01,187020
MIO_NAC,CO,F3,LIAB,S11,CZ,2010-01-01,254356
MIO_NAC,CO,F3,LIAB,S11,CZ,2011-01-01,244920
MIO_NAC,CO,F3,LIAB,S11,CZ,2012-01-01,
MIO_NAC,CO,F3,LIAB,S11,CZ,2013-01-01,
MIO_NAC,CO,F3,LIAB,S11,CZ,2014-01-01,
MIO_NAC,CO,F3,LIAB,S11,CZ,2015-01-01,
MIO_NAC,CO,F3,LIAB,S11,CZ,2016-01-01,300746
MIO_NAC,CO,F3,LIAB,S11,CZ,2017-01-01,327204
MIO_NAC,CO,F3,LIAB,S11,DE,1995-01-01,56765
MIO_NAC,CO,F3,LIAB,S11,DE,1996-01-01,52207
MIO_NAC,CO,F3,LIAB,S11,DE,1997-01-01,48322
MIO_NAC,CO,F3,LIAB,S11,DE,1998-01-01,46233
MIO_NAC,CO,F3,LIAB,S11,DE,1999-01-01,43811
MIO_NAC,CO,F3,LIAB,S11,DE,2000-01-01,52634
MIO_NAC,CO,F3,LIAB,S11,DE,2001-01-01,62759
MIO_NAC,CO,F3,LIAB,S11,DE,2002-01-01,70521
MIO_NAC,CO,F3,LIAB,S11,DE,2003-01-01,98959
MIO_NAC,CO,F3,LIAB,S11,DE,2004-01-01,103408
MIO_NAC,CO,F3,LIAB,S11,DE,2005-01-01,106640
MIO_NAC,CO,F3,LIAB,S11,DE,2006-01-01,108892
MIO_NAC,CO,F3,LIAB,S11,DE,2007-01-01,118635
MIO_NAC,CO,F3,LIAB,S11,DE,2008-01-01,131215
MIO_NAC,CO,F3,LIAB,S11,DE,2009-01-01,128991
MIO_NAC,CO,F3,LIAB,S11,DE,2010-01-01,134846
MIO_NAC,CO,F3,LIAB,S11,DE,2011-01-01,110722
MIO_NAC,CO,F3,LIAB,S11,DE,2012-01-01,
MIO_NAC,CO,F3,LIAB,S11,DE,2013-01-01,
MIO_NAC,CO,F3,LIAB,S11,DE,2014-01-01,
MIO_NAC,CO,F3,LIAB,S11,DE,2015-01-01,
MIO_NAC,CO,F3,LIAB,S11,DE,2016-01-01,183815
MIO_NAC,CO,F3,LIAB,S11,DE,2017-01-01,210567
MIO_NAC,CO,F3,LIAB,S11,DK,1995-01-01,63238
MIO_NAC,CO,F3,LIAB,S11,DK,1996-01-01,77854
MIO_NAC,CO,F3,LIAB,S11,DK,1997-01-01,91020
MIO_NAC,CO,F3,LIAB,S11,DK,1998-01-01,88132
MIO_NAC,CO,F3,LIAB,S11,DK,1999-01-01,88139
MIO_NAC,CO,F3,LIAB,S11,DK,2000-01-01,91941
MIO_NAC,CO,F3,LIAB,S11,DK,2001-01-01,99117
MIO_NAC,CO,F3,LIAB,S11,DK,2002-01-01,99868
MIO_NAC,CO,F3,LIAB,S11,DK,2003-01-01,99258
MIO_NAC,CO,F3,LIAB,S11,DK,2004-01-01,110225
MIO_NAC,CO,F3,LIAB,S11,DK,2005-01-01,124317
MIO_NAC,CO,F3,LIAB,S11,DK,2006-01-01,112903
MIO_NAC,CO,F3,LIAB,S11,DK,2007-01-01,97358
MIO_NAC,CO,F3,LIAB,S11,DK,2008-01-01,86306
MIO_NAC,CO,F3,LIAB,S11,DK,2009-01-01,110650
MIO_NAC,CO,F3,LIAB,S11,DK,2010-01-01,119293
MIO_NAC,CO,F3,LIAB,S11,DK,2011-01-01,132960
MIO_NAC,CO,F3,LIAB,S11,DK,2012-01-01,
MIO_NAC,CO,F3,LIAB,S11,DK,2013-01-01,
MIO_NAC,CO,F3,LIAB,S11,DK,2014-01-01,
MIO_NAC,CO,F3,LIAB,S11,DK,2015-01-01,
MIO_NAC,CO,F3,LIAB,S11,DK,2016-01-01,193670
MIO_NAC,CO,F3,LIAB,S11,DK,2017-01-01,192167
MIO_NAC,CO,F3,LIAB,S11,EE,1995-01-01,64
MIO_NAC,CO,F3,LIAB,S11,EE,1996-01-01,142
MIO_NAC,CO,F3,LIAB,S11,EE,1997-01-01,275
MIO_NAC,CO,F3,LIAB,S11,EE,1998-01-01,298
MIO_NAC,CO,F3,LIAB,S11,EE,1999-01-01,257
MIO_NAC,CO,F3,LIAB,S11,EE,2000-01-01,157
MIO_NAC,CO,F3,LIAB,S11,EE,2001-01-01,188
MIO_NAC,CO,F3,LIAB,S11,EE,2002-01-01,481
MIO_NAC,CO,F3,LIAB,S11,EE,2003-01-01,302
MIO_NAC,CO,F3,LIAB,S11,EE,2004-01-01,309
MIO_NAC,CO,F3,LIAB,S11,EE,2005-01-01,472
MIO_NAC,CO,F3,LIAB,S11,EE,2006-01-01,431
MIO_NAC,CO,F3,LIAB,S11,EE,2007-01-01,488
MIO_NAC,CO,F3,LIAB,S11,EE,2008-01-01,731
MIO_NAC,CO,F3,LIAB,S11,EE,2009-01-01,654
MIO_NAC,CO,F3,LIAB,S11,EE,2010-01-01,625
MIO_NAC,CO,F3,LIAB,S11,EE,2011-01-01,732
MIO_NAC,CO,F3,LIAB,S11,EE,2012-01-01,
MIO_NAC,CO,F3,LIAB,S11,EE,2013-01-01,
MIO_NAC,CO,F3,LIAB,S11,EE,2014-01-01,
MIO_NAC,CO,F3,LIAB,S11,EE,2015-01-01,
MIO_NAC,CO,F3,LIAB,S11,EE,2016-01-01,1347
MIO_NAC,CO,F3,LIAB,S11,EE,2017-01-01,1358
MIO_NAC,CO,F3,LIAB,S11,EL,1995-01-01,627
MIO_NAC,CO,F3,LIAB,S11,EL,1996-01-01,730
MIO_NAC,CO,F3,LIAB,S11,EL,1997-01-01,930
MIO_NAC,CO,F3,LIAB,S11,EL,1998-01-01,1209
MIO_NAC,CO,F3,LIAB,S11,EL,1999-01-01,824
MIO_NAC,CO,F3,LIAB,S11,EL,2000-01-01,4553
MIO_NAC,CO,F3,LIAB,S11,EL,2001-01-01,4715
MIO_NAC,CO,F3,LIAB,S11,EL,2002-01-01,4631
MIO_NAC,CO,F3,LIAB,S11,EL,2003-01-01,5239
MIO_NAC,CO,F3,LIAB,S11,EL,2004-01-01,7883
MIO_NAC,CO,F3,LIAB,S11,EL,2005-01-01,10977
MIO_NAC,CO,F3,LIAB,S11,EL,2006-01-01,14862
MIO_NAC,CO,F3,LIAB,S11,EL,2007-01-01,19632
MIO_NAC,CO,F3,LIAB,S11,EL,2008-01-01,28408
MIO_NAC,CO,F3,LIAB,S11,EL,2009-01-01,26930
MIO_NAC,CO,F3,LIAB,S11,EL,2010-01-01,6237
MIO_NAC,CO,F3,LIAB,S11,EL,2011-01-01,2847
MIO_NAC,CO,F3,LIAB,S11,EL,2012-01-01,
MIO_NAC,CO,F3,LIAB,S11,EL,2013-01-01,
MIO_NAC,CO,F3,LIAB,S11,EL,2014-01-01,
MIO_NAC,CO,F3,LIAB,S11,EL,2015-01-01,
MIO_NAC,CO,F3,LIAB,S11,EL,2016-01-01,526
MIO_NAC,CO,F3,LIAB,S11,EL,2017-01-01,671
MIO_NAC,CO,F3,LIAB,S11,ES,1995-01-01,19260
MIO_NAC,CO,F3,LIAB,S11,ES,1996-01-01,18420
MIO_NAC,CO,F3,LIAB,S11,ES,1997-01-01,17080
MIO_NAC,CO,F3,LIAB,S11,ES,1998-01-01,16301
MIO_NAC,CO,F3,LIAB,S11,ES,1999-01-01,17853
MIO_NAC,CO,F3,LIAB,S11,ES,2000-01-01,14499
MIO_NAC,CO,F3,LIAB,S11,ES,2001-01-01,14362
MIO_NAC,CO,F3,LIAB,S11,ES,2002-01-01,11874
MIO_NAC,CO,F3,LIAB,S11,ES,2003-01-01,10427
MIO_NAC,CO,F3,LIAB,S11,ES,2004-01-01,11105
MIO_NAC,CO,F3,LIAB,S11,ES,2005-01-01,9902
MIO_NAC,CO,F3,LIAB,S11,ES,2006-01-01,11339
MIO_NAC,CO,F3,LIAB,S11,ES,2007-01-01,12051
MIO_NAC,CO,F3,LIAB,S11,ES,2008-01-01,13021
MIO_NAC,CO,F3,LIAB,S11,ES,2009-01-01,13944
MIO_NAC,CO,F3,LIAB,S11,ES,2010-01-01,12947
MIO_NAC,CO,F3,LIAB,S11,ES,2011-01-01,13494
MIO_NAC,CO,F3,LIAB,S11,ES,2012-01-01,
MIO_NAC,CO,F3,LIAB,S11,ES,2013-01-01,
MIO_NAC,CO,F3,LIAB,S11,ES,2014-01-01,
MIO_NAC,CO,F3,LIAB,S11,ES,2015-01-01,
MIO_NAC,CO,F3,LIAB,S11,ES,2016-01-01,25284
MIO_NAC,CO,F3,LIAB,S11,ES,2017-01-01,29314
MIO_NAC,CO,F3,LIAB,S11,FI,1995-01-01,5140
MIO_NAC,CO,F3,LIAB,S11,FI,1996-01-01,5315
MIO_NAC,CO,F3,LIAB,S11,FI,1997-01-01,6373
MIO_NAC,CO,F3,LIAB,S11,FI,1998-01-01,6262
MIO_NAC,CO,F3,LIAB,S11,FI,1999-01-01,7076
MIO_NAC,CO,F3,LIAB,S11,FI,2000-01-01,10699
MIO_NAC,CO,F3,LIAB,S11,FI,2001-01-01,13170
MIO_NAC,CO,F3,LIAB,S11,FI,2002-01-01,13910
MIO_NAC,CO,F3,LIAB,S11,FI,2003-01-01,15818
MIO_NAC,CO,F3,LIAB,S11,FI,2004-01-01,16559
MIO_NAC,CO,F3,LIAB,S11,FI,2005-01-01,18650
MIO_NAC,CO,F3,LIAB,S11,FI,2006-01-01,20661
