unit,airsect,airpol,geotime,date,value
PC,SE1_RD_NRD,NMVOC,AT,1990-01-01,316
PC,SE1_RD_NRD,NMVOC,AT,1991-01-01,301
PC,SE1_RD_NRD,NMVOC,AT,1992-01-01,260
PC,SE1_RD_NRD,NMVOC,AT,1993-01-01,225
PC,SE1_RD_NRD,NMVOC,AT,1994-01-01,197
PC,SE1_RD_NRD,NMVOC,AT,1995-01-01,174
PC,SE1_RD_NRD,NMVOC,AT,1996-01-01,153
PC,SE1_RD_NRD,NMVOC,AT,1997-01-01,133
PC,SE1_RD_NRD,NMVOC,AT,1998-01-01,126
PC,SE1_RD_NRD,NMVOC,AT,1999-01-01,110
PC,SE1_RD_NRD,NMVOC,AT,2000-01-01,
PC,SE1_RD_NRD,NMVOC,AT,2001-01-01,
PC,SE1_RD_NRD,NMVOC,AT,2002-01-01,
PC,SE1_RD_NRD,NMVOC,AT,2003-01-01,
PC,SE1_RD_NRD,NMVOC,AT,2004-01-01,
PC,SE1_RD_NRD,NMVOC,AT,2005-01-01,
PC,SE1_RD_NRD,NMVOC,AT,2006-01-01,
PC,SE1_RD_NRD,NMVOC,AT,2007-01-01,
PC,SE1_RD_NRD,NMVOC,AT,2008-01-01,
PC,SE1_RD_NRD,NMVOC,AT,2009-01-01,
PC,SE1_RD_NRD,NMVOC,AT,2010-01-01,
PC,SE1_RD_NRD,NMVOC,AT,2011-01-01,
PC,SE1_RD_NRD,NMVOC,AT,2012-01-01,
PC,SE1_RD_NRD,NMVOC,AT,2013-01-01,
PC,SE1_RD_NRD,NMVOC,AT,2014-01-01,
PC,SE1_RD_NRD,NMVOC,AT,2015-01-01,
PC,SE1_RD_NRD,NMVOC,AT,2016-01-01,
PC,SE1_RD_NRD,NMVOC,BE,1990-01-01,252
PC,SE1_RD_NRD,NMVOC,BE,1991-01-01,231
PC,SE1_RD_NRD,NMVOC,BE,1992-01-01,222
PC,SE1_RD_NRD,NMVOC,BE,1993-01-01,204
PC,SE1_RD_NRD,NMVOC,BE,1994-01-01,191
PC,SE1_RD_NRD,NMVOC,BE,1995-01-01,183
PC,SE1_RD_NRD,NMVOC,BE,1996-01-01,167
PC,SE1_RD_NRD,NMVOC,BE,1997-01-01,146
PC,SE1_RD_NRD,NMVOC,BE,1998-01-01,133
PC,SE1_RD_NRD,NMVOC,BE,1999-01-01,118
PC,SE1_RD_NRD,NMVOC,BE,2000-01-01,
PC,SE1_RD_NRD,NMVOC,BE,2001-01-01,
PC,SE1_RD_NRD,NMVOC,BE,2002-01-01,
PC,SE1_RD_NRD,NMVOC,BE,2003-01-01,
PC,SE1_RD_NRD,NMVOC,BE,2004-01-01,
PC,SE1_RD_NRD,NMVOC,BE,2005-01-01,
PC,SE1_RD_NRD,NMVOC,BE,2006-01-01,
PC,SE1_RD_NRD,NMVOC,BE,2007-01-01,
PC,SE1_RD_NRD,NMVOC,BE,2008-01-01,
PC,SE1_RD_NRD,NMVOC,BE,2009-01-01,
PC,SE1_RD_NRD,NMVOC,BE,2010-01-01,
PC,SE1_RD_NRD,NMVOC,BE,2011-01-01,
PC,SE1_RD_NRD,NMVOC,BE,2012-01-01,
PC,SE1_RD_NRD,NMVOC,BE,2013-01-01,
PC,SE1_RD_NRD,NMVOC,BE,2014-01-01,
PC,SE1_RD_NRD,NMVOC,BE,2015-01-01,
PC,SE1_RD_NRD,NMVOC,BE,2016-01-01,
PC,SE1_RD_NRD,NMVOC,BG,1990-01-01,213
PC,SE1_RD_NRD,NMVOC,BG,1991-01-01,110
PC,SE1_RD_NRD,NMVOC,BG,1992-01-01,129
PC,SE1_RD_NRD,NMVOC,BG,1993-01-01,146
PC,SE1_RD_NRD,NMVOC,BG,1994-01-01,142
PC,SE1_RD_NRD,NMVOC,BG,1995-01-01,149
PC,SE1_RD_NRD,NMVOC,BG,1996-01-01,128
PC,SE1_RD_NRD,NMVOC,BG,1997-01-01,90
PC,SE1_RD_NRD,NMVOC,BG,1998-01-01,110
PC,SE1_RD_NRD,NMVOC,BG,1999-01-01,106
PC,SE1_RD_NRD,NMVOC,BG,2000-01-01,
PC,SE1_RD_NRD,NMVOC,BG,2001-01-01,
PC,SE1_RD_NRD,NMVOC,BG,2002-01-01,
PC,SE1_RD_NRD,NMVOC,BG,2003-01-01,
PC,SE1_RD_NRD,NMVOC,BG,2004-01-01,
PC,SE1_RD_NRD,NMVOC,BG,2005-01-01,
PC,SE1_RD_NRD,NMVOC,BG,2006-01-01,
PC,SE1_RD_NRD,NMVOC,BG,2007-01-01,
PC,SE1_RD_NRD,NMVOC,BG,2008-01-01,
PC,SE1_RD_NRD,NMVOC,BG,2009-01-01,
PC,SE1_RD_NRD,NMVOC,BG,2010-01-01,
PC,SE1_RD_NRD,NMVOC,BG,2011-01-01,
PC,SE1_RD_NRD,NMVOC,BG,2012-01-01,
PC,SE1_RD_NRD,NMVOC,BG,2013-01-01,
PC,SE1_RD_NRD,NMVOC,BG,2014-01-01,
PC,SE1_RD_NRD,NMVOC,BG,2015-01-01,
PC,SE1_RD_NRD,NMVOC,BG,2016-01-01,
PC,SE1_RD_NRD,NMVOC,CY,1990-01-01,130
PC,SE1_RD_NRD,NMVOC,CY,1991-01-01,124
PC,SE1_RD_NRD,NMVOC,CY,1992-01-01,127
PC,SE1_RD_NRD,NMVOC,CY,1993-01-01,124
PC,SE1_RD_NRD,NMVOC,CY,1994-01-01,125
PC,SE1_RD_NRD,NMVOC,CY,1995-01-01,121
PC,SE1_RD_NRD,NMVOC,CY,1996-01-01,118
PC,SE1_RD_NRD,NMVOC,CY,1997-01-01,114
PC,SE1_RD_NRD,NMVOC,CY,1998-01-01,108
PC,SE1_RD_NRD,NMVOC,CY,1999-01-01,103
PC,SE1_RD_NRD,NMVOC,CY,2000-01-01,
PC,SE1_RD_NRD,NMVOC,CY,2001-01-01,
PC,SE1_RD_NRD,NMVOC,CY,2002-01-01,
PC,SE1_RD_NRD,NMVOC,CY,2003-01-01,
PC,SE1_RD_NRD,NMVOC,CY,2004-01-01,
PC,SE1_RD_NRD,NMVOC,CY,2005-01-01,
PC,SE1_RD_NRD,NMVOC,CY,2006-01-01,
PC,SE1_RD_NRD,NMVOC,CY,2007-01-01,
