sex,age,unit,geotime,date,value
F,TOTAL,PC,HR,2016-01-01,28
F,TOTAL,PC,HR,2017-01-01,
F,TOTAL,PC,HU,2005-01-01,32
F,TOTAL,PC,HU,2006-01-01,31
F,TOTAL,PC,HU,2007-01-01,30
F,TOTAL,PC,HU,2008-01-01,29
F,TOTAL,PC,HU,2009-01-01,30
F,TOTAL,PC,HU,2010-01-01,30
F,TOTAL,PC,HU,2011-01-01,32
F,TOTAL,PC,HU,2012-01-01,34
F,TOTAL,PC,HU,2013-01-01,35
F,TOTAL,PC,HU,2014-01-01,32
F,TOTAL,PC,HU,2015-01-01,
F,TOTAL,PC,HU,2016-01-01,26
F,TOTAL,PC,HU,2017-01-01,26
F,TOTAL,PC,IE,2005-01-01,25
F,TOTAL,PC,IE,2006-01-01,24
F,TOTAL,PC,IE,2007-01-01,24
F,TOTAL,PC,IE,2008-01-01,24
F,TOTAL,PC,IE,2009-01-01,26
F,TOTAL,PC,IE,2010-01-01,28
F,TOTAL,PC,IE,2011-01-01,29
F,TOTAL,PC,IE,2012-01-01,30
F,TOTAL,PC,IE,2013-01-01,30
F,TOTAL,PC,IE,2014-01-01,28
F,TOTAL,PC,IE,2015-01-01,
F,TOTAL,PC,IE,2016-01-01,25
F,TOTAL,PC,IE,2017-01-01,
F,TOTAL,PC,IS,2005-01-01,13
F,TOTAL,PC,IS,2006-01-01,13
F,TOTAL,PC,IS,2007-01-01,14
F,TOTAL,PC,IS,2008-01-01,12
F,TOTAL,PC,IS,2009-01-01,12
F,TOTAL,PC,IS,2010-01-01,14
F,TOTAL,PC,IS,2011-01-01,14
F,TOTAL,PC,IS,2012-01-01,12
F,TOTAL,PC,IS,2013-01-01,13
F,TOTAL,PC,IS,2014-01-01,11
F,TOTAL,PC,IS,2015-01-01,
F,TOTAL,PC,IS,2016-01-01,12
F,TOTAL,PC,IS,2017-01-01,
F,TOTAL,PC,IT,2005-01-01,27
F,TOTAL,PC,IT,2006-01-01,27
F,TOTAL,PC,IT,2007-01-01,28
F,TOTAL,PC,IT,2008-01-01,27
F,TOTAL,PC,IT,2009-01-01,26
F,TOTAL,PC,IT,2010-01-01,26
F,TOTAL,PC,IT,2011-01-01,29
F,TOTAL,PC,IT,2012-01-01,31
F,TOTAL,PC,IT,2013-01-01,29
F,TOTAL,PC,IT,2014-01-01,29
F,TOTAL,PC,IT,2015-01-01,
F,TOTAL,PC,IT,2016-01-01,30
F,TOTAL,PC,IT,2017-01-01,29
F,TOTAL,PC,LT,2005-01-01,42
F,TOTAL,PC,LT,2006-01-01,37
F,TOTAL,PC,LT,2007-01-01,30
F,TOTAL,PC,LT,2008-01-01,30
F,TOTAL,PC,LT,2009-01-01,31
F,TOTAL,PC,LT,2010-01-01,34
F,TOTAL,PC,LT,2011-01-01,33
F,TOTAL,PC,LT,2012-01-01,33
F,TOTAL,PC,LT,2013-01-01,33
F,TOTAL,PC,LT,2014-01-01,28
F,TOTAL,PC,LT,2015-01-01,
F,TOTAL,PC,LT,2016-01-01,31
F,TOTAL,PC,LT,2017-01-01,31
F,TOTAL,PC,LU,2005-01-01,18
F,TOTAL,PC,LU,2006-01-01,17
F,TOTAL,PC,LU,2007-01-01,16
F,TOTAL,PC,LU,2008-01-01,16
F,TOTAL,PC,LU,2009-01-01,19
F,TOTAL,PC,LU,2010-01-01,17
F,TOTAL,PC,LU,2011-01-01,18
F,TOTAL,PC,LU,2012-01-01,19
F,TOTAL,PC,LU,2013-01-01,19
F,TOTAL,PC,LU,2014-01-01,19
F,TOTAL,PC,LU,2015-01-01,
F,TOTAL,PC,LU,2016-01-01,20
F,TOTAL,PC,LU,2017-01-01,22
F,TOTAL,PC,LV,2005-01-01,48
F,TOTAL,PC,LV,2006-01-01,44
F,TOTAL,PC,LV,2007-01-01,37
F,TOTAL,PC,LV,2008-01-01,36
F,TOTAL,PC,LV,2009-01-01,39
F,TOTAL,PC,LV,2010-01-01,38
F,TOTAL,PC,LV,2011-01-01,40
F,TOTAL,PC,LV,2012-01-01,36
F,TOTAL,PC,LV,2013-01-01,35
F,TOTAL,PC,LV,2014-01-01,34
F,TOTAL,PC,LV,2015-01-01,
F,TOTAL,PC,LV,2016-01-01,30
F,TOTAL,PC,LV,2017-01-01,31
F,TOTAL,PC,MK,2005-01-01,
F,TOTAL,PC,MK,2006-01-01,
F,TOTAL,PC,MK,2007-01-01,
F,TOTAL,PC,MK,2008-01-01,
F,TOTAL,PC,MK,2009-01-01,
F,TOTAL,PC,MK,2010-01-01,47
F,TOTAL,PC,MK,2011-01-01,49
F,TOTAL,PC,MK,2012-01-01,50
F,TOTAL,PC,MK,2013-01-01,47
F,TOTAL,PC,MK,2014-01-01,43
F,TOTAL,PC,MK,2015-01-01,
F,TOTAL,PC,MK,2016-01-01,41
F,TOTAL,PC,MK,2017-01-01,
F,TOTAL,PC,MT,2005-01-01,22
F,TOTAL,PC,MT,2006-01-01,21
F,TOTAL,PC,MT,2007-01-01,20
F,TOTAL,PC,MT,2008-01-01,21
F,TOTAL,PC,MT,2009-01-01,21
F,TOTAL,PC,MT,2010-01-01,22
F,TOTAL,PC,MT,2011-01-01,23
F,TOTAL,PC,MT,2012-01-01,24
F,TOTAL,PC,MT,2013-01-01,24
F,TOTAL,PC,MT,2014-01-01,24
F,TOTAL,PC,MT,2015-01-01,
F,TOTAL,PC,MT,2016-01-01,20
F,TOTAL,PC,MT,2017-01-01,20
F,TOTAL,PC,NL,2005-01-01,17
F,TOTAL,PC,NL,2006-01-01,17
F,TOTAL,PC,NL,2007-01-01,16
F,TOTAL,PC,NL,2008-01-01,15
F,TOTAL,PC,NL,2009-01-01,15
F,TOTAL,PC,NL,2010-01-01,16
F,TOTAL,PC,NL,2011-01-01,16
F,TOTAL,PC,NL,2012-01-01,16
F,TOTAL,PC,NL,2013-01-01,16
F,TOTAL,PC,NL,2014-01-01,17
F,TOTAL,PC,NL,2015-01-01,
F,TOTAL,PC,NL,2016-01-01,17
F,TOTAL,PC,NL,2017-01-01,17
F,TOTAL,PC,NO,2005-01-01,17
F,TOTAL,PC,NO,2006-01-01,18
F,TOTAL,PC,NO,2007-01-01,18
F,TOTAL,PC,NO,2008-01-01,16
F,TOTAL,PC,NO,2009-01-01,16
F,TOTAL,PC,NO,2010-01-01,15
F,TOTAL,PC,NO,2011-01-01,15
