unit,quantile,geotime,date,value
PC,QU1,EA19,2015-01-01,
PC,QU1,EA19,2016-01-01,35
PC,QU1,EA19,2017-01-01,34
PC,QU1,EE,2006-01-01,27
PC,QU1,EE,2007-01-01,18
PC,QU1,EE,2008-01-01,12
PC,QU1,EE,2009-01-01,14
PC,QU1,EE,2010-01-01,22
PC,QU1,EE,2011-01-01,27
PC,QU1,EE,2012-01-01,29
PC,QU1,EE,2013-01-01,
PC,QU1,EE,2014-01-01,33
PC,QU1,EE,2015-01-01,
PC,QU1,EE,2016-01-01,20
PC,QU1,EE,2017-01-01,19
PC,QU1,EL,2006-01-01,69
PC,QU1,EL,2007-01-01,65
PC,QU1,EL,2008-01-01,66
PC,QU1,EL,2009-01-01,66
PC,QU1,EL,2010-01-01,68
PC,QU1,EL,2011-01-01,80
PC,QU1,EL,2012-01-01,92
PC,QU1,EL,2013-01-01,
PC,QU1,EL,2014-01-01,93
PC,QU1,EL,2015-01-01,
PC,QU1,EL,2016-01-01,92
PC,QU1,EL,2017-01-01,89
PC,QU1,ES,2006-01-01,25
PC,QU1,ES,2007-01-01,26
PC,QU1,ES,2008-01-01,31
PC,QU1,ES,2009-01-01,35
PC,QU1,ES,2010-01-01,36
PC,QU1,ES,2011-01-01,36
PC,QU1,ES,2012-01-01,41
PC,QU1,ES,2013-01-01,
PC,QU1,ES,2014-01-01,42
PC,QU1,ES,2015-01-01,
PC,QU1,ES,2016-01-01,38
PC,QU1,ES,2017-01-01,38
PC,QU1,EU27,2006-01-01,33
PC,QU1,EU27,2007-01-01,31
PC,QU1,EU27,2008-01-01,31
PC,QU1,EU27,2009-01-01,31
PC,QU1,EU27,2010-01-01,33
PC,QU1,EU27,2011-01-01,35
PC,QU1,EU27,2012-01-01,34
PC,QU1,EU27,2013-01-01,
PC,QU1,EU27,2014-01-01,36
PC,QU1,EU27,2015-01-01,
PC,QU1,EU27,2016-01-01,35
PC,QU1,EU27,2017-01-01,34
PC,QU1,EU28,2006-01-01,
PC,QU1,EU28,2007-01-01,
PC,QU1,EU28,2008-01-01,
PC,QU1,EU28,2009-01-01,
PC,QU1,EU28,2010-01-01,33
PC,QU1,EU28,2011-01-01,35
PC,QU1,EU28,2012-01-01,34
PC,QU1,EU28,2013-01-01,
PC,QU1,EU28,2014-01-01,36
PC,QU1,EU28,2015-01-01,
PC,QU1,EU28,2016-01-01,35
PC,QU1,EU28,2017-01-01,34
PC,QU1,FI,2006-01-01,12
PC,QU1,FI,2007-01-01,14
PC,QU1,FI,2008-01-01,15
PC,QU1,FI,2009-01-01,13
PC,QU1,FI,2010-01-01,13
PC,QU1,FI,2011-01-01,13
PC,QU1,FI,2012-01-01,13
PC,QU1,FI,2013-01-01,
PC,QU1,FI,2014-01-01,16
PC,QU1,FI,2015-01-01,
PC,QU1,FI,2016-01-01,14
PC,QU1,FI,2017-01-01,12
PC,QU1,FR,2006-01-01,17
PC,QU1,FR,2007-01-01,15
PC,QU1,FR,2008-01-01,13
PC,QU1,FR,2009-01-01,12
PC,QU1,FR,2010-01-01,17
PC,QU1,FR,2011-01-01,18
PC,QU1,FR,2012-01-01,18
PC,QU1,FR,2013-01-01,
PC,QU1,FR,2014-01-01,16
PC,QU1,FR,2015-01-01,
PC,QU1,FR,2016-01-01,18
PC,QU1,FR,2017-01-01,16
PC,QU1,HR,2006-01-01,
PC,QU1,HR,2007-01-01,
PC,QU1,HR,2008-01-01,
PC,QU1,HR,2009-01-01,
PC,QU1,HR,2010-01-01,48
PC,QU1,HR,2011-01-01,32
PC,QU1,HR,2012-01-01,29
PC,QU1,HR,2013-01-01,
PC,QU1,HR,2014-01-01,29
PC,QU1,HR,2015-01-01,
PC,QU1,HR,2016-01-01,28
PC,QU1,HR,2017-01-01,
PC,QU1,HU,2006-01-01,35
PC,QU1,HU,2007-01-01,30
PC,QU1,HU,2008-01-01,34
PC,QU1,HU,2009-01-01,29
PC,QU1,HU,2010-01-01,32
PC,QU1,HU,2011-01-01,38
PC,QU1,HU,2012-01-01,36
PC,QU1,HU,2013-01-01,
PC,QU1,HU,2014-01-01,35
PC,QU1,HU,2015-01-01,
PC,QU1,HU,2016-01-01,27
PC,QU1,HU,2017-01-01,38
PC,QU1,IE,2006-01-01,7
PC,QU1,IE,2007-01-01,11
PC,QU1,IE,2008-01-01,11
PC,QU1,IE,2009-01-01,14
PC,QU1,IE,2010-01-01,18
PC,QU1,IE,2011-01-01,23
PC,QU1,IE,2012-01-01,25
PC,QU1,IE,2013-01-01,
PC,QU1,IE,2014-01-01,23
PC,QU1,IE,2015-01-01,
PC,QU1,IE,2016-01-01,16
PC,QU1,IE,2017-01-01,
PC,QU1,IS,2006-01-01,30
PC,QU1,IS,2007-01-01,25
PC,QU1,IS,2008-01-01,23
PC,QU1,IS,2009-01-01,25
PC,QU1,IS,2010-01-01,27
PC,QU1,IS,2011-01-01,31
PC,QU1,IS,2012-01-01,27
PC,QU1,IS,2013-01-01,
PC,QU1,IS,2014-01-01,24
PC,QU1,IS,2015-01-01,
PC,QU1,IS,2016-01-01,18
PC,QU1,IS,2017-01-01,
PC,QU1,IT,2006-01-01,36
PC,QU1,IT,2007-01-01,25
PC,QU1,IT,2008-01-01,26
PC,QU1,IT,2009-01-01,26
PC,QU1,IT,2010-01-01,28
PC,QU1,IT,2011-01-01,31
PC,QU1,IT,2012-01-01,29
PC,QU1,IT,2013-01-01,
PC,QU1,IT,2014-01-01,31
PC,QU1,IT,2015-01-01,
PC,QU1,IT,2016-01-01,36
PC,QU1,IT,2017-01-01,33
PC,QU1,LT,2006-01-01,25
PC,QU1,LT,2007-01-01,19
PC,QU1,LT,2008-01-01,21
PC,QU1,LT,2009-01-01,20
PC,QU1,LT,2010-01-01,39
PC,QU1,LT,2011-01-01,37
PC,QU1,LT,2012-01-01,32
PC,QU1,LT,2013-01-01,
PC,QU1,LT,2014-01-01,26
PC,QU1,LT,2015-01-01,
PC,QU1,LT,2016-01-01,31
PC,QU1,LT,2017-01-01,29
PC,QU1,LU,2006-01-01,20
PC,QU1,LU,2007-01-01,16
PC,QU1,LU,2008-01-01,15
PC,QU1,LU,2009-01-01,15
PC,QU1,LU,2010-01-01,19
PC,QU1,LU,2011-01-01,17
PC,QU1,LU,2012-01-01,20
PC,QU1,LU,2013-01-01,
PC,QU1,LU,2014-01-01,26
PC,QU1,LU,2015-01-01,
PC,QU1,LU,2016-01-01,33
PC,QU1,LU,2017-01-01,36
PC,QU1,LV,2006-01-01,37
PC,QU1,LV,2007-01-01,32
PC,QU1,LV,2008-01-01,31
PC,QU1,LV,2009-01-01,34
PC,QU1,LV,2010-01-01,32
PC,QU1,LV,2011-01-01,37
PC,QU1,LV,2012-01-01,35
PC,QU1,LV,2013-01-01,
PC,QU1,LV,2014-01-01,32
PC,QU1,LV,2015-01-01,
PC,QU1,LV,2016-01-01,27
PC,QU1,LV,2017-01-01,27
PC,QU1,MK,2006-01-01,
PC,QU1,MK,2007-01-01,
PC,QU1,MK,2008-01-01,
PC,QU1,MK,2009-01-01,
PC,QU1,MK,2010-01-01,
PC,QU1,MK,2011-01-01,68
PC,QU1,MK,2012-01-01,70
PC,QU1,MK,2013-01-01,
PC,QU1,MK,2014-01-01,57
PC,QU1,MK,2015-01-01,
PC,QU1,MK,2016-01-01,53
PC,QU1,MK,2017-01-01,
PC,QU1,MT,2006-01-01,7
PC,QU1,MT,2007-01-01,8
PC,QU1,MT,2008-01-01,10
PC,QU1,MT,2009-01-01,9
PC,QU1,MT,2010-01-01,11
PC,QU1,MT,2011-01-01,9
PC,QU1,MT,2012-01-01,9
PC,QU1,MT,2013-01-01,
PC,QU1,MT,2014-01-01,5
PC,QU1,MT,2015-01-01,
PC,QU1,MT,2016-01-01,5
PC,QU1,MT,2017-01-01,4
PC,QU1,NL,2006-01-01,43
PC,QU1,NL,2007-01-01,45
PC,QU1,NL,2008-01-01,33
PC,QU1,NL,2009-01-01,33
PC,QU1,NL,2010-01-01,32
PC,QU1,NL,2011-01-01,33
PC,QU1,NL,2012-01-01,33
