s_adj,direct,sector,na_item,unit,geotime,date,value
SCA,RECV,S1,B8G,MIO_EUR_SCA,AT,2015-07-01,22967
SCA,RECV,S1,B8G,MIO_EUR_SCA,AT,2015-10-01,23376
SCA,RECV,S1,B8G,MIO_EUR_SCA,AT,2016-01-01,23811
SCA,RECV,S1,B8G,MIO_EUR_SCA,AT,2016-04-01,23359
SCA,RECV,S1,B8G,MIO_EUR_SCA,AT,2016-07-01,23924
SCA,RECV,S1,B8G,MIO_EUR_SCA,AT,2016-10-01,24462
SCA,RECV,S1,B8G,MIO_EUR_SCA,AT,2017-01-01,25000
SCA,RECV,S1,B8G,MIO_EUR_SCA,AT,2017-04-01,24886
SCA,RECV,S1,B8G,MIO_EUR_SCA,AT,2017-07-01,25222
SCA,RECV,S1,B8G,MIO_EUR_SCA,AT,2017-10-01,26084
SCA,RECV,S1,B8G,MIO_EUR_SCA,AT,2018-01-01,26652
SCA,RECV,S1,B8G,MIO_EUR_SCA,AT,2018-04-01,26387
SCA,RECV,S1,B8G,MIO_EUR_SCA,BE,2015-07-01,24045
SCA,RECV,S1,B8G,MIO_EUR_SCA,BE,2015-10-01,23917
SCA,RECV,S1,B8G,MIO_EUR_SCA,BE,2016-01-01,23692
SCA,RECV,S1,B8G,MIO_EUR_SCA,BE,2016-04-01,27631
SCA,RECV,S1,B8G,MIO_EUR_SCA,BE,2016-07-01,24942
SCA,RECV,S1,B8G,MIO_EUR_SCA,BE,2016-10-01,25286
SCA,RECV,S1,B8G,MIO_EUR_SCA,BE,2017-01-01,25244
SCA,RECV,S1,B8G,MIO_EUR_SCA,BE,2017-04-01,26844
SCA,RECV,S1,B8G,MIO_EUR_SCA,BE,2017-07-01,25830
SCA,RECV,S1,B8G,MIO_EUR_SCA,BE,2017-10-01,26208
SCA,RECV,S1,B8G,MIO_EUR_SCA,BE,2018-01-01,26020
SCA,RECV,S1,B8G,MIO_EUR_SCA,BE,2018-04-01,
SCA,RECV,S1,B8G,MIO_EUR_SCA,BG,2015-07-01,2800
SCA,RECV,S1,B8G,MIO_EUR_SCA,BG,2015-10-01,2754
SCA,RECV,S1,B8G,MIO_EUR_SCA,BG,2016-01-01,3091
SCA,RECV,S1,B8G,MIO_EUR_SCA,BG,2016-04-01,3570
SCA,RECV,S1,B8G,MIO_EUR_SCA,BG,2016-07-01,3224
SCA,RECV,S1,B8G,MIO_EUR_SCA,BG,2016-10-01,3408
SCA,RECV,S1,B8G,MIO_EUR_SCA,BG,2017-01-01,3404
SCA,RECV,S1,B8G,MIO_EUR_SCA,BG,2017-04-01,3250
SCA,RECV,S1,B8G,MIO_EUR_SCA,BG,2017-07-01,3557
SCA,RECV,S1,B8G,MIO_EUR_SCA,BG,2017-10-01,3434
SCA,RECV,S1,B8G,MIO_EUR_SCA,BG,2018-01-01,
SCA,RECV,S1,B8G,MIO_EUR_SCA,BG,2018-04-01,
SCA,RECV,S1,B8G,MIO_EUR_SCA,CY,2015-07-01,607
SCA,RECV,S1,B8G,MIO_EUR_SCA,CY,2015-10-01,605
SCA,RECV,S1,B8G,MIO_EUR_SCA,CY,2016-01-01,479
SCA,RECV,S1,B8G,MIO_EUR_SCA,CY,2016-04-01,663
SCA,RECV,S1,B8G,MIO_EUR_SCA,CY,2016-07-01,486
SCA,RECV,S1,B8G,MIO_EUR_SCA,CY,2016-10-01,512
SCA,RECV,S1,B8G,MIO_EUR_SCA,CY,2017-01-01,559
SCA,RECV,S1,B8G,MIO_EUR_SCA,CY,2017-04-01,555
SCA,RECV,S1,B8G,MIO_EUR_SCA,CY,2017-07-01,563
SCA,RECV,S1,B8G,MIO_EUR_SCA,CY,2017-10-01,642
SCA,RECV,S1,B8G,MIO_EUR_SCA,CY,2018-01-01,623
SCA,RECV,S1,B8G,MIO_EUR_SCA,CY,2018-04-01,688
SCA,RECV,S1,B8G,MIO_EUR_SCA,CZ,2015-07-01,11395
SCA,RECV,S1,B8G,MIO_EUR_SCA,CZ,2015-10-01,11808
SCA,RECV,S1,B8G,MIO_EUR_SCA,CZ,2016-01-01,11117
SCA,RECV,S1,B8G,MIO_EUR_SCA,CZ,2016-04-01,12851
SCA,RECV,S1,B8G,MIO_EUR_SCA,CZ,2016-07-01,10893
SCA,RECV,S1,B8G,MIO_EUR_SCA,CZ,2016-10-01,11068
SCA,RECV,S1,B8G,MIO_EUR_SCA,CZ,2017-01-01,11754
SCA,RECV,S1,B8G,MIO_EUR_SCA,CZ,2017-04-01,12073
SCA,RECV,S1,B8G,MIO_EUR_SCA,CZ,2017-07-01,13386
