unit,s_adj,na_item,geotime,date,value
CP_MNAC,NSA,B1GQ,AT,1995-01-01,41530
CP_MNAC,NSA,B1GQ,AT,1995-04-01,44025
CP_MNAC,NSA,B1GQ,AT,1995-07-01,44912
CP_MNAC,NSA,B1GQ,AT,1995-10-01,46140
CP_MNAC,NSA,B1GQ,AT,1996-01-01,42943
CP_MNAC,NSA,B1GQ,AT,1996-04-01,45454
CP_MNAC,NSA,B1GQ,AT,1996-07-01,46335
CP_MNAC,NSA,B1GQ,AT,1996-10-01,47807
CP_MNAC,NSA,B1GQ,AT,1997-01-01,44172
CP_MNAC,NSA,B1GQ,AT,1997-04-01,46800
CP_MNAC,NSA,B1GQ,AT,1997-07-01,47897
CP_MNAC,NSA,B1GQ,AT,1997-10-01,49853
CP_MNAC,NSA,B1GQ,AT,1998-01-01,46296
CP_MNAC,NSA,B1GQ,AT,1998-04-01,49174
CP_MNAC,NSA,B1GQ,AT,1998-07-01,49798
CP_MNAC,NSA,B1GQ,AT,1998-10-01,51077
CP_MNAC,NSA,B1GQ,AT,1999-01-01,47802
CP_MNAC,NSA,B1GQ,AT,1999-04-01,50738
CP_MNAC,NSA,B1GQ,AT,1999-07-01,51743
CP_MNAC,NSA,B1GQ,AT,1999-10-01,53565
CP_MNAC,NSA,B1GQ,AT,2000-01-01,50421
CP_MNAC,NSA,B1GQ,AT,2000-04-01,
CP_MNAC,NSA,B1GQ,AT,2000-07-01,
CP_MNAC,NSA,B1GQ,AT,2000-10-01,
CP_MNAC,NSA,B1GQ,AT,2001-01-01,
CP_MNAC,NSA,B1GQ,AT,2001-04-01,
CP_MNAC,NSA,B1GQ,AT,2001-07-01,
CP_MNAC,NSA,B1GQ,AT,2001-10-01,
CP_MNAC,NSA,B1GQ,AT,2002-01-01,
CP_MNAC,NSA,B1GQ,AT,2002-04-01,
CP_MNAC,NSA,B1GQ,AT,2002-07-01,
CP_MNAC,NSA,B1GQ,AT,2002-10-01,
CP_MNAC,NSA,B1GQ,AT,2003-01-01,
CP_MNAC,NSA,B1GQ,AT,2003-04-01,
CP_MNAC,NSA,B1GQ,AT,2003-07-01,
CP_MNAC,NSA,B1GQ,AT,2003-10-01,
CP_MNAC,NSA,B1GQ,AT,2004-01-01,
CP_MNAC,NSA,B1GQ,AT,2004-04-01,
CP_MNAC,NSA,B1GQ,AT,2004-07-01,
CP_MNAC,NSA,B1GQ,AT,2004-10-01,
CP_MNAC,NSA,B1GQ,AT,2005-01-01,
CP_MNAC,NSA,B1GQ,AT,2005-04-01,
CP_MNAC,NSA,B1GQ,AT,2005-07-01,
CP_MNAC,NSA,B1GQ,AT,2005-10-01,
CP_MNAC,NSA,B1GQ,AT,2006-01-01,
CP_MNAC,NSA,B1GQ,AT,2006-04-01,
CP_MNAC,NSA,B1GQ,AT,2006-07-01,
CP_MNAC,NSA,B1GQ,AT,2006-10-01,
CP_MNAC,NSA,B1GQ,AT,2007-01-01,
CP_MNAC,NSA,B1GQ,AT,2007-04-01,
CP_MNAC,NSA,B1GQ,AT,2007-07-01,
CP_MNAC,NSA,B1GQ,AT,2007-10-01,
CP_MNAC,NSA,B1GQ,AT,2008-01-01,
CP_MNAC,NSA,B1GQ,AT,2008-04-01,
CP_MNAC,NSA,B1GQ,AT,2008-07-01,
CP_MNAC,NSA,B1GQ,AT,2008-10-01,
CP_MNAC,NSA,B1GQ,AT,2009-01-01,
CP_MNAC,NSA,B1GQ,AT,2009-04-01,
CP_MNAC,NSA,B1GQ,AT,2009-07-01,
CP_MNAC,NSA,B1GQ,AT,2009-10-01,
CP_MNAC,NSA,B1GQ,AT,2010-01-01,
CP_MNAC,NSA,B1GQ,AT,2010-04-01,
CP_MNAC,NSA,B1GQ,AT,2010-07-01,
CP_MNAC,NSA,B1GQ,AT,2010-10-01,
CP_MNAC,NSA,B1GQ,AT,2011-01-01,74358
CP_MNAC,NSA,B1GQ,AT,2011-04-01,76899
CP_MNAC,NSA,B1GQ,AT,2011-07-01,78141
CP_MNAC,NSA,B1GQ,AT,2011-10-01,80729
CP_MNAC,NSA,B1GQ,AT,2012-01-01,76766
CP_MNAC,NSA,B1GQ,AT,2012-04-01,78536
CP_MNAC,NSA,B1GQ,AT,2012-07-01,79882
CP_MNAC,NSA,B1GQ,AT,2012-10-01,83467
CP_MNAC,NSA,B1GQ,AT,2013-01-01,77711
CP_MNAC,NSA,B1GQ,AT,2013-04-01,79855
CP_MNAC,NSA,B1GQ,AT,2013-07-01,81601
CP_MNAC,NSA,B1GQ,AT,2013-10-01,84741
CP_MNAC,NSA,B1GQ,AT,2014-01-01,79720
CP_MNAC,NSA,B1GQ,AT,2014-04-01,82400
CP_MNAC,NSA,B1GQ,AT,2014-07-01,83632
CP_MNAC,NSA,B1GQ,AT,2014-10-01,87393
CP_MNAC,NSA,B1GQ,AT,2015-01-01,81894
CP_MNAC,NSA,B1GQ,AT,2015-04-01,85069
CP_MNAC,NSA,B1GQ,AT,2015-07-01,86928
CP_MNAC,NSA,B1GQ,AT,2015-10-01,90366
CP_MNAC,NSA,B1GQ,AT,2016-01-01,85822
CP_MNAC,NSA,B1GQ,AT,2016-04-01,87967
CP_MNAC,NSA,B1GQ,AT,2016-07-01,89195
CP_MNAC,NSA,B1GQ,AT,2016-10-01,93252
CP_MNAC,NSA,B1GQ,AT,2017-01-01,89293
CP_MNAC,NSA,B1GQ,AT,2017-04-01,91409
CP_MNAC,NSA,B1GQ,AT,2017-07-01,92697
CP_MNAC,NSA,B1GQ,AT,2017-10-01,96498
CP_MNAC,NSA,B1GQ,AT,2018-01-01,94006
CP_MNAC,NSA,B1GQ,AT,2018-04-01,95238
CP_MNAC,NSA,B1GQ,BE,1995-01-01,51468
CP_MNAC,NSA,B1GQ,BE,1995-04-01,53462
CP_MNAC,NSA,B1GQ,BE,1995-07-01,51683
CP_MNAC,NSA,B1GQ,BE,1995-10-01,55003
CP_MNAC,NSA,B1GQ,BE,1996-01-01,52586
CP_MNAC,NSA,B1GQ,BE,1996-04-01,54523
CP_MNAC,NSA,B1GQ,BE,1996-07-01,52503
CP_MNAC,NSA,B1GQ,BE,1996-10-01,56330
CP_MNAC,NSA,B1GQ,BE,1997-01-01,54191
CP_MNAC,NSA,B1GQ,BE,1997-04-01,57040
CP_MNAC,NSA,B1GQ,BE,1997-07-01,55345
CP_MNAC,NSA,B1GQ,BE,1997-10-01,59393
CP_MNAC,NSA,B1GQ,BE,1998-01-01,57143
CP_MNAC,NSA,B1GQ,BE,1998-04-01,59315
CP_MNAC,NSA,B1GQ,BE,1998-07-01,57183
CP_MNAC,NSA,B1GQ,BE,1998-10-01,60848
CP_MNAC,NSA,B1GQ,BE,1999-01-01,58591
