indic_il,age,sex,geotime,date,value
LI_R_MD60,TOTAL,F,AT,2006-01-01,14
LI_R_MD60,TOTAL,F,AT,2007-01-01,13
LI_R_MD60,TOTAL,F,AT,2008-01-01,14
LI_R_MD60,TOTAL,F,AT,2009-01-01,12
LI_R_MD60,TOTAL,F,AT,2010-01-01,12
LI_R_MD60,TOTAL,F,AT,2011-01-01,12
LI_R_MD60,TOTAL,F,AT,2012-01-01,12
LI_R_MD60,TOTAL,F,AT,2013-01-01,13
LI_R_MD60,TOTAL,F,AT,2014-01-01,11
LI_R_MD60,TOTAL,F,AT,2015-01-01,11
LI_R_MD60,TOTAL,F,AT,2016-01-01,10
LI_R_MD60,TOTAL,F,AT,2017-01-01,
LI_R_MD60,TOTAL,F,BE,2006-01-01,15
LI_R_MD60,TOTAL,F,BE,2007-01-01,15
LI_R_MD60,TOTAL,F,BE,2008-01-01,16
LI_R_MD60,TOTAL,F,BE,2009-01-01,12
LI_R_MD60,TOTAL,F,BE,2010-01-01,12
LI_R_MD60,TOTAL,F,BE,2011-01-01,13
LI_R_MD60,TOTAL,F,BE,2012-01-01,14
LI_R_MD60,TOTAL,F,BE,2013-01-01,11
LI_R_MD60,TOTAL,F,BE,2014-01-01,11
LI_R_MD60,TOTAL,F,BE,2015-01-01,11
LI_R_MD60,TOTAL,F,BE,2016-01-01,12
LI_R_MD60,TOTAL,F,BE,2017-01-01,
LI_R_MD60,TOTAL,F,CY,2006-01-01,14
LI_R_MD60,TOTAL,F,CY,2007-01-01,11
LI_R_MD60,TOTAL,F,CY,2008-01-01,12
LI_R_MD60,TOTAL,F,CY,2009-01-01,11
LI_R_MD60,TOTAL,F,CY,2010-01-01,13
LI_R_MD60,TOTAL,F,CY,2011-01-01,12
LI_R_MD60,TOTAL,F,CY,2012-01-01,13
LI_R_MD60,TOTAL,F,CY,2013-01-01,16
LI_R_MD60,TOTAL,F,CY,2014-01-01,20
LI_R_MD60,TOTAL,F,CY,2015-01-01,24
LI_R_MD60,TOTAL,F,CY,2016-01-01,22
LI_R_MD60,TOTAL,F,CY,2017-01-01,20
LI_R_MD60,TOTAL,F,CZ,2006-01-01,9
LI_R_MD60,TOTAL,F,CZ,2007-01-01,7
LI_R_MD60,TOTAL,F,CZ,2008-01-01,6
LI_R_MD60,TOTAL,F,CZ,2009-01-01,4
LI_R_MD60,TOTAL,F,CZ,2010-01-01,5
LI_R_MD60,TOTAL,F,CZ,2011-01-01,5
LI_R_MD60,TOTAL,F,CZ,2012-01-01,5
LI_R_MD60,TOTAL,F,CZ,2013-01-01,5
LI_R_MD60,TOTAL,F,CZ,2014-01-01,5
LI_R_MD60,TOTAL,F,CZ,2015-01-01,5
LI_R_MD60,TOTAL,F,CZ,2016-01-01,4
LI_R_MD60,TOTAL,F,CZ,2017-01-01,
LI_R_MD60,TOTAL,F,DE,2006-01-01,16
LI_R_MD60,TOTAL,F,DE,2007-01-01,14
LI_R_MD60,TOTAL,F,DE,2008-01-01,14
LI_R_MD60,TOTAL,F,DE,2009-01-01,14
LI_R_MD60,TOTAL,F,DE,2010-01-01,13
LI_R_MD60,TOTAL,F,DE,2011-01-01,14
LI_R_MD60,TOTAL,F,DE,2012-01-01,15
LI_R_MD60,TOTAL,F,DE,2013-01-01,15
LI_R_MD60,TOTAL,F,DE,2014-01-01,15
LI_R_MD60,TOTAL,F,DE,2015-01-01,14
LI_R_MD60,TOTAL,F,DE,2016-01-01,13
LI_R_MD60,TOTAL,F,DE,2017-01-01,11
LI_R_MD60,TOTAL,F,DK,2006-01-01,11
LI_R_MD60,TOTAL,F,DK,2007-01-01,11
LI_R_MD60,TOTAL,F,DK,2008-01-01,11
LI_R_MD60,TOTAL,F,DK,2009-01-01,11
LI_R_MD60,TOTAL,F,DK,2010-01-01,11
LI_R_MD60,TOTAL,F,DK,2011-01-01,9
LI_R_MD60,TOTAL,F,DK,2012-01-01,9
LI_R_MD60,TOTAL,F,DK,2013-01-01,8
LI_R_MD60,TOTAL,F,DK,2014-01-01,9
LI_R_MD60,TOTAL,F,DK,2015-01-01,8
LI_R_MD60,TOTAL,F,DK,2016-01-01,8
LI_R_MD60,TOTAL,F,DK,2017-01-01,
LI_R_MD60,TOTAL,F,EA18,2006-01-01,16
LI_R_MD60,TOTAL,F,EA18,2007-01-01,15
