currency,indic_il,hhtyp,geo\time,date,value
PPS,LI_C_MD60,A1,DK,2014-01-01,11992 
PPS,LI_C_MD60,A1,DK,2015-01-01,12231
PPS,LI_C_MD60,A1,DK,2016-01-01,12800 
PPS,LI_C_MD60,A1,DK,2017-01-01,12714 
PPS,LI_C_MD60,A1,EE,2006-01-01,3376 
PPS,LI_C_MD60,A1,EE,2007-01-01,3895 
PPS,LI_C_MD60,A1,EE,2008-01-01,4538 
PPS,LI_C_MD60,A1,EE,2009-01-01,4861 
PPS,LI_C_MD60,A1,EE,2010-01-01,4448 
PPS,LI_C_MD60,A1,EE,2011-01-01,4491 
PPS,LI_C_MD60,A1,EE,2012-01-01,4734 
PPS,LI_C_MD60,A1,EE,2013-01-01,5164
PPS,LI_C_MD60,A1,EE,2014-01-01,5545 b
PPS,LI_C_MD60,A1,EE,2015-01-01,6259
PPS,LI_C_MD60,A1,EE,2016-01-01,7122 
PPS,LI_C_MD60,A1,EE,2017-01-01,7475 
PPS,LI_C_MD60,A1,EL,2006-01-01,6697 
PPS,LI_C_MD60,A1,EL,2007-01-01,6873 
PPS,LI_C_MD60,A1,EL,2008-01-01,7219 
PPS,LI_C_MD60,A1,EL,2009-01-01,7521 
PPS,LI_C_MD60,A1,EL,2010-01-01,7559 
PPS,LI_C_MD60,A1,EL,2011-01-01,6976 
PPS,LI_C_MD60,A1,EL,2012-01-01,6038 
PPS,LI_C_MD60,A1,EL,2013-01-01,5427
PPS,LI_C_MD60,A1,EL,2014-01-01,5204 
PPS,LI_C_MD60,A1,EL,2015-01-01,5281
PPS,LI_C_MD60,A1,EL,2016-01-01,5438 
PPS,LI_C_MD60,A1,EL,2017-01-01,5423 
PPS,LI_C_MD60,A1,ES,2006-01-01,7335 
PPS,LI_C_MD60,A1,ES,2007-01-01,7614 
PPS,LI_C_MD60,A1,ES,2008-01-01,9026 b
PPS,LI_C_MD60,A1,ES,2009-01-01,9338 
PPS,LI_C_MD60,A1,ES,2010-01-01,8967 
PPS,LI_C_MD60,A1,ES,2011-01-01,8655 
PPS,LI_C_MD60,A1,ES,2012-01-01,8582 
PPS,LI_C_MD60,A1,ES,2013-01-01,8550
PPS,LI_C_MD60,A1,ES,2014-01-01,8517 
PPS,LI_C_MD60,A1,ES,2015-01-01,8678
PPS,LI_C_MD60,A1,ES,2016-01-01,9200 
PPS,LI_C_MD60,A1,ES,2017-01-01,9308 
PPS,LI_C_MD60,A1,FI,2006-01-01,8886 
PPS,LI_C_MD60,A1,FI,2007-01-01,9145 
PPS,LI_C_MD60,A1,FI,2008-01-01,9933 
PPS,LI_C_MD60,A1,FI,2009-01-01,10421 
PPS,LI_C_MD60,A1,FI,2010-01-01,10327 
PPS,LI_C_MD60,A1,FI,2011-01-01,10760 
PPS,LI_C_MD60,A1,FI,2012-01-01,11146 
PPS,LI_C_MD60,A1,FI,2013-01-01,11507
PPS,LI_C_MD60,A1,FI,2014-01-01,11550 
PPS,LI_C_MD60,A1,FI,2015-01-01,11658
PPS,LI_C_MD60,A1,FI,2016-01-01,11997 
PPS,LI_C_MD60,A1,FI,2017-01-01,11884 
PPS,LI_C_MD60,A1,FR,2006-01-01,8989 
PPS,LI_C_MD60,A1,FR,2007-01-01,9089 
PPS,LI_C_MD60,A1,FR,2008-01-01,10496 b
PPS,LI_C_MD60,A1,FR,2009-01-01,10644 
PPS,LI_C_MD60,A1,FR,2010-01-01,10669 
PPS,LI_C_MD60,A1,FR,2011-01-01,10897 
PPS,LI_C_MD60,A1,FR,2012-01-01,11271 
PPS,LI_C_MD60,A1,FR,2013-01-01,11516
PPS,LI_C_MD60,A1,FR,2014-01-01,11584 
PPS,LI_C_MD60,A1,FR,2015-01-01,11931
PPS,LI_C_MD60,A1,FR,2016-01-01,12375 
PPS,LI_C_MD60,A1,FR,2017-01-01,12271 
PPS,LI_C_MD60,A1,HR,2006-01-01,: 
PPS,LI_C_MD60,A1,HR,2007-01-01,: 
PPS,LI_C_MD60,A1,HR,2008-01-01,: 
PPS,LI_C_MD60,A1,HR,2009-01-01,: 
PPS,LI_C_MD60,A1,HR,2010-01-01,4567 b
PPS,LI_C_MD60,A1,HR,2011-01-01,4454 
PPS,LI_C_MD60,A1,HR,2012-01-01,4417 
PPS,LI_C_MD60,A1,HR,2013-01-01,4448
PPS,LI_C_MD60,A1,HR,2014-01-01,4644 
PPS,LI_C_MD60,A1,HR,2015-01-01,4952
PPS,LI_C_MD60,A1,HR,2016-01-01,5389 
PPS,LI_C_MD60,A1,HR,2017-01-01,: 
PPS,LI_C_MD60,A1,HU,2006-01-01,3646 
PPS,LI_C_MD60,A1,HU,2007-01-01,3894 
PPS,LI_C_MD60,A1,HU,2008-01-01,3958 
PPS,LI_C_MD60,A1,HU,2009-01-01,4097 
PPS,LI_C_MD60,A1,HU,2010-01-01,4025 
PPS,LI_C_MD60,A1,HU,2011-01-01,4281 
PPS,LI_C_MD60,A1,HU,2012-01-01,4563 
PPS,LI_C_MD60,A1,HU,2013-01-01,4366
PPS,LI_C_MD60,A1,HU,2014-01-01,4535 
PPS,LI_C_MD60,A1,HU,2015-01-01,4751
PPS,LI_C_MD60,A1,HU,2016-01-01,4963 
PPS,LI_C_MD60,A1,HU,2017-01-01,5019 
PPS,LI_C_MD60,A1,IE,2006-01-01,9563 
PPS,LI_C_MD60,A1,IE,2007-01-01,10633 
PPS,LI_C_MD60,A1,IE,2008-01-01,10901 
PPS,LI_C_MD60,A1,IE,2009-01-01,10386 
PPS,LI_C_MD60,A1,IE,2010-01-01,10102 
PPS,LI_C_MD60,A1,IE,2011-01-01,9999 
PPS,LI_C_MD60,A1,IE,2012-01-01,9962 
PPS,LI_C_MD60,A1,IE,2013-01-01,10039
PPS,LI_C_MD60,A1,IE,2014-01-01,9939 
PPS,LI_C_MD60,A1,IE,2015-01-01,10622
PPS,LI_C_MD60,A1,IE,2016-01-01,10998 
PPS,LI_C_MD60,A1,IE,2017-01-01,: 
PPS,LI_C_MD60,A1,IS,2006-01-01,11136 
PPS,LI_C_MD60,A1,IS,2007-01-01,11937 
PPS,LI_C_MD60,A1,IS,2008-01-01,12978 
PPS,LI_C_MD60,A1,IS,2009-01-01,12958 
PPS,LI_C_MD60,A1,IS,2010-01-01,10963 
PPS,LI_C_MD60,A1,IS,2011-01-01,10826 
PPS,LI_C_MD60,A1,IS,2012-01-01,10826 
PPS,LI_C_MD60,A1,IS,2013-01-01,11676
PPS,LI_C_MD60,A1,IS,2014-01-01,12080 
PPS,LI_C_MD60,A1,IS,2015-01-01,12482
PPS,LI_C_MD60,A1,IS,2016-01-01,13309 p
PPS,LI_C_MD60,A1,IS,2017-01-01,: 
PPS,LI_C_MD60,A1,IT,2006-01-01,8344 
PPS,LI_C_MD60,A1,IT,2007-01-01,8698 
PPS,LI_C_MD60,A1,IT,2008-01-01,9158 
PPS,LI_C_MD60,A1,IT,2009-01-01,9140 
PPS,LI_C_MD60,A1,IT,2010-01-01,9135 
PPS,LI_C_MD60,A1,IT,2011-01-01,9466 
PPS,LI_C_MD60,A1,IT,2012-01-01,9297 
PPS,LI_C_MD60,A1,IT,2013-01-01,9189
PPS,LI_C_MD60,A1,IT,2014-01-01,9152 
PPS,LI_C_MD60,A1,IT,2015-01-01,9237
PPS,LI_C_MD60,A1,IT,2016-01-01,9728 
PPS,LI_C_MD60,A1,IT,2017-01-01,9875 
PPS,LI_C_MD60,A1,LT,2006-01-01,2772 
PPS,LI_C_MD60,A1,LT,2007-01-01,3428 
PPS,LI_C_MD60,A1,LT,2008-01-01,4111 
PPS,LI_C_MD60,A1,LT,2009-01-01,4289 
PPS,LI_C_MD60,A1,LT,2010-01-01,3611 
PPS,LI_C_MD60,A1,LT,2011-01-01,3641 
PPS,LI_C_MD60,A1,LT,2012-01-01,4034 
PPS,LI_C_MD60,A1,LT,2013-01-01,4369
PPS,LI_C_MD60,A1,LT,2014-01-01,4557 
PPS,LI_C_MD60,A1,LT,2015-01-01,4951
PPS,LI_C_MD60,A1,LT,2016-01-01,5616 
PPS,LI_C_MD60,A1,LT,2017-01-01,5854 
PPS,LI_C_MD60,A1,LU,2006-01-01,15851 
PPS,LI_C_MD60,A1,LU,2007-01-01,16108 
PPS,LI_C_MD60,A1,LU,2008-01-01,16166 
PPS,LI_C_MD60,A1,LU,2009-01-01,16265 
PPS,LI_C_MD60,A1,LU,2010-01-01,15961 
PPS,LI_C_MD60,A1,LU,2011-01-01,15961 
PPS,LI_C_MD60,A1,LU,2012-01-01,15948 
PPS,LI_C_MD60,A1,LU,2013-01-01,16818
PPS,LI_C_MD60,A1,LU,2014-01-01,16962 
PPS,LI_C_MD60,A1,LU,2015-01-01,17571
PPS,LI_C_MD60,A1,LU,2016-01-01,16784 b
PPS,LI_C_MD60,A1,LU,2017-01-01,17292 
PPS,LI_C_MD60,A1,LV,2006-01-01,2686 
PPS,LI_C_MD60,A1,LV,2007-01-01,3352 
PPS,LI_C_MD60,A1,LV,2008-01-01,4283 
PPS,LI_C_MD60,A1,LV,2009-01-01,4279 
PPS,LI_C_MD60,A1,LV,2010-01-01,3525 
PPS,LI_C_MD60,A1,LV,2011-01-01,3566 
PPS,LI_C_MD60,A1,LV,2012-01-01,3661 
PPS,LI_C_MD60,A1,LV,2013-01-01,3868
PPS,LI_C_MD60,A1,LV,2014-01-01,4392 
PPS,LI_C_MD60,A1,LV,2015-01-01,4855
PPS,LI_C_MD60,A1,LV,2016-01-01,5540 
PPS,LI_C_MD60,A1,LV,2017-01-01,5569 
PPS,LI_C_MD60,A1,MK,2006-01-01,: 
PPS,LI_C_MD60,A1,MK,2007-01-01,: 
PPS,LI_C_MD60,A1,MK,2008-01-01,: 
PPS,LI_C_MD60,A1,MK,2009-01-01,: 
PPS,LI_C_MD60,A1,MK,2010-01-01,: 
PPS,LI_C_MD60,A1,MK,2011-01-01,: 
PPS,LI_C_MD60,A1,MK,2012-01-01,2350 
PPS,LI_C_MD60,A1,MK,2013-01-01,2396
PPS,LI_C_MD60,A1,MK,2014-01-01,2458 
PPS,LI_C_MD60,A1,MK,2015-01-01,2734
PPS,LI_C_MD60,A1,MK,2016-01-01,2964 
PPS,LI_C_MD60,A1,MK,2017-01-01,: 
PPS,LI_C_MD60,A1,MT,2006-01-01,7246 
PPS,LI_C_MD60,A1,MT,2007-01-01,7465 
PPS,LI_C_MD60,A1,MT,2008-01-01,7958 
PPS,LI_C_MD60,A1,MT,2009-01-01,8146 
PPS,LI_C_MD60,A1,MT,2010-01-01,8023 
PPS,LI_C_MD60,A1,MT,2011-01-01,8417 
PPS,LI_C_MD60,A1,MT,2012-01-01,8760 
PPS,LI_C_MD60,A1,MT,2013-01-01,9034
PPS,LI_C_MD60,A1,MT,2014-01-01,9300 
PPS,LI_C_MD60,A1,MT,2015-01-01,10009
PPS,LI_C_MD60,A1,MT,2016-01-01,10323 
PPS,LI_C_MD60,A1,MT,2017-01-01,10601 
PPS,LI_C_MD60,A1,NL,2006-01-01,9897 
PPS,LI_C_MD60,A1,NL,2007-01-01,10522 
PPS,LI_C_MD60,A1,NL,2008-01-01,11485 
PPS,LI_C_MD60,A1,NL,2009-01-01,11618 
PPS,LI_C_MD60,A1,NL,2010-01-01,11288 
PPS,LI_C_MD60,A1,NL,2011-01-01,11300 
PPS,LI_C_MD60,A1,NL,2012-01-01,11387 
PPS,LI_C_MD60,A1,NL,2013-01-01,11536
PPS,LI_C_MD60,A1,NL,2014-01-01,11283 
PPS,LI_C_MD60,A1,NL,2015-01-01,11632
PPS,LI_C_MD60,A1,NL,2016-01-01,12717 b
PPS,LI_C_MD60,A1,NL,2017-01-01,12732 
PPS,LI_C_MD60,A1,NO,2006-01-01,12119 
PPS,LI_C_MD60,A1,NO,2007-01-01,12420 
PPS,LI_C_MD60,A1,NO,2008-01-01,13871 
PPS,LI_C_MD60,A1,NO,2009-01-01,14402 
PPS,LI_C_MD60,A1,NO,2010-01-01,13945 
PPS,LI_C_MD60,A1,NO,2011-01-01,14519 
PPS,LI_C_MD60,A1,NO,2012-01-01,15344 
PPS,LI_C_MD60,A1,NO,2013-01-01,16069
PPS,LI_C_MD60,A1,NO,2014-01-01,16715 
PPS,LI_C_MD60,A1,NO,2015-01-01,16994
