unit,s_adj,na_item,geotime,date,value
CLV_PCH_PRE,SCA,P311_S14,EL,2016-04-01,10.4
CLV_PCH_PRE,SCA,P311_S14,EL,2016-07-01,-5.2
CLV_PCH_PRE,SCA,P311_S14,EL,2016-10-01,7.5
CLV_PCH_PRE,SCA,P311_S14,EL,2017-01-01,1.0
CLV_PCH_PRE,SCA,P311_S14,EL,2017-04-01,-1.6
CLV_PCH_PRE,SCA,P311_S14,EL,2017-07-01,6.9
CLV_PCH_PRE,SCA,P311_S14,EL,2017-10-01,-0.1
CLV_PCH_PRE,SCA,P311_S14,EL,2018-01-01,10.1
CLV_PCH_PRE,SCA,P311_S14,EL,2018-04-01,0.9
CLV_PCH_PRE,SCA,P311_S14,ES,2015-07-01,3.5
CLV_PCH_PRE,SCA,P311_S14,ES,2015-10-01,2.1
CLV_PCH_PRE,SCA,P311_S14,ES,2016-01-01,1.2
CLV_PCH_PRE,SCA,P311_S14,ES,2016-04-01,2.9
CLV_PCH_PRE,SCA,P311_S14,ES,2016-07-01,-0.2
CLV_PCH_PRE,SCA,P311_S14,ES,2016-10-01,1.7
CLV_PCH_PRE,SCA,P311_S14,ES,2017-01-01,0.1
CLV_PCH_PRE,SCA,P311_S14,ES,2017-04-01,0.5
CLV_PCH_PRE,SCA,P311_S14,ES,2017-07-01,2.8
CLV_PCH_PRE,SCA,P311_S14,ES,2017-10-01,3.7
CLV_PCH_PRE,SCA,P311_S14,ES,2018-01-01,
CLV_PCH_PRE,SCA,P311_S14,ES,2018-04-01,
CLV_PCH_PRE,SCA,P311_S14,FI,2015-07-01,1.8
CLV_PCH_PRE,SCA,P311_S14,FI,2015-10-01,3.3
CLV_PCH_PRE,SCA,P311_S14,FI,2016-01-01,-1.2
CLV_PCH_PRE,SCA,P311_S14,FI,2016-04-01,3.6
CLV_PCH_PRE,SCA,P311_S14,FI,2016-07-01,1.2
CLV_PCH_PRE,SCA,P311_S14,FI,2016-10-01,-0.5
CLV_PCH_PRE,SCA,P311_S14,FI,2017-01-01,1.2
CLV_PCH_PRE,SCA,P311_S14,FI,2017-04-01,-0.5
CLV_PCH_PRE,SCA,P311_S14,FI,2017-07-01,2.4
CLV_PCH_PRE,SCA,P311_S14,FI,2017-10-01,1.4
CLV_PCH_PRE,SCA,P311_S14,FI,2018-01-01,2.8
CLV_PCH_PRE,SCA,P311_S14,FI,2018-04-01,1.8
CLV_PCH_PRE,SCA,P311_S14,FR,2015-07-01,2.2
CLV_PCH_PRE,SCA,P311_S14,FR,2015-10-01,1.4
CLV_PCH_PRE,SCA,P311_S14,FR,2016-01-01,3.3
CLV_PCH_PRE,SCA,P311_S14,FR,2016-04-01,1.5
CLV_PCH_PRE,SCA,P311_S14,FR,2016-07-01,-3.5
CLV_PCH_PRE,SCA,P311_S14,FR,2016-10-01,3.0
CLV_PCH_PRE,SCA,P311_S14,FR,2017-01-01,-0.1
CLV_PCH_PRE,SCA,P311_S14,FR,2017-04-01,2.5
CLV_PCH_PRE,SCA,P311_S14,FR,2017-07-01,1.5
CLV_PCH_PRE,SCA,P311_S14,FR,2017-10-01,0.7
CLV_PCH_PRE,SCA,P311_S14,FR,2018-01-01,-0.9
CLV_PCH_PRE,SCA,P311_S14,FR,2018-04-01,1.8
CLV_PCH_PRE,SCA,P311_S14,IE,2015-07-01,1.3
CLV_PCH_PRE,SCA,P311_S14,IE,2015-10-01,0.3
CLV_PCH_PRE,SCA,P311_S14,IE,2016-01-01,11.5
CLV_PCH_PRE,SCA,P311_S14,IE,2016-04-01,-0.6
CLV_PCH_PRE,SCA,P311_S14,IE,2016-07-01,0.3
CLV_PCH_PRE,SCA,P311_S14,IE,2016-10-01,0.2
CLV_PCH_PRE,SCA,P311_S14,IE,2017-01-01,1.2
CLV_PCH_PRE,SCA,P311_S14,IE,2017-04-01,0.9
CLV_PCH_PRE,SCA,P311_S14,IE,2017-07-01,1.3
CLV_PCH_PRE,SCA,P311_S14,IE,2017-10-01,0.7
CLV_PCH_PRE,SCA,P311_S14,IE,2018-01-01,-0.1
CLV_PCH_PRE,SCA,P311_S14,IE,2018-04-01,1.6
CLV_PCH_PRE,SCA,P311_S14,IT,2015-07-01,2.2
CLV_PCH_PRE,SCA,P311_S14,IT,2015-10-01,0.3
CLV_PCH_PRE,SCA,P311_S14,IT,2016-01-01,1.5
CLV_PCH_PRE,SCA,P311_S14,IT,2016-04-01,1.3
CLV_PCH_PRE,SCA,P311_S14,IT,2016-07-01,0.1
CLV_PCH_PRE,SCA,P311_S14,IT,2016-10-01,1.8
CLV_PCH_PRE,SCA,P311_S14,IT,2017-01-01,2.7
CLV_PCH_PRE,SCA,P311_S14,IT,2017-04-01,-0.8
CLV_PCH_PRE,SCA,P311_S14,IT,2017-07-01,2.3
CLV_PCH_PRE,SCA,P311_S14,IT,2017-10-01,0.3
CLV_PCH_PRE,SCA,P311_S14,IT,2018-01-01,0.5
CLV_PCH_PRE,SCA,P311_S14,IT,2018-04-01,0.1
CLV_PCH_PRE,SCA,P311_S14,LT,2015-07-01,3.6
CLV_PCH_PRE,SCA,P311_S14,LT,2015-10-01,1.9
CLV_PCH_PRE,SCA,P311_S14,LT,2016-01-01,0.4
CLV_PCH_PRE,SCA,P311_S14,LT,2016-04-01,3.5
CLV_PCH_PRE,SCA,P311_S14,LT,2016-07-01,4.3
CLV_PCH_PRE,SCA,P311_S14,LT,2016-10-01,3.9
CLV_PCH_PRE,SCA,P311_S14,LT,2017-01-01,5.0
CLV_PCH_PRE,SCA,P311_S14,LT,2017-04-01,2.9
CLV_PCH_PRE,SCA,P311_S14,LT,2017-07-01,1.1
CLV_PCH_PRE,SCA,P311_S14,LT,2017-10-01,3.1
CLV_PCH_PRE,SCA,P311_S14,LT,2018-01-01,0.2
CLV_PCH_PRE,SCA,P311_S14,LT,2018-04-01,1.9
CLV_PCH_PRE,SCA,P311_S14,LU,2015-07-01,0.3
CLV_PCH_PRE,SCA,P311_S14,LU,2015-10-01,0.3
CLV_PCH_PRE,SCA,P311_S14,LU,2016-01-01,-11.9
CLV_PCH_PRE,SCA,P311_S14,LU,2016-04-01,-0.4
CLV_PCH_PRE,SCA,P311_S14,LU,2016-07-01,0.0
CLV_PCH_PRE,SCA,P311_S14,LU,2016-10-01,1.5
CLV_PCH_PRE,SCA,P311_S14,LU,2017-01-01,-0.5
CLV_PCH_PRE,SCA,P311_S14,LU,2017-04-01,1.8
CLV_PCH_PRE,SCA,P311_S14,LU,2017-07-01,0.5
CLV_PCH_PRE,SCA,P311_S14,LU,2017-10-01,0.5
CLV_PCH_PRE,SCA,P311_S14,LU,2018-01-01,1.0
CLV_PCH_PRE,SCA,P311_S14,LU,2018-04-01,1.3
CLV_PCH_PRE,SCA,P311_S14,LV,2015-07-01,0.7
CLV_PCH_PRE,SCA,P311_S14,LV,2015-10-01,-0.5
CLV_PCH_PRE,SCA,P311_S14,LV,2016-01-01,-0.1
CLV_PCH_PRE,SCA,P311_S14,LV,2016-04-01,0.2
CLV_PCH_PRE,SCA,P311_S14,LV,2016-07-01,0.0
CLV_PCH_PRE,SCA,P311_S14,LV,2016-10-01,1.1
CLV_PCH_PRE,SCA,P311_S14,LV,2017-01-01,1.4
CLV_PCH_PRE,SCA,P311_S14,LV,2017-04-01,1.4
CLV_PCH_PRE,SCA,P311_S14,LV,2017-07-01,2.1
CLV_PCH_PRE,SCA,P311_S14,LV,2017-10-01,1.6
CLV_PCH_PRE,SCA,P311_S14,LV,2018-01-01,1.7
CLV_PCH_PRE,SCA,P311_S14,LV,2018-04-01,1.6
CLV_PCH_PRE,SCA,P311_S14,MT,2015-07-01,3.1
CLV_PCH_PRE,SCA,P311_S14,MT,2015-10-01,7.5
CLV_PCH_PRE,SCA,P311_S14,MT,2016-01-01,-7.4
CLV_PCH_PRE,SCA,P311_S14,MT,2016-04-01,1.8
CLV_PCH_PRE,SCA,P311_S14,MT,2016-07-01,-1.7
CLV_PCH_PRE,SCA,P311_S14,MT,2016-10-01,5.7
CLV_PCH_PRE,SCA,P311_S14,MT,2017-01-01,-0.9
CLV_PCH_PRE,SCA,P311_S14,MT,2017-04-01,2.1
CLV_PCH_PRE,SCA,P311_S14,MT,2017-07-01,-3.6
CLV_PCH_PRE,SCA,P311_S14,MT,2017-10-01,-0.9
CLV_PCH_PRE,SCA,P311_S14,MT,2018-01-01,3.5
CLV_PCH_PRE,SCA,P311_S14,MT,2018-04-01,1.5
CLV_PCH_PRE,SCA,P311_S14,NL,2015-07-01,3.1
CLV_PCH_PRE,SCA,P311_S14,NL,2015-10-01,0.4
CLV_PCH_PRE,SCA,P311_S14,NL,2016-01-01,-3.9
CLV_PCH_PRE,SCA,P311_S14,NL,2016-04-01,3.0
CLV_PCH_PRE,SCA,P311_S14,NL,2016-07-01,0.6
CLV_PCH_PRE,SCA,P311_S14,NL,2016-10-01,0.5
CLV_PCH_PRE,SCA,P311_S14,NL,2017-01-01,1.3
CLV_PCH_PRE,SCA,P311_S14,NL,2017-04-01,3.9
CLV_PCH_PRE,SCA,P311_S14,NL,2017-07-01,1.0
CLV_PCH_PRE,SCA,P311_S14,NL,2017-10-01,-5.1
CLV_PCH_PRE,SCA,P311_S14,NL,2018-01-01,11.1
CLV_PCH_PRE,SCA,P311_S14,NL,2018-04-01,1.5
CLV_PCH_PRE,SCA,P311_S14,NO,2015-07-01,-1.1
CLV_PCH_PRE,SCA,P311_S14,NO,2015-10-01,0.7
CLV_PCH_PRE,SCA,P311_S14,NO,2016-01-01,1.6
CLV_PCH_PRE,SCA,P311_S14,NO,2016-04-01,-3.0
CLV_PCH_PRE,SCA,P311_S14,NO,2016-07-01,0.7
CLV_PCH_PRE,SCA,P311_S14,NO,2016-10-01,1.5
CLV_PCH_PRE,SCA,P311_S14,NO,2017-01-01,2.0
