s_adj,unit,nace_r2,lcstruct,geotime,date,value
SCA,PCH_PRE,B-E,D1_D4_MD5,AT,2015-07-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,AT,2015-10-01,1
SCA,PCH_PRE,B-E,D1_D4_MD5,AT,2016-01-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,AT,2016-04-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,AT,2016-07-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,AT,2016-10-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,AT,2017-01-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,AT,2017-04-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,AT,2017-07-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,AT,2017-10-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,AT,2018-01-01,1
SCA,PCH_PRE,B-E,D1_D4_MD5,AT,2018-04-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,BE,2015-07-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,BE,2015-10-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,BE,2016-01-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,BE,2016-04-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,BE,2016-07-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,BE,2016-10-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,BE,2017-01-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,BE,2017-04-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,BE,2017-07-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,BE,2017-10-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,BE,2018-01-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,BE,2018-04-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,BG,2015-07-01,2
SCA,PCH_PRE,B-E,D1_D4_MD5,BG,2015-10-01,2
SCA,PCH_PRE,B-E,D1_D4_MD5,BG,2016-01-01,1
SCA,PCH_PRE,B-E,D1_D4_MD5,BG,2016-04-01,3
SCA,PCH_PRE,B-E,D1_D4_MD5,BG,2016-07-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,BG,2016-10-01,2
SCA,PCH_PRE,B-E,D1_D4_MD5,BG,2017-01-01,4
SCA,PCH_PRE,B-E,D1_D4_MD5,BG,2017-04-01,2
SCA,PCH_PRE,B-E,D1_D4_MD5,BG,2017-07-01,2
SCA,PCH_PRE,B-E,D1_D4_MD5,BG,2017-10-01,3
SCA,PCH_PRE,B-E,D1_D4_MD5,BG,2018-01-01,1
SCA,PCH_PRE,B-E,D1_D4_MD5,BG,2018-04-01,3
SCA,PCH_PRE,B-E,D1_D4_MD5,CY,2015-07-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,CY,2015-10-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,CY,2016-01-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,CY,2016-04-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,CY,2016-07-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,CY,2016-10-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,CY,2017-01-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,CY,2017-04-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,CY,2017-07-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,CY,2017-10-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,CY,2018-01-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,CY,2018-04-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,CZ,2015-07-01,1
SCA,PCH_PRE,B-E,D1_D4_MD5,CZ,2015-10-01,1
SCA,PCH_PRE,B-E,D1_D4_MD5,CZ,2016-01-01,0
SCA,PCH_PRE,B-E,D1_D4_MD5,CZ,2016-04-01,1
SCA,PCH_PRE,B-E,D1_D4_MD5,CZ,2016-07-01,1
