exch_rt,unit,geotime,date,value
REER_IC42_CPI,I10,EA19,2017-11-01,97.88
REER_IC42_CPI,I10,EA19,2017-12-01,98.49
REER_IC42_CPI,I10,EA19,2018-01-01,98.28
REER_IC42_CPI,I10,EA19,2018-02-01,98.65
REER_IC42_CPI,I10,EA19,2018-03-01,99.6
REER_IC42_CPI,I10,EA19,2018-04-01,99.75
REER_IC42_CPI,I10,EA19,2018-05-01,98.88
REER_IC42_CPI,I10,EA19,2018-06-01,98.5
REER_IC42_CPI,I10,EA19,2018-07-01,99.2
REER_IC42_CPI,I10,EA19,2018-08-01,99.99
REER_IC42_CPI,I10,EE,2017-09-01,112.49
REER_IC42_CPI,I10,EE,2017-10-01,111.92
REER_IC42_CPI,I10,EE,2017-11-01,112.86
REER_IC42_CPI,I10,EE,2017-12-01,112.54
REER_IC42_CPI,I10,EE,2018-01-01,112.95
REER_IC42_CPI,I10,EE,2018-02-01,114.1
REER_IC42_CPI,I10,EE,2018-03-01,114.25
REER_IC42_CPI,I10,EE,2018-04-01,115.47
REER_IC42_CPI,I10,EE,2018-05-01,115.2
REER_IC42_CPI,I10,EE,2018-06-01,115.8
REER_IC42_CPI,I10,EE,2018-07-01,116.28
REER_IC42_CPI,I10,EE,2018-08-01,117.98
REER_IC42_CPI,I10,EL,2017-09-01,94.71
REER_IC42_CPI,I10,EL,2017-10-01,94.43
REER_IC42_CPI,I10,EL,2017-11-01,93.88
REER_IC42_CPI,I10,EL,2017-12-01,94.08
REER_IC42_CPI,I10,EL,2018-01-01,93.62
REER_IC42_CPI,I10,EL,2018-02-01,93.69
REER_IC42_CPI,I10,EL,2018-03-01,94.51
REER_IC42_CPI,I10,EL,2018-04-01,95.39
REER_IC42_CPI,I10,EL,2018-05-01,94.69
REER_IC42_CPI,I10,EL,2018-06-01,95.33
REER_IC42_CPI,I10,EL,2018-07-01,94.67
REER_IC42_CPI,I10,EL,2018-08-01,95.68
REER_IC42_CPI,I10,ES,2017-09-01,97.99
REER_IC42_CPI,I10,ES,2017-10-01,98.39
REER_IC42_CPI,I10,ES,2017-11-01,98.81
REER_IC42_CPI,I10,ES,2017-12-01,98.75
REER_IC42_CPI,I10,ES,2018-01-01,98.0
REER_IC42_CPI,I10,ES,2018-02-01,98.08
REER_IC42_CPI,I10,ES,2018-03-01,98.8
REER_IC42_CPI,I10,ES,2018-04-01,99.3
REER_IC42_CPI,I10,ES,2018-05-01,99.37
REER_IC42_CPI,I10,ES,2018-06-01,99.4
REER_IC42_CPI,I10,ES,2018-07-01,98.68
REER_IC42_CPI,I10,ES,2018-08-01,99.08
REER_IC42_CPI,I10,EU28,2017-09-01,95.99
REER_IC42_CPI,I10,EU28,2017-10-01,95.73
REER_IC42_CPI,I10,EU28,2017-11-01,96.15
REER_IC42_CPI,I10,EU28,2017-12-01,97.06
REER_IC42_CPI,I10,EU28,2018-01-01,97.37
REER_IC42_CPI,I10,EU28,2018-02-01,97.7
REER_IC42_CPI,I10,EU28,2018-03-01,98.42
REER_IC42_CPI,I10,EU28,2018-04-01,99.04
REER_IC42_CPI,I10,EU28,2018-05-01,97.23
REER_IC42_CPI,I10,EU28,2018-06-01,96.54
REER_IC42_CPI,I10,EU28,2018-07-01,97.24
REER_IC42_CPI,I10,EU28,2018-08-01,98.1
REER_IC42_CPI,I10,FI,2017-09-01,101.96
REER_IC42_CPI,I10,FI,2017-10-01,101.69
REER_IC42_CPI,I10,FI,2017-11-01,102.3
REER_IC42_CPI,I10,FI,2017-12-01,102.3
REER_IC42_CPI,I10,FI,2018-01-01,102.54
REER_IC42_CPI,I10,FI,2018-02-01,102.96
REER_IC42_CPI,I10,FI,2018-03-01,103.14
REER_IC42_CPI,I10,FI,2018-04-01,103.69
REER_IC42_CPI,I10,FI,2018-05-01,102.61
REER_IC42_CPI,I10,FI,2018-06-01,102.36
REER_IC42_CPI,I10,FI,2018-07-01,102.59
REER_IC42_CPI,I10,FI,2018-08-01,103.29
REER_IC42_CPI,I10,FR,2017-09-01,96.76
REER_IC42_CPI,I10,FR,2017-10-01,96.58
REER_IC42_CPI,I10,FR,2017-11-01,96.68
REER_IC42_CPI,I10,FR,2017-12-01,97.01
REER_IC42_CPI,I10,FR,2018-01-01,97.79
REER_IC42_CPI,I10,FR,2018-02-01,97.61
REER_IC42_CPI,I10,FR,2018-03-01,98.45
REER_IC42_CPI,I10,FR,2018-04-01,98.42
REER_IC42_CPI,I10,FR,2018-05-01,97.8
REER_IC42_CPI,I10,FR,2018-06-01,97.5
REER_IC42_CPI,I10,FR,2018-07-01,98.0
REER_IC42_CPI,I10,FR,2018-08-01,98.74
REER_IC42_CPI,I10,HR,2017-09-01,98.21
REER_IC42_CPI,I10,HR,2017-10-01,97.46
REER_IC42_CPI,I10,HR,2017-11-01,96.92
REER_IC42_CPI,I10,HR,2017-12-01,96.57
REER_IC42_CPI,I10,HR,2018-01-01,98.34
REER_IC42_CPI,I10,HR,2018-02-01,98.12
REER_IC42_CPI,I10,HR,2018-03-01,98.17
REER_IC42_CPI,I10,HR,2018-04-01,99.43
REER_IC42_CPI,I10,HR,2018-05-01,99.33
REER_IC42_CPI,I10,HR,2018-06-01,100.0
REER_IC42_CPI,I10,HR,2018-07-01,100.52
REER_IC42_CPI,I10,HR,2018-08-01,100.79
REER_IC42_CPI,I10,HU,2017-09-01,94.08
REER_IC42_CPI,I10,HU,2017-10-01,93.65
REER_IC42_CPI,I10,HU,2017-11-01,93.37
REER_IC42_CPI,I10,HU,2017-12-01,92.78
REER_IC42_CPI,I10,HU,2018-01-01,94.79
REER_IC42_CPI,I10,HU,2018-02-01,94.03
REER_IC42_CPI,I10,HU,2018-03-01,93.7
REER_IC42_CPI,I10,HU,2018-04-01,94.47
REER_IC42_CPI,I10,HU,2018-05-01,92.95
REER_IC42_CPI,I10,HU,2018-06-01,91.39
REER_IC42_CPI,I10,HU,2018-07-01,91.45
REER_IC42_CPI,I10,HU,2018-08-01,92.31
REER_IC42_CPI,I10,IE,2017-09-01,91.75
REER_IC42_CPI,I10,IE,2017-10-01,91.29
REER_IC42_CPI,I10,IE,2017-11-01,91.13
REER_IC42_CPI,I10,IE,2017-12-01,91.14
REER_IC42_CPI,I10,IE,2018-01-01,91.5
REER_IC42_CPI,I10,IE,2018-02-01,92.23
REER_IC42_CPI,I10,IE,2018-03-01,92.33
REER_IC42_CPI,I10,IE,2018-04-01,91.75
REER_IC42_CPI,I10,IE,2018-05-01,90.88
REER_IC42_CPI,I10,IE,2018-06-01,90.54
REER_IC42_CPI,I10,IE,2018-07-01,91.26
REER_IC42_CPI,I10,IE,2018-08-01,91.25
REER_IC42_CPI,I10,IT,2017-09-01,99.6
REER_IC42_CPI,I10,IT,2017-10-01,99.31
REER_IC42_CPI,I10,IT,2017-11-01,99.18
REER_IC42_CPI,I10,IT,2017-12-01,99.45
REER_IC42_CPI,I10,IT,2018-01-01,98.7
REER_IC42_CPI,I10,IT,2018-02-01,98.08
REER_IC42_CPI,I10,IT,2018-03-01,100.16
