na_item,unit,geotime,date,value
B1GQ,CLV10_MNAC,AT,1995-01-01,219275
B1GQ,CLV10_MNAC,AT,1996-01-01,224427
B1GQ,CLV10_MNAC,AT,1997-01-01,229126
B1GQ,CLV10_MNAC,AT,1998-01-01,237332
B1GQ,CLV10_MNAC,AT,1999-01-01,245772
B1GQ,CLV10_MNAC,AT,2000-01-01,254069
B1GQ,CLV10_MNAC,AT,2001-01-01,
B1GQ,CLV10_MNAC,AT,2002-01-01,
B1GQ,CLV10_MNAC,AT,2003-01-01,
B1GQ,CLV10_MNAC,AT,2004-01-01,
B1GQ,CLV10_MNAC,AT,2005-01-01,
B1GQ,CLV10_MNAC,AT,2006-01-01,
B1GQ,CLV10_MNAC,AT,2007-01-01,
B1GQ,CLV10_MNAC,AT,2008-01-01,
B1GQ,CLV10_MNAC,AT,2009-01-01,
B1GQ,CLV10_MNAC,AT,2010-01-01,
B1GQ,CLV10_MNAC,AT,2011-01-01,304545
B1GQ,CLV10_MNAC,AT,2012-01-01,306617
B1GQ,CLV10_MNAC,AT,2013-01-01,306695
B1GQ,CLV10_MNAC,AT,2014-01-01,308723
B1GQ,CLV10_MNAC,AT,2015-01-01,312252
B1GQ,CLV10_MNAC,AT,2016-01-01,318620
B1GQ,CLV10_MNAC,AT,2017-01-01,326748
B1GQ,CLV10_MNAC,BE,1995-01-01,269628
B1GQ,CLV10_MNAC,BE,1996-01-01,273925
B1GQ,CLV10_MNAC,BE,1997-01-01,284088
B1GQ,CLV10_MNAC,BE,1998-01-01,289700
B1GQ,CLV10_MNAC,BE,1999-01-01,300023
B1GQ,CLV10_MNAC,BE,2000-01-01,310925
B1GQ,CLV10_MNAC,BE,2001-01-01,
B1GQ,CLV10_MNAC,BE,2002-01-01,
B1GQ,CLV10_MNAC,BE,2003-01-01,
B1GQ,CLV10_MNAC,BE,2004-01-01,
B1GQ,CLV10_MNAC,BE,2005-01-01,
B1GQ,CLV10_MNAC,BE,2006-01-01,
B1GQ,CLV10_MNAC,BE,2007-01-01,
B1GQ,CLV10_MNAC,BE,2008-01-01,
B1GQ,CLV10_MNAC,BE,2009-01-01,
B1GQ,CLV10_MNAC,BE,2010-01-01,
B1GQ,CLV10_MNAC,BE,2011-01-01,371666
B1GQ,CLV10_MNAC,BE,2012-01-01,372538
B1GQ,CLV10_MNAC,BE,2013-01-01,373286
B1GQ,CLV10_MNAC,BE,2014-01-01,377969
B1GQ,CLV10_MNAC,BE,2015-01-01,384458
B1GQ,CLV10_MNAC,BE,2016-01-01,390181
