na_item,co_nco,sector,finpos,unit,geotime,date,value
F,CO,S12,LIAB,MIO_NAC,AT,1995-01-01,342134
F,CO,S12,LIAB,MIO_NAC,AT,1996-01-01,369413
F,CO,S12,LIAB,MIO_NAC,AT,1997-01-01,392817
F,CO,S12,LIAB,MIO_NAC,AT,1998-01-01,417157
F,CO,S12,LIAB,MIO_NAC,AT,1999-01-01,472310
F,CO,S12,LIAB,MIO_NAC,AT,2000-01-01,528814
F,CO,S12,LIAB,MIO_NAC,AT,2001-01-01,551357
F,CO,S12,LIAB,MIO_NAC,AT,2002-01-01,553765
F,CO,S12,LIAB,MIO_NAC,AT,2003-01-01,588558
F,CO,S12,LIAB,MIO_NAC,AT,2004-01-01,648402
F,CO,S12,LIAB,MIO_NAC,AT,2005-01-01,813021
F,CO,S12,LIAB,MIO_NAC,AT,2006-01-01,910446
F,CO,S12,LIAB,MIO_NAC,AT,2007-01-01,990474
F,CO,S12,LIAB,MIO_NAC,AT,2008-01-01,1008531
F,CO,S12,LIAB,MIO_NAC,AT,2009-01-01,1005196
F,CO,S12,LIAB,MIO_NAC,AT,2010-01-01,1013611
F,CO,S12,LIAB,MIO_NAC,AT,2011-01-01,1027535
F,CO,S12,LIAB,MIO_NAC,AT,2012-01-01,1048935
F,CO,S12,LIAB,MIO_NAC,AT,2013-01-01,1031934
F,CO,S12,LIAB,MIO_NAC,AT,2014-01-01,1042904
F,CO,S12,LIAB,MIO_NAC,AT,2015-01-01,1046978
F,CO,S12,LIAB,MIO_NAC,AT,2016-01-01,1023461
F,CO,S12,LIAB,MIO_NAC,AT,2017-01-01,1038677
F,CO,S12,LIAB,MIO_NAC,BE,1995-01-01,672504
F,CO,S12,LIAB,MIO_NAC,BE,1996-01-01,712124
F,CO,S12,LIAB,MIO_NAC,BE,1997-01-01,776044
F,CO,S12,LIAB,MIO_NAC,BE,1998-01-01,843326
F,CO,S12,LIAB,MIO_NAC,BE,1999-01-01,905813
F,CO,S12,LIAB,MIO_NAC,BE,2000-01-01,950082
F,CO,S12,LIAB,MIO_NAC,BE,2001-01-01,1026699
F,CO,S12,LIAB,MIO_NAC,BE,2002-01-01,1030679
F,CO,S12,LIAB,MIO_NAC,BE,2003-01-01,1129881
F,CO,S12,LIAB,MIO_NAC,BE,2004-01-01,1264920
F,CO,S12,LIAB,MIO_NAC,BE,2005-01-01,1487662
F,CO,S12,LIAB,MIO_NAC,BE,2006-01-01,1643659
F,CO,S12,LIAB,MIO_NAC,BE,2007-01-01,1866048
F,CO,S12,LIAB,MIO_NAC,BE,2008-01-01,1783268
F,CO,S12,LIAB,MIO_NAC,BE,2009-01-01,1780910
F,CO,S12,LIAB,MIO_NAC,BE,2010-01-01,1777382
F,CO,S12,LIAB,MIO_NAC,BE,2011-01-01,1857331
F,CO,S12,LIAB,MIO_NAC,BE,2012-01-01,1747387
F,CO,S12,LIAB,MIO_NAC,BE,2013-01-01,1787576
F,CO,S12,LIAB,MIO_NAC,BE,2014-01-01,1863598
F,CO,S12,LIAB,MIO_NAC,BE,2015-01-01,1903764
F,CO,S12,LIAB,MIO_NAC,BE,2016-01-01,1924732
F,CO,S12,LIAB,MIO_NAC,BE,2017-01-01,1920099
F,CO,S12,LIAB,MIO_NAC,BG,1995-01-01,1391
F,CO,S12,LIAB,MIO_NAC,BG,1996-01-01,4033
F,CO,S12,LIAB,MIO_NAC,BG,1997-01-01,13292
F,CO,S12,LIAB,MIO_NAC,BG,1998-01-01,14546
F,CO,S12,LIAB,MIO_NAC,BG,1999-01-01,17392
F,CO,S12,LIAB,MIO_NAC,BG,2000-01-01,22461
F,CO,S12,LIAB,MIO_NAC,BG,2001-01-01,23870
F,CO,S12,LIAB,MIO_NAC,BG,2002-01-01,25450
F,CO,S12,LIAB,MIO_NAC,BG,2003-01-01,30697
F,CO,S12,LIAB,MIO_NAC,BG,2004-01-01,41532
F,CO,S12,LIAB,MIO_NAC,BG,2005-01-01,54428
F,CO,S12,LIAB,MIO_NAC,BG,2006-01-01,82754
F,CO,S12,LIAB,MIO_NAC,BG,2007-01-01,109893
F,CO,S12,LIAB,MIO_NAC,BG,2008-01-01,108359
F,CO,S12,LIAB,MIO_NAC,BG,2009-01-01,109540
F,CO,S12,LIAB,MIO_NAC,BG,2010-01-01,99758
F,CO,S12,LIAB,MIO_NAC,BG,2011-01-01,104313
F,CO,S12,LIAB,MIO_NAC,BG,2012-01-01,116174
F,CO,S12,LIAB,MIO_NAC,BG,2013-01-01,122207
F,CO,S12,LIAB,MIO_NAC,BG,2014-01-01,129728
F,CO,S12,LIAB,MIO_NAC,BG,2015-01-01,132816
F,CO,S12,LIAB,MIO_NAC,BG,2016-01-01,149574
F,CO,S12,LIAB,MIO_NAC,BG,2017-01-01,150244
F,CO,S12,LIAB,MIO_NAC,CY,1995-01-01,19391
F,CO,S12,LIAB,MIO_NAC,CY,1996-01-01,22426
