indic_nrg,unit,geotime,date,value
B_101700,I05,AL,1990-01-01,101
B_101700,I05,AL,1991-01-01,74
B_101700,I05,AL,1992-01-01,53
B_101700,I05,AL,1993-01-01,49
B_101700,I05,AL,1994-01-01,49
B_101700,I05,AL,1995-01-01,49
B_101700,I05,AL,1996-01-01,53
B_101700,I05,AL,1997-01-01,43
B_101700,I05,AL,1998-01-01,47
B_101700,I05,AL,1999-01-01,79
B_101700,I05,AL,2000-01-01,80
B_101700,I05,AL,2001-01-01,82
B_101700,I05,AL,2002-01-01,92
B_101700,I05,AL,2003-01-01,92
B_101700,I05,AL,2004-01-01,103
B_101700,I05,AL,2005-01-01,100
B_101700,I05,AL,2006-01-01,91
B_101700,I05,AL,2007-01-01,89
B_101700,I05,AL,2008-01-01,92
B_101700,I05,AL,2009-01-01,97
B_101700,I05,AL,2010-01-01,100
B_101700,I05,AL,2011-01-01,103
B_101700,I05,AL,2012-01-01,99
B_101700,I05,AL,2013-01-01,104
B_101700,I05,AL,2014-01-01,108
B_101700,I05,AL,2015-01-01,103
B_101700,I05,AL,2016-01-01,100
B_101700,I05,AT,1990-01-01,69
B_101700,I05,AT,1991-01-01,75
B_101700,I05,AT,1992-01-01,72
B_101700,I05,AT,1993-01-01,74
B_101700,I05,AT,1994-01-01,73
B_101700,I05,AT,1995-01-01,77
B_101700,I05,AT,1996-01-01,83
B_101700,I05,AT,1997-01-01,81
B_101700,I05,AT,1998-01-01,83
B_101700,I05,AT,1999-01-01,84
B_101700,I05,AT,2000-01-01,85
B_101700,I05,AT,2001-01-01,90
B_101700,I05,AT,2002-01-01,91
B_101700,I05,AT,2003-01-01,95
B_101700,I05,AT,2004-01-01,97
B_101700,I05,AT,2005-01-01,100
B_101700,I05,AT,2006-01-01,99
B_101700,I05,AT,2007-01-01,98
B_101700,I05,AT,2008-01-01,98
B_101700,I05,AT,2009-01-01,94
B_101700,I05,AT,2010-01-01,100
B_101700,I05,AT,2011-01-01,97
B_101700,I05,AT,2012-01-01,97
B_101700,I05,AT,2013-01-01,100
B_101700,I05,AT,2014-01-01,96
B_101700,I05,AT,2015-01-01,98
B_101700,I05,AT,2016-01-01,101
B_101700,I05,BE,1990-01-01,86
B_101700,I05,BE,1991-01-01,90
B_101700,I05,BE,1992-01-01,90
B_101700,I05,BE,1993-01-01,89
B_101700,I05,BE,1994-01-01,92
B_101700,I05,BE,1995-01-01,93
B_101700,I05,BE,1996-01-01,100
B_101700,I05,BE,1997-01-01,99
B_101700,I05,BE,1998-01-01,101
B_101700,I05,BE,1999-01-01,101
B_101700,I05,BE,2000-01-01,102
B_101700,I05,BE,2001-01-01,104
B_101700,I05,BE,2002-01-01,99
B_101700,I05,BE,2003-01-01,103
B_101700,I05,BE,2004-01-01,103
B_101700,I05,BE,2005-01-01,100
B_101700,I05,BE,2006-01-01,100
B_101700,I05,BE,2007-01-01,97
B_101700,I05,BE,2008-01-01,100
B_101700,I05,BE,2009-01-01,95
B_101700,I05,BE,2010-01-01,102
B_101700,I05,BE,2011-01-01,95
B_101700,I05,BE,2012-01-01,95
B_101700,I05,BE,2013-01-01,99
B_101700,I05,BE,2014-01-01,93
B_101700,I05,BE,2015-01-01,98
B_101700,I05,BE,2016-01-01,99
B_101700,I05,BG,1990-01-01,160
B_101700,I05,BG,1991-01-01,121
B_101700,I05,BG,1992-01-01,108
B_101700,I05,BG,1993-01-01,105
B_101700,I05,BG,1994-01-01,106
B_101700,I05,BG,1995-01-01,112
B_101700,I05,BG,1996-01-01,113
B_101700,I05,BG,1997-01-01,104
B_101700,I05,BG,1998-01-01,101
B_101700,I05,BG,1999-01-01,89
B_101700,I05,BG,2000-01-01,89
B_101700,I05,BG,2001-01-01,89
B_101700,I05,BG,2002-01-01,89
B_101700,I05,BG,2003-01-01,95
B_101700,I05,BG,2004-01-01,95
B_101700,I05,BG,2005-01-01,100
B_101700,I05,BG,2006-01-01,103
B_101700,I05,BG,2007-01-01,101
B_101700,I05,BG,2008-01-01,98
B_101700,I05,BG,2009-01-01,84
B_101700,I05,BG,2010-01-01,86
B_101700,I05,BG,2011-01-01,90
B_101700,I05,BG,2012-01-01,90
B_101700,I05,BG,2013-01-01,86
B_101700,I05,BG,2014-01-01,88
B_101700,I05,BG,2015-01-01,93
B_101700,I05,BG,2016-01-01,94
B_101700,I05,CY,1990-01-01,60
B_101700,I05,CY,1991-01-01,70
B_101700,I05,CY,1992-01-01,71
B_101700,I05,CY,1993-01-01,71
B_101700,I05,CY,1994-01-01,73
B_101700,I05,CY,1995-01-01,77
B_101700,I05,CY,1996-01-01,80
B_101700,I05,CY,1997-01-01,80
B_101700,I05,CY,1998-01-01,84
B_101700,I05,CY,1999-01-01,86
B_101700,I05,CY,2000-01-01,90
B_101700,I05,CY,2001-01-01,93
B_101700,I05,CY,2002-01-01,93
B_101700,I05,CY,2003-01-01,99
B_101700,I05,CY,2004-01-01,100
B_101700,I05,CY,2005-01-01,100
B_101700,I05,CY,2006-01-01,101
B_101700,I05,CY,2007-01-01,105
B_101700,I05,CY,2008-01-01,107
B_101700,I05,CY,2009-01-01,105
B_101700,I05,CY,2010-01-01,105
B_101700,I05,CY,2011-01-01,104
B_101700,I05,CY,2012-01-01,96
B_101700,I05,CY,2013-01-01,88
B_101700,I05,CY,2014-01-01,88
B_101700,I05,CY,2015-01-01,90
B_101700,I05,CY,2016-01-01,95
B_101700,I05,CZ,1990-01-01,124
B_101700,I05,CZ,1991-01-01,111
B_101700,I05,CZ,1992-01-01,110
B_101700,I05,CZ,1993-01-01,107
B_101700,I05,CZ,1994-01-01,101
B_101700,I05,CZ,1995-01-01,100
B_101700,I05,CZ,1996-01-01,101
B_101700,I05,CZ,1997-01-01,100
B_101700,I05,CZ,1998-01-01,96
B_101700,I05,CZ,1999-01-01,91
B_101700,I05,CZ,2000-01-01,95
B_101700,I05,CZ,2001-01-01,96
B_101700,I05,CZ,2002-01-01,94
B_101700,I05,CZ,2003-01-01,99
B_101700,I05,CZ,2004-01-01,101
B_101700,I05,CZ,2005-01-01,100
B_101700,I05,CZ,2006-01-01,101
B_101700,I05,CZ,2007-01-01,99
B_101700,I05,CZ,2008-01-01,99
B_101700,I05,CZ,2009-01-01,95
B_101700,I05,CZ,2010-01-01,96
B_101700,I05,CZ,2011-01-01,93
B_101700,I05,CZ,2012-01-01,93
B_101700,I05,CZ,2013-01-01,92
B_101700,I05,CZ,2014-01-01,89
B_101700,I05,CZ,2015-01-01,91
B_101700,I05,CZ,2016-01-01,94
B_101700,I05,DE,1990-01-01,104
B_101700,I05,DE,1991-01-01,104
B_101700,I05,DE,1992-01-01,101
B_101700,I05,DE,1993-01-01,101
