unit,sex,age,isced11,geotime,date,value
PC,T,Y15-24,TOTAL,AT,2005-01-01,11.0
PC,T,Y15-24,TOTAL,AT,2006-01-01,9.8
PC,T,Y15-24,TOTAL,AT,2007-01-01,9.4
PC,T,Y15-24,TOTAL,AT,2008-01-01,8.5
PC,T,Y15-24,TOTAL,AT,2009-01-01,10.7
PC,T,Y15-24,TOTAL,AT,2010-01-01,9.5
PC,T,Y15-24,TOTAL,AT,2011-01-01,8.9
PC,T,Y15-24,TOTAL,AT,2012-01-01,9.4
PC,T,Y15-24,TOTAL,AT,2013-01-01,9.7
PC,T,Y15-24,TOTAL,AT,2014-01-01,10.3
PC,T,Y15-24,TOTAL,AT,2015-01-01,10.6
PC,T,Y15-24,TOTAL,AT,2016-01-01,11.2
PC,T,Y15-24,TOTAL,AT,2017-01-01,9.8
PC,T,Y15-24,TOTAL,BE,2005-01-01,21.5
PC,T,Y15-24,TOTAL,BE,2006-01-01,20.5
PC,T,Y15-24,TOTAL,BE,2007-01-01,18.8
PC,T,Y15-24,TOTAL,BE,2008-01-01,18.0
PC,T,Y15-24,TOTAL,BE,2009-01-01,21.9
PC,T,Y15-24,TOTAL,BE,2010-01-01,22.4
PC,T,Y15-24,TOTAL,BE,2011-01-01,18.7
PC,T,Y15-24,TOTAL,BE,2012-01-01,19.8
PC,T,Y15-24,TOTAL,BE,2013-01-01,23.7
PC,T,Y15-24,TOTAL,BE,2014-01-01,23.2
PC,T,Y15-24,TOTAL,BE,2015-01-01,22.1
PC,T,Y15-24,TOTAL,BE,2016-01-01,20.1
PC,T,Y15-24,TOTAL,BE,2017-01-01,19.3
PC,T,Y15-24,TOTAL,BG,2005-01-01,22.3
PC,T,Y15-24,TOTAL,BG,2006-01-01,19.5
PC,T,Y15-24,TOTAL,BG,2007-01-01,15.1
PC,T,Y15-24,TOTAL,BG,2008-01-01,12.7
PC,T,Y15-24,TOTAL,BG,2009-01-01,16.2
PC,T,Y15-24,TOTAL,BG,2010-01-01,21.9
PC,T,Y15-24,TOTAL,BG,2011-01-01,25.0
PC,T,Y15-24,TOTAL,BG,2012-01-01,28.1
PC,T,Y15-24,TOTAL,BG,2013-01-01,28.4
PC,T,Y15-24,TOTAL,BG,2014-01-01,23.8
PC,T,Y15-24,TOTAL,BG,2015-01-01,21.6
PC,T,Y15-24,TOTAL,BG,2016-01-01,17.2
PC,T,Y15-24,TOTAL,BG,2017-01-01,12.9
PC,T,Y15-24,TOTAL,CH,2005-01-01,8.8
PC,T,Y15-24,TOTAL,CH,2006-01-01,7.7
PC,T,Y15-24,TOTAL,CH,2007-01-01,7.1
PC,T,Y15-24,TOTAL,CH,2008-01-01,7.0
PC,T,Y15-24,TOTAL,CH,2009-01-01,8.5
PC,T,Y15-24,TOTAL,CH,2010-01-01,8.2
PC,T,Y15-24,TOTAL,CH,2011-01-01,7.7
PC,T,Y15-24,TOTAL,CH,2012-01-01,8.3
PC,T,Y15-24,TOTAL,CH,2013-01-01,8.7
PC,T,Y15-24,TOTAL,CH,2014-01-01,8.6
PC,T,Y15-24,TOTAL,CH,2015-01-01,8.8
PC,T,Y15-24,TOTAL,CH,2016-01-01,8.6
PC,T,Y15-24,TOTAL,CH,2017-01-01,8.1
PC,T,Y15-24,TOTAL,CY,2005-01-01,13.9
PC,T,Y15-24,TOTAL,CY,2006-01-01,10.0
PC,T,Y15-24,TOTAL,CY,2007-01-01,10.2
PC,T,Y15-24,TOTAL,CY,2008-01-01,9.0
PC,T,Y15-24,TOTAL,CY,2009-01-01,13.8
PC,T,Y15-24,TOTAL,CY,2010-01-01,16.6
PC,T,Y15-24,TOTAL,CY,2011-01-01,22.4
PC,T,Y15-24,TOTAL,CY,2012-01-01,27.7
PC,T,Y15-24,TOTAL,CY,2013-01-01,38.9
PC,T,Y15-24,TOTAL,CY,2014-01-01,36.0
PC,T,Y15-24,TOTAL,CY,2015-01-01,32.8
PC,T,Y15-24,TOTAL,CY,2016-01-01,29.1
PC,T,Y15-24,TOTAL,CY,2017-01-01,24.7
PC,T,Y15-24,TOTAL,CZ,2005-01-01,19.2
PC,T,Y15-24,TOTAL,CZ,2006-01-01,17.5
PC,T,Y15-24,TOTAL,CZ,2007-01-01,10.7
PC,T,Y15-24,TOTAL,CZ,2008-01-01,9.9
PC,T,Y15-24,TOTAL,CZ,2009-01-01,16.6
PC,T,Y15-24,TOTAL,CZ,2010-01-01,18.3
PC,T,Y15-24,TOTAL,CZ,2011-01-01,18.1
PC,T,Y15-24,TOTAL,CZ,2012-01-01,19.5
PC,T,Y15-24,TOTAL,CZ,2013-01-01,19.0
PC,T,Y15-24,TOTAL,CZ,2014-01-01,15.9
PC,T,Y15-24,TOTAL,CZ,2015-01-01,12.6
PC,T,Y15-24,TOTAL,CZ,2016-01-01,10.5
PC,T,Y15-24,TOTAL,CZ,2017-01-01,7.9
PC,T,Y15-24,TOTAL,DE,2005-01-01,15.5
PC,T,Y15-24,TOTAL,DE,2006-01-01,13.8
PC,T,Y15-24,TOTAL,DE,2007-01-01,11.9
PC,T,Y15-24,TOTAL,DE,2008-01-01,10.6
PC,T,Y15-24,TOTAL,DE,2009-01-01,11.2
PC,T,Y15-24,TOTAL,DE,2010-01-01,9.8
PC,T,Y15-24,TOTAL,DE,2011-01-01,8.5
PC,T,Y15-24,TOTAL,DE,2012-01-01,8.0
PC,T,Y15-24,TOTAL,DE,2013-01-01,7.8
PC,T,Y15-24,TOTAL,DE,2014-01-01,7.7
