unit,bop_item,stk_flow,partner,geo\time,date,value
PCH_WRL_1Y,G,CRE,WRL_REST,AT,1995-01-01,: 
PCH_WRL_1Y,G,CRE,WRL_REST,AT,1996-01-01,-2.60 
PCH_WRL_1Y,G,CRE,WRL_REST,AT,1997-01-01,-0.35 
PCH_WRL_1Y,G,CRE,WRL_REST,AT,1998-01-01,9.29 
PCH_WRL_1Y,G,CRE,WRL_REST,AT,1999-01-01,-1.70 
PCH_WRL_1Y,G,CRE,WRL_REST,AT,2000-01-01,-11.12 
PCH_WRL_1Y,G,CRE,WRL_REST,AT,2001-01-01,8.33 
PCH_WRL_1Y,G,CRE,WRL_REST,AT,2002-01-01,4.92 
PCH_WRL_1Y,G,CRE,WRL_REST,AT,2003-01-01,2.36 
PCH_WRL_1Y,G,CRE,WRL_REST,AT,2004-01-01,1.23 
PCH_WRL_1Y,G,CRE,WRL_REST,AT,2005-01-01,-4.46 
PCH_WRL_1Y,G,CRE,WRL_REST,AT,2006-01-01,-2.53 
PCH_WRL_1Y,G,CRE,WRL_REST,AT,2007-01-01,6.45 
PCH_WRL_1Y,G,CRE,WRL_REST,AT,2008-01-01,-4.09 
PCH_WRL_1Y,G,CRE,WRL_REST,AT,2009-01-01,-2.12
PCH_WRL_1Y,G,CRE,WRL_REST,AT,2010-01-01,-9.53
PCH_WRL_1Y,G,CRE,WRL_REST,AT,2011-01-01,-2.51
PCH_WRL_1Y,G,CRE,WRL_REST,AT,2012-01-01,-6.98
PCH_WRL_1Y,G,CRE,WRL_REST,AT,2013-01-01,0.27
PCH_WRL_1Y,G,CRE,WRL_REST,AT,2014-01-01,1.53
PCH_WRL_1Y,G,CRE,WRL_REST,AT,2015-01-01,-1.62
PCH_WRL_1Y,G,CRE,WRL_REST,AT,2016-01-01,3.79
PCH_WRL_1Y,G,CRE,WRL_REST,AT,2017-01-01,-1.54
PCH_WRL_1Y,G,CRE,WRL_REST,BE,1995-01-01,: 
PCH_WRL_1Y,G,CRE,WRL_REST,BE,1996-01-01,: 
PCH_WRL_1Y,G,CRE,WRL_REST,BE,1997-01-01,: 
PCH_WRL_1Y,G,CRE,WRL_REST,BE,1998-01-01,: 
PCH_WRL_1Y,G,CRE,WRL_REST,BE,1999-01-01,: 
PCH_WRL_1Y,G,CRE,WRL_REST,BE,2000-01-01,: 
PCH_WRL_1Y,G,CRE,WRL_REST,BE,2001-01-01,1.89 
PCH_WRL_1Y,G,CRE,WRL_REST,BE,2002-01-01,-5.80 
PCH_WRL_1Y,G,CRE,WRL_REST,BE,2003-01-01,3.22 
PCH_WRL_1Y,G,CRE,WRL_REST,BE,2004-01-01,-0.92 
PCH_WRL_1Y,G,CRE,WRL_REST,BE,2005-01-01,-3.93 
PCH_WRL_1Y,G,CRE,WRL_REST,BE,2006-01-01,-6.42 
PCH_WRL_1Y,G,CRE,WRL_REST,BE,2007-01-01,2.36 
PCH_WRL_1Y,G,CRE,WRL_REST,BE,2008-01-01,-5.06 
PCH_WRL_1Y,G,CRE,WRL_REST,BE,2009-01-01,-1.59
PCH_WRL_1Y,G,CRE,WRL_REST,BE,2010-01-01,-7.65
PCH_WRL_1Y,G,CRE,WRL_REST,BE,2011-01-01,-0.89
PCH_WRL_1Y,G,CRE,WRL_REST,BE,2012-01-01,-8.18
PCH_WRL_1Y,G,CRE,WRL_REST,BE,2013-01-01,1.68
PCH_WRL_1Y,G,CRE,WRL_REST,BE,2014-01-01,-1.1
PCH_WRL_1Y,G,CRE,WRL_REST,BE,2015-01-01,-6.03
PCH_WRL_1Y,G,CRE,WRL_REST,BE,2016-01-01,11.5
PCH_WRL_1Y,G,CRE,WRL_REST,BE,2017-01-01,0.22
PCH_WRL_1Y,G,CRE,WRL_REST,BG,1995-01-01,: 
PCH_WRL_1Y,G,CRE,WRL_REST,BG,1996-01-01,: 
PCH_WRL_1Y,G,CRE,WRL_REST,BG,1997-01-01,: 
PCH_WRL_1Y,G,CRE,WRL_REST,BG,1998-01-01,: 
PCH_WRL_1Y,G,CRE,WRL_REST,BG,1999-01-01,: 
