unit,age,sex,geotime,date,value
PC,Y_LT18,T,CY,2007-01-01,20
PC,Y_LT18,T,CY,2008-01-01,21
PC,Y_LT18,T,CY,2009-01-01,20
PC,Y_LT18,T,CY,2010-01-01,21
PC,Y_LT18,T,CY,2011-01-01,23
PC,Y_LT18,T,CY,2012-01-01,27
PC,Y_LT18,T,CY,2013-01-01,27
PC,Y_LT18,T,CY,2014-01-01,24
PC,Y_LT18,T,CY,2015-01-01,
PC,Y_LT18,T,CY,2016-01-01,29
PC,Y_LT18,T,CY,2017-01-01,25
PC,Y_LT18,T,CZ,2006-01-01,22
PC,Y_LT18,T,CZ,2007-01-01,21
PC,Y_LT18,T,CZ,2008-01-01,18
PC,Y_LT18,T,CZ,2009-01-01,17
PC,Y_LT18,T,CZ,2010-01-01,18
PC,Y_LT18,T,CZ,2011-01-01,20
PC,Y_LT18,T,CZ,2012-01-01,18
PC,Y_LT18,T,CZ,2013-01-01,16
PC,Y_LT18,T,CZ,2014-01-01,19
PC,Y_LT18,T,CZ,2015-01-01,
PC,Y_LT18,T,CZ,2016-01-01,17
PC,Y_LT18,T,CZ,2017-01-01,14
PC,Y_LT18,T,DE,2006-01-01,20
PC,Y_LT18,T,DE,2007-01-01,19
PC,Y_LT18,T,DE,2008-01-01,20
PC,Y_LT18,T,DE,2009-01-01,20
PC,Y_LT18,T,DE,2010-01-01,21
PC,Y_LT18,T,DE,2011-01-01,19
PC,Y_LT18,T,DE,2012-01-01,18
PC,Y_LT18,T,DE,2013-01-01,19
PC,Y_LT18,T,DE,2014-01-01,19
PC,Y_LT18,T,DE,2015-01-01,
PC,Y_LT18,T,DE,2016-01-01,19
PC,Y_LT18,T,DE,2017-01-01,18
PC,Y_LT18,T,DK,2006-01-01,14
PC,Y_LT18,T,DK,2007-01-01,14
PC,Y_LT18,T,DK,2008-01-01,12
PC,Y_LT18,T,DK,2009-01-01,14
PC,Y_LT18,T,DK,2010-01-01,15
PC,Y_LT18,T,DK,2011-01-01,15
PC,Y_LT18,T,DK,2012-01-01,14
PC,Y_LT18,T,DK,2013-01-01,15
PC,Y_LT18,T,DK,2014-01-01,14
PC,Y_LT18,T,DK,2015-01-01,
PC,Y_LT18,T,DK,2016-01-01,13
PC,Y_LT18,T,DK,2017-01-01,14
PC,Y_LT18,T,EA18,2006-01-01,23
PC,Y_LT18,T,EA18,2007-01-01,22
PC,Y_LT18,T,EA18,2008-01-01,23
PC,Y_LT18,T,EA18,2009-01-01,24
PC,Y_LT18,T,EA18,2010-01-01,25
PC,Y_LT18,T,EA18,2011-01-01,25
PC,Y_LT18,T,EA18,2012-01-01,25
PC,Y_LT18,T,EA18,2013-01-01,25
PC,Y_LT18,T,EA18,2014-01-01,25
PC,Y_LT18,T,EA18,2015-01-01,
PC,Y_LT18,T,EA18,2016-01-01,25
PC,Y_LT18,T,EA18,2017-01-01,24
PC,Y_LT18,T,EA19,2006-01-01,23
PC,Y_LT18,T,EA19,2007-01-01,23
PC,Y_LT18,T,EA19,2008-01-01,23
PC,Y_LT18,T,EA19,2009-01-01,24
PC,Y_LT18,T,EA19,2010-01-01,25
PC,Y_LT18,T,EA19,2011-01-01,25
PC,Y_LT18,T,EA19,2012-01-01,25
PC,Y_LT18,T,EA19,2013-01-01,25
PC,Y_LT18,T,EA19,2014-01-01,25
PC,Y_LT18,T,EA19,2015-01-01,
PC,Y_LT18,T,EA19,2016-01-01,25
PC,Y_LT18,T,EA19,2017-01-01,24
PC,Y_LT18,T,EE,2006-01-01,24
PC,Y_LT18,T,EE,2007-01-01,20
PC,Y_LT18,T,EE,2008-01-01,19
PC,Y_LT18,T,EE,2009-01-01,24
PC,Y_LT18,T,EE,2010-01-01,24
PC,Y_LT18,T,EE,2011-01-01,24
PC,Y_LT18,T,EE,2012-01-01,22
PC,Y_LT18,T,EE,2013-01-01,22
PC,Y_LT18,T,EE,2014-01-01,23
PC,Y_LT18,T,EE,2015-01-01,
PC,Y_LT18,T,EE,2016-01-01,21
PC,Y_LT18,T,EE,2017-01-01,18
PC,Y_LT18,T,EL,2006-01-01,27
PC,Y_LT18,T,EL,2007-01-01,28
PC,Y_LT18,T,EL,2008-01-01,28
PC,Y_LT18,T,EL,2009-01-01,30
PC,Y_LT18,T,EL,2010-01-01,28
PC,Y_LT18,T,EL,2011-01-01,30
PC,Y_LT18,T,EL,2012-01-01,35
PC,Y_LT18,T,EL,2013-01-01,38
PC,Y_LT18,T,EL,2014-01-01,36
PC,Y_LT18,T,EL,2015-01-01,
PC,Y_LT18,T,EL,2016-01-01,37
PC,Y_LT18,T,EL,2017-01-01,36
PC,Y_LT18,T,ES,2006-01-01,29
PC,Y_LT18,T,ES,2007-01-01,28
