age,unit,sex,indic_em,geotime,date,value
Y15-24,PC_POP,T,EMP_LFS,DK,2007-01-01,65
Y15-24,PC_POP,T,EMP_LFS,DK,2008-01-01,66
Y15-24,PC_POP,T,EMP_LFS,DK,2009-01-01,62
Y15-24,PC_POP,T,EMP_LFS,DK,2010-01-01,58
Y15-24,PC_POP,T,EMP_LFS,DK,2011-01-01,57
Y15-24,PC_POP,T,EMP_LFS,DK,2012-01-01,55
Y15-24,PC_POP,T,EMP_LFS,DK,2013-01-01,53
Y15-24,PC_POP,T,EMP_LFS,DK,2014-01-01,53
Y15-24,PC_POP,T,EMP_LFS,DK,2015-01-01,55
Y15-24,PC_POP,T,EMP_LFS,DK,2016-01-01,58
Y15-24,PC_POP,T,EMP_LFS,DK,2017-01-01,56
Y15-24,PC_POP,T,EMP_LFS,EA18,2005-01-01,36
Y15-24,PC_POP,T,EMP_LFS,EA18,2006-01-01,37
Y15-24,PC_POP,T,EMP_LFS,EA18,2007-01-01,37
Y15-24,PC_POP,T,EMP_LFS,EA18,2008-01-01,37
Y15-24,PC_POP,T,EMP_LFS,EA18,2009-01-01,35
Y15-24,PC_POP,T,EMP_LFS,EA18,2010-01-01,33
Y15-24,PC_POP,T,EMP_LFS,EA18,2011-01-01,33
Y15-24,PC_POP,T,EMP_LFS,EA18,2012-01-01,31
Y15-24,PC_POP,T,EMP_LFS,EA18,2013-01-01,31
Y15-24,PC_POP,T,EMP_LFS,EA18,2014-01-01,30
Y15-24,PC_POP,T,EMP_LFS,EA18,2015-01-01,31
Y15-24,PC_POP,T,EMP_LFS,EA18,2016-01-01,31
Y15-24,PC_POP,T,EMP_LFS,EA18,2017-01-01,32
Y15-24,PC_POP,T,EMP_LFS,EA19,2005-01-01,36
Y15-24,PC_POP,T,EMP_LFS,EA19,2006-01-01,36
Y15-24,PC_POP,T,EMP_LFS,EA19,2007-01-01,37
Y15-24,PC_POP,T,EMP_LFS,EA19,2008-01-01,37
Y15-24,PC_POP,T,EMP_LFS,EA19,2009-01-01,34
Y15-24,PC_POP,T,EMP_LFS,EA19,2010-01-01,33
Y15-24,PC_POP,T,EMP_LFS,EA19,2011-01-01,33
Y15-24,PC_POP,T,EMP_LFS,EA19,2012-01-01,31
Y15-24,PC_POP,T,EMP_LFS,EA19,2013-01-01,31
Y15-24,PC_POP,T,EMP_LFS,EA19,2014-01-01,30
Y15-24,PC_POP,T,EMP_LFS,EA19,2015-01-01,31
Y15-24,PC_POP,T,EMP_LFS,EA19,2016-01-01,31
Y15-24,PC_POP,T,EMP_LFS,EA19,2017-01-01,32
Y15-24,PC_POP,T,EMP_LFS,EE,2005-01-01,30
Y15-24,PC_POP,T,EMP_LFS,EE,2006-01-01,31
Y15-24,PC_POP,T,EMP_LFS,EE,2007-01-01,34
Y15-24,PC_POP,T,EMP_LFS,EE,2008-01-01,35
Y15-24,PC_POP,T,EMP_LFS,EE,2009-01-01,28
Y15-24,PC_POP,T,EMP_LFS,EE,2010-01-01,25
Y15-24,PC_POP,T,EMP_LFS,EE,2011-01-01,31
Y15-24,PC_POP,T,EMP_LFS,EE,2012-01-01,32
Y15-24,PC_POP,T,EMP_LFS,EE,2013-01-01,32
Y15-24,PC_POP,T,EMP_LFS,EE,2014-01-01,33
Y15-24,PC_POP,T,EMP_LFS,EE,2015-01-01,36
Y15-24,PC_POP,T,EMP_LFS,EE,2016-01-01,37
Y15-24,PC_POP,T,EMP_LFS,EE,2017-01-01,40
Y15-24,PC_POP,T,EMP_LFS,EL,2005-01-01,25
Y15-24,PC_POP,T,EMP_LFS,EL,2006-01-01,24
Y15-24,PC_POP,T,EMP_LFS,EL,2007-01-01,24
Y15-24,PC_POP,T,EMP_LFS,EL,2008-01-01,23
Y15-24,PC_POP,T,EMP_LFS,EL,2009-01-01,22
Y15-24,PC_POP,T,EMP_LFS,EL,2010-01-01,20
Y15-24,PC_POP,T,EMP_LFS,EL,2011-01-01,16
Y15-24,PC_POP,T,EMP_LFS,EL,2012-01-01,13
Y15-24,PC_POP,T,EMP_LFS,EL,2013-01-01,11
Y15-24,PC_POP,T,EMP_LFS,EL,2014-01-01,13
Y15-24,PC_POP,T,EMP_LFS,EL,2015-01-01,13
Y15-24,PC_POP,T,EMP_LFS,EL,2016-01-01,13
Y15-24,PC_POP,T,EMP_LFS,EL,2017-01-01,14
Y15-24,PC_POP,T,EMP_LFS,ES,2005-01-01,38
Y15-24,PC_POP,T,EMP_LFS,ES,2006-01-01,39
