na_item,s_adj,unit,geo\time,date,value
P3_S13,SCA,MIO_EUR_SCA,DE,2018-04-01,164464.0 
P3_S13,SCA,MIO_EUR_SCA,DK,2015-07-01,17472.8
P3_S13,SCA,MIO_EUR_SCA,DK,2015-10-01,17375.8
P3_S13,SCA,MIO_EUR_SCA,DK,2016-01-01,17494.5 
P3_S13,SCA,MIO_EUR_SCA,DK,2016-04-01,17731.4 
P3_S13,SCA,MIO_EUR_SCA,DK,2016-07-01,17758.5 
P3_S13,SCA,MIO_EUR_SCA,DK,2016-10-01,17497.2 
P3_S13,SCA,MIO_EUR_SCA,DK,2017-01-01,17916.2 
P3_S13,SCA,MIO_EUR_SCA,DK,2017-04-01,17969.1 
P3_S13,SCA,MIO_EUR_SCA,DK,2017-07-01,18087.3 
P3_S13,SCA,MIO_EUR_SCA,DK,2017-10-01,18161.6 
P3_S13,SCA,MIO_EUR_SCA,DK,2018-01-01,18255.9 
P3_S13,SCA,MIO_EUR_SCA,DK,2018-04-01,18300.9 
P3_S13,SCA,MIO_EUR_SCA,EA,2015-07-01,544864.0
P3_S13,SCA,MIO_EUR_SCA,EA,2015-10-01,547756.1
P3_S13,SCA,MIO_EUR_SCA,EA,2016-01-01,551773.2 
P3_S13,SCA,MIO_EUR_SCA,EA,2016-04-01,554482.5 
P3_S13,SCA,MIO_EUR_SCA,EA,2016-07-01,556562.2 
P3_S13,SCA,MIO_EUR_SCA,EA,2016-10-01,560325.2 
P3_S13,SCA,MIO_EUR_SCA,EA,2017-01-01,563859.8 
P3_S13,SCA,MIO_EUR_SCA,EA,2017-04-01,567851.8 
P3_S13,SCA,MIO_EUR_SCA,EA,2017-07-01,571789.2 
P3_S13,SCA,MIO_EUR_SCA,EA,2017-10-01,576067.2 
P3_S13,SCA,MIO_EUR_SCA,EA,2018-01-01,577963.8 
P3_S13,SCA,MIO_EUR_SCA,EA,2018-04-01,584407.4 
P3_S13,SCA,MIO_EUR_SCA,EA19,2015-07-01,544864.0
P3_S13,SCA,MIO_EUR_SCA,EA19,2015-10-01,547756.1
P3_S13,SCA,MIO_EUR_SCA,EA19,2016-01-01,551773.2 
P3_S13,SCA,MIO_EUR_SCA,EA19,2016-04-01,554482.5 
P3_S13,SCA,MIO_EUR_SCA,EA19,2016-07-01,556562.2 
P3_S13,SCA,MIO_EUR_SCA,EA19,2016-10-01,560325.2 
P3_S13,SCA,MIO_EUR_SCA,EA19,2017-01-01,563859.8 
P3_S13,SCA,MIO_EUR_SCA,EA19,2017-04-01,567851.8 
P3_S13,SCA,MIO_EUR_SCA,EA19,2017-07-01,571789.2 
P3_S13,SCA,MIO_EUR_SCA,EA19,2017-10-01,576067.2 
P3_S13,SCA,MIO_EUR_SCA,EA19,2018-01-01,577963.8 
P3_S13,SCA,MIO_EUR_SCA,EA19,2018-04-01,584407.4 
P3_S13,SCA,MIO_EUR_SCA,EE,2015-07-01,1047.7
P3_S13,SCA,MIO_EUR_SCA,EE,2015-10-01,1059.3
P3_S13,SCA,MIO_EUR_SCA,EE,2016-01-01,1073.4 
P3_S13,SCA,MIO_EUR_SCA,EE,2016-04-01,1097.6 
P3_S13,SCA,MIO_EUR_SCA,EE,2016-07-01,1109.0 
P3_S13,SCA,MIO_EUR_SCA,EE,2016-10-01,1115.1 
P3_S13,SCA,MIO_EUR_SCA,EE,2017-01-01,1135.6 
P3_S13,SCA,MIO_EUR_SCA,EE,2017-04-01,1157.5 
P3_S13,SCA,MIO_EUR_SCA,EE,2017-07-01,1179.7 
P3_S13,SCA,MIO_EUR_SCA,EE,2017-10-01,1212.9 
P3_S13,SCA,MIO_EUR_SCA,EE,2018-01-01,1219.9 
P3_S13,SCA,MIO_EUR_SCA,EE,2018-04-01,1238.1 
P3_S13,SCA,MIO_EUR_SCA,EL,2015-07-01,8930.3
P3_S13,SCA,MIO_EUR_SCA,EL,2015-10-01,9054.6
P3_S13,SCA,MIO_EUR_SCA,EL,2016-01-01,8847.0 
P3_S13,SCA,MIO_EUR_SCA,EL,2016-04-01,8887.0 
P3_S13,SCA,MIO_EUR_SCA,EL,2016-07-01,8892.0 
P3_S13,SCA,MIO_EUR_SCA,EL,2016-10-01,8687.6 
P3_S13,SCA,MIO_EUR_SCA,EL,2017-01-01,8817.1 
P3_S13,SCA,MIO_EUR_SCA,EL,2017-04-01,8857.0 p
P3_S13,SCA,MIO_EUR_SCA,EL,2017-07-01,8891.8 p
