sex,unit,age,geotime,date,value
T,PC,TOTAL,AT,2003-01-01,15
T,PC,TOTAL,AT,2004-01-01,17
T,PC,TOTAL,AT,2005-01-01,17
T,PC,TOTAL,AT,2006-01-01,17
T,PC,TOTAL,AT,2007-01-01,16
T,PC,TOTAL,AT,2008-01-01,20
T,PC,TOTAL,AT,2009-01-01,19
T,PC,TOTAL,AT,2010-01-01,18
T,PC,TOTAL,AT,2011-01-01,19
T,PC,TOTAL,AT,2012-01-01,18
T,PC,TOTAL,AT,2013-01-01,
T,PC,TOTAL,AT,2014-01-01,19
T,PC,TOTAL,AT,2015-01-01,18
T,PC,TOTAL,AT,2016-01-01,18
T,PC,TOTAL,AT,2017-01-01,18
T,PC,TOTAL,BE,2003-01-01,23
T,PC,TOTAL,BE,2004-01-01,21
T,PC,TOTAL,BE,2005-01-01,22
T,PC,TOTAL,BE,2006-01-01,21
T,PC,TOTAL,BE,2007-01-01,21
T,PC,TOTAL,BE,2008-01-01,20
T,PC,TOTAL,BE,2009-01-01,20
T,PC,TOTAL,BE,2010-01-01,20
T,PC,TOTAL,BE,2011-01-01,21
T,PC,TOTAL,BE,2012-01-01,21
T,PC,TOTAL,BE,2013-01-01,
T,PC,TOTAL,BE,2014-01-01,21
T,PC,TOTAL,BE,2015-01-01,21
T,PC,TOTAL,BE,2016-01-01,20
T,PC,TOTAL,BE,2017-01-01,20
T,PC,TOTAL,BG,2003-01-01,
T,PC,TOTAL,BG,2004-01-01,
T,PC,TOTAL,BG,2005-01-01,
T,PC,TOTAL,BG,2006-01-01,61
T,PC,TOTAL,BG,2007-01-01,60
T,PC,TOTAL,BG,2008-01-01,44
T,PC,TOTAL,BG,2009-01-01,46
T,PC,TOTAL,BG,2010-01-01,49
T,PC,TOTAL,BG,2011-01-01,49
T,PC,TOTAL,BG,2012-01-01,49
T,PC,TOTAL,BG,2013-01-01,
T,PC,TOTAL,BG,2014-01-01,40
T,PC,TOTAL,BG,2015-01-01,41
T,PC,TOTAL,BG,2016-01-01,40
T,PC,TOTAL,BG,2017-01-01,38
T,PC,TOTAL,CY,2003-01-01,
T,PC,TOTAL,CY,2004-01-01,
T,PC,TOTAL,CY,2005-01-01,25
T,PC,TOTAL,CY,2006-01-01,25
T,PC,TOTAL,CY,2007-01-01,25
T,PC,TOTAL,CY,2008-01-01,23
T,PC,TOTAL,CY,2009-01-01,23
T,PC,TOTAL,CY,2010-01-01,24
T,PC,TOTAL,CY,2011-01-01,24
T,PC,TOTAL,CY,2012-01-01,27
T,PC,TOTAL,CY,2013-01-01,
T,PC,TOTAL,CY,2014-01-01,27
T,PC,TOTAL,CY,2015-01-01,28
T,PC,TOTAL,CY,2016-01-01,27
T,PC,TOTAL,CY,2017-01-01,25
T,PC,TOTAL,CZ,2003-01-01,
T,PC,TOTAL,CZ,2004-01-01,
T,PC,TOTAL,CZ,2005-01-01,19
T,PC,TOTAL,CZ,2006-01-01,18
T,PC,TOTAL,CZ,2007-01-01,15
T,PC,TOTAL,CZ,2008-01-01,15
T,PC,TOTAL,CZ,2009-01-01,14
T,PC,TOTAL,CZ,2010-01-01,14
T,PC,TOTAL,CZ,2011-01-01,15
T,PC,TOTAL,CZ,2012-01-01,15
T,PC,TOTAL,CZ,2013-01-01,
T,PC,TOTAL,CZ,2014-01-01,14
T,PC,TOTAL,CZ,2015-01-01,14
T,PC,TOTAL,CZ,2016-01-01,13
T,PC,TOTAL,CZ,2017-01-01,12
T,PC,TOTAL,DE,2003-01-01,
T,PC,TOTAL,DE,2004-01-01,
T,PC,TOTAL,DE,2005-01-01,18
T,PC,TOTAL,DE,2006-01-01,20
T,PC,TOTAL,DE,2007-01-01,20
T,PC,TOTAL,DE,2008-01-01,20
T,PC,TOTAL,DE,2009-01-01,20
T,PC,TOTAL,DE,2010-01-01,19
T,PC,TOTAL,DE,2011-01-01,19
T,PC,TOTAL,DE,2012-01-01,19
T,PC,TOTAL,DE,2013-01-01,
T,PC,TOTAL,DE,2014-01-01,20
T,PC,TOTAL,DE,2015-01-01,20
T,PC,TOTAL,DE,2016-01-01,19
T,PC,TOTAL,DE,2017-01-01,19
T,PC,TOTAL,DK,2003-01-01,16
T,PC,TOTAL,DK,2004-01-01,16
T,PC,TOTAL,DK,2005-01-01,17
T,PC,TOTAL,DK,2006-01-01,16
T,PC,TOTAL,DK,2007-01-01,16
T,PC,TOTAL,DK,2008-01-01,16
T,PC,TOTAL,DK,2009-01-01,17
T,PC,TOTAL,DK,2010-01-01,18
T,PC,TOTAL,DK,2011-01-01,17
T,PC,TOTAL,DK,2012-01-01,17
T,PC,TOTAL,DK,2013-01-01,
T,PC,TOTAL,DK,2014-01-01,17
T,PC,TOTAL,DK,2015-01-01,17
T,PC,TOTAL,DK,2016-01-01,16
T,PC,TOTAL,DK,2017-01-01,17
T,PC,TOTAL,EE,2003-01-01,
T,PC,TOTAL,EE,2004-01-01,26
T,PC,TOTAL,EE,2005-01-01,25
T,PC,TOTAL,EE,2006-01-01,22
T,PC,TOTAL,EE,2007-01-01,22
T,PC,TOTAL,EE,2008-01-01,21
T,PC,TOTAL,EE,2009-01-01,23
T,PC,TOTAL,EE,2010-01-01,21
T,PC,TOTAL,EE,2011-01-01,23
T,PC,TOTAL,EE,2012-01-01,23
T,PC,TOTAL,EE,2013-01-01,
T,PC,TOTAL,EE,2014-01-01,26
T,PC,TOTAL,EE,2015-01-01,24
T,PC,TOTAL,EE,2016-01-01,24
T,PC,TOTAL,EE,2017-01-01,23
T,PC,TOTAL,EL,2003-01-01,32
T,PC,TOTAL,EL,2004-01-01,30
T,PC,TOTAL,EL,2005-01-01,29
T,PC,TOTAL,EL,2006-01-01,29
T,PC,TOTAL,EL,2007-01-01,28
T,PC,TOTAL,EL,2008-01-01,28
T,PC,TOTAL,EL,2009-01-01,27
T,PC,TOTAL,EL,2010-01-01,27
T,PC,TOTAL,EL,2011-01-01,31
T,PC,TOTAL,EL,2012-01-01,34
T,PC,TOTAL,EL,2013-01-01,
T,PC,TOTAL,EL,2014-01-01,36
T,PC,TOTAL,EL,2015-01-01,35
T,PC,TOTAL,EL,2016-01-01,35
T,PC,TOTAL,EL,2017-01-01,34
T,PC,TOTAL,ES,2003-01-01,
T,PC,TOTAL,ES,2004-01-01,25
T,PC,TOTAL,ES,2005-01-01,24
T,PC,TOTAL,ES,2006-01-01,24
T,PC,TOTAL,ES,2007-01-01,23
T,PC,TOTAL,ES,2008-01-01,23
T,PC,TOTAL,ES,2009-01-01,24
T,PC,TOTAL,ES,2010-01-01,26
T,PC,TOTAL,ES,2011-01-01,26
T,PC,TOTAL,ES,2012-01-01,27
T,PC,TOTAL,ES,2013-01-01,
T,PC,TOTAL,ES,2014-01-01,29
T,PC,TOTAL,ES,2015-01-01,28
T,PC,TOTAL,ES,2016-01-01,27
T,PC,TOTAL,ES,2017-01-01,26
T,PC,TOTAL,FI,2003-01-01,
T,PC,TOTAL,FI,2004-01-01,17
T,PC,TOTAL,FI,2005-01-01,17
T,PC,TOTAL,FI,2006-01-01,17
T,PC,TOTAL,FI,2007-01-01,17
T,PC,TOTAL,FI,2008-01-01,17
T,PC,TOTAL,FI,2009-01-01,16
T,PC,TOTAL,FI,2010-01-01,16
T,PC,TOTAL,FI,2011-01-01,17
T,PC,TOTAL,FI,2012-01-01,17
T,PC,TOTAL,FI,2013-01-01,
T,PC,TOTAL,FI,2014-01-01,17
T,PC,TOTAL,FI,2015-01-01,16
T,PC,TOTAL,FI,2016-01-01,16
T,PC,TOTAL,FI,2017-01-01,15
T,PC,TOTAL,FR,2003-01-01,
T,PC,TOTAL,FR,2004-01-01,19
T,PC,TOTAL,FR,2005-01-01,18
T,PC,TOTAL,FR,2006-01-01,18
T,PC,TOTAL,FR,2007-01-01,19
T,PC,TOTAL,FR,2008-01-01,18
T,PC,TOTAL,FR,2009-01-01,18
T,PC,TOTAL,FR,2010-01-01,19
T,PC,TOTAL,FR,2011-01-01,19
T,PC,TOTAL,FR,2012-01-01,19
T,PC,TOTAL,FR,2013-01-01,
T,PC,TOTAL,FR,2014-01-01,18
T,PC,TOTAL,FR,2015-01-01,17
T,PC,TOTAL,FR,2016-01-01,18
T,PC,TOTAL,FR,2017-01-01,17
T,PC,TOTAL,HR,2003-01-01,
T,PC,TOTAL,HR,2004-01-01,
T,PC,TOTAL,HR,2005-01-01,
T,PC,TOTAL,HR,2006-01-01,
T,PC,TOTAL,HR,2007-01-01,
T,PC,TOTAL,HR,2008-01-01,
T,PC,TOTAL,HR,2009-01-01,
T,PC,TOTAL,HR,2010-01-01,31
T,PC,TOTAL,HR,2011-01-01,32
T,PC,TOTAL,HR,2012-01-01,32
T,PC,TOTAL,HR,2013-01-01,
T,PC,TOTAL,HR,2014-01-01,29
T,PC,TOTAL,HR,2015-01-01,29
T,PC,TOTAL,HR,2016-01-01,27
T,PC,TOTAL,HR,2017-01-01,
T,PC,TOTAL,HU,2003-01-01,
T,PC,TOTAL,HU,2004-01-01,
T,PC,TOTAL,HU,2005-01-01,32
T,PC,TOTAL,HU,2006-01-01,31
T,PC,TOTAL,HU,2007-01-01,29
T,PC,TOTAL,HU,2008-01-01,28
T,PC,TOTAL,HU,2009-01-01,29
T,PC,TOTAL,HU,2010-01-01,29
T,PC,TOTAL,HU,2011-01-01,31
T,PC,TOTAL,HU,2012-01-01,33
T,PC,TOTAL,HU,2013-01-01,
T,PC,TOTAL,HU,2014-01-01,31
T,PC,TOTAL,HU,2015-01-01,28
T,PC,TOTAL,HU,2016-01-01,26
T,PC,TOTAL,HU,2017-01-01,25
T,PC,TOTAL,IE,2003-01-01,24
T,PC,TOTAL,IE,2004-01-01,24
T,PC,TOTAL,IE,2005-01-01,25
T,PC,TOTAL,IE,2006-01-01,23
T,PC,TOTAL,IE,2007-01-01,23
T,PC,TOTAL,IE,2008-01-01,23
T,PC,TOTAL,IE,2009-01-01,25
T,PC,TOTAL,IE,2010-01-01,27
T,PC,TOTAL,IE,2011-01-01,29
T,PC,TOTAL,IE,2012-01-01,30
T,PC,TOTAL,IE,2013-01-01,
T,PC,TOTAL,IE,2014-01-01,27
T,PC,TOTAL,IE,2015-01-01,26
T,PC,TOTAL,IE,2016-01-01,24
T,PC,TOTAL,IE,2017-01-01,
T,PC,TOTAL,IT,2003-01-01,
T,PC,TOTAL,IT,2004-01-01,26
T,PC,TOTAL,IT,2005-01-01,25
T,PC,TOTAL,IT,2006-01-01,25
T,PC,TOTAL,IT,2007-01-01,26
T,PC,TOTAL,IT,2008-01-01,25
T,PC,TOTAL,IT,2009-01-01,24
T,PC,TOTAL,IT,2010-01-01,25
T,PC,TOTAL,IT,2011-01-01,28
T,PC,TOTAL,IT,2012-01-01,29
T,PC,TOTAL,IT,2013-01-01,
T,PC,TOTAL,IT,2014-01-01,28
T,PC,TOTAL,IT,2015-01-01,28
T,PC,TOTAL,IT,2016-01-01,30
T,PC,TOTAL,IT,2017-01-01,28
T,PC,TOTAL,LT,2003-01-01,
T,PC,TOTAL,LT,2004-01-01,
T,PC,TOTAL,LT,2005-01-01,41
T,PC,TOTAL,LT,2006-01-01,35
T,PC,TOTAL,LT,2007-01-01,28
T,PC,TOTAL,LT,2008-01-01,28
T,PC,TOTAL,LT,2009-01-01,29
T,PC,TOTAL,LT,2010-01-01,34
T,PC,TOTAL,LT,2011-01-01,33
T,PC,TOTAL,LT,2012-01-01,32
T,PC,TOTAL,LT,2013-01-01,
T,PC,TOTAL,LT,2014-01-01,27
T,PC,TOTAL,LT,2015-01-01,29
T,PC,TOTAL,LT,2016-01-01,30
T,PC,TOTAL,LT,2017-01-01,29
T,PC,TOTAL,LU,2003-01-01,15
T,PC,TOTAL,LU,2004-01-01,16
T,PC,TOTAL,LU,2005-01-01,17
T,PC,TOTAL,LU,2006-01-01,16
T,PC,TOTAL,LU,2007-01-01,15
T,PC,TOTAL,LU,2008-01-01,15
T,PC,TOTAL,LU,2009-01-01,17
T,PC,TOTAL,LU,2010-01-01,17
T,PC,TOTAL,LU,2011-01-01,16
T,PC,TOTAL,LU,2012-01-01,18
T,PC,TOTAL,LU,2013-01-01,
T,PC,TOTAL,LU,2014-01-01,19
T,PC,TOTAL,LU,2015-01-01,18
T,PC,TOTAL,LU,2016-01-01,19
T,PC,TOTAL,LU,2017-01-01,21
T,PC,TOTAL,LV,2003-01-01,
T,PC,TOTAL,LV,2004-01-01,
T,PC,TOTAL,LV,2005-01-01,46
T,PC,TOTAL,LV,2006-01-01,42
T,PC,TOTAL,LV,2007-01-01,35
T,PC,TOTAL,LV,2008-01-01,34
T,PC,TOTAL,LV,2009-01-01,37
T,PC,TOTAL,LV,2010-01-01,38
T,PC,TOTAL,LV,2011-01-01,40
T,PC,TOTAL,LV,2012-01-01,36
T,PC,TOTAL,LV,2013-01-01,
T,PC,TOTAL,LV,2014-01-01,32
T,PC,TOTAL,LV,2015-01-01,30
T,PC,TOTAL,LV,2016-01-01,28
T,PC,TOTAL,LV,2017-01-01,28
T,PC,TOTAL,MT,2003-01-01,
T,PC,TOTAL,MT,2004-01-01,
T,PC,TOTAL,MT,2005-01-01,20
T,PC,TOTAL,MT,2006-01-01,19
T,PC,TOTAL,MT,2007-01-01,19
T,PC,TOTAL,MT,2008-01-01,20
T,PC,TOTAL,MT,2009-01-01,20
T,PC,TOTAL,MT,2010-01-01,21
T,PC,TOTAL,MT,2011-01-01,22
T,PC,TOTAL,MT,2012-01-01,23
T,PC,TOTAL,MT,2013-01-01,
T,PC,TOTAL,MT,2014-01-01,23
T,PC,TOTAL,MT,2015-01-01,22
T,PC,TOTAL,MT,2016-01-01,20
T,PC,TOTAL,MT,2017-01-01,19
T,PC,TOTAL,NL,2003-01-01,
T,PC,TOTAL,NL,2004-01-01,
T,PC,TOTAL,NL,2005-01-01,16
T,PC,TOTAL,NL,2006-01-01,16
T,PC,TOTAL,NL,2007-01-01,15
T,PC,TOTAL,NL,2008-01-01,14
T,PC,TOTAL,NL,2009-01-01,15
T,PC,TOTAL,NL,2010-01-01,15
T,PC,TOTAL,NL,2011-01-01,15
T,PC,TOTAL,NL,2012-01-01,15
T,PC,TOTAL,NL,2013-01-01,
T,PC,TOTAL,NL,2014-01-01,16
T,PC,TOTAL,NL,2015-01-01,16
T,PC,TOTAL,NL,2016-01-01,16
T,PC,TOTAL,NL,2017-01-01,17
T,PC,TOTAL,PL,2003-01-01,
T,PC,TOTAL,PL,2004-01-01,
T,PC,TOTAL,PL,2005-01-01,45
T,PC,TOTAL,PL,2006-01-01,39
T,PC,TOTAL,PL,2007-01-01,34
T,PC,TOTAL,PL,2008-01-01,30
T,PC,TOTAL,PL,2009-01-01,27
T,PC,TOTAL,PL,2010-01-01,27
T,PC,TOTAL,PL,2011-01-01,27
T,PC,TOTAL,PL,2012-01-01,26
T,PC,TOTAL,PL,2013-01-01,
T,PC,TOTAL,PL,2014-01-01,24
T,PC,TOTAL,PL,2015-01-01,23
T,PC,TOTAL,PL,2016-01-01,21
T,PC,TOTAL,PL,2017-01-01,19
T,PC,TOTAL,PT,2003-01-01,
T,PC,TOTAL,PT,2004-01-01,27
T,PC,TOTAL,PT,2005-01-01,26
T,PC,TOTAL,PT,2006-01-01,25
T,PC,TOTAL,PT,2007-01-01,25
T,PC,TOTAL,PT,2008-01-01,26
T,PC,TOTAL,PT,2009-01-01,24
T,PC,TOTAL,PT,2010-01-01,25
T,PC,TOTAL,PT,2011-01-01,24
T,PC,TOTAL,PT,2012-01-01,25
T,PC,TOTAL,PT,2013-01-01,
T,PC,TOTAL,PT,2014-01-01,27
T,PC,TOTAL,PT,2015-01-01,26
T,PC,TOTAL,PT,2016-01-01,25
T,PC,TOTAL,PT,2017-01-01,23
T,PC,TOTAL,RO,2003-01-01,
T,PC,TOTAL,RO,2004-01-01,
T,PC,TOTAL,RO,2005-01-01,
T,PC,TOTAL,RO,2006-01-01,
T,PC,TOTAL,RO,2007-01-01,47
T,PC,TOTAL,RO,2008-01-01,44
T,PC,TOTAL,RO,2009-01-01,43
T,PC,TOTAL,RO,2010-01-01,41
T,PC,TOTAL,RO,2011-01-01,40
T,PC,TOTAL,RO,2012-01-01,43
T,PC,TOTAL,RO,2013-01-01,
T,PC,TOTAL,RO,2014-01-01,40
T,PC,TOTAL,RO,2015-01-01,37
T,PC,TOTAL,RO,2016-01-01,38
T,PC,TOTAL,RO,2017-01-01,35
T,PC,TOTAL,SE,2003-01-01,
T,PC,TOTAL,SE,2004-01-01,16
T,PC,TOTAL,SE,2005-01-01,14
