currency,partner,sector10,sectpart,stk_flow,bop_item,geotime,date,value
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,BG,2011-01-01,680
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,BG,2012-01-01,616
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,BG,2013-01-01,520
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,BG,2014-01-01,1285
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,BG,2015-01-01,197
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,BG,2016-01-01,1514
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,BG,2017-01-01,1598
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,1995-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,1996-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,1997-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,1998-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,1999-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,2000-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,2001-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,2002-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,2003-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,2004-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,2005-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,2006-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,2007-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,2008-01-01,3200
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,2009-01-01,621
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,2010-01-01,12774
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,2011-01-01,11598
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,2012-01-01,39947
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,2013-01-01,4840
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,2014-01-01,1789
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,2015-01-01,15753
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,2016-01-01,5632
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY,2017-01-01,5243
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CZ,1995-01-01,973
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CZ,1996-01-01,4150
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CZ,1997-01-01,800
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CZ,1998-01-01,4103
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CZ,1999-01-01,3108
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CZ,2000-01-01,1654
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CZ,2001-01-01,6289
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CZ,2002-01-01,6759
