indic_il,sex,geo\time,date,value
R_PN_WK,T,EA19,2008-01-01,0.49 
R_PN_WK,T,EA19,2009-01-01,0.51 
R_PN_WK,T,EA19,2010-01-01,0.52 
R_PN_WK,T,EA19,2011-01-01,0.54 
R_PN_WK,T,EA19,2012-01-01,0.54 
R_PN_WK,T,EA19,2013-01-01,0.56
R_PN_WK,T,EA19,2014-01-01,0.57 
R_PN_WK,T,EA19,2015-01-01,0.58
R_PN_WK,T,EA19,2016-01-01,0.58 
R_PN_WK,T,EA19,2017-01-01,0.60 
R_PN_WK,T,EE,2006-01-01,0.49 
R_PN_WK,T,EE,2007-01-01,0.47 
R_PN_WK,T,EE,2008-01-01,0.45 
R_PN_WK,T,EE,2009-01-01,0.52 
R_PN_WK,T,EE,2010-01-01,0.55 
R_PN_WK,T,EE,2011-01-01,0.54 
R_PN_WK,T,EE,2012-01-01,0.50 
R_PN_WK,T,EE,2013-01-01,0.5
R_PN_WK,T,EE,2014-01-01,0.47 b
R_PN_WK,T,EE,2015-01-01,0.43
R_PN_WK,T,EE,2016-01-01,0.45 
R_PN_WK,T,EE,2017-01-01,0.45 
R_PN_WK,T,EL,2006-01-01,0.49 
R_PN_WK,T,EL,2007-01-01,0.40 
R_PN_WK,T,EL,2008-01-01,0.41 
R_PN_WK,T,EL,2009-01-01,0.41 
R_PN_WK,T,EL,2010-01-01,0.42 
R_PN_WK,T,EL,2011-01-01,0.45 
R_PN_WK,T,EL,2012-01-01,0.52 
R_PN_WK,T,EL,2013-01-01,0.6
R_PN_WK,T,EL,2014-01-01,0.60 
R_PN_WK,T,EL,2015-01-01,0.62
R_PN_WK,T,EL,2016-01-01,0.64 
R_PN_WK,T,EL,2017-01-01,0.62 
R_PN_WK,T,ES,2006-01-01,0.48 
R_PN_WK,T,ES,2007-01-01,0.48 
R_PN_WK,T,ES,2008-01-01,0.42 b
R_PN_WK,T,ES,2009-01-01,0.45 
R_PN_WK,T,ES,2010-01-01,0.47 
R_PN_WK,T,ES,2011-01-01,0.51 
R_PN_WK,T,ES,2012-01-01,0.55 
R_PN_WK,T,ES,2013-01-01,0.6
R_PN_WK,T,ES,2014-01-01,0.60 
R_PN_WK,T,ES,2015-01-01,0.66
R_PN_WK,T,ES,2016-01-01,0.66 
R_PN_WK,T,ES,2017-01-01,0.69 
R_PN_WK,T,EU27,2006-01-01,0.50 s
R_PN_WK,T,EU27,2007-01-01,0.49 
R_PN_WK,T,EU27,2008-01-01,0.49 
R_PN_WK,T,EU27,2009-01-01,0.51 
R_PN_WK,T,EU27,2010-01-01,0.53 
R_PN_WK,T,EU27,2011-01-01,0.54 
R_PN_WK,T,EU27,2012-01-01,0.54 
R_PN_WK,T,EU27,2013-01-01,0.56
R_PN_WK,T,EU27,2014-01-01,0.56 
R_PN_WK,T,EU27,2015-01-01,0.57
R_PN_WK,T,EU27,2016-01-01,0.58 
R_PN_WK,T,EU27,2017-01-01,0.59 
R_PN_WK,T,EU28,2006-01-01,: 
R_PN_WK,T,EU28,2007-01-01,: 
R_PN_WK,T,EU28,2008-01-01,: 
R_PN_WK,T,EU28,2009-01-01,: 
R_PN_WK,T,EU28,2010-01-01,0.52 
R_PN_WK,T,EU28,2011-01-01,0.53 
R_PN_WK,T,EU28,2012-01-01,0.54 
R_PN_WK,T,EU28,2013-01-01,0.56
R_PN_WK,T,EU28,2014-01-01,0.56 
R_PN_WK,T,EU28,2015-01-01,0.57
R_PN_WK,T,EU28,2016-01-01,0.58 
R_PN_WK,T,EU28,2017-01-01,0.59 
R_PN_WK,T,FI,2006-01-01,0.47 
R_PN_WK,T,FI,2007-01-01,0.47 
R_PN_WK,T,FI,2008-01-01,0.49 
R_PN_WK,T,FI,2009-01-01,0.48 
R_PN_WK,T,FI,2010-01-01,0.50 
R_PN_WK,T,FI,2011-01-01,0.50 
R_PN_WK,T,FI,2012-01-01,0.49 
R_PN_WK,T,FI,2013-01-01,0.49
R_PN_WK,T,FI,2014-01-01,0.51 
R_PN_WK,T,FI,2015-01-01,0.52
R_PN_WK,T,FI,2016-01-01,0.53 
R_PN_WK,T,FI,2017-01-01,0.53 
R_PN_WK,T,FR,2006-01-01,0.58 
R_PN_WK,T,FR,2007-01-01,0.60 
R_PN_WK,T,FR,2008-01-01,0.65 b
R_PN_WK,T,FR,2009-01-01,0.66 
R_PN_WK,T,FR,2010-01-01,0.65 
R_PN_WK,T,FR,2011-01-01,0.64 
R_PN_WK,T,FR,2012-01-01,0.65 
R_PN_WK,T,FR,2013-01-01,0.66
R_PN_WK,T,FR,2014-01-01,0.69 
R_PN_WK,T,FR,2015-01-01,0.69
R_PN_WK,T,FR,2016-01-01,0.68 
R_PN_WK,T,FR,2017-01-01,0.68 
R_PN_WK,T,HR,2006-01-01,: 
R_PN_WK,T,HR,2007-01-01,: 
R_PN_WK,T,HR,2008-01-01,: 
R_PN_WK,T,HR,2009-01-01,: 
R_PN_WK,T,HR,2010-01-01,0.32 b
R_PN_WK,T,HR,2011-01-01,0.36 
R_PN_WK,T,HR,2012-01-01,0.36 
R_PN_WK,T,HR,2013-01-01,0.37
R_PN_WK,T,HR,2014-01-01,0.40 
R_PN_WK,T,HR,2015-01-01,0.4
R_PN_WK,T,HR,2016-01-01,0.39 
R_PN_WK,T,HR,2017-01-01,: 
R_PN_WK,T,HU,2006-01-01,0.54 
R_PN_WK,T,HU,2007-01-01,0.58 
R_PN_WK,T,HU,2008-01-01,0.61 
R_PN_WK,T,HU,2009-01-01,0.62 
R_PN_WK,T,HU,2010-01-01,0.60 
R_PN_WK,T,HU,2011-01-01,0.60 
R_PN_WK,T,HU,2012-01-01,0.58 
R_PN_WK,T,HU,2013-01-01,0.62
R_PN_WK,T,HU,2014-01-01,0.62 
R_PN_WK,T,HU,2015-01-01,0.65
R_PN_WK,T,HU,2016-01-01,0.67 
R_PN_WK,T,HU,2017-01-01,0.64 
R_PN_WK,T,IE,2006-01-01,0.38 
R_PN_WK,T,IE,2007-01-01,0.49 
R_PN_WK,T,IE,2008-01-01,0.49 
R_PN_WK,T,IE,2009-01-01,0.48 
R_PN_WK,T,IE,2010-01-01,0.47 
R_PN_WK,T,IE,2011-01-01,0.43 
R_PN_WK,T,IE,2012-01-01,0.42 
R_PN_WK,T,IE,2013-01-01,0.37
R_PN_WK,T,IE,2014-01-01,0.38 
R_PN_WK,T,IE,2015-01-01,0.38
R_PN_WK,T,IE,2016-01-01,0.35 
R_PN_WK,T,IE,2017-01-01,: 
R_PN_WK,T,IS,2006-01-01,0.46 
R_PN_WK,T,IS,2007-01-01,0.44 
R_PN_WK,T,IS,2008-01-01,0.46 
R_PN_WK,T,IS,2009-01-01,0.46 
R_PN_WK,T,IS,2010-01-01,0.48 
R_PN_WK,T,IS,2011-01-01,0.52 
R_PN_WK,T,IS,2012-01-01,0.50 
R_PN_WK,T,IS,2013-01-01,0.49
R_PN_WK,T,IS,2014-01-01,0.49 
R_PN_WK,T,IS,2015-01-01,0.53
R_PN_WK,T,IS,2016-01-01,0.51 p
R_PN_WK,T,IS,2017-01-01,: 
R_PN_WK,T,IT,2006-01-01,0.58 
R_PN_WK,T,IT,2007-01-01,0.49 
R_PN_WK,T,IT,2008-01-01,0.51 
R_PN_WK,T,IT,2009-01-01,0.51 
R_PN_WK,T,IT,2010-01-01,0.53 
R_PN_WK,T,IT,2011-01-01,0.55 
R_PN_WK,T,IT,2012-01-01,0.59 
R_PN_WK,T,IT,2013-01-01,0.62
