currency,bop_item,sector10,sectpart,stk_flow,partner,s_adj,geotime,date,value
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2017-09-01,
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2017-10-01,
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2017-11-01,
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2017-12-01,
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2018-01-01,
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2018-02-01,
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2018-03-01,
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2018-04-01,
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2018-05-01,
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2018-06-01,
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2018-07-01,
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2018-08-01,
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2017-09-01,1051.0
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2017-10-01,484.0
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2017-11-01,-1236.0
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2017-12-01,914.0
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2018-01-01,953.0
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2018-02-01,256.0
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2018-03-01,-13.0
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2018-04-01,782.0
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2018-05-01,-3138.0
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2018-06-01,-30.0
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2018-07-01,-846.0
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2018-08-01,-1795.0
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2017-09-01,585.9
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2017-10-01,119.4
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2017-11-01,26.1
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2017-12-01,-183.6
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2018-01-01,-216.9
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2018-02-01,159.1
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2018-03-01,-70.2
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2018-04-01,-45.6
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2018-05-01,24.0
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2018-06-01,330.1
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2018-07-01,987.1
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2018-08-01,1197.2
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2017-09-01,
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2017-10-01,
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2017-11-01,
MIO_EUR,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2017-12-01,
