na_item,nace_r2,unit,geotime,date,value
B1G,C,MIO_EUR_NSA,AL,2015-07-01,157
B1G,C,MIO_EUR_NSA,AL,2015-10-01,162
B1G,C,MIO_EUR_NSA,AL,2016-01-01,136
B1G,C,MIO_EUR_NSA,AL,2016-04-01,153
B1G,C,MIO_EUR_NSA,AL,2016-07-01,159
B1G,C,MIO_EUR_NSA,AL,2016-10-01,159
B1G,C,MIO_EUR_NSA,AL,2017-01-01,145
B1G,C,MIO_EUR_NSA,AL,2017-04-01,169
B1G,C,MIO_EUR_NSA,AL,2017-07-01,187
B1G,C,MIO_EUR_NSA,AL,2017-10-01,190
B1G,C,MIO_EUR_NSA,AL,2018-01-01,158
B1G,C,MIO_EUR_NSA,AL,2018-04-01,189
B1G,C,MIO_EUR_NSA,AT,2015-07-01,14634
B1G,C,MIO_EUR_NSA,AT,2015-10-01,15404
B1G,C,MIO_EUR_NSA,AT,2016-01-01,14331
B1G,C,MIO_EUR_NSA,AT,2016-04-01,14882
B1G,C,MIO_EUR_NSA,AT,2016-07-01,14714
B1G,C,MIO_EUR_NSA,AT,2016-10-01,15598
B1G,C,MIO_EUR_NSA,AT,2017-01-01,14868
B1G,C,MIO_EUR_NSA,AT,2017-04-01,15438
B1G,C,MIO_EUR_NSA,AT,2017-07-01,15366
B1G,C,MIO_EUR_NSA,AT,2017-10-01,15859
B1G,C,MIO_EUR_NSA,AT,2018-01-01,15654
B1G,C,MIO_EUR_NSA,AT,2018-04-01,16147
B1G,C,MIO_EUR_NSA,BE,2015-07-01,
B1G,C,MIO_EUR_NSA,BE,2015-10-01,
B1G,C,MIO_EUR_NSA,BE,2016-01-01,
B1G,C,MIO_EUR_NSA,BE,2016-04-01,
B1G,C,MIO_EUR_NSA,BE,2016-07-01,
B1G,C,MIO_EUR_NSA,BE,2016-10-01,
B1G,C,MIO_EUR_NSA,BE,2017-01-01,
B1G,C,MIO_EUR_NSA,BE,2017-04-01,
B1G,C,MIO_EUR_NSA,BE,2017-07-01,
B1G,C,MIO_EUR_NSA,BE,2017-10-01,
B1G,C,MIO_EUR_NSA,BE,2018-01-01,
B1G,C,MIO_EUR_NSA,BE,2018-04-01,
B1G,C,MIO_EUR_NSA,BG,2015-07-01,1735
B1G,C,MIO_EUR_NSA,BG,2015-10-01,1580
B1G,C,MIO_EUR_NSA,BG,2016-01-01,1471
B1G,C,MIO_EUR_NSA,BG,2016-04-01,1882
B1G,C,MIO_EUR_NSA,BG,2016-07-01,2002
B1G,C,MIO_EUR_NSA,BG,2016-10-01,1618
B1G,C,MIO_EUR_NSA,BG,2017-01-01,1586
B1G,C,MIO_EUR_NSA,BG,2017-04-01,1963
B1G,C,MIO_EUR_NSA,BG,2017-07-01,2024
B1G,C,MIO_EUR_NSA,BG,2017-10-01,2010
B1G,C,MIO_EUR_NSA,BG,2018-01-01,1590
B1G,C,MIO_EUR_NSA,BG,2018-04-01,2143
B1G,C,MIO_EUR_NSA,CH,2015-07-01,26830
B1G,C,MIO_EUR_NSA,CH,2015-10-01,28058
B1G,C,MIO_EUR_NSA,CH,2016-01-01,26748
B1G,C,MIO_EUR_NSA,CH,2016-04-01,27411
B1G,C,MIO_EUR_NSA,CH,2016-07-01,26906
B1G,C,MIO_EUR_NSA,CH,2016-10-01,27450
B1G,C,MIO_EUR_NSA,CH,2017-01-01,27986
B1G,C,MIO_EUR_NSA,CH,2017-04-01,27405
B1G,C,MIO_EUR_NSA,CH,2017-07-01,25830
B1G,C,MIO_EUR_NSA,CH,2017-10-01,26631
B1G,C,MIO_EUR_NSA,CH,2018-01-01,26532
B1G,C,MIO_EUR_NSA,CH,2018-04-01,27229
B1G,C,MIO_EUR_NSA,CY,2015-07-01,185
B1G,C,MIO_EUR_NSA,CY,2015-10-01,199
B1G,C,MIO_EUR_NSA,CY,2016-01-01,197
B1G,C,MIO_EUR_NSA,CY,2016-04-01,216
B1G,C,MIO_EUR_NSA,CY,2016-07-01,208
B1G,C,MIO_EUR_NSA,CY,2016-10-01,222
B1G,C,MIO_EUR_NSA,CY,2017-01-01,218
B1G,C,MIO_EUR_NSA,CY,2017-04-01,240
B1G,C,MIO_EUR_NSA,CY,2017-07-01,227
B1G,C,MIO_EUR_NSA,CY,2017-10-01,241
B1G,C,MIO_EUR_NSA,CY,2018-01-01,231
B1G,C,MIO_EUR_NSA,CY,2018-04-01,253
B1G,C,MIO_EUR_NSA,CZ,2015-07-01,10172
B1G,C,MIO_EUR_NSA,CZ,2015-10-01,9990
B1G,C,MIO_EUR_NSA,CZ,2016-01-01,10256
B1G,C,MIO_EUR_NSA,CZ,2016-04-01,11459
B1G,C,MIO_EUR_NSA,CZ,2016-07-01,10456
B1G,C,MIO_EUR_NSA,CZ,2016-10-01,10382
B1G,C,MIO_EUR_NSA,CZ,2017-01-01,10908
B1G,C,MIO_EUR_NSA,CZ,2017-04-01,11963
B1G,C,MIO_EUR_NSA,CZ,2017-07-01,11566
B1G,C,MIO_EUR_NSA,CZ,2017-10-01,11720
B1G,C,MIO_EUR_NSA,CZ,2018-01-01,11794
B1G,C,MIO_EUR_NSA,CZ,2018-04-01,12621
B1G,C,MIO_EUR_NSA,DE,2015-07-01,160871
B1G,C,MIO_EUR_NSA,DE,2015-10-01,157647
B1G,C,MIO_EUR_NSA,DE,2016-01-01,162050
B1G,C,MIO_EUR_NSA,DE,2016-04-01,172479
B1G,C,MIO_EUR_NSA,DE,2016-07-01,168085
B1G,C,MIO_EUR_NSA,DE,2016-10-01,163686
B1G,C,MIO_EUR_NSA,DE,2017-01-01,169922
B1G,C,MIO_EUR_NSA,DE,2017-04-01,172708
B1G,C,MIO_EUR_NSA,DE,2017-07-01,175381
