indic_il,sex,geotime,date,value
R_PN_WK,F,AT,2006-01-01,0
R_PN_WK,F,AT,2007-01-01,0
R_PN_WK,F,AT,2008-01-01,0
R_PN_WK,F,AT,2009-01-01,0
R_PN_WK,F,AT,2010-01-01,0
R_PN_WK,F,AT,2011-01-01,0
R_PN_WK,F,AT,2012-01-01,0
R_PN_WK,F,AT,2013-01-01,
R_PN_WK,F,AT,2014-01-01,0
R_PN_WK,F,AT,2015-01-01,
R_PN_WK,F,AT,2016-01-01,0
R_PN_WK,F,AT,2017-01-01,0
R_PN_WK,F,BE,2006-01-01,0
R_PN_WK,F,BE,2007-01-01,0
R_PN_WK,F,BE,2008-01-01,0
R_PN_WK,F,BE,2009-01-01,0
R_PN_WK,F,BE,2010-01-01,0
R_PN_WK,F,BE,2011-01-01,0
R_PN_WK,F,BE,2012-01-01,0
R_PN_WK,F,BE,2013-01-01,
R_PN_WK,F,BE,2014-01-01,0
R_PN_WK,F,BE,2015-01-01,
R_PN_WK,F,BE,2016-01-01,0
R_PN_WK,F,BE,2017-01-01,0
R_PN_WK,F,BG,2006-01-01,0
R_PN_WK,F,BG,2007-01-01,0
R_PN_WK,F,BG,2008-01-01,0
R_PN_WK,F,BG,2009-01-01,0
R_PN_WK,F,BG,2010-01-01,0
R_PN_WK,F,BG,2011-01-01,0
R_PN_WK,F,BG,2012-01-01,0
R_PN_WK,F,BG,2013-01-01,
R_PN_WK,F,BG,2014-01-01,0
R_PN_WK,F,BG,2015-01-01,
R_PN_WK,F,BG,2016-01-01,0
R_PN_WK,F,BG,2017-01-01,0
R_PN_WK,F,CH,2006-01-01,
R_PN_WK,F,CH,2007-01-01,0
R_PN_WK,F,CH,2008-01-01,0
R_PN_WK,F,CH,2009-01-01,0
R_PN_WK,F,CH,2010-01-01,0
R_PN_WK,F,CH,2011-01-01,0
R_PN_WK,F,CH,2012-01-01,0
R_PN_WK,F,CH,2013-01-01,
R_PN_WK,F,CH,2014-01-01,0
R_PN_WK,F,CH,2015-01-01,
R_PN_WK,F,CH,2016-01-01,0
R_PN_WK,F,CH,2017-01-01,
R_PN_WK,F,CY,2006-01-01,0
R_PN_WK,F,CY,2007-01-01,0
R_PN_WK,F,CY,2008-01-01,0
R_PN_WK,F,CY,2009-01-01,0
R_PN_WK,F,CY,2010-01-01,0
R_PN_WK,F,CY,2011-01-01,0
R_PN_WK,F,CY,2012-01-01,0
R_PN_WK,F,CY,2013-01-01,
R_PN_WK,F,CY,2014-01-01,0
R_PN_WK,F,CY,2015-01-01,
R_PN_WK,F,CY,2016-01-01,0
R_PN_WK,F,CY,2017-01-01,0
R_PN_WK,F,CZ,2006-01-01,0
R_PN_WK,F,CZ,2007-01-01,0
R_PN_WK,F,CZ,2008-01-01,0
R_PN_WK,F,CZ,2009-01-01,0
R_PN_WK,F,CZ,2010-01-01,0
R_PN_WK,F,CZ,2011-01-01,0
R_PN_WK,F,CZ,2012-01-01,0
R_PN_WK,F,CZ,2013-01-01,
R_PN_WK,F,CZ,2014-01-01,0
R_PN_WK,F,CZ,2015-01-01,
R_PN_WK,F,CZ,2016-01-01,0
R_PN_WK,F,CZ,2017-01-01,0
R_PN_WK,F,DE,2006-01-01,0
R_PN_WK,F,DE,2007-01-01,0
R_PN_WK,F,DE,2008-01-01,0
R_PN_WK,F,DE,2009-01-01,0
R_PN_WK,F,DE,2010-01-01,0
R_PN_WK,F,DE,2011-01-01,0
R_PN_WK,F,DE,2012-01-01,0
R_PN_WK,F,DE,2013-01-01,
R_PN_WK,F,DE,2014-01-01,0
R_PN_WK,F,DE,2015-01-01,
R_PN_WK,F,DE,2016-01-01,0
R_PN_WK,F,DE,2017-01-01,0
R_PN_WK,F,DK,2006-01-01,0
R_PN_WK,F,DK,2007-01-01,0
R_PN_WK,F,DK,2008-01-01,0
R_PN_WK,F,DK,2009-01-01,0
R_PN_WK,F,DK,2010-01-01,0
R_PN_WK,F,DK,2011-01-01,0
R_PN_WK,F,DK,2012-01-01,0
R_PN_WK,F,DK,2013-01-01,
R_PN_WK,F,DK,2014-01-01,0
R_PN_WK,F,DK,2015-01-01,
R_PN_WK,F,DK,2016-01-01,0
R_PN_WK,F,DK,2017-01-01,0
R_PN_WK,F,EA18,2006-01-01,0
R_PN_WK,F,EA18,2007-01-01,0
R_PN_WK,F,EA18,2008-01-01,0
R_PN_WK,F,EA18,2009-01-01,0
R_PN_WK,F,EA18,2010-01-01,0
R_PN_WK,F,EA18,2011-01-01,0
R_PN_WK,F,EA18,2012-01-01,0
R_PN_WK,F,EA18,2013-01-01,
R_PN_WK,F,EA18,2014-01-01,0
R_PN_WK,F,EA18,2015-01-01,
R_PN_WK,F,EA18,2016-01-01,0
R_PN_WK,F,EA18,2017-01-01,0
R_PN_WK,F,EA19,2006-01-01,0
R_PN_WK,F,EA19,2007-01-01,0
R_PN_WK,F,EA19,2008-01-01,0
R_PN_WK,F,EA19,2009-01-01,0
R_PN_WK,F,EA19,2010-01-01,0
R_PN_WK,F,EA19,2011-01-01,0
R_PN_WK,F,EA19,2012-01-01,0
R_PN_WK,F,EA19,2013-01-01,
R_PN_WK,F,EA19,2014-01-01,0
R_PN_WK,F,EA19,2015-01-01,
R_PN_WK,F,EA19,2016-01-01,0
R_PN_WK,F,EA19,2017-01-01,0
R_PN_WK,F,EE,2006-01-01,0
R_PN_WK,F,EE,2007-01-01,0
R_PN_WK,F,EE,2008-01-01,0
R_PN_WK,F,EE,2009-01-01,0
R_PN_WK,F,EE,2010-01-01,0
R_PN_WK,F,EE,2011-01-01,0
R_PN_WK,F,EE,2012-01-01,0
R_PN_WK,F,EE,2013-01-01,
R_PN_WK,F,EE,2014-01-01,0
R_PN_WK,F,EE,2015-01-01,
R_PN_WK,F,EE,2016-01-01,0
R_PN_WK,F,EE,2017-01-01,0
R_PN_WK,F,EL,2006-01-01,0
R_PN_WK,F,EL,2007-01-01,0
R_PN_WK,F,EL,2008-01-01,0
R_PN_WK,F,EL,2009-01-01,0
R_PN_WK,F,EL,2010-01-01,0
R_PN_WK,F,EL,2011-01-01,0
R_PN_WK,F,EL,2012-01-01,0
R_PN_WK,F,EL,2013-01-01,
R_PN_WK,F,EL,2014-01-01,0
R_PN_WK,F,EL,2015-01-01,
R_PN_WK,F,EL,2016-01-01,0
R_PN_WK,F,EL,2017-01-01,0
R_PN_WK,F,ES,2006-01-01,0
R_PN_WK,F,ES,2007-01-01,0
R_PN_WK,F,ES,2008-01-01,0
R_PN_WK,F,ES,2009-01-01,0
R_PN_WK,F,ES,2010-01-01,0
R_PN_WK,F,ES,2011-01-01,0
R_PN_WK,F,ES,2012-01-01,0
R_PN_WK,F,ES,2013-01-01,
R_PN_WK,F,ES,2014-01-01,0
R_PN_WK,F,ES,2015-01-01,
R_PN_WK,F,ES,2016-01-01,0
R_PN_WK,F,ES,2017-01-01,0
R_PN_WK,F,EU27,2006-01-01,0
R_PN_WK,F,EU27,2007-01-01,0
R_PN_WK,F,EU27,2008-01-01,0
R_PN_WK,F,EU27,2009-01-01,0
R_PN_WK,F,EU27,2010-01-01,0
R_PN_WK,F,EU27,2011-01-01,0
R_PN_WK,F,EU27,2012-01-01,0
R_PN_WK,F,EU27,2013-01-01,
R_PN_WK,F,EU27,2014-01-01,0
R_PN_WK,F,EU27,2015-01-01,
R_PN_WK,F,EU27,2016-01-01,0
R_PN_WK,F,EU27,2017-01-01,0
R_PN_WK,F,EU28,2006-01-01,
R_PN_WK,F,EU28,2007-01-01,
R_PN_WK,F,EU28,2008-01-01,
R_PN_WK,F,EU28,2009-01-01,
R_PN_WK,F,EU28,2010-01-01,0
R_PN_WK,F,EU28,2011-01-01,0
R_PN_WK,F,EU28,2012-01-01,0
R_PN_WK,F,EU28,2013-01-01,
R_PN_WK,F,EU28,2014-01-01,0
R_PN_WK,F,EU28,2015-01-01,
R_PN_WK,F,EU28,2016-01-01,0
R_PN_WK,F,EU28,2017-01-01,0
R_PN_WK,F,FI,2006-01-01,0
R_PN_WK,F,FI,2007-01-01,0
R_PN_WK,F,FI,2008-01-01,0
R_PN_WK,F,FI,2009-01-01,0
R_PN_WK,F,FI,2010-01-01,0
R_PN_WK,F,FI,2011-01-01,0
