unit,s_adj,asset10,geo\time,date,value
CLV_PCH_SM,SCA,N111G,AT,2015-07-01,1.5 
CLV_PCH_SM,SCA,N111G,AT,2015-10-01,2.5 
CLV_PCH_SM,SCA,N111G,AT,2016-01-01,3.2 
CLV_PCH_SM,SCA,N111G,AT,2016-04-01,2.7 
CLV_PCH_SM,SCA,N111G,AT,2016-07-01,2.3 
CLV_PCH_SM,SCA,N111G,AT,2016-10-01,1.2 
CLV_PCH_SM,SCA,N111G,AT,2017-01-01,2.4 
CLV_PCH_SM,SCA,N111G,AT,2017-04-01,5.5 
CLV_PCH_SM,SCA,N111G,AT,2017-07-01,2.9 
CLV_PCH_SM,SCA,N111G,AT,2017-10-01,4.5 
CLV_PCH_SM,SCA,N111G,AT,2018-01-01,2.6 
CLV_PCH_SM,SCA,N111G,AT,2018-04-01,2.0 
CLV_PCH_SM,SCA,N111G,BE,2015-07-01,: c
CLV_PCH_SM,SCA,N111G,BE,2015-10-01,: c
CLV_PCH_SM,SCA,N111G,BE,2016-01-01,: c
CLV_PCH_SM,SCA,N111G,BE,2016-04-01,: c
CLV_PCH_SM,SCA,N111G,BE,2016-07-01,: c
CLV_PCH_SM,SCA,N111G,BE,2016-10-01,: c
CLV_PCH_SM,SCA,N111G,BE,2017-01-01,: c
CLV_PCH_SM,SCA,N111G,BE,2017-04-01,: c
CLV_PCH_SM,SCA,N111G,BE,2017-07-01,: c
CLV_PCH_SM,SCA,N111G,BE,2017-10-01,: c
CLV_PCH_SM,SCA,N111G,BE,2018-01-01,: c
CLV_PCH_SM,SCA,N111G,BE,2018-04-01,: c
CLV_PCH_SM,SCA,N111G,BG,2015-07-01,-8.6 
CLV_PCH_SM,SCA,N111G,BG,2015-10-01,-4.1 
CLV_PCH_SM,SCA,N111G,BG,2016-01-01,107.3 
CLV_PCH_SM,SCA,N111G,BG,2016-04-01,106.8 
CLV_PCH_SM,SCA,N111G,BG,2016-07-01,98.9 
CLV_PCH_SM,SCA,N111G,BG,2016-10-01,99.8 
CLV_PCH_SM,SCA,N111G,BG,2017-01-01,12.3 
CLV_PCH_SM,SCA,N111G,BG,2017-04-01,19.6 
CLV_PCH_SM,SCA,N111G,BG,2017-07-01,18.2 
CLV_PCH_SM,SCA,N111G,BG,2017-10-01,23.2 
CLV_PCH_SM,SCA,N111G,BG,2018-01-01,19.1 p
CLV_PCH_SM,SCA,N111G,BG,2018-04-01,14.5 p
CLV_PCH_SM,SCA,N111G,CY,2015-07-01,-1.4 
CLV_PCH_SM,SCA,N111G,CY,2015-10-01,5.2 
CLV_PCH_SM,SCA,N111G,CY,2016-01-01,-1.8 
CLV_PCH_SM,SCA,N111G,CY,2016-04-01,13.7 
CLV_PCH_SM,SCA,N111G,CY,2016-07-01,31.9 
CLV_PCH_SM,SCA,N111G,CY,2016-10-01,39.9 
CLV_PCH_SM,SCA,N111G,CY,2017-01-01,37.6 
CLV_PCH_SM,SCA,N111G,CY,2017-04-01,30.9 
CLV_PCH_SM,SCA,N111G,CY,2017-07-01,19.6 
CLV_PCH_SM,SCA,N111G,CY,2017-10-01,16.9 
CLV_PCH_SM,SCA,N111G,CY,2018-01-01,12.9 
CLV_PCH_SM,SCA,N111G,CY,2018-04-01,9.8 
CLV_PCH_SM,SCA,N111G,CZ,2015-07-01,22.5 
CLV_PCH_SM,SCA,N111G,CZ,2015-10-01,20.8 
CLV_PCH_SM,SCA,N111G,CZ,2016-01-01,0.2 
CLV_PCH_SM,SCA,N111G,CZ,2016-04-01,4.7 
CLV_PCH_SM,SCA,N111G,CZ,2016-07-01,2.0 
CLV_PCH_SM,SCA,N111G,CZ,2016-10-01,12.5 
CLV_PCH_SM,SCA,N111G,CZ,2017-01-01,4.8 
CLV_PCH_SM,SCA,N111G,CZ,2017-04-01,5.5 
CLV_PCH_SM,SCA,N111G,CZ,2017-07-01,9.8 
