co_nco,sector,finpos,na_item,unit,geo\time,date,value
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,1995-01-01,181741.7 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,1996-01-01,190274.2 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,1997-01-01,205016.3 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,1998-01-01,214266.5 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,1999-01-01,234293.4 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2000-01-01,259400.3 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2001-01-01,270875.1 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2002-01-01,277087.2 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2003-01-01,289254.7 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2004-01-01,297830.2
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2005-01-01,313728.4
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2006-01-01,327549.9
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2007-01-01,351885.2
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2008-01-01,372198.9
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2009-01-01,380015.9
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2010-01-01,391499.1
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2011-01-01,401390.3 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2012-01-01,408450.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2013-01-01,411587.2 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2014-01-01,415800.6 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2015-01-01,427704.1 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2016-01-01,442226.5 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2017-01-01,453222.8 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,1995-01-01,195566.2 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,1996-01-01,210130.5 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,1997-01-01,228731.2 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,1998-01-01,246068.8 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,1999-01-01,271793.7 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2000-01-01,294648.7 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2001-01-01,299732.1 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2002-01-01,307580.1 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2003-01-01,330591.3 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2004-01-01,360474.8
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2005-01-01,375992.3
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2006-01-01,400624.2
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2007-01-01,463676.3
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2008-01-01,575941.6
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2009-01-01,600003.0
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2010-01-01,617703.3
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2011-01-01,687974.2 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2012-01-01,733416.9 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2013-01-01,663715.7 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2014-01-01,667416.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2015-01-01,743626.1 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2016-01-01,844745.8 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2017-01-01,821209.6 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,1995-01-01,391.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,1996-01-01,1123.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,1997-01-01,1889.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,1998-01-01,2755.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,1999-01-01,4077.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2000-01-01,7491.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2001-01-01,8878.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2002-01-01,10874.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2003-01-01,15033.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2004-01-01,23413.0
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2005-01-01,33870.0
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2006-01-01,48518.0
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2007-01-01,78338.0
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2008-01-01,95637.0
