unit,direct,na_item,sector,geo\time,date,value
CP_MNAC,PAID,B9,S1,AT,1995-01-01,-4712 
CP_MNAC,PAID,B9,S1,AT,1996-01-01,-5110 
CP_MNAC,PAID,B9,S1,AT,1997-01-01,-4678 
CP_MNAC,PAID,B9,S1,AT,1998-01-01,-4098 
CP_MNAC,PAID,B9,S1,AT,1999-01-01,-5013 
CP_MNAC,PAID,B9,S1,AT,2000-01-01,-1916 
CP_MNAC,PAID,B9,S1,AT,2001-01-01,-2367 
CP_MNAC,PAID,B9,S1,AT,2002-01-01,4250 
CP_MNAC,PAID,B9,S1,AT,2003-01-01,3423 
CP_MNAC,PAID,B9,S1,AT,2004-01-01,4387 
CP_MNAC,PAID,B9,S1,AT,2005-01-01,5162 
CP_MNAC,PAID,B9,S1,AT,2006-01-01,6600 
CP_MNAC,PAID,B9,S1,AT,2007-01-01,9504 
CP_MNAC,PAID,B9,S1,AT,2008-01-01,12244 
CP_MNAC,PAID,B9,S1,AT,2009-01-01,6658 
CP_MNAC,PAID,B9,S1,AT,2010-01-01,10033 
CP_MNAC,PAID,B9,S1,AT,2011-01-01,6365 
CP_MNAC,PAID,B9,S1,AT,2012-01-01,5646 
CP_MNAC,PAID,B9,S1,AT,2013-01-01,5691 
CP_MNAC,PAID,B9,S1,AT,2014-01-01,7872 
CP_MNAC,PAID,B9,S1,AT,2015-01-01,4580 
CP_MNAC,PAID,B9,S1,AT,2016-01-01,8922 
CP_MNAC,PAID,B9,S1,AT,2017-01-01,7376 
CP_MNAC,PAID,B9,S1,BE,1995-01-01,9323 
CP_MNAC,PAID,B9,S1,BE,1996-01-01,8040 
CP_MNAC,PAID,B9,S1,BE,1997-01-01,10661 
CP_MNAC,PAID,B9,S1,BE,1998-01-01,10116 
CP_MNAC,PAID,B9,S1,BE,1999-01-01,11732 
CP_MNAC,PAID,B9,S1,BE,2000-01-01,9938 
CP_MNAC,PAID,B9,S1,BE,2001-01-01,10519 
CP_MNAC,PAID,B9,S1,BE,2002-01-01,16079 
CP_MNAC,PAID,B9,S1,BE,2003-01-01,15799 
CP_MNAC,PAID,B9,S1,BE,2004-01-01,13416 
CP_MNAC,PAID,B9,S1,BE,2005-01-01,10247 
CP_MNAC,PAID,B9,S1,BE,2006-01-01,12016 
CP_MNAC,PAID,B9,S1,BE,2007-01-01,12758 
CP_MNAC,PAID,B9,S1,BE,2008-01-01,3501 
CP_MNAC,PAID,B9,S1,BE,2009-01-01,2554 
CP_MNAC,PAID,B9,S1,BE,2010-01-01,13208 
CP_MNAC,PAID,B9,S1,BE,2011-01-01,505 
CP_MNAC,PAID,B9,S1,BE,2012-01-01,8545 
CP_MNAC,PAID,B9,S1,BE,2013-01-01,4317 
CP_MNAC,PAID,B9,S1,BE,2014-01-01,-1940 
CP_MNAC,PAID,B9,S1,BE,2015-01-01,-1682 
CP_MNAC,PAID,B9,S1,BE,2016-01-01,877 
CP_MNAC,PAID,B9,S1,BE,2017-01-01,: 
CP_MNAC,PAID,B9,S1,BG,1995-01-01,111 b
CP_MNAC,PAID,B9,S1,BG,1996-01-01,20 b
CP_MNAC,PAID,B9,S1,BG,1997-01-01,1954 b
CP_MNAC,PAID,B9,S1,BG,1998-01-01,1460 b
CP_MNAC,PAID,B9,S1,BG,1999-01-01,-904 b
CP_MNAC,PAID,B9,S1,BG,2000-01-01,-1529 
CP_MNAC,PAID,B9,S1,BG,2001-01-01,-1716 
CP_MNAC,PAID,B9,S1,BG,2002-01-01,-830 
CP_MNAC,PAID,B9,S1,BG,2003-01-01,-1945 
CP_MNAC,PAID,B9,S1,BG,2004-01-01,-2282 
CP_MNAC,PAID,B9,S1,BG,2005-01-01,-4876 
CP_MNAC,PAID,B9,S1,BG,2006-01-01,-8817 
CP_MNAC,PAID,B9,S1,BG,2007-01-01,-16235 
CP_MNAC,PAID,B9,S1,BG,2008-01-01,-15572 
CP_MNAC,PAID,B9,S1,BG,2009-01-01,-5027 
CP_MNAC,PAID,B9,S1,BG,2010-01-01,468 
CP_MNAC,PAID,B9,S1,BG,2011-01-01,1472 
CP_MNAC,PAID,B9,S1,BG,2012-01-01,951 
CP_MNAC,PAID,B9,S1,BG,2013-01-01,3166 
CP_MNAC,PAID,B9,S1,BG,2014-01-01,2046 
CP_MNAC,PAID,B9,S1,BG,2015-01-01,3474 
CP_MNAC,PAID,B9,S1,BG,2016-01-01,6913 
CP_MNAC,PAID,B9,S1,BG,2017-01-01,: 
CP_MNAC,PAID,B9,S1,CY,1995-01-01,-83 
CP_MNAC,PAID,B9,S1,CY,1996-01-01,-40 
CP_MNAC,PAID,B9,S1,CY,1997-01-01,-437 
CP_MNAC,PAID,B9,S1,CY,1998-01-01,594 
CP_MNAC,PAID,B9,S1,CY,1999-01-01,-305 
CP_MNAC,PAID,B9,S1,CY,2000-01-01,-591 
CP_MNAC,PAID,B9,S1,CY,2001-01-01,-189 
CP_MNAC,PAID,B9,S1,CY,2002-01-01,-373 
CP_MNAC,PAID,B9,S1,CY,2003-01-01,-388 
CP_MNAC,PAID,B9,S1,CY,2004-01-01,-1745 
CP_MNAC,PAID,B9,S1,CY,2005-01-01,-2121 
CP_MNAC,PAID,B9,S1,CY,2006-01-01,-2945 
CP_MNAC,PAID,B9,S1,CY,2007-01-01,-4832 
CP_MNAC,PAID,B9,S1,CY,2008-01-01,-2906 
CP_MNAC,PAID,B9,S1,CY,2009-01-01,-1355 
CP_MNAC,PAID,B9,S1,CY,2010-01-01,-2120 
CP_MNAC,PAID,B9,S1,CY,2011-01-01,-725 
CP_MNAC,PAID,B9,S1,CY,2012-01-01,-1120 
CP_MNAC,PAID,B9,S1,CY,2013-01-01,-629 
CP_MNAC,PAID,B9,S1,CY,2014-01-01,-625 
CP_MNAC,PAID,B9,S1,CY,2015-01-01,-202 
