sector,s_adj,na_item,unit,geotime,date,value
S11,NSA,B2G_B3G_RAT_S11,PC,AT,2015-07-01,43.86
S11,NSA,B2G_B3G_RAT_S11,PC,AT,2015-10-01,44.31
S11,NSA,B2G_B3G_RAT_S11,PC,AT,2016-01-01,42.68
S11,NSA,B2G_B3G_RAT_S11,PC,AT,2016-04-01,39.34
S11,NSA,B2G_B3G_RAT_S11,PC,AT,2016-07-01,43.03
S11,NSA,B2G_B3G_RAT_S11,PC,AT,2016-10-01,44.9
S11,NSA,B2G_B3G_RAT_S11,PC,AT,2017-01-01,43.65
S11,NSA,B2G_B3G_RAT_S11,PC,AT,2017-04-01,39.69
S11,NSA,B2G_B3G_RAT_S11,PC,AT,2017-07-01,43.64
S11,NSA,B2G_B3G_RAT_S11,PC,AT,2017-10-01,44.43
S11,NSA,B2G_B3G_RAT_S11,PC,AT,2018-01-01,44.42
S11,NSA,B2G_B3G_RAT_S11,PC,AT,2018-04-01,39.76
S11,NSA,B2G_B3G_RAT_S11,PC,BE,2015-07-01,46.82
S11,NSA,B2G_B3G_RAT_S11,PC,BE,2015-10-01,37.79
S11,NSA,B2G_B3G_RAT_S11,PC,BE,2016-01-01,44.16
S11,NSA,B2G_B3G_RAT_S11,PC,BE,2016-04-01,41.74
S11,NSA,B2G_B3G_RAT_S11,PC,BE,2016-07-01,47.55
S11,NSA,B2G_B3G_RAT_S11,PC,BE,2016-10-01,39.02
S11,NSA,B2G_B3G_RAT_S11,PC,BE,2017-01-01,45.38
S11,NSA,B2G_B3G_RAT_S11,PC,BE,2017-04-01,41.46
S11,NSA,B2G_B3G_RAT_S11,PC,BE,2017-07-01,47.35
S11,NSA,B2G_B3G_RAT_S11,PC,BE,2017-10-01,38.91
S11,NSA,B2G_B3G_RAT_S11,PC,BE,2018-01-01,45.23
S11,NSA,B2G_B3G_RAT_S11,PC,BE,2018-04-01,
S11,NSA,B2G_B3G_RAT_S11,PC,CZ,2015-07-01,52.26
S11,NSA,B2G_B3G_RAT_S11,PC,CZ,2015-10-01,51.49
S11,NSA,B2G_B3G_RAT_S11,PC,CZ,2016-01-01,49.86
S11,NSA,B2G_B3G_RAT_S11,PC,CZ,2016-04-01,52.45
S11,NSA,B2G_B3G_RAT_S11,PC,CZ,2016-07-01,50.01
S11,NSA,B2G_B3G_RAT_S11,PC,CZ,2016-10-01,49.74
S11,NSA,B2G_B3G_RAT_S11,PC,CZ,2017-01-01,48.88
S11,NSA,B2G_B3G_RAT_S11,PC,CZ,2017-04-01,49.39
S11,NSA,B2G_B3G_RAT_S11,PC,CZ,2017-07-01,49.77
S11,NSA,B2G_B3G_RAT_S11,PC,CZ,2017-10-01,49.1
S11,NSA,B2G_B3G_RAT_S11,PC,CZ,2018-01-01,47.04
S11,NSA,B2G_B3G_RAT_S11,PC,CZ,2018-04-01,47.3
S11,NSA,B2G_B3G_RAT_S11,PC,DE,2015-07-01,42.94
S11,NSA,B2G_B3G_RAT_S11,PC,DE,2015-10-01,38.25
S11,NSA,B2G_B3G_RAT_S11,PC,DE,2016-01-01,44.59
S11,NSA,B2G_B3G_RAT_S11,PC,DE,2016-04-01,42.83
S11,NSA,B2G_B3G_RAT_S11,PC,DE,2016-07-01,43.01
S11,NSA,B2G_B3G_RAT_S11,PC,DE,2016-10-01,37.87
S11,NSA,B2G_B3G_RAT_S11,PC,DE,2017-01-01,44.35
S11,NSA,B2G_B3G_RAT_S11,PC,DE,2017-04-01,41.22
S11,NSA,B2G_B3G_RAT_S11,PC,DE,2017-07-01,42.98
S11,NSA,B2G_B3G_RAT_S11,PC,DE,2017-10-01,37.67
S11,NSA,B2G_B3G_RAT_S11,PC,DE,2018-01-01,43.59
S11,NSA,B2G_B3G_RAT_S11,PC,DE,2018-04-01,40.95
S11,NSA,B2G_B3G_RAT_S11,PC,DK,2015-07-01,42.82
S11,NSA,B2G_B3G_RAT_S11,PC,DK,2015-10-01,42.31
S11,NSA,B2G_B3G_RAT_S11,PC,DK,2016-01-01,37.63
S11,NSA,B2G_B3G_RAT_S11,PC,DK,2016-04-01,37.58
S11,NSA,B2G_B3G_RAT_S11,PC,DK,2016-07-01,41.16
S11,NSA,B2G_B3G_RAT_S11,PC,DK,2016-10-01,42.35
S11,NSA,B2G_B3G_RAT_S11,PC,DK,2017-01-01,40.49
S11,NSA,B2G_B3G_RAT_S11,PC,DK,2017-04-01,38.39
S11,NSA,B2G_B3G_RAT_S11,PC,DK,2017-07-01,41.16
S11,NSA,B2G_B3G_RAT_S11,PC,DK,2017-10-01,40.66
S11,NSA,B2G_B3G_RAT_S11,PC,DK,2018-01-01,36.23
S11,NSA,B2G_B3G_RAT_S11,PC,DK,2018-04-01,35.2
S11,NSA,B2G_B3G_RAT_S11,PC,EA19,2015-07-01,42.18
S11,NSA,B2G_B3G_RAT_S11,PC,EA19,2015-10-01,39.13
S11,NSA,B2G_B3G_RAT_S11,PC,EA19,2016-01-01,42.86
S11,NSA,B2G_B3G_RAT_S11,PC,EA19,2016-04-01,39.84
S11,NSA,B2G_B3G_RAT_S11,PC,EA19,2016-07-01,42.35
S11,NSA,B2G_B3G_RAT_S11,PC,EA19,2016-10-01,39.22
S11,NSA,B2G_B3G_RAT_S11,PC,EA19,2017-01-01,42.67
S11,NSA,B2G_B3G_RAT_S11,PC,EA19,2017-04-01,39.37
S11,NSA,B2G_B3G_RAT_S11,PC,EA19,2017-07-01,42.78
S11,NSA,B2G_B3G_RAT_S11,PC,EA19,2017-10-01,38.66
S11,NSA,B2G_B3G_RAT_S11,PC,EA19,2018-01-01,42.77
S11,NSA,B2G_B3G_RAT_S11,PC,EA19,2018-04-01,39.41
S11,NSA,B2G_B3G_RAT_S11,PC,EE,2015-07-01,44.79
S11,NSA,B2G_B3G_RAT_S11,PC,EE,2015-10-01,42.91
S11,NSA,B2G_B3G_RAT_S11,PC,EE,2016-01-01,39.28
S11,NSA,B2G_B3G_RAT_S11,PC,EE,2016-04-01,41.56
S11,NSA,B2G_B3G_RAT_S11,PC,EE,2016-07-01,43.01
S11,NSA,B2G_B3G_RAT_S11,PC,EE,2016-10-01,42.08
S11,NSA,B2G_B3G_RAT_S11,PC,EE,2017-01-01,42.61
S11,NSA,B2G_B3G_RAT_S11,PC,EE,2017-04-01,42.77
S11,NSA,B2G_B3G_RAT_S11,PC,EE,2017-07-01,44.43
S11,NSA,B2G_B3G_RAT_S11,PC,EE,2017-10-01,43.2
S11,NSA,B2G_B3G_RAT_S11,PC,EE,2018-01-01,42.75
S11,NSA,B2G_B3G_RAT_S11,PC,EE,2018-04-01,
S11,NSA,B2G_B3G_RAT_S11,PC,EL,2015-07-01,59.5
S11,NSA,B2G_B3G_RAT_S11,PC,EL,2015-10-01,36.43
S11,NSA,B2G_B3G_RAT_S11,PC,EL,2016-01-01,54.8
S11,NSA,B2G_B3G_RAT_S11,PC,EL,2016-04-01,53.58
S11,NSA,B2G_B3G_RAT_S11,PC,EL,2016-07-01,55.59
S11,NSA,B2G_B3G_RAT_S11,PC,EL,2016-10-01,40.72
S11,NSA,B2G_B3G_RAT_S11,PC,EL,2017-01-01,54.6
S11,NSA,B2G_B3G_RAT_S11,PC,EL,2017-04-01,51.92
S11,NSA,B2G_B3G_RAT_S11,PC,EL,2017-07-01,56.51
S11,NSA,B2G_B3G_RAT_S11,PC,EL,2017-10-01,41.15
S11,NSA,B2G_B3G_RAT_S11,PC,EL,2018-01-01,
S11,NSA,B2G_B3G_RAT_S11,PC,EL,2018-04-01,
S11,NSA,B2G_B3G_RAT_S11,PC,ES,2015-07-01,41.06
S11,NSA,B2G_B3G_RAT_S11,PC,ES,2015-10-01,45.52
S11,NSA,B2G_B3G_RAT_S11,PC,ES,2016-01-01,41.9
S11,NSA,B2G_B3G_RAT_S11,PC,ES,2016-04-01,42.41
S11,NSA,B2G_B3G_RAT_S11,PC,ES,2016-07-01,42.04
S11,NSA,B2G_B3G_RAT_S11,PC,ES,2016-10-01,46.03
S11,NSA,B2G_B3G_RAT_S11,PC,ES,2017-01-01,42.23
S11,NSA,B2G_B3G_RAT_S11,PC,ES,2017-04-01,43.01
S11,NSA,B2G_B3G_RAT_S11,PC,ES,2017-07-01,42.25
S11,NSA,B2G_B3G_RAT_S11,PC,ES,2017-10-01,46.64
S11,NSA,B2G_B3G_RAT_S11,PC,ES,2018-01-01,42.22
S11,NSA,B2G_B3G_RAT_S11,PC,ES,2018-04-01,42.09
S11,NSA,B2G_B3G_RAT_S11,PC,EU28,2015-07-01,41.18
S11,NSA,B2G_B3G_RAT_S11,PC,EU28,2015-10-01,39.74
S11,NSA,B2G_B3G_RAT_S11,PC,EU28,2016-01-01,40.21
S11,NSA,B2G_B3G_RAT_S11,PC,EU28,2016-04-01,38.94
S11,NSA,B2G_B3G_RAT_S11,PC,EU28,2016-07-01,40.87
S11,NSA,B2G_B3G_RAT_S11,PC,EU28,2016-10-01,39.63
S11,NSA,B2G_B3G_RAT_S11,PC,EU28,2017-01-01,40.36
S11,NSA,B2G_B3G_RAT_S11,PC,EU28,2017-04-01,38.64
S11,NSA,B2G_B3G_RAT_S11,PC,EU28,2017-07-01,41.15
S11,NSA,B2G_B3G_RAT_S11,PC,EU28,2017-10-01,39.39
S11,NSA,B2G_B3G_RAT_S11,PC,EU28,2018-01-01,39.99
S11,NSA,B2G_B3G_RAT_S11,PC,EU28,2018-04-01,
S11,NSA,B2G_B3G_RAT_S11,PC,FI,2015-07-01,39.05
S11,NSA,B2G_B3G_RAT_S11,PC,FI,2015-10-01,45.72
S11,NSA,B2G_B3G_RAT_S11,PC,FI,2016-01-01,38.85
S11,NSA,B2G_B3G_RAT_S11,PC,FI,2016-04-01,41.28
S11,NSA,B2G_B3G_RAT_S11,PC,FI,2016-07-01,38.63
S11,NSA,B2G_B3G_RAT_S11,PC,FI,2016-10-01,46.47
S11,NSA,B2G_B3G_RAT_S11,PC,FI,2017-01-01,41.91
S11,NSA,B2G_B3G_RAT_S11,PC,FI,2017-04-01,42.83
S11,NSA,B2G_B3G_RAT_S11,PC,FI,2017-07-01,40.85
S11,NSA,B2G_B3G_RAT_S11,PC,FI,2017-10-01,47.66
S11,NSA,B2G_B3G_RAT_S11,PC,FI,2018-01-01,41.92
S11,NSA,B2G_B3G_RAT_S11,PC,FI,2018-04-01,43.54
S11,NSA,B2G_B3G_RAT_S11,PC,FR,2015-07-01,32.03
S11,NSA,B2G_B3G_RAT_S11,PC,FR,2015-10-01,29.93
S11,NSA,B2G_B3G_RAT_S11,PC,FR,2016-01-01,37.19
S11,NSA,B2G_B3G_RAT_S11,PC,FR,2016-04-01,29.72
S11,NSA,B2G_B3G_RAT_S11,PC,FR,2016-07-01,31.52
S11,NSA,B2G_B3G_RAT_S11,PC,FR,2016-10-01,29.24
S11,NSA,B2G_B3G_RAT_S11,PC,FR,2017-01-01,36.49
S11,NSA,B2G_B3G_RAT_S11,PC,FR,2017-04-01,29.44
S11,NSA,B2G_B3G_RAT_S11,PC,FR,2017-07-01,32.11
S11,NSA,B2G_B3G_RAT_S11,PC,FR,2017-10-01,29.55
S11,NSA,B2G_B3G_RAT_S11,PC,FR,2018-01-01,36.43
S11,NSA,B2G_B3G_RAT_S11,PC,FR,2018-04-01,28.65
S11,NSA,B2G_B3G_RAT_S11,PC,IE,2015-07-01,72.95
S11,NSA,B2G_B3G_RAT_S11,PC,IE,2015-10-01,73.12
S11,NSA,B2G_B3G_RAT_S11,PC,IE,2016-01-01,70.29
S11,NSA,B2G_B3G_RAT_S11,PC,IE,2016-04-01,70.62
S11,NSA,B2G_B3G_RAT_S11,PC,IE,2016-07-01,71.63
S11,NSA,B2G_B3G_RAT_S11,PC,IE,2016-10-01,73.7
S11,NSA,B2G_B3G_RAT_S11,PC,IE,2017-01-01,69.83
S11,NSA,B2G_B3G_RAT_S11,PC,IE,2017-04-01,72.03
S11,NSA,B2G_B3G_RAT_S11,PC,IE,2017-07-01,73.51
S11,NSA,B2G_B3G_RAT_S11,PC,IE,2017-10-01,73.68
S11,NSA,B2G_B3G_RAT_S11,PC,IE,2018-01-01,
S11,NSA,B2G_B3G_RAT_S11,PC,IE,2018-04-01,
S11,NSA,B2G_B3G_RAT_S11,PC,IT,2015-07-01,46.33
S11,NSA,B2G_B3G_RAT_S11,PC,IT,2015-10-01,37.55
S11,NSA,B2G_B3G_RAT_S11,PC,IT,2016-01-01,44.67
S11,NSA,B2G_B3G_RAT_S11,PC,IT,2016-04-01,41.92
S11,NSA,B2G_B3G_RAT_S11,PC,IT,2016-07-01,48.21
S11,NSA,B2G_B3G_RAT_S11,PC,IT,2016-10-01,38.22
S11,NSA,B2G_B3G_RAT_S11,PC,IT,2017-01-01,44.82
S11,NSA,B2G_B3G_RAT_S11,PC,IT,2017-04-01,41.82
S11,NSA,B2G_B3G_RAT_S11,PC,IT,2017-07-01,47.18
S11,NSA,B2G_B3G_RAT_S11,PC,IT,2017-10-01,36.75
S11,NSA,B2G_B3G_RAT_S11,PC,IT,2018-01-01,44.74
S11,NSA,B2G_B3G_RAT_S11,PC,IT,2018-04-01,41.41
S11,NSA,B2G_B3G_RAT_S11,PC,NL,2015-07-01,44.5
S11,NSA,B2G_B3G_RAT_S11,PC,NL,2015-10-01,40.99
S11,NSA,B2G_B3G_RAT_S11,PC,NL,2016-01-01,41.81
S11,NSA,B2G_B3G_RAT_S11,PC,NL,2016-04-01,34.13
S11,NSA,B2G_B3G_RAT_S11,PC,NL,2016-07-01,43.63
S11,NSA,B2G_B3G_RAT_S11,PC,NL,2016-10-01,40.35
S11,NSA,B2G_B3G_RAT_S11,PC,NL,2017-01-01,41.86
S11,NSA,B2G_B3G_RAT_S11,PC,NL,2017-04-01,34.28
S11,NSA,B2G_B3G_RAT_S11,PC,NL,2017-07-01,43.5
S11,NSA,B2G_B3G_RAT_S11,PC,NL,2017-10-01,39.91
S11,NSA,B2G_B3G_RAT_S11,PC,NL,2018-01-01,41.73
S11,NSA,B2G_B3G_RAT_S11,PC,NL,2018-04-01,33.98
S11,NSA,B2G_B3G_RAT_S11,PC,NO,2015-07-01,51.19
S11,NSA,B2G_B3G_RAT_S11,PC,NO,2015-10-01,48.93
S11,NSA,B2G_B3G_RAT_S11,PC,NO,2016-01-01,48.76
S11,NSA,B2G_B3G_RAT_S11,PC,NO,2016-04-01,43.83
S11,NSA,B2G_B3G_RAT_S11,PC,NO,2016-07-01,47.43
S11,NSA,B2G_B3G_RAT_S11,PC,NO,2016-10-01,50.87
S11,NSA,B2G_B3G_RAT_S11,PC,NO,2017-01-01,54.55
S11,NSA,B2G_B3G_RAT_S11,PC,NO,2017-04-01,43.38
S11,NSA,B2G_B3G_RAT_S11,PC,NO,2017-07-01,49.08
S11,NSA,B2G_B3G_RAT_S11,PC,NO,2017-10-01,51.55
S11,NSA,B2G_B3G_RAT_S11,PC,NO,2018-01-01,53.22
S11,NSA,B2G_B3G_RAT_S11,PC,NO,2018-04-01,46.95
S11,NSA,B2G_B3G_RAT_S11,PC,PL,2015-07-01,45.57
S11,NSA,B2G_B3G_RAT_S11,PC,PL,2015-10-01,57.64
