co_nco,sector,finpos,na_item,unit,geotime,date,value
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,1995-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,1996-01-01,11256
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,1997-01-01,9189
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,1998-01-01,10617
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,1999-01-01,22900
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2000-01-01,24945
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2001-01-01,16412
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2002-01-01,10421
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2003-01-01,14952
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2004-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2005-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2006-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2007-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2008-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2009-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2010-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2011-01-01,9182
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2012-01-01,3781
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2013-01-01,3120
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2014-01-01,2938
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2015-01-01,7430
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2016-01-01,12231
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2017-01-01,15768
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,1995-01-01,7347
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,1996-01-01,13119
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,1997-01-01,17112
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,1998-01-01,20257
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,1999-01-01,23420
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2000-01-01,22357
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2001-01-01,7107
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2002-01-01,13093
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2003-01-01,32102
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2004-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2005-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2006-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2007-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2008-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2009-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2010-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2011-01-01,82136
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2012-01-01,51332
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2013-01-01,32127
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2014-01-01,8216
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2015-01-01,50917
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2016-01-01,97553
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2017-01-01,6570
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,1995-01-01,0
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,1996-01-01,732
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,1997-01-01,479
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,1998-01-01,867
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,1999-01-01,1151
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2000-01-01,2674
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2001-01-01,1718
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2002-01-01,2602
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2003-01-01,4173
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2004-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2005-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2006-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2007-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2008-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2009-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2010-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2011-01-01,1108
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2012-01-01,2468
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2013-01-01,5947
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2014-01-01,909
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2015-01-01,290
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2016-01-01,3895
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2017-01-01,6253
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,1995-01-01,5661
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,1996-01-01,1684
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,1997-01-01,2329
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,1998-01-01,1475
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,1999-01-01,2457
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,2000-01-01,3910
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,2001-01-01,110
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,2002-01-01,1370
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,2003-01-01,231
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,2004-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,2005-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,2006-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,2007-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,2008-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,2009-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,2010-01-01,
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,2011-01-01,2557
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,2012-01-01,3220
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,2013-01-01,2407
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,2014-01-01,57
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,2015-01-01,732
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,2016-01-01,1801
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY,2017-01-01,1693
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,1995-01-01,145794
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,1996-01-01,193804
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,1997-01-01,240970
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,1998-01-01,51137
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,1999-01-01,33507
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,2000-01-01,14761
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ,2001-01-01,75508
