currency,bop_item,sector10,sectpart,partner,stk_flow,geotime,date,value
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,1995-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,1996-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,1997-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,1998-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,1999-01-01,99279
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,2000-01-01,116790
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,2001-01-01,133636
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,2002-01-01,129552
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,2003-01-01,139716
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,2004-01-01,157374
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,2005-01-01,193655
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,2006-01-01,235888
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,2007-01-01,269602
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,2008-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,2009-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,2010-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,2011-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,2012-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,2013-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,2014-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,2015-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,2016-01-01,246732
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,AT,2017-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,1995-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,1996-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,1997-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,1998-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,1999-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,2000-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,2001-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,2002-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,2003-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,2004-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,2005-01-01,537718
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,2006-01-01,586896
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,2007-01-01,671805
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,2008-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,2009-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,2010-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,2011-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,2012-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,2013-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,2014-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,2015-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,2016-01-01,510038
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BE,2017-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,1995-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,1996-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,1997-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,1998-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,1999-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,2000-01-01,9583
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,2001-01-01,10451
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,2002-01-01,8560
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,2003-01-01,6758
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,2004-01-01,9143
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,2005-01-01,9959
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,2006-01-01,13792
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,2007-01-01,12042
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,2008-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,2009-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,2010-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,2011-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,2012-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,2013-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,2014-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,2015-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,2016-01-01,21891
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,BG,2017-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,1995-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,1996-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,1997-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,1998-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,1999-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,2000-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,2001-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,2002-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,2003-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,2004-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,2005-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,2006-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,2007-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,2008-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,2009-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,2010-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,2011-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,2012-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,2013-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,2014-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,2015-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,2016-01-01,53552
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CY,2017-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,1995-01-01,379699
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,1996-01-01,446139
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,1997-01-01,638158
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,1998-01-01,650948
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,1999-01-01,757066
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,2000-01-01,736904
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,2001-01-01,778436
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,2002-01-01,515356
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,2003-01-01,419090
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,2004-01-01,513963
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,2005-01-01,634692
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,2006-01-01,638431
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,2007-01-01,676321
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,2008-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,2009-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,2010-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,2011-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,2012-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,2013-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,2014-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,2015-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,2016-01-01,1190038
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,CZ,2017-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,1995-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,1996-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,1997-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,1998-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,1999-01-01,1066153
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,2000-01-01,1170722
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,2001-01-01,1316435
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,2002-01-01,1385419
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,2003-01-01,1499699
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,2004-01-01,1618012
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,2005-01-01,1779440
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,2006-01-01,1998292
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,2007-01-01,2289253
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,2008-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,2009-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,2010-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,2011-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,2012-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,2013-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,2014-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,2015-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,2016-01-01,2782475
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DE,2017-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,A_LE,DK,1995-01-01,
