indic_nrg,unit,geotime,date,value
B_100910,I05,AL,2000-01-01,83.6
B_100910,I05,AL,2001-01-01,85.1
B_100910,I05,AL,2002-01-01,96.0
B_100910,I05,AL,2003-01-01,94.6
B_100910,I05,AL,2004-01-01,100.7
B_100910,I05,AL,2005-01-01,100.0
B_100910,I05,AL,2006-01-01,95.3
B_100910,I05,AL,2007-01-01,90.5
B_100910,I05,AL,2008-01-01,95.8
B_100910,I05,AL,2009-01-01,95.1
B_100910,I05,AL,2010-01-01,97.1
B_100910,I05,AL,2011-01-01,104.2
B_100910,I05,AL,2012-01-01,98.6
B_100910,I05,AL,2013-01-01,105.2
B_100910,I05,AL,2014-01-01,107.6
B_100910,I05,AL,2015-01-01,101.2
B_100910,I05,AL,2016-01-01,103.4
B_100910,I05,AT,2000-01-01,84.4
B_100910,I05,AT,2001-01-01,89.0
B_100910,I05,AT,2002-01-01,90.1
B_100910,I05,AT,2003-01-01,95.0
B_100910,I05,AT,2004-01-01,97.0
B_100910,I05,AT,2005-01-01,100.0
B_100910,I05,AT,2006-01-01,99.8
B_100910,I05,AT,2007-01-01,98.5
B_100910,I05,AT,2008-01-01,99.2
B_100910,I05,AT,2009-01-01,93.4
B_100910,I05,AT,2010-01-01,99.8
B_100910,I05,AT,2011-01-01,97.7
B_100910,I05,AT,2012-01-01,97.1
B_100910,I05,AT,2013-01-01,99.2
B_100910,I05,AT,2014-01-01,94.7
B_100910,I05,AT,2015-01-01,97.3
B_100910,I05,AT,2016-01-01,98.5
B_100910,I05,BE,2000-01-01,101.9
B_100910,I05,BE,2001-01-01,101.1
B_100910,I05,BE,2002-01-01,97.1
B_100910,I05,BE,2003-01-01,101.9
B_100910,I05,BE,2004-01-01,101.8
B_100910,I05,BE,2005-01-01,100.0
B_100910,I05,BE,2006-01-01,98.9
B_100910,I05,BE,2007-01-01,96.5
B_100910,I05,BE,2008-01-01,99.1
B_100910,I05,BE,2009-01-01,97.1
B_100910,I05,BE,2010-01-01,104.3
B_100910,I05,BE,2011-01-01,97.0
B_100910,I05,BE,2012-01-01,92.1
B_100910,I05,BE,2013-01-01,94.9
B_100910,I05,BE,2014-01-01,88.0
B_100910,I05,BE,2015-01-01,89.1
B_100910,I05,BE,2016-01-01,95.4
B_100910,I05,BG,2000-01-01,92.8
B_100910,I05,BG,2001-01-01,96.8
B_100910,I05,BG,2002-01-01,95.7
B_100910,I05,BG,2003-01-01,98.1
B_100910,I05,BG,2004-01-01,96.2
B_100910,I05,BG,2005-01-01,100.0
B_100910,I05,BG,2006-01-01,103.6
B_100910,I05,BG,2007-01-01,101.7
B_100910,I05,BG,2008-01-01,100.1
B_100910,I05,BG,2009-01-01,89.5
B_100910,I05,BG,2010-01-01,91.8
B_100910,I05,BG,2011-01-01,98.3
B_100910,I05,BG,2012-01-01,94.0
B_100910,I05,BG,2013-01-01,86.2
B_100910,I05,BG,2014-01-01,91.2
B_100910,I05,BG,2015-01-01,94.7
B_100910,I05,BG,2016-01-01,93.3
B_100910,I05,CY,2000-01-01,94.4
B_100910,I05,CY,2001-01-01,95.4
B_100910,I05,CY,2002-01-01,96.5
B_100910,I05,CY,2003-01-01,105.2
B_100910,I05,CY,2004-01-01,98.6
B_100910,I05,CY,2005-01-01,100.0
B_100910,I05,CY,2006-01-01,104.0
B_100910,I05,CY,2007-01-01,109.2
B_100910,I05,CY,2008-01-01,114.7
B_100910,I05,CY,2009-01-01,111.2
B_100910,I05,CY,2010-01-01,107.6
B_100910,I05,CY,2011-01-01,106.4
B_100910,I05,CY,2012-01-01,100.5
B_100910,I05,CY,2013-01-01,87.7
B_100910,I05,CY,2014-01-01,89.4
B_100910,I05,CY,2015-01-01,91.2
B_100910,I05,CY,2016-01-01,97.5
B_100910,I05,CZ,2000-01-01,92.5
B_100910,I05,CZ,2001-01-01,94.8
B_100910,I05,CZ,2002-01-01,95.7
B_100910,I05,CZ,2003-01-01,100.1
B_100910,I05,CZ,2004-01-01,101.2
B_100910,I05,CZ,2005-01-01,100.0
B_100910,I05,CZ,2006-01-01,102.7
B_100910,I05,CZ,2007-01-01,103.1
B_100910,I05,CZ,2008-01-01,100.3
B_100910,I05,CZ,2009-01-01,95.0
B_100910,I05,CZ,2010-01-01,100.1
B_100910,I05,CZ,2011-01-01,96.8
B_100910,I05,CZ,2012-01-01,95.8
B_100910,I05,CZ,2013-01-01,96.1
B_100910,I05,CZ,2014-01-01,92.5
B_100910,I05,CZ,2015-01-01,94.1
B_100910,I05,CZ,2016-01-01,94.0
B_100910,I05,DE,2000-01-01,100.0
B_100910,I05,DE,2001-01-01,103.2
B_100910,I05,DE,2002-01-01,100.8
B_100910,I05,DE,2003-01-01,100.3
B_100910,I05,DE,2004-01-01,100.8
B_100910,I05,DE,2005-01-01,100.0
B_100910,I05,DE,2006-01-01,103.2
B_100910,I05,DE,2007-01-01,97.8
B_100910,I05,DE,2008-01-01,99.2
B_100910,I05,DE,2009-01-01,93.1
B_100910,I05,DE,2010-01-01,97.7
B_100910,I05,DE,2011-01-01,92.5
B_100910,I05,DE,2012-01-01,93.3
B_100910,I05,DE,2013-01-01,95.4
B_100910,I05,DE,2014-01-01,91.8
B_100910,I05,DE,2015-01-01,92.3
B_100910,I05,DE,2016-01-01,93.2
B_100910,I05,DK,2000-01-01,101.0
B_100910,I05,DK,2001-01-01,103.9
B_100910,I05,DK,2002-01-01,102.2
B_100910,I05,DK,2003-01-01,106.4
B_100910,I05,DK,2004-01-01,103.3
B_100910,I05,DK,2005-01-01,100.0
B_100910,I05,DK,2006-01-01,107.8
B_100910,I05,DK,2007-01-01,105.1
B_100910,I05,DK,2008-01-01,101.2
B_100910,I05,DK,2009-01-01,97.0
B_100910,I05,DK,2010-01-01,102.8
B_100910,I05,DK,2011-01-01,95.1
B_100910,I05,DK,2012-01-01,92.0
B_100910,I05,DK,2013-01-01,91.3
B_100910,I05,DK,2014-01-01,86.3
B_100910,I05,DK,2015-01-01,86.3
B_100910,I05,DK,2016-01-01,89.2
B_100910,I05,EA19,2000-01-01,93.6
B_100910,I05,EA19,2001-01-01,96.1
B_100910,I05,EA19,2002-01-01,96.1
B_100910,I05,EA19,2003-01-01,98.3
B_100910,I05,EA19,2004-01-01,99.7
B_100910,I05,EA19,2005-01-01,100.0
B_100910,I05,EA19,2006-01-01,100.4
B_100910,I05,EA19,2007-01-01,98.7
B_100910,I05,EA19,2008-01-01,98.9
B_100910,I05,EA19,2009-01-01,93.6
B_100910,I05,EA19,2010-01-01,96.6
B_100910,I05,EA19,2011-01-01,92.8
B_100910,I05,EA19,2012-01-01,92.1
B_100910,I05,EA19,2013-01-01,91.6
B_100910,I05,EA19,2014-01-01,87.9
B_100910,I05,EA19,2015-01-01,89.6
B_100910,I05,EA19,2016-01-01,90.0
B_100910,I05,EE,2000-01-01,89.0
B_100910,I05,EE,2001-01-01,93.0
B_100910,I05,EE,2002-01-01,90.4
B_100910,I05,EE,2003-01-01,100.0
B_100910,I05,EE,2004-01-01,101.2
B_100910,I05,EE,2005-01-01,100.0
