wstatus,indic_il,sex,age,geotime,date,value
UNE,LI_R_MD60,T,Y_GE18,BG,2007-01-01,55
UNE,LI_R_MD60,T,Y_GE18,BG,2008-01-01,55
UNE,LI_R_MD60,T,Y_GE18,BG,2009-01-01,52
UNE,LI_R_MD60,T,Y_GE18,BG,2010-01-01,48
UNE,LI_R_MD60,T,Y_GE18,BG,2011-01-01,52
UNE,LI_R_MD60,T,Y_GE18,BG,2012-01-01,48
UNE,LI_R_MD60,T,Y_GE18,BG,2013-01-01,47
UNE,LI_R_MD60,T,Y_GE18,BG,2014-01-01,50
UNE,LI_R_MD60,T,Y_GE18,BG,2015-01-01,53
UNE,LI_R_MD60,T,Y_GE18,BG,2016-01-01,54
UNE,LI_R_MD60,T,Y_GE18,BG,2017-01-01,58
UNE,LI_R_MD60,T,Y_GE18,CH,2005-01-01,
UNE,LI_R_MD60,T,Y_GE18,CH,2006-01-01,
UNE,LI_R_MD60,T,Y_GE18,CH,2007-01-01,36
UNE,LI_R_MD60,T,Y_GE18,CH,2008-01-01,39
UNE,LI_R_MD60,T,Y_GE18,CH,2009-01-01,37
UNE,LI_R_MD60,T,Y_GE18,CH,2010-01-01,33
UNE,LI_R_MD60,T,Y_GE18,CH,2011-01-01,30
UNE,LI_R_MD60,T,Y_GE18,CH,2012-01-01,38
UNE,LI_R_MD60,T,Y_GE18,CH,2013-01-01,32
UNE,LI_R_MD60,T,Y_GE18,CH,2014-01-01,24
UNE,LI_R_MD60,T,Y_GE18,CH,2015-01-01,27
UNE,LI_R_MD60,T,Y_GE18,CH,2016-01-01,38
UNE,LI_R_MD60,T,Y_GE18,CH,2017-01-01,
UNE,LI_R_MD60,T,Y_GE18,CY,2005-01-01,37
UNE,LI_R_MD60,T,Y_GE18,CY,2006-01-01,30
UNE,LI_R_MD60,T,Y_GE18,CY,2007-01-01,28
UNE,LI_R_MD60,T,Y_GE18,CY,2008-01-01,21
UNE,LI_R_MD60,T,Y_GE18,CY,2009-01-01,38
UNE,LI_R_MD60,T,Y_GE18,CY,2010-01-01,35
UNE,LI_R_MD60,T,Y_GE18,CY,2011-01-01,36
UNE,LI_R_MD60,T,Y_GE18,CY,2012-01-01,31
UNE,LI_R_MD60,T,Y_GE18,CY,2013-01-01,33
UNE,LI_R_MD60,T,Y_GE18,CY,2014-01-01,32
UNE,LI_R_MD60,T,Y_GE18,CY,2015-01-01,42
UNE,LI_R_MD60,T,Y_GE18,CY,2016-01-01,37
UNE,LI_R_MD60,T,Y_GE18,CY,2017-01-01,36
UNE,LI_R_MD60,T,Y_GE18,CZ,2005-01-01,51
UNE,LI_R_MD60,T,Y_GE18,CZ,2006-01-01,43
UNE,LI_R_MD60,T,Y_GE18,CZ,2007-01-01,48
UNE,LI_R_MD60,T,Y_GE18,CZ,2008-01-01,47
UNE,LI_R_MD60,T,Y_GE18,CZ,2009-01-01,46
UNE,LI_R_MD60,T,Y_GE18,CZ,2010-01-01,40
UNE,LI_R_MD60,T,Y_GE18,CZ,2011-01-01,46
UNE,LI_R_MD60,T,Y_GE18,CZ,2012-01-01,46
UNE,LI_R_MD60,T,Y_GE18,CZ,2013-01-01,44
UNE,LI_R_MD60,T,Y_GE18,CZ,2014-01-01,47
UNE,LI_R_MD60,T,Y_GE18,CZ,2015-01-01,48
UNE,LI_R_MD60,T,Y_GE18,CZ,2016-01-01,52
UNE,LI_R_MD60,T,Y_GE18,CZ,2017-01-01,48
UNE,LI_R_MD60,T,Y_GE18,DE,2005-01-01,40
UNE,LI_R_MD60,T,Y_GE18,DE,2006-01-01,43
UNE,LI_R_MD60,T,Y_GE18,DE,2007-01-01,51
UNE,LI_R_MD60,T,Y_GE18,DE,2008-01-01,56
UNE,LI_R_MD60,T,Y_GE18,DE,2009-01-01,62
UNE,LI_R_MD60,T,Y_GE18,DE,2010-01-01,70
UNE,LI_R_MD60,T,Y_GE18,DE,2011-01-01,67
UNE,LI_R_MD60,T,Y_GE18,DE,2012-01-01,69
UNE,LI_R_MD60,T,Y_GE18,DE,2013-01-01,69
UNE,LI_R_MD60,T,Y_GE18,DE,2014-01-01,67
UNE,LI_R_MD60,T,Y_GE18,DE,2015-01-01,69
UNE,LI_R_MD60,T,Y_GE18,DE,2016-01-01,70
UNE,LI_R_MD60,T,Y_GE18,DE,2017-01-01,70
UNE,LI_R_MD60,T,Y_GE18,DK,2005-01-01,26
UNE,LI_R_MD60,T,Y_GE18,DK,2006-01-01,25
UNE,LI_R_MD60,T,Y_GE18,DK,2007-01-01,31
UNE,LI_R_MD60,T,Y_GE18,DK,2008-01-01,33
UNE,LI_R_MD60,T,Y_GE18,DK,2009-01-01,41
UNE,LI_R_MD60,T,Y_GE18,DK,2010-01-01,36
