unit,sex,age,geo\time,date,value
YR,F,Y_LT1,AL,2000-01-01,: 
YR,F,Y_LT1,AL,2001-01-01,: 
YR,F,Y_LT1,AL,2002-01-01,: 
YR,F,Y_LT1,AL,2003-01-01,: 
YR,F,Y_LT1,AL,2004-01-01,: 
YR,F,Y_LT1,AL,2005-01-01,: 
YR,F,Y_LT1,AL,2006-01-01,: 
YR,F,Y_LT1,AL,2007-01-01,: 
YR,F,Y_LT1,AL,2008-01-01,: 
YR,F,Y_LT1,AL,2009-01-01,: 
YR,F,Y_LT1,AL,2010-01-01,: 
YR,F,Y_LT1,AL,2011-01-01,: 
YR,F,Y_LT1,AL,2012-01-01,: 
YR,F,Y_LT1,AL,2013-01-01,80.1 
YR,F,Y_LT1,AL,2014-01-01,80.1 
YR,F,Y_LT1,AL,2015-01-01,79.7 e
YR,F,Y_LT1,AL,2016-01-01,80.1 
YR,F,Y_LT1,AT,2000-01-01,81.2 
YR,F,Y_LT1,AT,2001-01-01,81.7 
YR,F,Y_LT1,AT,2002-01-01,81.7 
YR,F,Y_LT1,AT,2003-01-01,81.5 
YR,F,Y_LT1,AT,2004-01-01,82.1 
YR,F,Y_LT1,AT,2005-01-01,82.2 
YR,F,Y_LT1,AT,2006-01-01,82.8 
YR,F,Y_LT1,AT,2007-01-01,83.1 
YR,F,Y_LT1,AT,2008-01-01,83.3 
YR,F,Y_LT1,AT,2009-01-01,83.2 
YR,F,Y_LT1,AT,2010-01-01,83.5 
YR,F,Y_LT1,AT,2011-01-01,83.8 
YR,F,Y_LT1,AT,2012-01-01,83.6 
YR,F,Y_LT1,AT,2013-01-01,83.8 
YR,F,Y_LT1,AT,2014-01-01,84.0 
YR,F,Y_LT1,AT,2015-01-01,83.7 
YR,F,Y_LT1,AT,2016-01-01,84.1 
YR,F,Y_LT1,BE,2000-01-01,81.0 
YR,F,Y_LT1,BE,2001-01-01,81.2 
YR,F,Y_LT1,BE,2002-01-01,81.2 
YR,F,Y_LT1,BE,2003-01-01,81.1 
YR,F,Y_LT1,BE,2004-01-01,81.9 
YR,F,Y_LT1,BE,2005-01-01,81.9 
YR,F,Y_LT1,BE,2006-01-01,82.3 
YR,F,Y_LT1,BE,2007-01-01,82.6 
YR,F,Y_LT1,BE,2008-01-01,82.6 
YR,F,Y_LT1,BE,2009-01-01,82.8 
YR,F,Y_LT1,BE,2010-01-01,83.0 
YR,F,Y_LT1,BE,2011-01-01,83.3 b
YR,F,Y_LT1,BE,2012-01-01,83.1 
YR,F,Y_LT1,BE,2013-01-01,83.2 
YR,F,Y_LT1,BE,2014-01-01,83.9 
YR,F,Y_LT1,BE,2015-01-01,83.4 
YR,F,Y_LT1,BE,2016-01-01,84.0 
YR,F,Y_LT1,BG,2000-01-01,75.0 
YR,F,Y_LT1,BG,2001-01-01,75.4 
YR,F,Y_LT1,BG,2002-01-01,75.5 
YR,F,Y_LT1,BG,2003-01-01,75.9 
YR,F,Y_LT1,BG,2004-01-01,76.2 
YR,F,Y_LT1,BG,2005-01-01,76.2 
YR,F,Y_LT1,BG,2006-01-01,76.3 
YR,F,Y_LT1,BG,2007-01-01,76.6 
YR,F,Y_LT1,BG,2008-01-01,77.0 
YR,F,Y_LT1,BG,2009-01-01,77.4 
YR,F,Y_LT1,BG,2010-01-01,77.4 
YR,F,Y_LT1,BG,2011-01-01,77.8 
YR,F,Y_LT1,BG,2012-01-01,77.9 
YR,F,Y_LT1,BG,2013-01-01,78.6 
YR,F,Y_LT1,BG,2014-01-01,78.0 
YR,F,Y_LT1,BG,2015-01-01,78.2 
YR,F,Y_LT1,BG,2016-01-01,78.5 
YR,F,Y_LT1,CH,2000-01-01,82.8 
YR,F,Y_LT1,CH,2001-01-01,83.2 
YR,F,Y_LT1,CH,2002-01-01,83.2 
YR,F,Y_LT1,CH,2003-01-01,83.2 
YR,F,Y_LT1,CH,2004-01-01,83.8 
YR,F,Y_LT1,CH,2005-01-01,84.0 
YR,F,Y_LT1,CH,2006-01-01,84.2 
YR,F,Y_LT1,CH,2007-01-01,84.4 
YR,F,Y_LT1,CH,2008-01-01,84.6 
YR,F,Y_LT1,CH,2009-01-01,84.6 
YR,F,Y_LT1,CH,2010-01-01,84.9 
YR,F,Y_LT1,CH,2011-01-01,85.0 b
YR,F,Y_LT1,CH,2012-01-01,84.9 
YR,F,Y_LT1,CH,2013-01-01,85.0 
YR,F,Y_LT1,CH,2014-01-01,85.4 
YR,F,Y_LT1,CH,2015-01-01,85.1 
YR,F,Y_LT1,CH,2016-01-01,85.6 
YR,F,Y_LT1,CY,2000-01-01,80.1 
YR,F,Y_LT1,CY,2001-01-01,81.4 
YR,F,Y_LT1,CY,2002-01-01,81.0 
YR,F,Y_LT1,CY,2003-01-01,81.2 
YR,F,Y_LT1,CY,2004-01-01,81.8 
YR,F,Y_LT1,CY,2005-01-01,80.8 
YR,F,Y_LT1,CY,2006-01-01,82.0 
YR,F,Y_LT1,CY,2007-01-01,82.1 
YR,F,Y_LT1,CY,2008-01-01,82.9 
YR,F,Y_LT1,CY,2009-01-01,83.5 
YR,F,Y_LT1,CY,2010-01-01,83.9 
YR,F,Y_LT1,CY,2011-01-01,83.1 
YR,F,Y_LT1,CY,2012-01-01,83.4 
YR,F,Y_LT1,CY,2013-01-01,85.0 
YR,F,Y_LT1,CY,2014-01-01,84.3 
YR,F,Y_LT1,CY,2015-01-01,83.7 
YR,F,Y_LT1,CY,2016-01-01,84.9 
YR,F,Y_LT1,CZ,2000-01-01,78.5 
YR,F,Y_LT1,CZ,2001-01-01,78.5 
YR,F,Y_LT1,CZ,2002-01-01,78.7 
YR,F,Y_LT1,CZ,2003-01-01,78.6 
YR,F,Y_LT1,CZ,2004-01-01,79.1 
YR,F,Y_LT1,CZ,2005-01-01,79.2 
YR,F,Y_LT1,CZ,2006-01-01,79.9 
YR,F,Y_LT1,CZ,2007-01-01,80.2 
YR,F,Y_LT1,CZ,2008-01-01,80.5 
YR,F,Y_LT1,CZ,2009-01-01,80.5 
YR,F,Y_LT1,CZ,2010-01-01,80.9 
YR,F,Y_LT1,CZ,2011-01-01,81.1 
YR,F,Y_LT1,CZ,2012-01-01,81.2 
YR,F,Y_LT1,CZ,2013-01-01,81.3 
YR,F,Y_LT1,CZ,2014-01-01,82.0 
YR,F,Y_LT1,CZ,2015-01-01,81.6 
YR,F,Y_LT1,CZ,2016-01-01,82.1 
YR,F,Y_LT1,DE,2000-01-01,81.2 
YR,F,Y_LT1,DE,2001-01-01,81.4 
YR,F,Y_LT1,DE,2002-01-01,81.3 
YR,F,Y_LT1,DE,2003-01-01,81.3 
YR,F,Y_LT1,DE,2004-01-01,81.9 
YR,F,Y_LT1,DE,2005-01-01,82.0 
YR,F,Y_LT1,DE,2006-01-01,82.4 
YR,F,Y_LT1,DE,2007-01-01,82.7 
YR,F,Y_LT1,DE,2008-01-01,82.7 
YR,F,Y_LT1,DE,2009-01-01,82.8 
YR,F,Y_LT1,DE,2010-01-01,83.0 
YR,F,Y_LT1,DE,2011-01-01,83.1 b
YR,F,Y_LT1,DE,2012-01-01,83.1 
YR,F,Y_LT1,DE,2013-01-01,83.0 
YR,F,Y_LT1,DE,2014-01-01,83.6 
YR,F,Y_LT1,DE,2015-01-01,83.1 
YR,F,Y_LT1,DE,2016-01-01,83.5 
YR,F,Y_LT1,DK,2000-01-01,79.2 
YR,F,Y_LT1,DK,2001-01-01,79.3 
YR,F,Y_LT1,DK,2002-01-01,79.4 
YR,F,Y_LT1,DK,2003-01-01,79.8 
YR,F,Y_LT1,DK,2004-01-01,80.2 
YR,F,Y_LT1,DK,2005-01-01,80.5 
YR,F,Y_LT1,DK,2006-01-01,80.7 
YR,F,Y_LT1,DK,2007-01-01,80.6 
YR,F,Y_LT1,DK,2008-01-01,81.0 
YR,F,Y_LT1,DK,2009-01-01,81.1 
YR,F,Y_LT1,DK,2010-01-01,81.4 
YR,F,Y_LT1,DK,2011-01-01,81.9 
YR,F,Y_LT1,DK,2012-01-01,82.1 
YR,F,Y_LT1,DK,2013-01-01,82.4 
YR,F,Y_LT1,DK,2014-01-01,82.8 
YR,F,Y_LT1,DK,2015-01-01,82.7 
YR,F,Y_LT1,DK,2016-01-01,82.8 
YR,F,Y_LT1,EA18,2000-01-01,: 
YR,F,Y_LT1,EA18,2001-01-01,: 
YR,F,Y_LT1,EA18,2002-01-01,82.0 
YR,F,Y_LT1,EA18,2003-01-01,81.9 
YR,F,Y_LT1,EA18,2004-01-01,82.6 
YR,F,Y_LT1,EA18,2005-01-01,82.7 
YR,F,Y_LT1,EA18,2006-01-01,83.2 
YR,F,Y_LT1,EA18,2007-01-01,83.4 
YR,F,Y_LT1,EA18,2008-01-01,83.5 
YR,F,Y_LT1,EA18,2009-01-01,83.7 
YR,F,Y_LT1,EA18,2010-01-01,83.9 
YR,F,Y_LT1,EA18,2011-01-01,84.2 b
YR,F,Y_LT1,EA18,2012-01-01,84.1 b
YR,F,Y_LT1,EA18,2013-01-01,84.3 
YR,F,Y_LT1,EA18,2014-01-01,84.7 
YR,F,Y_LT1,EA18,2015-01-01,84.2 bp
YR,F,Y_LT1,EA18,2016-01-01,84.6 p
YR,F,Y_LT1,EA19,2000-01-01,: 
YR,F,Y_LT1,EA19,2001-01-01,: 
YR,F,Y_LT1,EA19,2002-01-01,82.0 
YR,F,Y_LT1,EA19,2003-01-01,81.9 
YR,F,Y_LT1,EA19,2004-01-01,82.6 
