ww_tp,unit,geo\time,date,value
WWT_GE2,PC,AL,2000-01-01,: 
WWT_GE2,PC,AL,2001-01-01,: 
WWT_GE2,PC,AL,2002-01-01,: 
WWT_GE2,PC,AL,2003-01-01,: 
WWT_GE2,PC,AL,2004-01-01,: 
WWT_GE2,PC,AL,2005-01-01,: 
WWT_GE2,PC,AL,2006-01-01,: 
WWT_GE2,PC,AL,2007-01-01,: 
WWT_GE2,PC,AL,2008-01-01,: 
WWT_GE2,PC,AL,2009-01-01,: 
WWT_GE2,PC,AL,2010-01-01,: 
WWT_GE2,PC,AL,2011-01-01,: 
WWT_GE2,PC,AL,2012-01-01,: 
WWT_GE2,PC,AL,2013-01-01,: 
WWT_GE2,PC,AL,2014-01-01,9 
WWT_GE2,PC,AL,2015-01-01,8 
WWT_GE2,PC,AL,2016-01-01,6 
WWT_GE2,PC,AT,2000-01-01,: 
WWT_GE2,PC,AT,2001-01-01,77 
WWT_GE2,PC,AT,2002-01-01,: 
WWT_GE2,PC,AT,2003-01-01,: 
WWT_GE2,PC,AT,2004-01-01,88.9 
WWT_GE2,PC,AT,2005-01-01,: 
WWT_GE2,PC,AT,2006-01-01,91.8 
WWT_GE2,PC,AT,2007-01-01,: 
WWT_GE2,PC,AT,2008-01-01,92.6 
WWT_GE2,PC,AT,2009-01-01,: 
WWT_GE2,PC,AT,2010-01-01,93.9 
WWT_GE2,PC,AT,2011-01-01,: 
WWT_GE2,PC,AT,2012-01-01,94.5 
WWT_GE2,PC,AT,2013-01-01,: 
WWT_GE2,PC,AT,2014-01-01,95 
WWT_GE2,PC,AT,2015-01-01,: 
WWT_GE2,PC,AT,2016-01-01,: 
WWT_GE2,PC,BA,2000-01-01,1.4 
WWT_GE2,PC,BA,2001-01-01,1.3 
WWT_GE2,PC,BA,2002-01-01,1.3 
WWT_GE2,PC,BA,2003-01-01,1.5 
WWT_GE2,PC,BA,2004-01-01,1.5 
WWT_GE2,PC,BA,2005-01-01,1.5 
WWT_GE2,PC,BA,2006-01-01,1.6 
WWT_GE2,PC,BA,2007-01-01,1.6 
WWT_GE2,PC,BA,2008-01-01,1.7 
WWT_GE2,PC,BA,2009-01-01,1.7 
WWT_GE2,PC,BA,2010-01-01,1.7 
WWT_GE2,PC,BA,2011-01-01,1.8 
WWT_GE2,PC,BA,2012-01-01,1.8 
WWT_GE2,PC,BA,2013-01-01,1.8 
WWT_GE2,PC,BA,2014-01-01,: 
WWT_GE2,PC,BA,2015-01-01,: 
WWT_GE2,PC,BA,2016-01-01,: 
WWT_GE2,PC,BE,2000-01-01,41.1 
WWT_GE2,PC,BE,2001-01-01,45.7 
WWT_GE2,PC,BE,2002-01-01,47.7 
WWT_GE2,PC,BE,2003-01-01,51.4 
WWT_GE2,PC,BE,2004-01-01,53.2 
WWT_GE2,PC,BE,2005-01-01,54.4 
WWT_GE2,PC,BE,2006-01-01,57.4 
WWT_GE2,PC,BE,2007-01-01,68.7 
WWT_GE2,PC,BE,2008-01-01,71 
WWT_GE2,PC,BE,2009-01-01,72.8 
WWT_GE2,PC,BE,2010-01-01,75 
WWT_GE2,PC,BE,2011-01-01,77.2 
WWT_GE2,PC,BE,2012-01-01,81.3 
WWT_GE2,PC,BE,2013-01-01,84.2 
WWT_GE2,PC,BE,2014-01-01,: 
WWT_GE2,PC,BE,2015-01-01,: 
WWT_GE2,PC,BE,2016-01-01,: 
WWT_GE2,PC,BG,2000-01-01,36.1 
WWT_GE2,PC,BG,2001-01-01,37.4 
WWT_GE2,PC,BG,2002-01-01,37.8 
WWT_GE2,PC,BG,2003-01-01,37.9 
WWT_GE2,PC,BG,2004-01-01,38 
WWT_GE2,PC,BG,2005-01-01,38.3 
WWT_GE2,PC,BG,2006-01-01,38.8 
WWT_GE2,PC,BG,2007-01-01,39.6 
WWT_GE2,PC,BG,2008-01-01,41.3 
WWT_GE2,PC,BG,2009-01-01,42.7 
WWT_GE2,PC,BG,2010-01-01,45.1 
WWT_GE2,PC,BG,2011-01-01,53.7 
WWT_GE2,PC,BG,2012-01-01,53.9 
WWT_GE2,PC,BG,2013-01-01,54.6 
WWT_GE2,PC,BG,2014-01-01,54.8 
WWT_GE2,PC,BG,2015-01-01,60.7 
WWT_GE2,PC,BG,2016-01-01,: 
WWT_GE2,PC,CH,2000-01-01,96 
WWT_GE2,PC,CH,2001-01-01,96 
WWT_GE2,PC,CH,2002-01-01,96 
WWT_GE2,PC,CH,2003-01-01,: 
WWT_GE2,PC,CH,2004-01-01,: 
WWT_GE2,PC,CH,2005-01-01,97 
WWT_GE2,PC,CH,2006-01-01,: 
WWT_GE2,PC,CH,2007-01-01,: 
WWT_GE2,PC,CH,2008-01-01,: 
WWT_GE2,PC,CH,2009-01-01,: 
WWT_GE2,PC,CH,2010-01-01,98 
WWT_GE2,PC,CH,2011-01-01,: 
WWT_GE2,PC,CH,2012-01-01,: 
WWT_GE2,PC,CH,2013-01-01,98 
WWT_GE2,PC,CH,2014-01-01,: 
WWT_GE2,PC,CH,2015-01-01,: 
WWT_GE2,PC,CH,2016-01-01,: 
WWT_GE2,PC,CY,2000-01-01,14.3 
WWT_GE2,PC,CY,2001-01-01,15.9 
WWT_GE2,PC,CY,2002-01-01,18.3 
WWT_GE2,PC,CY,2003-01-01,22.9 
WWT_GE2,PC,CY,2004-01-01,28.4 
WWT_GE2,PC,CY,2005-01-01,29.8 
WWT_GE2,PC,CY,2006-01-01,: 
WWT_GE2,PC,CY,2007-01-01,: 
WWT_GE2,PC,CY,2008-01-01,: 
WWT_GE2,PC,CY,2009-01-01,: 
WWT_GE2,PC,CY,2010-01-01,: 
WWT_GE2,PC,CY,2011-01-01,: 
WWT_GE2,PC,CY,2012-01-01,: 
WWT_GE2,PC,CY,2013-01-01,: 
WWT_GE2,PC,CY,2014-01-01,: 
WWT_GE2,PC,CY,2015-01-01,: 
WWT_GE2,PC,CY,2016-01-01,: 
WWT_GE2,PC,CZ,2000-01-01,: 
WWT_GE2,PC,CZ,2001-01-01,: 
WWT_GE2,PC,CZ,2002-01-01,69.7 
WWT_GE2,PC,CZ,2003-01-01,70.6 
WWT_GE2,PC,CZ,2004-01-01,70.8 
WWT_GE2,PC,CZ,2005-01-01,72.8 
WWT_GE2,PC,CZ,2006-01-01,71.9 
WWT_GE2,PC,CZ,2007-01-01,73 
WWT_GE2,PC,CZ,2008-01-01,75.4 
WWT_GE2,PC,CZ,2009-01-01,75.7 
WWT_GE2,PC,CZ,2010-01-01,76.9 
WWT_GE2,PC,CZ,2011-01-01,78 
WWT_GE2,PC,CZ,2012-01-01,78 
WWT_GE2,PC,CZ,2013-01-01,79.8 
WWT_GE2,PC,CZ,2014-01-01,80.6 
WWT_GE2,PC,CZ,2015-01-01,80.8 
WWT_GE2,PC,CZ,2016-01-01,: 
WWT_GE2,PC,DE,2000-01-01,: 
WWT_GE2,PC,DE,2001-01-01,92.6 
WWT_GE2,PC,DE,2002-01-01,: 
WWT_GE2,PC,DE,2003-01-01,: 
WWT_GE2,PC,DE,2004-01-01,93.8 
WWT_GE2,PC,DE,2005-01-01,97.3 
WWT_GE2,PC,DE,2006-01-01,: 
WWT_GE2,PC,DE,2007-01-01,91.9 
WWT_GE2,PC,DE,2008-01-01,: 
WWT_GE2,PC,DE,2009-01-01,: 
WWT_GE2,PC,DE,2010-01-01,95.6 
WWT_GE2,PC,DE,2011-01-01,95.5 
WWT_GE2,PC,DE,2012-01-01,95.5 
WWT_GE2,PC,DE,2013-01-01,95.4 
WWT_GE2,PC,DE,2014-01-01,: 
WWT_GE2,PC,DE,2015-01-01,: 
WWT_GE2,PC,DE,2016-01-01,: 
WWT_GE2,PC,DK,2000-01-01,87.1 
WWT_GE2,PC,DK,2001-01-01,87 
WWT_GE2,PC,DK,2002-01-01,88 
WWT_GE2,PC,DK,2003-01-01,: 
WWT_GE2,PC,DK,2004-01-01,: 
WWT_GE2,PC,DK,2005-01-01,: 
WWT_GE2,PC,DK,2006-01-01,: 
WWT_GE2,PC,DK,2007-01-01,: 
WWT_GE2,PC,DK,2008-01-01,: 
WWT_GE2,PC,DK,2009-01-01,89.4 
WWT_GE2,PC,DK,2010-01-01,88 
WWT_GE2,PC,DK,2011-01-01,88.4 
WWT_GE2,PC,DK,2012-01-01,88.4 
WWT_GE2,PC,DK,2013-01-01,90.1 
