unit,sex,age,reason,geotime,date,value
PC_SAL,T,Y15-64,INVTMP,CH,2014-01-01,1
PC_SAL,T,Y15-64,INVTMP,CH,2015-01-01,1
PC_SAL,T,Y15-64,INVTMP,CH,2016-01-01,1
PC_SAL,T,Y15-64,INVTMP,CH,2017-01-01,1
PC_SAL,T,Y15-64,INVTMP,CY,2005-01-01,12
PC_SAL,T,Y15-64,INVTMP,CY,2006-01-01,12
PC_SAL,T,Y15-64,INVTMP,CY,2007-01-01,11
PC_SAL,T,Y15-64,INVTMP,CY,2008-01-01,12
PC_SAL,T,Y15-64,INVTMP,CY,2009-01-01,12
PC_SAL,T,Y15-64,INVTMP,CY,2010-01-01,13
PC_SAL,T,Y15-64,INVTMP,CY,2011-01-01,13
PC_SAL,T,Y15-64,INVTMP,CY,2012-01-01,14
PC_SAL,T,Y15-64,INVTMP,CY,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,CY,2014-01-01,17
PC_SAL,T,Y15-64,INVTMP,CY,2015-01-01,17
PC_SAL,T,Y15-64,INVTMP,CY,2016-01-01,15
PC_SAL,T,Y15-64,INVTMP,CY,2017-01-01,14
PC_SAL,T,Y15-64,INVTMP,CZ,2005-01-01,5
PC_SAL,T,Y15-64,INVTMP,CZ,2006-01-01,5
PC_SAL,T,Y15-64,INVTMP,CZ,2007-01-01,5
PC_SAL,T,Y15-64,INVTMP,CZ,2008-01-01,4
PC_SAL,T,Y15-64,INVTMP,CZ,2009-01-01,5
PC_SAL,T,Y15-64,INVTMP,CZ,2010-01-01,6
PC_SAL,T,Y15-64,INVTMP,CZ,2011-01-01,6
PC_SAL,T,Y15-64,INVTMP,CZ,2012-01-01,6
PC_SAL,T,Y15-64,INVTMP,CZ,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,CZ,2014-01-01,7
PC_SAL,T,Y15-64,INVTMP,CZ,2015-01-01,8
PC_SAL,T,Y15-64,INVTMP,CZ,2016-01-01,7
PC_SAL,T,Y15-64,INVTMP,CZ,2017-01-01,7
PC_SAL,T,Y15-64,INVTMP,DE,2005-01-01,2
PC_SAL,T,Y15-64,INVTMP,DE,2006-01-01,2
PC_SAL,T,Y15-64,INVTMP,DE,2007-01-01,2
PC_SAL,T,Y15-64,INVTMP,DE,2008-01-01,2
PC_SAL,T,Y15-64,INVTMP,DE,2009-01-01,2
PC_SAL,T,Y15-64,INVTMP,DE,2010-01-01,2
PC_SAL,T,Y15-64,INVTMP,DE,2011-01-01,2
PC_SAL,T,Y15-64,INVTMP,DE,2012-01-01,2
PC_SAL,T,Y15-64,INVTMP,DE,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,DE,2014-01-01,1
PC_SAL,T,Y15-64,INVTMP,DE,2015-01-01,1
PC_SAL,T,Y15-64,INVTMP,DE,2016-01-01,1
PC_SAL,T,Y15-64,INVTMP,DE,2017-01-01,1
PC_SAL,T,Y15-64,INVTMP,DK,2005-01-01,4
PC_SAL,T,Y15-64,INVTMP,DK,2006-01-01,4
PC_SAL,T,Y15-64,INVTMP,DK,2007-01-01,3
PC_SAL,T,Y15-64,INVTMP,DK,2008-01-01,3
PC_SAL,T,Y15-64,INVTMP,DK,2009-01-01,3
PC_SAL,T,Y15-64,INVTMP,DK,2010-01-01,4
PC_SAL,T,Y15-64,INVTMP,DK,2011-01-01,4
PC_SAL,T,Y15-64,INVTMP,DK,2012-01-01,4
PC_SAL,T,Y15-64,INVTMP,DK,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,DK,2014-01-01,4
PC_SAL,T,Y15-64,INVTMP,DK,2015-01-01,3
PC_SAL,T,Y15-64,INVTMP,DK,2016-01-01,4
PC_SAL,T,Y15-64,INVTMP,DK,2017-01-01,5
PC_SAL,T,Y15-64,INVTMP,EA18,2005-01-01,4
PC_SAL,T,Y15-64,INVTMP,EA18,2006-01-01,8
PC_SAL,T,Y15-64,INVTMP,EA18,2007-01-01,8
PC_SAL,T,Y15-64,INVTMP,EA18,2008-01-01,8
PC_SAL,T,Y15-64,INVTMP,EA18,2009-01-01,7
PC_SAL,T,Y15-64,INVTMP,EA18,2010-01-01,7
PC_SAL,T,Y15-64,INVTMP,EA18,2011-01-01,8
PC_SAL,T,Y15-64,INVTMP,EA18,2012-01-01,7
PC_SAL,T,Y15-64,INVTMP,EA18,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,EA18,2014-01-01,8
PC_SAL,T,Y15-64,INVTMP,EA18,2015-01-01,8
PC_SAL,T,Y15-64,INVTMP,EA18,2016-01-01,8
PC_SAL,T,Y15-64,INVTMP,EA18,2017-01-01,8
PC_SAL,T,Y15-64,INVTMP,EA19,2005-01-01,4
PC_SAL,T,Y15-64,INVTMP,EA19,2006-01-01,8
PC_SAL,T,Y15-64,INVTMP,EA19,2007-01-01,8
PC_SAL,T,Y15-64,INVTMP,EA19,2008-01-01,7
PC_SAL,T,Y15-64,INVTMP,EA19,2009-01-01,7
PC_SAL,T,Y15-64,INVTMP,EA19,2010-01-01,7
PC_SAL,T,Y15-64,INVTMP,EA19,2011-01-01,8
PC_SAL,T,Y15-64,INVTMP,EA19,2012-01-01,7
PC_SAL,T,Y15-64,INVTMP,EA19,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,EA19,2014-01-01,8
PC_SAL,T,Y15-64,INVTMP,EA19,2015-01-01,8
PC_SAL,T,Y15-64,INVTMP,EA19,2016-01-01,8
PC_SAL,T,Y15-64,INVTMP,EA19,2017-01-01,8
PC_SAL,T,Y15-64,INVTMP,EE,2005-01-01,1
PC_SAL,T,Y15-64,INVTMP,EE,2006-01-01,1
PC_SAL,T,Y15-64,INVTMP,EE,2007-01-01,0
PC_SAL,T,Y15-64,INVTMP,EE,2008-01-01,0
PC_SAL,T,Y15-64,INVTMP,EE,2009-01-01,1
PC_SAL,T,Y15-64,INVTMP,EE,2010-01-01,1
PC_SAL,T,Y15-64,INVTMP,EE,2011-01-01,1
PC_SAL,T,Y15-64,INVTMP,EE,2012-01-01,1
PC_SAL,T,Y15-64,INVTMP,EE,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,EE,2014-01-01,0
PC_SAL,T,Y15-64,INVTMP,EE,2015-01-01,0
PC_SAL,T,Y15-64,INVTMP,EE,2016-01-01,0
PC_SAL,T,Y15-64,INVTMP,EE,2017-01-01,0
PC_SAL,T,Y15-64,INVTMP,EL,2005-01-01,8
PC_SAL,T,Y15-64,INVTMP,EL,2006-01-01,7
PC_SAL,T,Y15-64,INVTMP,EL,2007-01-01,7
PC_SAL,T,Y15-64,INVTMP,EL,2008-01-01,8
PC_SAL,T,Y15-64,INVTMP,EL,2009-01-01,8
PC_SAL,T,Y15-64,INVTMP,EL,2010-01-01,9
PC_SAL,T,Y15-64,INVTMP,EL,2011-01-01,9
PC_SAL,T,Y15-64,INVTMP,EL,2012-01-01,7
PC_SAL,T,Y15-64,INVTMP,EL,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,EL,2014-01-01,8
PC_SAL,T,Y15-64,INVTMP,EL,2015-01-01,8
PC_SAL,T,Y15-64,INVTMP,EL,2016-01-01,8
PC_SAL,T,Y15-64,INVTMP,EL,2017-01-01,8
PC_SAL,T,Y15-64,INVTMP,ES,2005-01-01,
PC_SAL,T,Y15-64,INVTMP,ES,2006-01-01,22
PC_SAL,T,Y15-64,INVTMP,ES,2007-01-01,20
PC_SAL,T,Y15-64,INVTMP,ES,2008-01-01,21
PC_SAL,T,Y15-64,INVTMP,ES,2009-01-01,19
PC_SAL,T,Y15-64,INVTMP,ES,2010-01-01,20
PC_SAL,T,Y15-64,INVTMP,ES,2011-01-01,20
PC_SAL,T,Y15-64,INVTMP,ES,2012-01-01,20
PC_SAL,T,Y15-64,INVTMP,ES,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,ES,2014-01-01,20
PC_SAL,T,Y15-64,INVTMP,ES,2015-01-01,21
PC_SAL,T,Y15-64,INVTMP,ES,2016-01-01,23
PC_SAL,T,Y15-64,INVTMP,ES,2017-01-01,22
PC_SAL,T,Y15-64,INVTMP,EU27,2005-01-01,4
PC_SAL,T,Y15-64,INVTMP,EU27,2006-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU27,2007-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU27,2008-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU27,2009-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU27,2010-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU27,2011-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU27,2012-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU27,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,EU27,2014-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU27,2015-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU27,2016-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU27,2017-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU28,2005-01-01,4
PC_SAL,T,Y15-64,INVTMP,EU28,2006-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU28,2007-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU28,2008-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU28,2009-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU28,2010-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU28,2011-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU28,2012-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU28,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,EU28,2014-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU28,2015-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU28,2016-01-01,7
PC_SAL,T,Y15-64,INVTMP,EU28,2017-01-01,7
PC_SAL,T,Y15-64,INVTMP,FI,2005-01-01,12
PC_SAL,T,Y15-64,INVTMP,FI,2006-01-01,11
PC_SAL,T,Y15-64,INVTMP,FI,2007-01-01,10
PC_SAL,T,Y15-64,INVTMP,FI,2008-01-01,9
PC_SAL,T,Y15-64,INVTMP,FI,2009-01-01,9
PC_SAL,T,Y15-64,INVTMP,FI,2010-01-01,9
PC_SAL,T,Y15-64,INVTMP,FI,2011-01-01,9
PC_SAL,T,Y15-64,INVTMP,FI,2012-01-01,9
PC_SAL,T,Y15-64,INVTMP,FI,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,FI,2014-01-01,10
PC_SAL,T,Y15-64,INVTMP,FI,2015-01-01,10
PC_SAL,T,Y15-64,INVTMP,FI,2016-01-01,11
PC_SAL,T,Y15-64,INVTMP,FI,2017-01-01,11
PC_SAL,T,Y15-64,INVTMP,FR,2005-01-01,7
PC_SAL,T,Y15-64,INVTMP,FR,2006-01-01,8
PC_SAL,T,Y15-64,INVTMP,FR,2007-01-01,8
PC_SAL,T,Y15-64,INVTMP,FR,2008-01-01,8
PC_SAL,T,Y15-64,INVTMP,FR,2009-01-01,7
PC_SAL,T,Y15-64,INVTMP,FR,2010-01-01,8
PC_SAL,T,Y15-64,INVTMP,FR,2011-01-01,8
PC_SAL,T,Y15-64,INVTMP,FR,2012-01-01,8
PC_SAL,T,Y15-64,INVTMP,FR,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,FR,2014-01-01,9
PC_SAL,T,Y15-64,INVTMP,FR,2015-01-01,9
PC_SAL,T,Y15-64,INVTMP,FR,2016-01-01,9
PC_SAL,T,Y15-64,INVTMP,FR,2017-01-01,9
PC_SAL,T,Y15-64,INVTMP,HR,2005-01-01,6
PC_SAL,T,Y15-64,INVTMP,HR,2006-01-01,6
PC_SAL,T,Y15-64,INVTMP,HR,2007-01-01,6
PC_SAL,T,Y15-64,INVTMP,HR,2008-01-01,6
PC_SAL,T,Y15-64,INVTMP,HR,2009-01-01,5
PC_SAL,T,Y15-64,INVTMP,HR,2010-01-01,6
PC_SAL,T,Y15-64,INVTMP,HR,2011-01-01,6
PC_SAL,T,Y15-64,INVTMP,HR,2012-01-01,6
PC_SAL,T,Y15-64,INVTMP,HR,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,HR,2014-01-01,8
PC_SAL,T,Y15-64,INVTMP,HR,2015-01-01,8
PC_SAL,T,Y15-64,INVTMP,HR,2016-01-01,17
PC_SAL,T,Y15-64,INVTMP,HR,2017-01-01,17
PC_SAL,T,Y15-64,INVTMP,HU,2005-01-01,3
PC_SAL,T,Y15-64,INVTMP,HU,2006-01-01,4
PC_SAL,T,Y15-64,INVTMP,HU,2007-01-01,4
PC_SAL,T,Y15-64,INVTMP,HU,2008-01-01,4
PC_SAL,T,Y15-64,INVTMP,HU,2009-01-01,5
PC_SAL,T,Y15-64,INVTMP,HU,2010-01-01,6
PC_SAL,T,Y15-64,INVTMP,HU,2011-01-01,6
PC_SAL,T,Y15-64,INVTMP,HU,2012-01-01,6
PC_SAL,T,Y15-64,INVTMP,HU,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,HU,2014-01-01,8
PC_SAL,T,Y15-64,INVTMP,HU,2015-01-01,8
PC_SAL,T,Y15-64,INVTMP,HU,2016-01-01,7
PC_SAL,T,Y15-64,INVTMP,HU,2017-01-01,6
PC_SAL,T,Y15-64,INVTMP,IE,2005-01-01,0
PC_SAL,T,Y15-64,INVTMP,IE,2006-01-01,1
PC_SAL,T,Y15-64,INVTMP,IE,2007-01-01,1
PC_SAL,T,Y15-64,INVTMP,IE,2008-01-01,1
PC_SAL,T,Y15-64,INVTMP,IE,2009-01-01,2
PC_SAL,T,Y15-64,INVTMP,IE,2010-01-01,2
PC_SAL,T,Y15-64,INVTMP,IE,2011-01-01,3
PC_SAL,T,Y15-64,INVTMP,IE,2012-01-01,5
PC_SAL,T,Y15-64,INVTMP,IE,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,IE,2014-01-01,4
PC_SAL,T,Y15-64,INVTMP,IE,2015-01-01,4
PC_SAL,T,Y15-64,INVTMP,IE,2016-01-01,4
PC_SAL,T,Y15-64,INVTMP,IE,2017-01-01,3
PC_SAL,T,Y15-64,INVTMP,IS,2005-01-01,2
PC_SAL,T,Y15-64,INVTMP,IS,2006-01-01,0
PC_SAL,T,Y15-64,INVTMP,IS,2007-01-01,0
PC_SAL,T,Y15-64,INVTMP,IS,2008-01-01,0
PC_SAL,T,Y15-64,INVTMP,IS,2009-01-01,0
PC_SAL,T,Y15-64,INVTMP,IS,2010-01-01,1
PC_SAL,T,Y15-64,INVTMP,IS,2011-01-01,1
PC_SAL,T,Y15-64,INVTMP,IS,2012-01-01,1
PC_SAL,T,Y15-64,INVTMP,IS,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,IS,2014-01-01,0
PC_SAL,T,Y15-64,INVTMP,IS,2015-01-01,0
PC_SAL,T,Y15-64,INVTMP,IS,2016-01-01,0
PC_SAL,T,Y15-64,INVTMP,IS,2017-01-01,0
PC_SAL,T,Y15-64,INVTMP,IT,2005-01-01,7
PC_SAL,T,Y15-64,INVTMP,IT,2006-01-01,8
PC_SAL,T,Y15-64,INVTMP,IT,2007-01-01,8
PC_SAL,T,Y15-64,INVTMP,IT,2008-01-01,8
PC_SAL,T,Y15-64,INVTMP,IT,2009-01-01,8
PC_SAL,T,Y15-64,INVTMP,IT,2010-01-01,8
PC_SAL,T,Y15-64,INVTMP,IT,2011-01-01,9
PC_SAL,T,Y15-64,INVTMP,IT,2012-01-01,9
PC_SAL,T,Y15-64,INVTMP,IT,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,IT,2014-01-01,9
PC_SAL,T,Y15-64,INVTMP,IT,2015-01-01,10
PC_SAL,T,Y15-64,INVTMP,IT,2016-01-01,10
PC_SAL,T,Y15-64,INVTMP,IT,2017-01-01,11
PC_SAL,T,Y15-64,INVTMP,LT,2005-01-01,4
PC_SAL,T,Y15-64,INVTMP,LT,2006-01-01,3
PC_SAL,T,Y15-64,INVTMP,LT,2007-01-01,2
PC_SAL,T,Y15-64,INVTMP,LT,2008-01-01,1
PC_SAL,T,Y15-64,INVTMP,LT,2009-01-01,1
PC_SAL,T,Y15-64,INVTMP,LT,2010-01-01,1
PC_SAL,T,Y15-64,INVTMP,LT,2011-01-01,1
PC_SAL,T,Y15-64,INVTMP,LT,2012-01-01,1
PC_SAL,T,Y15-64,INVTMP,LT,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,LT,2014-01-01,1
PC_SAL,T,Y15-64,INVTMP,LT,2015-01-01,1
PC_SAL,T,Y15-64,INVTMP,LT,2016-01-01,1
PC_SAL,T,Y15-64,INVTMP,LT,2017-01-01,1
PC_SAL,T,Y15-64,INVTMP,LU,2005-01-01,2
PC_SAL,T,Y15-64,INVTMP,LU,2006-01-01,2
PC_SAL,T,Y15-64,INVTMP,LU,2007-01-01,2
PC_SAL,T,Y15-64,INVTMP,LU,2008-01-01,3
PC_SAL,T,Y15-64,INVTMP,LU,2009-01-01,2
PC_SAL,T,Y15-64,INVTMP,LU,2010-01-01,2
PC_SAL,T,Y15-64,INVTMP,LU,2011-01-01,2
PC_SAL,T,Y15-64,INVTMP,LU,2012-01-01,3
PC_SAL,T,Y15-64,INVTMP,LU,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,LU,2014-01-01,4
PC_SAL,T,Y15-64,INVTMP,LU,2015-01-01,4
PC_SAL,T,Y15-64,INVTMP,LU,2016-01-01,4
PC_SAL,T,Y15-64,INVTMP,LU,2017-01-01,5
PC_SAL,T,Y15-64,INVTMP,LV,2005-01-01,3
PC_SAL,T,Y15-64,INVTMP,LV,2006-01-01,5
PC_SAL,T,Y15-64,INVTMP,LV,2007-01-01,2
PC_SAL,T,Y15-64,INVTMP,LV,2008-01-01,2
PC_SAL,T,Y15-64,INVTMP,LV,2009-01-01,3
PC_SAL,T,Y15-64,INVTMP,LV,2010-01-01,5
PC_SAL,T,Y15-64,INVTMP,LV,2011-01-01,4
PC_SAL,T,Y15-64,INVTMP,LV,2012-01-01,3
PC_SAL,T,Y15-64,INVTMP,LV,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,LV,2014-01-01,2
PC_SAL,T,Y15-64,INVTMP,LV,2015-01-01,1
PC_SAL,T,Y15-64,INVTMP,LV,2016-01-01,1
PC_SAL,T,Y15-64,INVTMP,LV,2017-01-01,1
PC_SAL,T,Y15-64,INVTMP,ME,2005-01-01,
PC_SAL,T,Y15-64,INVTMP,ME,2006-01-01,
PC_SAL,T,Y15-64,INVTMP,ME,2007-01-01,
PC_SAL,T,Y15-64,INVTMP,ME,2008-01-01,
PC_SAL,T,Y15-64,INVTMP,ME,2009-01-01,
PC_SAL,T,Y15-64,INVTMP,ME,2010-01-01,
PC_SAL,T,Y15-64,INVTMP,ME,2011-01-01,16
PC_SAL,T,Y15-64,INVTMP,ME,2012-01-01,20
PC_SAL,T,Y15-64,INVTMP,ME,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,ME,2014-01-01,24
PC_SAL,T,Y15-64,INVTMP,ME,2015-01-01,27
PC_SAL,T,Y15-64,INVTMP,ME,2016-01-01,30
PC_SAL,T,Y15-64,INVTMP,ME,2017-01-01,26
PC_SAL,T,Y15-64,INVTMP,MK,2005-01-01,
PC_SAL,T,Y15-64,INVTMP,MK,2006-01-01,8
PC_SAL,T,Y15-64,INVTMP,MK,2007-01-01,9
PC_SAL,T,Y15-64,INVTMP,MK,2008-01-01,10
PC_SAL,T,Y15-64,INVTMP,MK,2009-01-01,11
PC_SAL,T,Y15-64,INVTMP,MK,2010-01-01,12
PC_SAL,T,Y15-64,INVTMP,MK,2011-01-01,10
PC_SAL,T,Y15-64,INVTMP,MK,2012-01-01,9
PC_SAL,T,Y15-64,INVTMP,MK,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,MK,2014-01-01,12
PC_SAL,T,Y15-64,INVTMP,MK,2015-01-01,9
PC_SAL,T,Y15-64,INVTMP,MK,2016-01-01,0
PC_SAL,T,Y15-64,INVTMP,MK,2017-01-01,12
PC_SAL,T,Y15-64,INVTMP,MT,2005-01-01,2
PC_SAL,T,Y15-64,INVTMP,MT,2006-01-01,1
PC_SAL,T,Y15-64,INVTMP,MT,2007-01-01,2
PC_SAL,T,Y15-64,INVTMP,MT,2008-01-01,2
PC_SAL,T,Y15-64,INVTMP,MT,2009-01-01,2
PC_SAL,T,Y15-64,INVTMP,MT,2010-01-01,2
PC_SAL,T,Y15-64,INVTMP,MT,2011-01-01,3
PC_SAL,T,Y15-64,INVTMP,MT,2012-01-01,3
PC_SAL,T,Y15-64,INVTMP,MT,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,MT,2014-01-01,4
PC_SAL,T,Y15-64,INVTMP,MT,2015-01-01,4
PC_SAL,T,Y15-64,INVTMP,MT,2016-01-01,3
PC_SAL,T,Y15-64,INVTMP,MT,2017-01-01,2
PC_SAL,T,Y15-64,INVTMP,NL,2005-01-01,4
PC_SAL,T,Y15-64,INVTMP,NL,2006-01-01,4
PC_SAL,T,Y15-64,INVTMP,NL,2007-01-01,4
PC_SAL,T,Y15-64,INVTMP,NL,2008-01-01,4
PC_SAL,T,Y15-64,INVTMP,NL,2009-01-01,4
PC_SAL,T,Y15-64,INVTMP,NL,2010-01-01,4
PC_SAL,T,Y15-64,INVTMP,NL,2011-01-01,4
PC_SAL,T,Y15-64,INVTMP,NL,2012-01-01,4
PC_SAL,T,Y15-64,INVTMP,NL,2013-01-01,
PC_SAL,T,Y15-64,INVTMP,NL,2014-01-01,6
PC_SAL,T,Y15-64,INVTMP,NL,2015-01-01,7
PC_SAL,T,Y15-64,INVTMP,NL,2016-01-01,7
PC_SAL,T,Y15-64,INVTMP,NL,2017-01-01,6
PC_SAL,T,Y15-64,INVTMP,NO,2005-01-01,0
PC_SAL,T,Y15-64,INVTMP,NO,2006-01-01,5
PC_SAL,T,Y15-64,INVTMP,NO,2007-01-01,4
PC_SAL,T,Y15-64,INVTMP,NO,2008-01-01,4
PC_SAL,T,Y15-64,INVTMP,NO,2009-01-01,3
PC_SAL,T,Y15-64,INVTMP,NO,2010-01-01,3
PC_SAL,T,Y15-64,INVTMP,NO,2011-01-01,4
