indic_eu,geotime,date,value
T2020_30,CZ,2008-01-01,73
T2020_30,CZ,2009-01-01,69
T2020_30,CZ,2010-01-01,70
T2020_30,CZ,2011-01-01,69
T2020_30,CZ,2012-01-01,67
T2020_30,CZ,2013-01-01,65
T2020_30,CZ,2014-01-01,64
T2020_30,CZ,2015-01-01,64
T2020_30,CZ,2016-01-01,65
T2020_30,DE,1990-01-01,100
T2020_30,DE,1991-01-01,96
T2020_30,DE,1992-01-01,92
T2020_30,DE,1993-01-01,91
T2020_30,DE,1994-01-01,90
T2020_30,DE,1995-01-01,90
T2020_30,DE,1996-01-01,91
T2020_30,DE,1997-01-01,88
T2020_30,DE,1998-01-01,86
T2020_30,DE,1999-01-01,84
T2020_30,DE,2000-01-01,84
T2020_30,DE,2001-01-01,85
T2020_30,DE,2002-01-01,83
T2020_30,DE,2003-01-01,83
T2020_30,DE,2004-01-01,82
T2020_30,DE,2005-01-01,80
T2020_30,DE,2006-01-01,81
T2020_30,DE,2007-01-01,79
T2020_30,DE,2008-01-01,79
T2020_30,DE,2009-01-01,73
T2020_30,DE,2010-01-01,76
T2020_30,DE,2011-01-01,74
T2020_30,DE,2012-01-01,75
T2020_30,DE,2013-01-01,76
T2020_30,DE,2014-01-01,73
T2020_30,DE,2015-01-01,73
T2020_30,DE,2016-01-01,74
T2020_30,DK,1990-01-01,100
T2020_30,DK,1991-01-01,114
T2020_30,DK,1992-01-01,106
T2020_30,DK,1993-01-01,109
T2020_30,DK,1994-01-01,115
T2020_30,DK,1995-01-01,111
T2020_30,DK,1996-01-01,129
T2020_30,DK,1997-01-01,116
T2020_30,DK,1998-01-01,110
T2020_30,DK,1999-01-01,107
T2020_30,DK,2000-01-01,101
T2020_30,DK,2001-01-01,103
T2020_30,DK,2002-01-01,102
T2020_30,DK,2003-01-01,109
T2020_30,DK,2004-01-01,101
T2020_30,DK,2005-01-01,95
T2020_30,DK,2006-01-01,106
T2020_30,DK,2007-01-01,99
T2020_30,DK,2008-01-01,94
T2020_30,DK,2009-01-01,90
T2020_30,DK,2010-01-01,91
T2020_30,DK,2011-01-01,84
T2020_30,DK,2012-01-01,77
T2020_30,DK,2013-01-01,79
T2020_30,DK,2014-01-01,74
T2020_30,DK,2015-01-01,70
T2020_30,DK,2016-01-01,73
T2020_30,EE,1990-01-01,100
T2020_30,EE,1991-01-01,92
T2020_30,EE,1992-01-01,67
T2020_30,EE,1993-01-01,52
T2020_30,EE,1994-01-01,54
T2020_30,EE,1995-01-01,50
T2020_30,EE,1996-01-01,51
T2020_30,EE,1997-01-01,50
T2020_30,EE,1998-01-01,46
T2020_30,EE,1999-01-01,43
T2020_30,EE,2000-01-01,42
T2020_30,EE,2001-01-01,43
T2020_30,EE,2002-01-01,42
T2020_30,EE,2003-01-01,47
T2020_30,EE,2004-01-01,47
T2020_30,EE,2005-01-01,47
T2020_30,EE,2006-01-01,45
T2020_30,EE,2007-01-01,55
T2020_30,EE,2008-01-01,49
T2020_30,EE,2009-01-01,41
T2020_30,EE,2010-01-01,52
T2020_30,EE,2011-01-01,52
T2020_30,EE,2012-01-01,49
T2020_30,EE,2013-01-01,54
T2020_30,EE,2014-01-01,52
T2020_30,EE,2015-01-01,44
T2020_30,EE,2016-01-01,48
T2020_30,EL,1990-01-01,100
T2020_30,EL,1991-01-01,99
T2020_30,EL,1992-01-01,101
T2020_30,EL,1993-01-01,100
T2020_30,EL,1994-01-01,103
T2020_30,EL,1995-01-01,105
T2020_30,EL,1996-01-01,108
T2020_30,EL,1997-01-01,113
T2020_30,EL,1998-01-01,118
T2020_30,EL,1999-01-01,119
T2020_30,EL,2000-01-01,122
T2020_30,EL,2001-01-01,122
T2020_30,EL,2002-01-01,122
T2020_30,EL,2003-01-01,127
T2020_30,EL,2004-01-01,127
T2020_30,EL,2005-01-01,131
T2020_30,EL,2006-01-01,128
T2020_30,EL,2007-01-01,130
T2020_30,EL,2008-01-01,127
T2020_30,EL,2009-01-01,120
T2020_30,EL,2010-01-01,114
T2020_30,EL,2011-01-01,111
T2020_30,EL,2012-01-01,108
T2020_30,EL,2013-01-01,99
T2020_30,EL,2014-01-01,96
T2020_30,EL,2015-01-01,93
T2020_30,EL,2016-01-01,89
T2020_30,ES,1990-01-01,100
T2020_30,ES,1991-01-01,102
T2020_30,ES,1992-01-01,106
T2020_30,ES,1993-01-01,102
T2020_30,ES,1994-01-01,108
T2020_30,ES,1995-01-01,114
T2020_30,ES,1996-01-01,111
T2020_30,ES,1997-01-01,116
T2020_30,ES,1998-01-01,120
T2020_30,ES,1999-01-01,129
T2020_30,ES,2000-01-01,135
T2020_30,ES,2001-01-01,134
T2020_30,ES,2002-01-01,140
T2020_30,ES,2003-01-01,143
T2020_30,ES,2004-01-01,148
T2020_30,ES,2005-01-01,154
T2020_30,ES,2006-01-01,151
T2020_30,ES,2007-01-01,156
T2020_30,ES,2008-01-01,144
T2020_30,ES,2009-01-01,130
T2020_30,ES,2010-01-01,125
T2020_30,ES,2011-01-01,126
T2020_30,ES,2012-01-01,123
T2020_30,ES,2013-01-01,114
T2020_30,ES,2014-01-01,115
T2020_30,ES,2015-01-01,119
T2020_30,ES,2016-01-01,116
T2020_30,EU27,1990-01-01,
T2020_30,EU27,1991-01-01,
T2020_30,EU27,1992-01-01,
T2020_30,EU27,1993-01-01,
T2020_30,EU27,1994-01-01,
T2020_30,EU27,1995-01-01,
T2020_30,EU27,1996-01-01,
T2020_30,EU27,1997-01-01,
T2020_30,EU27,1998-01-01,
T2020_30,EU27,1999-01-01,
T2020_30,EU27,2000-01-01,
T2020_30,EU27,2001-01-01,
T2020_30,EU27,2002-01-01,
T2020_30,EU27,2003-01-01,
T2020_30,EU27,2004-01-01,
T2020_30,EU27,2005-01-01,
T2020_30,EU27,2006-01-01,
T2020_30,EU27,2007-01-01,
T2020_30,EU27,2008-01-01,
T2020_30,EU27,2009-01-01,
T2020_30,EU27,2010-01-01,
T2020_30,EU27,2011-01-01,
T2020_30,EU27,2012-01-01,
T2020_30,EU27,2013-01-01,
T2020_30,EU27,2014-01-01,
T2020_30,EU27,2015-01-01,
T2020_30,EU27,2016-01-01,
T2020_30,EU28,1990-01-01,100
T2020_30,EU28,1991-01-01,98
T2020_30,EU28,1992-01-01,95
T2020_30,EU28,1993-01-01,93
T2020_30,EU28,1994-01-01,93
T2020_30,EU28,1995-01-01,94
T2020_30,EU28,1996-01-01,96
T2020_30,EU28,1997-01-01,94
T2020_30,EU28,1998-01-01,93
T2020_30,EU28,1999-01-01,92
T2020_30,EU28,2000-01-01,92
T2020_30,EU28,2001-01-01,93
T2020_30,EU28,2002-01-01,92
T2020_30,EU28,2003-01-01,93
T2020_30,EU28,2004-01-01,94
T2020_30,EU28,2005-01-01,93
T2020_30,EU28,2006-01-01,93
T2020_30,EU28,2007-01-01,92
T2020_30,EU28,2008-01-01,90
T2020_30,EU28,2009-01-01,83
T2020_30,EU28,2010-01-01,85
T2020_30,EU28,2011-01-01,83
T2020_30,EU28,2012-01-01,82
T2020_30,EU28,2013-01-01,80
T2020_30,EU28,2014-01-01,77
T2020_30,EU28,2015-01-01,77
T2020_30,EU28,2016-01-01,77
T2020_30,FI,1990-01-01,100
T2020_30,FI,1991-01-01,96
T2020_30,FI,1992-01-01,94
T2020_30,FI,1993-01-01,97
T2020_30,FI,1994-01-01,105
T2020_30,FI,1995-01-01,100
T2020_30,FI,1996-01-01,108
T2020_30,FI,1997-01-01,106
T2020_30,FI,1998-01-01,101
T2020_30,FI,1999-01-01,101
T2020_30,FI,2000-01-01,98
T2020_30,FI,2001-01-01,105
T2020_30,FI,2002-01-01,109
T2020_30,FI,2003-01-01,119
T2020_30,FI,2004-01-01,114
T2020_30,FI,2005-01-01,98
T2020_30,FI,2006-01-01,114
T2020_30,FI,2007-01-01,112
T2020_30,FI,2008-01-01,101
T2020_30,FI,2009-01-01,95
T2020_30,FI,2010-01-01,106
T2020_30,FI,2011-01-01,96
T2020_30,FI,2012-01-01,88
T2020_30,FI,2013-01-01,89
T2020_30,FI,2014-01-01,84
T2020_30,FI,2015-01-01,79
T2020_30,FI,2016-01-01,84
T2020_30,FR,1990-01-01,100
T2020_30,FR,1991-01-01,104
T2020_30,FR,1992-01-01,102
T2020_30,FR,1993-01-01,99
T2020_30,FR,1994-01-01,98
T2020_30,FR,1995-01-01,99
T2020_30,FR,1996-01-01,102
T2020_30,FR,1997-01-01,101
T2020_30,FR,1998-01-01,104
T2020_30,FR,1999-01-01,102
T2020_30,FR,2000-01-01,101
T2020_30,FR,2001-01-01,102
T2020_30,FR,2002-01-01,101
T2020_30,FR,2003-01-01,102
T2020_30,FR,2004-01-01,102
T2020_30,FR,2005-01-01,102
T2020_30,FR,2006-01-01,100
T2020_30,FR,2007-01-01,98
T2020_30,FR,2008-01-01,97
T2020_30,FR,2009-01-01,93
T2020_30,FR,2010-01-01,95
T2020_30,FR,2011-01-01,90
T2020_30,FR,2012-01-01,90
T2020_30,FR,2013-01-01,90
T2020_30,FR,2014-01-01,84
T2020_30,FR,2015-01-01,85
T2020_30,FR,2016-01-01,85
T2020_30,HR,1990-01-01,100
T2020_30,HR,1991-01-01,77
T2020_30,HR,1992-01-01,71
T2020_30,HR,1993-01-01,72
T2020_30,HR,1994-01-01,69
T2020_30,HR,1995-01-01,71
T2020_30,HR,1996-01-01,73
T2020_30,HR,1997-01-01,77
T2020_30,HR,1998-01-01,78
T2020_30,HR,1999-01-01,81
T2020_30,HR,2000-01-01,80
T2020_30,HR,2001-01-01,84
T2020_30,HR,2002-01-01,87
T2020_30,HR,2003-01-01,91
T2020_30,HR,2004-01-01,91
T2020_30,HR,2005-01-01,93
T2020_30,HR,2006-01-01,94
T2020_30,HR,2007-01-01,98
T2020_30,HR,2008-01-01,95
T2020_30,HR,2009-01-01,89
T2020_30,HR,2010-01-01,87
T2020_30,HR,2011-01-01,86
T2020_30,HR,2012-01-01,80
T2020_30,HR,2013-01-01,76
T2020_30,HR,2014-01-01,74
T2020_30,HR,2015-01-01,75
T2020_30,HR,2016-01-01,76
T2020_30,HU,1990-01-01,100
T2020_30,HU,1991-01-01,92
T2020_30,HU,1992-01-01,82
T2020_30,HU,1993-01-01,83
T2020_30,HU,1994-01-01,82
T2020_30,HU,1995-01-01,80
T2020_30,HU,1996-01-01,83
T2020_30,HU,1997-01-01,81
T2020_30,HU,1998-01-01,81
T2020_30,HU,1999-01-01,81
T2020_30,HU,2000-01-01,78
T2020_30,HU,2001-01-01,80
T2020_30,HU,2002-01-01,78
T2020_30,HU,2003-01-01,82
T2020_30,HU,2004-01-01,81
T2020_30,HU,2005-01-01,81
T2020_30,HU,2006-01-01,79
T2020_30,HU,2007-01-01,78
T2020_30,HU,2008-01-01,76
T2020_30,HU,2009-01-01,69
T2020_30,HU,2010-01-01,70
T2020_30,HU,2011-01-01,68
T2020_30,HU,2012-01-01,64
T2020_30,HU,2013-01-01,61
T2020_30,HU,2014-01-01,62
T2020_30,HU,2015-01-01,65
T2020_30,HU,2016-01-01,65
T2020_30,IE,1990-01-01,100
T2020_30,IE,1991-01-01,101
T2020_30,IE,1992-01-01,100
T2020_30,IE,1993-01-01,102
T2020_30,IE,1994-01-01,104
T2020_30,IE,1995-01-01,106
T2020_30,IE,1996-01-01,110
T2020_30,IE,1997-01-01,113
T2020_30,IE,1998-01-01,117
T2020_30,IE,1999-01-01,119
T2020_30,IE,2000-01-01,124
T2020_30,IE,2001-01-01,128
T2020_30,IE,2002-01-01,125
T2020_30,IE,2003-01-01,125
T2020_30,IE,2004-01-01,124
T2020_30,IE,2005-01-01,127
T2020_30,IE,2006-01-01,126
T2020_30,IE,2007-01-01,125
T2020_30,IE,2008-01-01,124
T2020_30,IE,2009-01-01,112
T2020_30,IE,2010-01-01,112
T2020_30,IE,2011-01-01,104
T2020_30,IE,2012-01-01,105
T2020_30,IE,2013-01-01,105
T2020_30,IE,2014-01-01,105
T2020_30,IE,2015-01-01,109
T2020_30,IE,2016-01-01,113
T2020_30,IS,1990-01-01,100
T2020_30,IS,1991-01-01,94
T2020_30,IS,1992-01-01,91
T2020_30,IS,1993-01-01,93
T2020_30,IS,1994-01-01,91
T2020_30,IS,1995-01-01,95
T2020_30,IS,1996-01-01,97
T2020_30,IS,1997-01-01,102
T2020_30,IS,1998-01-01,108
T2020_30,IS,1999-01-01,114
T2020_30,IS,2000-01-01,116
T2020_30,IS,2001-01-01,111
T2020_30,IS,2002-01-01,112
T2020_30,IS,2003-01-01,112
T2020_30,IS,2004-01-01,116
T2020_30,IS,2005-01-01,114
T2020_30,IS,2006-01-01,131
T2020_30,IS,2007-01-01,139
T2020_30,IS,2008-01-01,147
T2020_30,IS,2009-01-01,137
T2020_30,IS,2010-01-01,136
T2020_30,IS,2011-01-01,130
T2020_30,IS,2012-01-01,131
T2020_30,IS,2013-01-01,133
T2020_30,IS,2014-01-01,135
T2020_30,IS,2015-01-01,140
T2020_30,IS,2016-01-01,145
T2020_30,IT,1990-01-01,100
T2020_30,IT,1991-01-01,100
T2020_30,IT,1992-01-01,100
T2020_30,IT,1993-01-01,98
T2020_30,IT,1994-01-01,97
T2020_30,IT,1995-01-01,103
T2020_30,IT,1996-01-01,101
T2020_30,IT,1997-01-01,102
T2020_30,IT,1998-01-01,105
T2020_30,IT,1999-01-01,106
T2020_30,IT,2000-01-01,107
T2020_30,IT,2001-01-01,108
T2020_30,IT,2002-01-01,108
T2020_30,IT,2003-01-01,111
T2020_30,IT,2004-01-01,112
T2020_30,IT,2005-01-01,112
T2020_30,IT,2006-01-01,110
T2020_30,IT,2007-01-01,109
T2020_30,IT,2008-01-01,106
T2020_30,IT,2009-01-01,96
T2020_30,IT,2010-01-01,98
T2020_30,IT,2011-01-01,95
T2020_30,IT,2012-01-01,91
T2020_30,IT,2013-01-01,86
T2020_30,IT,2014-01-01,83
T2020_30,IT,2015-01-01,84
T2020_30,IT,2016-01-01,83
T2020_30,LI,1990-01-01,100
T2020_30,LI,1991-01-01,103
T2020_30,LI,1992-01-01,103
T2020_30,LI,1993-01-01,106
T2020_30,LI,1994-01-01,100
T2020_30,LI,1995-01-01,102
T2020_30,LI,1996-01-01,103
T2020_30,LI,1997-01-01,108
T2020_30,LI,1998-01-01,113
T2020_30,LI,1999-01-01,112
T2020_30,LI,2000-01-01,108
T2020_30,LI,2001-01-01,108
T2020_30,LI,2002-01-01,110
T2020_30,LI,2003-01-01,115
T2020_30,LI,2004-01-01,115
T2020_30,LI,2005-01-01,115
T2020_30,LI,2006-01-01,117
T2020_30,LI,2007-01-01,104
T2020_30,LI,2008-01-01,113
T2020_30,LI,2009-01-01,107
T2020_30,LI,2010-01-01,100
T2020_30,LI,2011-01-01,95
T2020_30,LI,2012-01-01,99
T2020_30,LI,2013-01-01,101
T2020_30,LI,2014-01-01,88
T2020_30,LI,2015-01-01,86
T2020_30,LI,2016-01-01,82
T2020_30,LT,1990-01-01,100
T2020_30,LT,1991-01-01,104
T2020_30,LT,1992-01-01,64
T2020_30,LT,1993-01-01,51
T2020_30,LT,1994-01-01,48
T2020_30,LT,1995-01-01,46
T2020_30,LT,1996-01-01,48
T2020_30,LT,1997-01-01,47
T2020_30,LT,1998-01-01,49
T2020_30,LT,1999-01-01,43
T2020_30,LT,2000-01-01,40
T2020_30,LT,2001-01-01,41
T2020_30,LT,2002-01-01,42
T2020_30,LT,2003-01-01,43
T2020_30,LT,2004-01-01,44
T2020_30,LT,2005-01-01,47
T2020_30,LT,2006-01-01,47
T2020_30,LT,2007-01-01,52
T2020_30,LT,2008-01-01,50
T2020_30,LT,2009-01-01,41
T2020_30,LT,2010-01-01,42
T2020_30,LT,2011-01-01,44
T2020_30,LT,2012-01-01,44
T2020_30,LT,2013-01-01,41
T2020_30,LT,2014-01-01,41
T2020_30,LT,2015-01-01,42
T2020_30,LT,2016-01-01,42
T2020_30,LU,1990-01-01,100
T2020_30,LU,1991-01-01,104
T2020_30,LU,1992-01-01,102
T2020_30,LU,1993-01-01,103
T2020_30,LU,1994-01-01,98
T2020_30,LU,1995-01-01,80
T2020_30,LU,1996-01-01,81
T2020_30,LU,1997-01-01,77
T2020_30,LU,1998-01-01,72
T2020_30,LU,1999-01-01,76
T2020_30,LU,2000-01-01,80
T2020_30,LU,2001-01-01,84
T2020_30,LU,2002-01-01,91
T2020_30,LU,2003-01-01,95
T2020_30,LU,2004-01-01,106
T2020_30,LU,2005-01-01,108
T2020_30,LU,2006-01-01,106
T2020_30,LU,2007-01-01,102
T2020_30,LU,2008-01-01,101
T2020_30,LU,2009-01-01,97
T2020_30,LU,2010-01-01,101
T2020_30,LU,2011-01-01,100
T2020_30,LU,2012-01-01,97
T2020_30,LU,2013-01-01,93
T2020_30,LU,2014-01-01,90
T2020_30,LU,2015-01-01,88
T2020_30,LU,2016-01-01,87
T2020_30,LV,1990-01-01,100
T2020_30,LV,1991-01-01,92
T2020_30,LV,1992-01-01,74
T2020_30,LV,1993-01-01,61
T2020_30,LV,1994-01-01,54
T2020_30,LV,1995-01-01,48
T2020_30,LV,1996-01-01,49
T2020_30,LV,1997-01-01,46
T2020_30,LV,1998-01-01,44
T2020_30,LV,1999-01-01,42
T2020_30,LV,2000-01-01,39
T2020_30,LV,2001-01-01,41
T2020_30,LV,2002-01-01,41
T2020_30,LV,2003-01-01,42
T2020_30,LV,2004-01-01,42
T2020_30,LV,2005-01-01,43
T2020_30,LV,2006-01-01,45
T2020_30,LV,2007-01-01,47
T2020_30,LV,2008-01-01,45
T2020_30,LV,2009-01-01,43
T2020_30,LV,2010-01-01,47
T2020_30,LV,2011-01-01,44
T2020_30,LV,2012-01-01,44
T2020_30,LV,2013-01-01,43
T2020_30,LV,2014-01-01,43
T2020_30,LV,2015-01-01,43
T2020_30,LV,2016-01-01,43
T2020_30,MT,1990-01-01,100
T2020_30,MT,1991-01-01,107
T2020_30,MT,1992-01-01,119
T2020_30,MT,1993-01-01,120
T2020_30,MT,1994-01-01,130
T2020_30,MT,1995-01-01,131
T2020_30,MT,1996-01-01,130
T2020_30,MT,1997-01-01,133
T2020_30,MT,1998-01-01,133
T2020_30,MT,1999-01-01,136
T2020_30,MT,2000-01-01,136
T2020_30,MT,2001-01-01,130
T2020_30,MT,2002-01-01,128
T2020_30,MT,2003-01-01,138
T2020_30,MT,2004-01-01,135
T2020_30,MT,2005-01-01,141
T2020_30,MT,2006-01-01,143
T2020_30,MT,2007-01-01,148
T2020_30,MT,2008-01-01,149
T2020_30,MT,2009-01-01,139
T2020_30,MT,2010-01-01,142
T2020_30,MT,2011-01-01,145
T2020_30,MT,2012-01-01,153
T2020_30,MT,2013-01-01,139
T2020_30,MT,2014-01-01,140
T2020_30,MT,2015-01-01,112
T2020_30,MT,2016-01-01,99
T2020_30,NL,1990-01-01,100
T2020_30,NL,1991-01-01,103
T2020_30,NL,1992-01-01,104
T2020_30,NL,1993-01-01,104
T2020_30,NL,1994-01-01,105
T2020_30,NL,1995-01-01,105
T2020_30,NL,1996-01-01,110
T2020_30,NL,1997-01-01,107
T2020_30,NL,1998-01-01,107
T2020_30,NL,1999-01-01,102
T2020_30,NL,2000-01-01,101
T2020_30,NL,2001-01-01,101
T2020_30,NL,2002-01-01,101
T2020_30,NL,2003-01-01,101
T2020_30,NL,2004-01-01,102
T2020_30,NL,2005-01-01,99
T2020_30,NL,2006-01-01,97
T2020_30,NL,2007-01-01,96
T2020_30,NL,2008-01-01,96
T2020_30,NL,2009-01-01,93
T2020_30,NL,2010-01-01,99
T2020_30,NL,2011-01-01,92
T2020_30,NL,2012-01-01,90
T2020_30,NL,2013-01-01,90
T2020_30,NL,2014-01-01,87
T2020_30,NL,2015-01-01,91
T2020_30,NL,2016-01-01,91
T2020_30,NO,1990-01-01,100
T2020_30,NO,1991-01-01,95
T2020_30,NO,1992-01-01,91
T2020_30,NO,1993-01-01,95
T2020_30,NO,1994-01-01,99
T2020_30,NO,1995-01-01,98
T2020_30,NO,1996-01-01,104
T2020_30,NO,1997-01-01,104
T2020_30,NO,1998-01-01,105
T2020_30,NO,1999-01-01,107
T2020_30,NO,2000-01-01,106
T2020_30,NO,2001-01-01,108
T2020_30,NO,2002-01-01,106
T2020_30,NO,2003-01-01,107
T2020_30,NO,2004-01-01,108
T2020_30,NO,2005-01-01,107
T2020_30,NO,2006-01-01,106
T2020_30,NO,2007-01-01,110
T2020_30,NO,2008-01-01,107
T2020_30,NO,2009-01-01,102
T2020_30,NO,2010-01-01,107
T2020_30,NO,2011-01-01,105
T2020_30,NO,2012-01-01,105
T2020_30,NO,2013-01-01,105
T2020_30,NO,2014-01-01,104
T2020_30,NO,2015-01-01,105
T2020_30,NO,2016-01-01,104
T2020_30,PL,1990-01-01,100
T2020_30,PL,1991-01-01,97
T2020_30,PL,1992-01-01,94
T2020_30,PL,1993-01-01,94
T2020_30,PL,1994-01-01,93
T2020_30,PL,1995-01-01,93
T2020_30,PL,1996-01-01,96
T2020_30,PL,1997-01-01,94
T2020_30,PL,1998-01-01,88
T2020_30,PL,1999-01-01,85
T2020_30,PL,2000-01-01,83
T2020_30,PL,2001-01-01,83
T2020_30,PL,2002-01-01,81
T2020_30,PL,2003-01-01,84
T2020_30,PL,2004-01-01,85
T2020_30,PL,2005-01-01,85
T2020_30,PL,2006-01-01,88
T2020_30,PL,2007-01-01,88
T2020_30,PL,2008-01-01,86
T2020_30,PL,2009-01-01,83
T2020_30,PL,2010-01-01,87
T2020_30,PL,2011-01-01,86
T2020_30,PL,2012-01-01,85
T2020_30,PL,2013-01-01,84
T2020_30,PL,2014-01-01,81
T2020_30,PL,2015-01-01,82
T2020_30,PL,2016-01-01,85
T2020_30,PT,1990-01-01,100
T2020_30,PT,1991-01-01,102
T2020_30,PT,1992-01-01,110
T2020_30,PT,1993-01-01,107
T2020_30,PT,1994-01-01,109
T2020_30,PT,1995-01-01,117
T2020_30,PT,1996-01-01,113
T2020_30,PT,1997-01-01,118
T2020_30,PT,1998-01-01,126
T2020_30,PT,1999-01-01,140
T2020_30,PT,2000-01-01,138
T2020_30,PT,2001-01-01,138
T2020_30,PT,2002-01-01,144
T2020_30,PT,2003-01-01,136
T2020_30,PT,2004-01-01,142
T2020_30,PT,2005-01-01,145
