unit,bmi,geotime,date,value
PC,BMI_GE25,RO,2008-01-01,50.3
PC,BMI_GE25,RO,2014-01-01,55.8
PC,BMI_GE25,SE,2008-01-01,
PC,BMI_GE25,SE,2014-01-01,49.9
PC,BMI_GE25,SI,2008-01-01,56.6
PC,BMI_GE25,SI,2014-01-01,56.6
PC,BMI_GE25,SK,2008-01-01,50.7
PC,BMI_GE25,SK,2014-01-01,54.2
PC,BMI_GE25,TR,2008-01-01,50.6
PC,BMI_GE25,TR,2014-01-01,56.5
PC,BMI_GE25,UK,2008-01-01,
PC,BMI_GE25,UK,2014-01-01,55.7
PC,BMI_GE30,AT,2008-01-01,12.8
PC,BMI_GE30,AT,2014-01-01,14.7
PC,BMI_GE30,BE,2008-01-01,14.0
PC,BMI_GE30,BE,2014-01-01,14.0
PC,BMI_GE30,BG,2008-01-01,11.5
PC,BMI_GE30,BG,2014-01-01,14.8
PC,BMI_GE30,CY,2008-01-01,15.6
PC,BMI_GE30,CY,2014-01-01,14.5
PC,BMI_GE30,CZ,2008-01-01,18.3
PC,BMI_GE30,CZ,2014-01-01,19.3
PC,BMI_GE30,DE,2008-01-01,15.8
PC,BMI_GE30,DE,2014-01-01,16.9
PC,BMI_GE30,DK,2008-01-01,
PC,BMI_GE30,DK,2014-01-01,14.9
PC,BMI_GE30,EE,2008-01-01,18.5
PC,BMI_GE30,EE,2014-01-01,20.4
PC,BMI_GE30,EL,2008-01-01,17.6
PC,BMI_GE30,EL,2014-01-01,17.3
PC,BMI_GE30,ES,2008-01-01,15.7
PC,BMI_GE30,ES,2014-01-01,16.7
PC,BMI_GE30,EU28,2008-01-01,
PC,BMI_GE30,EU28,2014-01-01,15.9
PC,BMI_GE30,FI,2008-01-01,
PC,BMI_GE30,FI,2014-01-01,18.3
PC,BMI_GE30,FR,2008-01-01,12.2
PC,BMI_GE30,FR,2014-01-01,15.3
PC,BMI_GE30,HR,2008-01-01,
PC,BMI_GE30,HR,2014-01-01,18.7
PC,BMI_GE30,HU,2008-01-01,20.0
PC,BMI_GE30,HU,2014-01-01,21.2
PC,BMI_GE30,IE,2008-01-01,
PC,BMI_GE30,IE,2014-01-01,18.7
PC,BMI_GE30,IS,2008-01-01,
PC,BMI_GE30,IS,2014-01-01,19.0
PC,BMI_GE30,IT,2008-01-01,
PC,BMI_GE30,IT,2014-01-01,10.8
PC,BMI_GE30,LT,2008-01-01,
PC,BMI_GE30,LT,2014-01-01,17.3
PC,BMI_GE30,LU,2008-01-01,
PC,BMI_GE30,LU,2014-01-01,15.6
PC,BMI_GE30,LV,2008-01-01,16.9
PC,BMI_GE30,LV,2014-01-01,21.3
PC,BMI_GE30,MT,2008-01-01,22.9
PC,BMI_GE30,MT,2014-01-01,26.0
PC,BMI_GE30,NL,2008-01-01,
PC,BMI_GE30,NL,2014-01-01,13.3
PC,BMI_GE30,NO,2008-01-01,
PC,BMI_GE30,NO,2014-01-01,13.1
PC,BMI_GE30,PL,2008-01-01,16.4
PC,BMI_GE30,PL,2014-01-01,17.2
PC,BMI_GE30,PT,2008-01-01,
PC,BMI_GE30,PT,2014-01-01,16.6
PC,BMI_GE30,RO,2008-01-01,7.9
PC,BMI_GE30,RO,2014-01-01,9.4
PC,BMI_GE30,SE,2008-01-01,
PC,BMI_GE30,SE,2014-01-01,14.0
PC,BMI_GE30,SI,2008-01-01,16.8
PC,BMI_GE30,SI,2014-01-01,19.2
PC,BMI_GE30,SK,2008-01-01,15.1
PC,BMI_GE30,SK,2014-01-01,16.3
PC,BMI_GE30,TR,2008-01-01,16.2
PC,BMI_GE30,TR,2014-01-01,21.2
PC,BMI_GE30,UK,2008-01-01,
PC,BMI_GE30,UK,2014-01-01,20.1
