coicop,unit,geotime,date,value
CP08,I15,AT,2017-10-01,97
CP08,I15,AT,2017-11-01,96
CP08,I15,AT,2017-12-01,96
CP08,I15,AT,2018-01-01,96
CP08,I15,AT,2018-02-01,96
CP08,I15,AT,2018-03-01,95
CP08,I15,AT,2018-04-01,94
CP08,I15,AT,2018-05-01,94
CP08,I15,AT,2018-06-01,94
CP08,I15,AT,2018-07-01,96
CP08,I15,AT,2018-08-01,96
CP08,I15,AT,2018-09-01,96
CP08,I15,BE,2017-10-01,106
CP08,I15,BE,2017-11-01,105
CP08,I15,BE,2017-12-01,105
CP08,I15,BE,2018-01-01,106
CP08,I15,BE,2018-02-01,106
CP08,I15,BE,2018-03-01,106
CP08,I15,BE,2018-04-01,106
CP08,I15,BE,2018-05-01,106
CP08,I15,BE,2018-06-01,106
CP08,I15,BE,2018-07-01,106
CP08,I15,BE,2018-08-01,107
CP08,I15,BE,2018-09-01,107
CP08,I15,BG,2017-10-01,93
CP08,I15,BG,2017-11-01,92
CP08,I15,BG,2017-12-01,92
CP08,I15,BG,2018-01-01,92
CP08,I15,BG,2018-02-01,94
CP08,I15,BG,2018-03-01,95
CP08,I15,BG,2018-04-01,95
CP08,I15,BG,2018-05-01,94
CP08,I15,BG,2018-06-01,94
CP08,I15,BG,2018-07-01,94
CP08,I15,BG,2018-08-01,95
CP08,I15,BG,2018-09-01,94
CP08,I15,CH,2017-10-01,97
CP08,I15,CH,2017-11-01,96
CP08,I15,CH,2017-12-01,96
CP08,I15,CH,2018-01-01,96
CP08,I15,CH,2018-02-01,96
CP08,I15,CH,2018-03-01,96
CP08,I15,CH,2018-04-01,96
CP08,I15,CH,2018-05-01,97
CP08,I15,CH,2018-06-01,97
CP08,I15,CH,2018-07-01,97
CP08,I15,CH,2018-08-01,97
CP08,I15,CH,2018-09-01,97
CP08,I15,CY,2017-10-01,97
CP08,I15,CY,2017-11-01,97
CP08,I15,CY,2017-12-01,97
CP08,I15,CY,2018-01-01,97
CP08,I15,CY,2018-02-01,97
CP08,I15,CY,2018-03-01,97
CP08,I15,CY,2018-04-01,97
CP08,I15,CY,2018-05-01,97
CP08,I15,CY,2018-06-01,97
CP08,I15,CY,2018-07-01,96
CP08,I15,CY,2018-08-01,96
CP08,I15,CY,2018-09-01,92
CP08,I15,CZ,2017-10-01,97
CP08,I15,CZ,2017-11-01,97
CP08,I15,CZ,2017-12-01,97
CP08,I15,CZ,2018-01-01,97
CP08,I15,CZ,2018-02-01,97
CP08,I15,CZ,2018-03-01,97
CP08,I15,CZ,2018-04-01,97
CP08,I15,CZ,2018-05-01,97
CP08,I15,CZ,2018-06-01,96
CP08,I15,CZ,2018-07-01,96
CP08,I15,CZ,2018-08-01,96
CP08,I15,CZ,2018-09-01,96
CP08,I15,DE,2017-10-01,98
CP08,I15,DE,2017-11-01,98
CP08,I15,DE,2017-12-01,98
CP08,I15,DE,2018-01-01,98
CP08,I15,DE,2018-02-01,97
CP08,I15,DE,2018-03-01,98
CP08,I15,DE,2018-04-01,97
CP08,I15,DE,2018-05-01,97
CP08,I15,DE,2018-06-01,97
CP08,I15,DE,2018-07-01,97
