indic_bt,s_adj,unit,nace_r2,geotime,date,value
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,DE,2017-04-01,107
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,DE,2017-07-01,108
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,DE,2017-10-01,110
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,DE,2018-01-01,112
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,DE,2018-04-01,112
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,DK,2015-07-01,99
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,DK,2015-10-01,99
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,DK,2016-01-01,97
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,DK,2016-04-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,DK,2016-07-01,99
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,DK,2016-10-01,103
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,DK,2017-01-01,107
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,DK,2017-04-01,105
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,DK,2017-07-01,106
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,DK,2017-10-01,108
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,DK,2018-01-01,108
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,DK,2018-04-01,111
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EA19,2015-07-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EA19,2015-10-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EA19,2016-01-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EA19,2016-04-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EA19,2016-07-01,102
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EA19,2016-10-01,104
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EA19,2017-01-01,107
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EA19,2017-04-01,108
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EA19,2017-07-01,109
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EA19,2017-10-01,111
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EA19,2018-01-01,112
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EA19,2018-04-01,113
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EE,2015-07-01,99
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EE,2015-10-01,102
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EE,2016-01-01,103
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EE,2016-04-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EE,2016-07-01,102
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EE,2016-10-01,105
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EE,2017-01-01,112
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EE,2017-04-01,111
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EE,2017-07-01,113
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EE,2017-10-01,117
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EE,2018-01-01,119
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EE,2018-04-01,124
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EL,2015-07-01,96
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EL,2015-10-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EL,2016-01-01,97
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EL,2016-04-01,99
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EL,2016-07-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EL,2016-10-01,99
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EL,2017-01-01,102
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EL,2017-04-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EL,2017-07-01,103
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EL,2017-10-01,104
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EL,2018-01-01,106
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EL,2018-04-01,108
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,ES,2015-07-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,ES,2015-10-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,ES,2016-01-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,ES,2016-04-01,103
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,ES,2016-07-01,105
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,ES,2016-10-01,107
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,ES,2017-01-01,109
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,ES,2017-04-01,111
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,ES,2017-07-01,112
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,ES,2017-10-01,115
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,ES,2018-01-01,117
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,ES,2018-04-01,119
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EU28,2015-07-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EU28,2015-10-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EU28,2016-01-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EU28,2016-04-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EU28,2016-07-01,102
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EU28,2016-10-01,105
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EU28,2017-01-01,107
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EU28,2017-04-01,108
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EU28,2017-07-01,109
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EU28,2017-10-01,111
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EU28,2018-01-01,112
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,EU28,2018-04-01,114
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,FI,2015-07-01,100
