unit,co_nco,na_item,finpos,sector,geotime,date,value
MIO_NAC,NCO,F4,LIAB,S11,CY,1999-01-01,515.7
MIO_NAC,NCO,F4,LIAB,S11,CY,2000-01-01,2956.8
MIO_NAC,NCO,F4,LIAB,S11,CY,2001-01-01,-204.9
MIO_NAC,NCO,F4,LIAB,S11,CY,2002-01-01,-1583.3
MIO_NAC,NCO,F4,LIAB,S11,CY,2003-01-01,133.1
MIO_NAC,NCO,F4,LIAB,S11,CY,2004-01-01,591.6
MIO_NAC,NCO,F4,LIAB,S11,CY,2005-01-01,2307.8
MIO_NAC,NCO,F4,LIAB,S11,CY,2006-01-01,808.4
MIO_NAC,NCO,F4,LIAB,S11,CY,2007-01-01,3059.7
MIO_NAC,NCO,F4,LIAB,S11,CY,2008-01-01,3141.6
MIO_NAC,NCO,F4,LIAB,S11,CY,2009-01-01,1004.2
MIO_NAC,NCO,F4,LIAB,S11,CY,2010-01-01,806.1
MIO_NAC,NCO,F4,LIAB,S11,CY,2011-01-01,1471.7
MIO_NAC,NCO,F4,LIAB,S11,CY,2012-01-01,1941.5
MIO_NAC,NCO,F4,LIAB,S11,CY,2013-01-01,-1050.0
MIO_NAC,NCO,F4,LIAB,S11,CY,2014-01-01,391.9
MIO_NAC,NCO,F4,LIAB,S11,CY,2015-01-01,954.3
MIO_NAC,NCO,F4,LIAB,S11,CY,2016-01-01,1906.3
MIO_NAC,NCO,F4,LIAB,S11,CY,2017-01-01,1689.8
MIO_NAC,NCO,F4,LIAB,S11,CZ,1995-01-01,133892.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,1996-01-01,181840.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,1997-01-01,217047.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,1998-01-01,-49757.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,1999-01-01,6172.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,2000-01-01,-10697.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,2001-01-01,-41077.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,2002-01-01,57611.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,2003-01-01,-103604.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,2004-01-01,82675.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,2005-01-01,31699.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,2006-01-01,137313.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,2007-01-01,111780.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,2008-01-01,181578.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,2009-01-01,-60196.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,2010-01-01,20783.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,2011-01-01,83018.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,2012-01-01,98518.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,2013-01-01,189321.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,2014-01-01,-32644.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,2015-01-01,65281.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,2016-01-01,13466.0
MIO_NAC,NCO,F4,LIAB,S11,CZ,2017-01-01,170258.0
MIO_NAC,NCO,F4,LIAB,S11,DE,1995-01-01,36271.0
MIO_NAC,NCO,F4,LIAB,S11,DE,1996-01-01,54377.0
MIO_NAC,NCO,F4,LIAB,S11,DE,1997-01-01,47264.0
MIO_NAC,NCO,F4,LIAB,S11,DE,1998-01-01,83731.0
MIO_NAC,NCO,F4,LIAB,S11,DE,1999-01-01,84380.0
MIO_NAC,NCO,F4,LIAB,S11,DE,2000-01-01,93273.0
MIO_NAC,NCO,F4,LIAB,S11,DE,2001-01-01,57543.0
MIO_NAC,NCO,F4,LIAB,S11,DE,2002-01-01,26393.0
MIO_NAC,NCO,F4,LIAB,S11,DE,2003-01-01,-13191.0
MIO_NAC,NCO,F4,LIAB,S11,DE,2004-01-01,-58209.0
MIO_NAC,NCO,F4,LIAB,S11,DE,2005-01-01,-11920.0
MIO_NAC,NCO,F4,LIAB,S11,DE,2006-01-01,40738.0
MIO_NAC,NCO,F4,LIAB,S11,DE,2007-01-01,49711.0
MIO_NAC,NCO,F4,LIAB,S11,DE,2008-01-01,33599.0
MIO_NAC,NCO,F4,LIAB,S11,DE,2009-01-01,-11805.0
MIO_NAC,NCO,F4,LIAB,S11,DE,2010-01-01,14466.0
MIO_NAC,NCO,F4,LIAB,S11,DE,2011-01-01,17492.0
MIO_NAC,NCO,F4,LIAB,S11,DE,2012-01-01,24613.0
MIO_NAC,NCO,F4,LIAB,S11,DE,2013-01-01,32358.0
MIO_NAC,NCO,F4,LIAB,S11,DE,2014-01-01,-459.0
MIO_NAC,NCO,F4,LIAB,S11,DE,2015-01-01,54654.0
MIO_NAC,NCO,F4,LIAB,S11,DE,2016-01-01,32730.0
MIO_NAC,NCO,F4,LIAB,S11,DE,2017-01-01,105825.0
MIO_NAC,NCO,F4,LIAB,S11,DK,1995-01-01,-68229.0
MIO_NAC,NCO,F4,LIAB,S11,DK,1996-01-01,36317.0
MIO_NAC,NCO,F4,LIAB,S11,DK,1997-01-01,20969.0
MIO_NAC,NCO,F4,LIAB,S11,DK,1998-01-01,-14500.0
MIO_NAC,NCO,F4,LIAB,S11,DK,1999-01-01,56275.0
MIO_NAC,NCO,F4,LIAB,S11,DK,2000-01-01,142491.0
MIO_NAC,NCO,F4,LIAB,S11,DK,2001-01-01,35373.0
MIO_NAC,NCO,F4,LIAB,S11,DK,2002-01-01,26633.0
MIO_NAC,NCO,F4,LIAB,S11,DK,2003-01-01,31717.0
MIO_NAC,NCO,F4,LIAB,S11,DK,2004-01-01,44194.0
MIO_NAC,NCO,F4,LIAB,S11,DK,2005-01-01,52099.0
MIO_NAC,NCO,F4,LIAB,S11,DK,2006-01-01,308193.0
MIO_NAC,NCO,F4,LIAB,S11,DK,2007-01-01,132403.0
MIO_NAC,NCO,F4,LIAB,S11,DK,2008-01-01,171354.0
MIO_NAC,NCO,F4,LIAB,S11,DK,2009-01-01,-145381.0
MIO_NAC,NCO,F4,LIAB,S11,DK,2010-01-01,-27684.0
MIO_NAC,NCO,F4,LIAB,S11,DK,2011-01-01,24837.0
MIO_NAC,NCO,F4,LIAB,S11,DK,2012-01-01,77544.0
MIO_NAC,NCO,F4,LIAB,S11,DK,2013-01-01,-52592.0
MIO_NAC,NCO,F4,LIAB,S11,DK,2014-01-01,-108314.0
MIO_NAC,NCO,F4,LIAB,S11,DK,2015-01-01,54944.0
MIO_NAC,NCO,F4,LIAB,S11,DK,2016-01-01,17649.0
MIO_NAC,NCO,F4,LIAB,S11,DK,2017-01-01,-28978.0
MIO_NAC,NCO,F4,LIAB,S11,EE,1995-01-01,284.4
MIO_NAC,NCO,F4,LIAB,S11,EE,1996-01-01,486.9
MIO_NAC,NCO,F4,LIAB,S11,EE,1997-01-01,527.2
MIO_NAC,NCO,F4,LIAB,S11,EE,1998-01-01,808.5
MIO_NAC,NCO,F4,LIAB,S11,EE,1999-01-01,379.7
MIO_NAC,NCO,F4,LIAB,S11,EE,2000-01-01,681.4
MIO_NAC,NCO,F4,LIAB,S11,EE,2001-01-01,1143.6
MIO_NAC,NCO,F4,LIAB,S11,EE,2002-01-01,1045.1
MIO_NAC,NCO,F4,LIAB,S11,EE,2003-01-01,1407.1
MIO_NAC,NCO,F4,LIAB,S11,EE,2004-01-01,1558.2
MIO_NAC,NCO,F4,LIAB,S11,EE,2005-01-01,1609.4
MIO_NAC,NCO,F4,LIAB,S11,EE,2006-01-01,3038.5
MIO_NAC,NCO,F4,LIAB,S11,EE,2007-01-01,1177.7
MIO_NAC,NCO,F4,LIAB,S11,EE,2008-01-01,1816.8
MIO_NAC,NCO,F4,LIAB,S11,EE,2009-01-01,-321.8
MIO_NAC,NCO,F4,LIAB,S11,EE,2010-01-01,-900.6
MIO_NAC,NCO,F4,LIAB,S11,EE,2011-01-01,12.7
MIO_NAC,NCO,F4,LIAB,S11,EE,2012-01-01,1617.5
MIO_NAC,NCO,F4,LIAB,S11,EE,2013-01-01,838.1
MIO_NAC,NCO,F4,LIAB,S11,EE,2014-01-01,1030.7
MIO_NAC,NCO,F4,LIAB,S11,EE,2015-01-01,100.2
MIO_NAC,NCO,F4,LIAB,S11,EE,2016-01-01,338.0
MIO_NAC,NCO,F4,LIAB,S11,EE,2017-01-01,221.5
MIO_NAC,NCO,F4,LIAB,S11,EL,1995-01-01,2763.1
MIO_NAC,NCO,F4,LIAB,S11,EL,1996-01-01,3149.6
MIO_NAC,NCO,F4,LIAB,S11,EL,1997-01-01,3594.8
MIO_NAC,NCO,F4,LIAB,S11,EL,1998-01-01,5945.7
MIO_NAC,NCO,F4,LIAB,S11,EL,1999-01-01,5744.5
MIO_NAC,NCO,F4,LIAB,S11,EL,2000-01-01,6673.8
MIO_NAC,NCO,F4,LIAB,S11,EL,2001-01-01,9517.4
MIO_NAC,NCO,F4,LIAB,S11,EL,2002-01-01,4944.2
MIO_NAC,NCO,F4,LIAB,S11,EL,2003-01-01,8488.3
MIO_NAC,NCO,F4,LIAB,S11,EL,2004-01-01,6104.8
MIO_NAC,NCO,F4,LIAB,S11,EL,2005-01-01,9459.7
MIO_NAC,NCO,F4,LIAB,S11,EL,2006-01-01,13752.5
MIO_NAC,NCO,F4,LIAB,S11,EL,2007-01-01,13383.8
MIO_NAC,NCO,F4,LIAB,S11,EL,2008-01-01,15320.6
MIO_NAC,NCO,F4,LIAB,S11,EL,2009-01-01,3315.0
MIO_NAC,NCO,F4,LIAB,S11,EL,2010-01-01,9838.3
MIO_NAC,NCO,F4,LIAB,S11,EL,2011-01-01,-7580.5
MIO_NAC,NCO,F4,LIAB,S11,EL,2012-01-01,-5188.6
MIO_NAC,NCO,F4,LIAB,S11,EL,2013-01-01,-5498.5
