s_adj,age,sex,unit,geo\time,date,value
SA,Y_LT25,F,PC_ACT,DK,2018-07-01,: 
SA,Y_LT25,F,PC_ACT,DK,2018-08-01,: 
SA,Y_LT25,F,PC_ACT,DK,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,EA,2017-10-01,17.7 
SA,Y_LT25,F,PC_ACT,EA,2017-11-01,17.4 
SA,Y_LT25,F,PC_ACT,EA,2017-12-01,17.3 
SA,Y_LT25,F,PC_ACT,EA,2018-01-01,17.2 
SA,Y_LT25,F,PC_ACT,EA,2018-02-01,17.1 
SA,Y_LT25,F,PC_ACT,EA,2018-03-01,16.8 
SA,Y_LT25,F,PC_ACT,EA,2018-04-01,16.5 
SA,Y_LT25,F,PC_ACT,EA,2018-05-01,16.3 
SA,Y_LT25,F,PC_ACT,EA,2018-06-01,16.1 
SA,Y_LT25,F,PC_ACT,EA,2018-07-01,16.0 
SA,Y_LT25,F,PC_ACT,EA,2018-08-01,15.9 
SA,Y_LT25,F,PC_ACT,EA,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,EA18,2017-10-01,17.7 
SA,Y_LT25,F,PC_ACT,EA18,2017-11-01,17.4 
SA,Y_LT25,F,PC_ACT,EA18,2017-12-01,17.4 
SA,Y_LT25,F,PC_ACT,EA18,2018-01-01,17.2 
SA,Y_LT25,F,PC_ACT,EA18,2018-02-01,17.1 
SA,Y_LT25,F,PC_ACT,EA18,2018-03-01,16.8 
SA,Y_LT25,F,PC_ACT,EA18,2018-04-01,16.6 
SA,Y_LT25,F,PC_ACT,EA18,2018-05-01,16.3 
SA,Y_LT25,F,PC_ACT,EA18,2018-06-01,16.1 
SA,Y_LT25,F,PC_ACT,EA18,2018-07-01,16.0 
SA,Y_LT25,F,PC_ACT,EA18,2018-08-01,16.0 
SA,Y_LT25,F,PC_ACT,EA18,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,EA19,2017-10-01,17.7 
SA,Y_LT25,F,PC_ACT,EA19,2017-11-01,17.4 
SA,Y_LT25,F,PC_ACT,EA19,2017-12-01,17.3 
SA,Y_LT25,F,PC_ACT,EA19,2018-01-01,17.2 
SA,Y_LT25,F,PC_ACT,EA19,2018-02-01,17.1 
SA,Y_LT25,F,PC_ACT,EA19,2018-03-01,16.8 
SA,Y_LT25,F,PC_ACT,EA19,2018-04-01,16.5 
SA,Y_LT25,F,PC_ACT,EA19,2018-05-01,16.3 
SA,Y_LT25,F,PC_ACT,EA19,2018-06-01,16.1 
SA,Y_LT25,F,PC_ACT,EA19,2018-07-01,16.0 
SA,Y_LT25,F,PC_ACT,EA19,2018-08-01,15.9 
SA,Y_LT25,F,PC_ACT,EA19,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,EE,2017-10-01,7.7 
SA,Y_LT25,F,PC_ACT,EE,2017-11-01,7.4 
SA,Y_LT25,F,PC_ACT,EE,2017-12-01,7.7 
SA,Y_LT25,F,PC_ACT,EE,2018-01-01,11.6 
SA,Y_LT25,F,PC_ACT,EE,2018-02-01,13.5 
SA,Y_LT25,F,PC_ACT,EE,2018-03-01,9.7 
SA,Y_LT25,F,PC_ACT,EE,2018-04-01,6.5 
SA,Y_LT25,F,PC_ACT,EE,2018-05-01,5.7 
SA,Y_LT25,F,PC_ACT,EE,2018-06-01,8.4 
SA,Y_LT25,F,PC_ACT,EE,2018-07-01,9.1 
SA,Y_LT25,F,PC_ACT,EE,2018-08-01,: 
SA,Y_LT25,F,PC_ACT,EE,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,EL,2017-10-01,46.4 
SA,Y_LT25,F,PC_ACT,EL,2017-11-01,47.3 
SA,Y_LT25,F,PC_ACT,EL,2017-12-01,47.8 
SA,Y_LT25,F,PC_ACT,EL,2018-01-01,46.4 
SA,Y_LT25,F,PC_ACT,EL,2018-02-01,53.8 
SA,Y_LT25,F,PC_ACT,EL,2018-03-01,45.5 
SA,Y_LT25,F,PC_ACT,EL,2018-04-01,44.0 
SA,Y_LT25,F,PC_ACT,EL,2018-05-01,42.5 
SA,Y_LT25,F,PC_ACT,EL,2018-06-01,42.2 
SA,Y_LT25,F,PC_ACT,EL,2018-07-01,42.0 
SA,Y_LT25,F,PC_ACT,EL,2018-08-01,: 
SA,Y_LT25,F,PC_ACT,EL,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,ES,2017-10-01,36.2 
SA,Y_LT25,F,PC_ACT,ES,2017-11-01,36.0 
SA,Y_LT25,F,PC_ACT,ES,2017-12-01,35.8 
SA,Y_LT25,F,PC_ACT,ES,2018-01-01,35.1 
SA,Y_LT25,F,PC_ACT,ES,2018-02-01,34.5 
SA,Y_LT25,F,PC_ACT,ES,2018-03-01,33.7 
SA,Y_LT25,F,PC_ACT,ES,2018-04-01,33.3 
SA,Y_LT25,F,PC_ACT,ES,2018-05-01,33.2 
