countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rkna,rtfpna,rwtfpna,labsh,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_k
BDI,Burundi,Burundi Franc,1967,2137.22265625,2205.23461914062,3.26970166636768,,,1.09549450874329,1872.08044433594,2035.85632324219,1981.11975097656,2035.82482910156,3461.240234375,,,1496.64794921875,1261.64172363281,1382.49560546875,3666.24096679688,,,0.752922296524048,0.035176459699869,87.5000000875,0.092486433684826,0.090774454176426,0.088335238397122,Extrapolated,Extrapolated,Market,Regular,,,0.87008810043335,0.080446936190128,0.049480427056551,0.050824519246817,-0.069965898990631,0.019125923514366,0.089694029837724,0.071205260683494,0.141589430067582,0.102015823125839,0.133136570453644,0.100792534649372
BDI,Burundi,Burundi Franc,1968,2150.89526367187,2226.03930664062,3.33820373681215,,,1.09549450874329,1899.42272949219,2091.8125,1997.40673828125,2060.36645507812,3480.21630859375,,,1491.91223144531,1278.91589355469,1416.24206542969,3682.16650390625,,,0.752922296524048,0.035108599811792,87.5000000875,0.094341211020947,0.092511400580406,0.08968447893858,Extrapolated,Extrapolated,Market,Regular,,,0.86899733543396,0.09337642788887,0.052888534963131,0.048167552798987,-0.078803457319737,0.015373598784208,0.091296089618366,0.074446068582458,0.144374795688031,0.104176916182041,0.13496333360672,0.104598075151443
BDI,Burundi,Burundi Franc,1969,2051.30786132812,2127.310546875,3.39648048590175,,,1.09549450874329,1780.96533203125,1975.09521484375,1896.81042480469,1962.15759277344,3535.16821289063,,,1464.78833007813,1209.26733398438,1344.67138671875,3697.68505859375,,,0.752922296524048,0.035021290183067,87.5000000875,0.103699795901775,0.101127319037914,0.097759403288364,Extrapolated,Extrapolated,Market,Regular,,,0.850190579891205,0.098936945199967,0.057466059923172,0.053561411798,-0.073703847825527,0.013548860326409,0.100307536132996,0.077527228198909,0.153887076742659,0.095817849040032,0.142345026135445,0.108721621334553
BDI,Burundi,Burundi Franc,1970,2558.91357421875,2604.10864257812,3.457113,,,1.09549450874329,2292.42138671875,2426.79711914062,2356.96459960937,2395.76391601563,3707.89770507813,,,1803.66394042969,1573.72229003906,1687.11145019531,3667.36376953125,,,0.752922296524048,0.033857051283121,87.5000000875,0.105377875268459,0.103869087994099,0.102186940610409,Extrapolated,Extrapolated,Market,Regular,,,0.883327126502991,0.056088857352734,0.073537357151508,0.041254356503487,-0.06959518045187,0.015387513674796,0.10181051155125,0.078129462814331,0.148228921016442,0.14389032125473,0.151391431689262,0.104691751301289
BDI,Burundi,Burundi Franc,1971,2597.6630859375,2698.03149414063,3.507593,,,1.09563422203064,2319.5224609375,2564.48657226563,2379.8779296875,2470.60302734375,3794.15380859375,,,1862.2470703125,1605.28552246094,1774.40673828125,3721.87548828125,,,0.752922296524048,0.03373209759593,87.5,0.109097264707088,0.105836465954781,0.101949952542782,Extrapolated,Extrapolated,Market,Regular,,,0.86219334602356,0.099151514470577,0.076655305922031,0.038204424083233,-0.079518847167492,0.003314279718325,0.104964117197161,0.074960517904978,0.155585546220947,0.12386430054903,0.163211286067963,0.100822947919369
BDI,Burundi,Burundi Franc,1972,2364.708984375,2456.41064453125,3.547335,,,1.09577405452728,2202.4482421875,2278.06274414062,2153.33422851563,2240.27075195312,3763.09033203125,,,1750.86242675781,1541,1615.05261230469,3651.25952148437,,,0.752922296524048,0.032429158687592,87.5,0.114630848169327,0.114116594195366,0.109688155353069,Extrapolated,Extrapolated,Market,Regular,,,0.892372250556946,0.033752430230379,0.090744763612747,0.052358996123076,-0.08217053860426,0.012942072935402,0.108721258530597,0.099137820686926,0.172744957026315,0.135335981845856,0.180833339691162,0.132352590560913
BDI,Burundi,Burundi Franc,1973,2600.501953125,2675.9580078125,3.582952,,,1.09591376781464,2295.2705078125,2451.24169921875,2345.90942382812,2415.232421875,3819.09130859375,,,1871.70031738281,1615.47888183594,1736.60888671875,3644.9501953125,,,0.752922296524048,0.032198026776314,80.0260833333333,0.131996855139732,0.129893749952316,0.126165464520454,Extrapolated,Extrapolated,Market,Regular,,,0.869164347648621,0.064578138291836,0.081166751682758,0.045899085700512,-0.07475920766592,0.013950917869806,0.125834852821786,0.098944260313779,0.197981975252391,0.165773674845696,0.201097220182419,0.131408587098122
BDI,Burundi,Burundi Franc,1974,2557.10693359375,2674.52490234375,3.623853,,,1.09605360031128,2221.85815429687,2494.30883789062,2312.17626953125,2395.46850585937,3999.07739257812,,,1861.78125,1568.89135742188,1746.02966308594,3716.85302734375,,,0.752922296524048,0.03285687789321,78.75,0.154469639062882,0.149426221847534,0.144230559468269,Extrapolated,Extrapolated,Market,Regular,,,0.844058513641357,0.113735847175121,0.08346700668335,0.047658879309893,-0.095634803175926,0.006714564748108,0.146056858751972,0.108296693096081,0.239543660933932,0.161681994795799,0.209497079253197,0.144947484135628
BDI,Burundi,Burundi Franc,1975,2488.8837890625,2653.68310546875,3.676991,,,1.09619343280792,2343.49829101562,2545.1484375,2250.98974609375,2373.76635742187,4080.46411132812,,,1862.16479492188,1654.81872558594,1792.02307128906,3731.55981445312,,,0.752922296524048,0.03275890275836,78.75,0.186660915613174,0.183841034770012,0.174332335591316,Extrapolated,Extrapolated,Market,Regular,,,0.901054263114929,0.08494944870472,0.086194634437561,0.05489020422101,-0.12324296683073,-0.003845594124869,0.179496068264048,0.151069360401838,0.261560233958545,0.146563827991486,0.244689017534256,0.203624442219734
BDI,Burundi,Burundi Franc,1976,2929.9462890625,2995.98315429688,3.744696,,,1.09633326530457,2474.7890625,2773.11962890625,2639.498046875,2677.6435546875,4167.93505859375,,,2055.77954101562,1766.8115234375,1960.791015625,3813.61474609375,,,0.752922296524048,0.033255573362112,86.25,0.177940636873245,0.172827005386353,0.170364931225777,Extrapolated,Extrapolated,Market,Regular,,,0.829609334468842,0.111415326595306,0.094632036983967,0.041852645576,-0.09961348772049,0.022104158997536,0.167364762296334,0.130407194378021,0.270655958280979,0.301058560609817,0.250873595476151,0.174265190958977
